x,y,z,id,xi,xv
153.6,128,0,0,3.5233328044363e-283,3.5233328044363e-283
154,128,0,0.40000000000001,1.3208320960066e-06,4.7433386901359e-05
154.4,128,0,0.80000000000001,2.6416641920134e-06,9.4866773802723e-05
154.8,128,0,1.2,3.9624962880198e-06,0.00014230016070407
155.2,128,0,1.6,5.2833283840263e-06,0.00018973354760543
155.6,128,0,2,6.6041604800329e-06,0.00023716693450679
156,128,0,2.4,7.9249925760395e-06,0.00028460032140814
156.4,128,0,2.8,8.5277449735593e-06,0.00030609465278252
156.8,128,0,3.2,8.303708462219e-06,0.00029782010496128
157.2,128,0,3.6,8.1525283747701e-06,0.00029231058794741
157.6,128,0,4,8.0013482873212e-06,0.00028680107093354
158,128,0,4.4,7.8501681998723e-06,0.00028129155391967
158.4,128,0,4.8,7.7763785895739e-06,0.00027859438085003
158.8,128,0,5.2,7.7784232770647e-06,0.00027865300068937
159.2,128,0,5.6,7.7804679645556e-06,0.0002787116205287
159.6,128,0,6,7.8038868253962e-06,0.0002795699260868
160,128,0,6.4,7.8346752552529e-06,0.00028070395407866
160.4,128,0,6.8,7.8654636851097e-06,0.00028183798207053
160.8,128,0,7.2,7.8962521149665e-06,0.00028297201006239
161.2,128,0,7.6,7.8922081106388e-06,0.00028282449389077
161.6,128,0,8,7.8729408282949e-06,0.00028211688757479
162,128,0,8.4,7.8536735459511e-06,0.00028140928125881
162.4,128,0,8.8,7.8473592948329e-06,0.00028117676740677
162.8,128,0,9.2,7.8441370246604e-06,0.00028105766151465
163.2,128,0,9.6,7.8409147544879e-06,0.00028093855562252
163.6,128,0,10,7.8376924843154e-06,0.0002808194497304
164,128,0,10.4,7.8344702141429e-06,0.00028070034383827
164.4,128,0,10.8,7.8327762488842e-06,0.00028063761538519
164.8,128,0,11.2,7.8372703957456e-06,0.00028080315938657
165.2,128,0,11.6,7.8417645426069e-06,0.00028096870338796
165.6,128,0,12,7.8457158930465e-06,0.00028111427135494
166,128,0,12.4,7.8459070057846e-06,0.00028112145477352
166.4,128,0,12.8,7.8460981185228e-06,0.00028112863819209
166.8,128,0,13.2,7.8462892312609e-06,0.00028113582161067
167.2,128,0,13.6,7.8463294031299e-06,0.00028113739794407
167.6,128,0,14,7.8460006042174e-06,0.00028112526791276
168,128,0,14.4,7.845671805305e-06,0.00028111313788144
168.4,128,0,14.8,7.8453430063925e-06,0.00028110100785013
168.8,128,0,15.2,7.8449712066008e-06,0.00028108729245287
169.2,128,0,15.6,7.8442099891366e-06,0.00028105921991855
169.6,128,0,16,7.8434487716723e-06,0.00028103114738422
170,128,0,16.4,7.8426875542081e-06,0.0002810030748499
170.4,128,0,16.8,7.8419263367438e-06,0.00028097500231558
170.8,128,0,17.2,7.8418881434939e-06,0.00028097359555396
171.2,128,0,17.6,7.8419978148455e-06,0.00028097764216966
171.6,128,0,18,7.8421074861971e-06,0.00028098168878537
172,128,0,18.4,7.8422171575487e-06,0.00028098573540108
172.4,128,0,18.8,7.8423268289003e-06,0.00028098978201679
172.8,128,0,19.2,7.8424365002519e-06,0.0002809938286325
173.2,128,0,19.6,7.8425461066422e-06,0.00028099787283351
173.6,128,0,20,7.8426473417829e-06,0.00028100160586364
174,128,0,20.4,7.8427485769236e-06,0.00028100533889377
174.4,128,0,20.8,7.8428498120643e-06,0.00028100907192391
174.8,128,0,21.2,7.8428880287309e-06,0.00028101048184274
175.2,128,0,21.6,7.8428744770532e-06,0.00028100998301259
175.6,128,0,22,7.842848359673e-06,0.00028100901660293
176,128,0,22.4,7.8428222422928e-06,0.00028100805019327
176.4,128,0,22.8,7.8427961249126e-06,0.00028100708378361
176.8,128,0,23.2,7.8427680409107e-06,0.00028100604495994
177.2,128,0,23.6,7.8427350368043e-06,0.00028100482497052
177.6,128,0,24,7.842702032698e-06,0.00028100360498111
178,128,0,24.4,7.8426690285916e-06,0.00028100238499169
178.4,128,0,24.8,7.8426360244853e-06,0.00028100116500227
178.8,128,0,25.2,7.8426303556644e-06,0.0002810009563612
179.2,128,0,25.6,7.8426348158585e-06,0.00028100112247247
179.6,128,0,26,7.8426392760525e-06,0.00028100128858375
180,128,0,26.4,7.8426437362465e-06,0.00028100145469502
180.4,128,0,26.8,7.8426481964406e-06,0.0002810016208063
180.8,128,0,27.2,7.8426526566346e-06,0.00028100178691757
181.2,128,0,27.6,7.8426568387784e-06,0.00028100194291205
181.6,128,0,28,7.8426606496857e-06,0.00028100208539916
182,128,0,28.4,7.842664460593e-06,0.00028100222788627
182.4,128,0,28.8,7.8426679977157e-06,0.00028100236014542
182.8,128,0,29.2,7.8426665601509e-06,0.00028100230656187
183.2,128,0,29.6,7.8426656457031e-06,0.00028100227241875
183.6,128,0,30,7.8426652823632e-06,0.0002810022587563
184,128,0,30.4,7.8426649190232e-06,0.00028100224509384
184.4,128,0,30.8,7.8426645556833e-06,0.00028100223143139
184.8,128,0,31.2,7.8426641923433e-06,0.00028100221776893
185.2,128,0,31.6,7.8426638290034e-06,0.00028100220410648
185.6,128,0,32,7.8426634656634e-06,0.00028100219044402
186,128,0,32.4,7.8426631023235e-06,0.00028100217678157
186.4,128,0,32.8,7.8426627389835e-06,0.00028100216311911
186.8,128,0,33.2,7.8426623756436e-06,0.00028100214945666
187.2,128,0,33.6,7.8426620123036e-06,0.0002810021357942
187.6,128,0,34,7.8426620202594e-06,0.00028100213552404
188,128,0,34.4,7.8426625455344e-06,0.00028100215391311
188.4,128,0,34.8,7.8426630708093e-06,0.00028100217230217
188.8,128,0,35.2,7.8426635960842e-06,0.00028100219069123
189.2,128,0,35.6,7.8426641213592e-06,0.00028100220908029
189.6,128,0,36,7.8426646466341e-06,0.00028100222746935
190,128,0,36.4,7.842665171909e-06,0.00028100224585841
190.4,128,0,36.8,7.842665697184e-06,0.00028100226424747
190.8,128,0,37.2,7.8426662224589e-06,0.00028100228263653
191.2,128,0,37.6,7.8426631086786e-06,0.00028100216675466
191.6,128,0,38,7.8426587824158e-06,0.00028100200613558
192,128,0,38.4,7.842654456153e-06,0.00028100184551651
192.4,128,0,38.8,7.8426501298902e-06,0.00028100168489743
192.8,128,0,39.2,7.8426520259251e-06,0.00028100175514104
193.2,128,0,39.6,7.8426619941984e-06,0.00028100212488473
193.6,128,0,40,7.8426719624718e-06,0.00028100249462842
194,128,0,40.4,7.8426819307451e-06,0.0002810028643721
194.4,128,0,40.8,7.8426918990184e-06,0.00028100323411579
194.8,128,0,41.2,7.8427018672918e-06,0.00028100360385948
195.2,128,0,41.6,7.8427095895885e-06,0.00028100389063939
195.6,128,0,42,7.8427120598663e-06,0.00028100398341579
196,128,0,42.4,7.842714530144e-06,0.00028100407619219
196.4,128,0,42.8,7.8427170004217e-06,0.00028100416896859
196.8,128,0,43.2,7.8427194706994e-06,0.00028100426174499
197.2,128,0,43.6,7.8427219409772e-06,0.00028100435452139
197.6,128,0,44,7.8427244112549e-06,0.00028100444729779
198,128,0,44.4,7.8427268815326e-06,0.00028100454007419
198.4,128,0,44.8,7.8427293518103e-06,0.00028100463285059
198.8,128,0,45.2,7.8427438471987e-06,0.00028100516921953
199.2,128,0,45.6,7.8427589321619e-06,0.0002810057273372
199.6,128,0,46,7.8427740171251e-06,0.00028100628545488
200,128,0,46.4,7.8427891020883e-06,0.00028100684357255
200.4,128,0,46.8,7.8427628190535e-06,0.000281005869547
200.8,128,0,47.2,7.8427157833664e-06,0.00028100412690714
201.2,128,0,47.6,7.8426687476794e-06,0.00028100238426727
201.6,128,0,48,7.8426217119923e-06,0.00028100064162741
202,128,0,48.4,7.8425746763053e-06,0.00028099889898754
202.4,128,0,48.8,7.8425276406182e-06,0.00028099715634768
202.8,128,0,49.2,7.8424806049311e-06,0.00028099541370781
203.2,128,0,49.6,7.8424335692441e-06,0.00028099367106795
203.6,128,0,50,7.842386533557e-06,0.00028099192842808
204,128,0,50.4,7.84233949787e-06,0.00028099018578822
204.4,128,0,50.8,7.8422924621829e-06,0.00028098844314835
204.8,128,0,51.2,7.8422454264959e-06,0.00028098670050849
205.2,128,0,51.6,7.8421983908088e-06,0.00028098495786862
205.6,128,0,52,7.8422420820152e-06,0.00028098657053424
206,128,0,52.4,7.8424048976299e-06,0.00028099258871584
206.4,128,0,52.8,7.8425677132447e-06,0.00028099860689745
206.8,128,0,53.2,7.8427305288595e-06,0.00028100462507906
207.2,128,0,53.6,7.8428933444743e-06,0.00028101064326067
207.6,128,0,54,7.8430561600891e-06,0.00028101666144227
208,128,0,54.4,7.8432189757038e-06,0.00028102267962388
208.4,128,0,54.8,7.8433817913186e-06,0.00028102869780549
208.8,128,0,55.2,7.8435446069334e-06,0.00028103471598709
209.2,128,0,55.6,7.8437074225482e-06,0.0002810407341687
209.6,128,0,56,7.843870238163e-06,0.00028104675235031
210,128,0,56.4,7.8440330537778e-06,0.00028105277053192
210.4,128,0,56.8,7.8441958693925e-06,0.00028105878871352
210.8,128,0,57.2,7.8443586850073e-06,0.00028106480689513
211.2,128,0,57.6,7.8445422123668e-06,0.00028107159574693
211.6,128,0,58,7.8439402435197e-06,0.00028104931131213
212,128,0,58.4,7.8433170458192e-06,0.00028102624967364
212.4,128,0,58.8,7.8426938481188e-06,0.00028100318803515
212.8,128,0,59.2,7.8420706504183e-06,0.00028098012639666
213.2,128,0,59.6,7.8414474527179e-06,0.00028095706475817
213.6,128,0,60,7.8408242550174e-06,0.00028093400311967
214,128,0,60.4,7.840201057317e-06,0.00028091094148118
214.4,128,0,60.8,7.8395778596165e-06,0.00028088787984269
214.8,128,0,61.2,7.8389546619161e-06,0.0002808648182042
215.2,128,0,61.6,7.8383314642156e-06,0.00028084175656571
215.6,128,0,62,7.8377082665152e-06,0.00028081869492722
216,128,0,62.4,7.8370850688147e-06,0.00028079563328873
216.4,128,0,62.8,7.8364618711143e-06,0.00028077257165024
216.8,128,0,63.2,7.8358386734138e-06,0.00028074951001175
217.2,128,0,63.6,7.8352154757134e-06,0.00028072644837325
217.6,128,0,64,7.8345922780129e-06,0.00028070338673476
218,128,0,64.4,7.8348766319717e-06,0.00028071385472878
218.4,128,0,64.8,7.8363135333006e-06,0.00028076690375869
218.8,128,0,65.2,7.8377504346295e-06,0.00028081995278861
219.2,128,0,65.6,7.8374308886739e-06,0.00028080815870103
219.6,128,0,66,7.8337476235549e-06,0.00028067218551693
220,128,0,66.4,7.8300643584359e-06,0.00028053621233283
220.4,128,0,66.8,7.8263810933168e-06,0.00028040023914873
220.8,128,0,67.2,7.8226978281978e-06,0.00028026426596463
221.2,128,0,67.6,7.8190145630788e-06,0.00028012829278053
221.6,128,0,68,7.8153312979598e-06,0.00027999231959643
222,128,0,68.4,7.8124201491661e-06,0.00027988489258466
222.4,128,0,68.8,7.8126673503402e-06,0.0002798942339917
222.8,128,0,69.2,7.8129145515143e-06,0.00027990357539874
223.2,128,0,69.6,7.8131617526884e-06,0.00027991291680578
223.6,128,0,70,7.8134089538625e-06,0.00027992225821282
224,128,0,70.4,7.8136561550366e-06,0.00027993159961986
224.4,128,0,70.8,7.8139033562107e-06,0.0002799409410269
224.8,128,0,71.2,7.8141505573848e-06,0.00027995028243394
225.2,128,0,71.6,7.8143977585589e-06,0.00027995962384098
225.6,128,0,72,7.814644959733e-06,0.00027996896524802
226,128,0,72.4,7.8148921609071e-06,0.00027997830665505
226.4,128,0,72.8,7.8151393620812e-06,0.00027998764806209
226.8,128,0,73.2,7.8219085296169e-06,0.0002802375994939
227.2,128,0,73.6,7.8367306191521e-06,0.00028078464135124
227.6,128,0,74,7.8515527086872e-06,0.00028133168320858
228,128,0,74.4,7.8663747982223e-06,0.00028187872506593
228.4,128,0,74.8,7.8811968877575e-06,0.00028242576692327
228.8,128,0,75.2,7.8960189772926e-06,0.00028297280878061
229.2,128,0,75.6,7.9108410668278e-06,0.00028351985063796
229.6,128,0,76,7.9256631563629e-06,0.0002840668924953
230,128,0,76.4,7.940485245898e-06,0.00028461393435264
230.4,128,0,76.8,7.9553073354332e-06,0.00028516097620999
230.8,128,0,77.2,7.9701294249683e-06,0.00028570801806733
231.2,128,0,77.6,7.9849515145035e-06,0.00028625505992467
231.6,128,0,78,7.9997736040386e-06,0.00028680210178202
232,128,0,78.4,8.0145956935737e-06,0.00028734914363936
232.4,128,0,78.8,8.0294177831089e-06,0.0002878961854967
232.8,128,0,79.2,8.044239872644e-06,0.00028844322735405
233.2,128,0,79.6,8.0590619621791e-06,0.00028899026921139
233.6,128,0,80,8.0408195124407e-06,0.00028831775736539
234,128,0,80.4,8.0168853412879e-06,0.00028743531185385
234.4,128,0,80.8,7.9929511701351e-06,0.0002865528663423
234.8,128,0,81.2,7.9499899053727e-06,0.00028497048928742
235.2,128,0,81.6,7.8951121728579e-06,0.00028294975250002
235.6,128,0,82,7.840234440343e-06,0.00028092901571263
236,128,0,82.4,7.7853567078281e-06,0.00027890827892523
236.4,128,0,82.8,7.7304789753131e-06,0.00027688754213783
236.8,128,0,83.2,7.6756012427983e-06,0.00027486680535043
