x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,0.83036844362668,0.83036828957714
154.4,128,0,0.80000000000001,1.6607368872534,1.6607365791544
154.8,128,0,1.2,2.49110533088,2.4911048687314
155.2,128,0,1.6,3.3214737745066,3.3214731583084
155.6,128,0,2,4.1518422181332,4.1518414478855
156,128,0,2.4,4.9822106617598,4.9822097374626
156.4,128,0,2.8,5.355156059837,5.3551550761822
156.8,128,0,3.2,5.2052743570276,5.2052734073019
157.2,128,0,3.6,5.1070811999175,5.1070802529032
157.6,128,0,4,5.0088880428074,5.0088870985044
158,128,0,4.4,4.9106948856974,4.9106939441057
158.4,128,0,4.8,4.8624539517407,4.8624529982428
158.8,128,0,5.2,4.8631607941167,4.863159814389
159.2,128,0,5.6,4.8638676364928,4.8638666305351
159.6,128,0,6,4.8792660474409,4.8792650960528
160,128,0,6.4,4.8997299421754,4.8997290732155
160.4,128,0,6.8,4.9201938369098,4.9201930503782
160.8,128,0,7.2,4.9406577316442,4.9406570275409
161.2,128,0,7.6,4.9380261990484,4.9380255613293
161.6,128,0,8,4.9253009673074,4.9253003889608
162,128,0,8.4,4.9125757355665,4.9125752165923
162.4,128,0,8.8,4.9083809501188,4.9083803242616
162.8,128,0,9.2,4.9062224430478,4.9062216706212
163.2,128,0,9.6,4.9040639359768,4.9040630169807
163.6,128,0,10,4.9019054289058,4.9019043633403
164,128,0,10.4,4.8997469218348,4.8997457096999
164.4,128,0,10.8,4.898607655024,4.8986063262483
164.8,128,0,11.2,4.901595295711,4.9015939714756
165.2,128,0,11.6,4.9045829363979,4.9045816167029
165.6,128,0,12,4.9072104588686,4.9072091717551
166,128,0,12.4,4.9073432521191,4.907342191844
166.4,128,0,12.8,4.9074760453696,4.9074752119328
166.8,128,0,13.2,4.9076088386201,4.9076082320217
167.2,128,0,13.6,4.9076393888501,4.9076389219126
167.6,128,0,14,4.9074200088435,4.9074194684641
168,128,0,14.4,4.9072006288369,4.9072000150155
168.4,128,0,14.8,4.9069812488303,4.9069805615669
168.8,128,0,15.2,4.9067332318044,4.9067324802164
169.2,128,0,15.6,4.9062258767924,4.9062251434469
169.6,128,0,16,4.9057185217804,4.9057178066774
170,128,0,16.4,4.9052111667685,4.9052104699079
170.4,128,0,16.8,4.9047038117565,4.9047031331385
170.8,128,0,17.2,4.9046784163602,4.9046776968702
171.2,128,0,17.6,4.9047515858046,4.9047508133533
171.6,128,0,18,4.9048247552491,4.9048239298364
172,128,0,18.4,4.9048979246935,4.9048970463194
172.4,128,0,18.8,4.904971094138,4.9049701628025
172.8,128,0,19.2,4.9050442635824,4.9050432792856
173.2,128,0,19.6,4.9051173892945,4.9051163526196
173.6,128,0,20,4.9051848794259,4.9051838655257
174,128,0,20.4,4.9052523695572,4.9052513784319
174.4,128,0,20.8,4.9053198596885,4.905318891338
174.8,128,0,21.2,4.9053453456987,4.9053443642943
175.2,128,0,21.6,4.9053363181647,4.9053353115713
175.6,128,0,22,4.9053188183111,4.905317987506
176,128,0,22.4,4.9053013184574,4.9053006634407
176.4,128,0,22.8,4.9052838186037,4.9052833393754
176.8,128,0,23.2,4.9052650156834,4.9052646914553
177.2,128,0,23.6,4.9052429527443,4.9052427315084
177.6,128,0,24,4.9052208898052,4.9052207715615
178,128,0,24.4,4.9051988268661,4.9051988116145
178.4,128,0,24.8,4.905176763927,4.9051768516676
178.8,128,0,25.2,4.9051729952401,4.9051730542706
179.2,128,0,25.6,4.905176005438,4.9051759869566
179.6,128,0,26,4.905179015636,4.9051789196426
180,128,0,26.4,4.9051820258339,4.9051818523286
180.4,128,0,26.8,4.9051850360319,4.9051847850145
180.8,128,0,27.2,4.9051880462298,4.9051877177005
181.2,128,0,27.6,4.9051908781823,4.9051904556281
181.6,128,0,28,4.9051934721518,4.9051929335256
182,128,0,28.4,4.9051960661213,4.9051954114231
182.4,128,0,28.8,4.9051984749455,4.9051977094829
182.8,128,0,29.2,4.9051975196659,4.9051967398773
183.2,128,0,29.6,4.9051969144291,4.9051961227605
183.6,128,0,30,4.905196677965,4.9051958769934
184,128,0,30.4,4.9051964415009,4.9051956312263
184.4,128,0,30.8,4.9051962050368,4.9051953854592
184.8,128,0,31.2,4.9051959685727,4.9051951396921
185.2,128,0,31.6,4.9051957321086,4.9051948939251
185.6,128,0,32,4.9051954956445,4.905194648158
186,128,0,32.4,4.9051952591804,4.9051944023909
186.4,128,0,32.8,4.9051950227163,4.9051941566238
186.8,128,0,33.2,4.9051947862522,4.9051939108567
187.2,128,0,33.6,4.9051945497881,4.9051936650896
187.6,128,0,34,4.9051945464972,4.9051936835527
188,128,0,34.4,4.905194868082,4.9051940701626
188.4,128,0,34.8,4.9051951896668,4.9051944567725
188.8,128,0,35.2,4.9051955112516,4.9051948433824
189.2,128,0,35.6,4.9051958328364,4.9051952299923
189.6,128,0,36,4.9051961544212,4.9051956166022
190,128,0,36.4,4.905196476006,4.9051960032122
190.4,128,0,36.8,4.9051967975908,4.9051963898221
190.8,128,0,37.2,4.9051971191756,4.905196776432
191.2,128,0,37.6,4.9051950040594,4.9051946945738
191.6,128,0,38,4.9051920770684,4.9051917902565
192,128,0,38.4,4.9051891500775,4.9051888859392
192.4,128,0,38.8,4.9051862230865,4.9051859816218
192.8,128,0,39.2,4.9051874926673,4.9051872567231
193.2,128,0,39.6,4.9051942064955,4.9051939538186
193.6,128,0,40,4.9052009203237,4.9052006509142
194,128,0,40.4,4.9052076341518,4.9052073480097
194.4,128,0,40.8,4.90521434798,4.9052140451053
194.8,128,0,41.2,4.9052210618082,4.9052207422008
195.2,128,0,41.6,4.9052262711637,4.9052259199888
195.6,128,0,42,4.9052279624419,4.9052275450093
196,128,0,42.4,4.90522965372,4.9052291700298
196.4,128,0,42.8,4.9052313449982,4.9052307950503
196.8,128,0,43.2,4.9052330362764,4.9052324200707
197.2,128,0,43.6,4.9052347275546,4.9052340450912
197.6,128,0,44,4.9052364188328,4.9052356701117
198,128,0,44.4,4.905238110111,4.9052372951322
198.4,128,0,44.8,4.9052398013892,4.9052389201527
198.8,128,0,45.2,4.9052495445219,4.9052487029032
199.2,128,0,45.6,4.9052596824261,4.905258885616
199.6,128,0,46,4.9052698203303,4.9052690683288
200,128,0,46.4,4.9052799582346,4.9052792510416
200.4,128,0,46.8,4.9052622661193,4.9052615679435
200.8,128,0,47.2,4.9052306128083,4.9052299056947
201.2,128,0,47.6,4.9051989594973,4.9051982434459
201.6,128,0,48,4.9051673061863,4.9051665811971
202,128,0,48.4,4.9051356528754,4.9051349189482
202.4,128,0,48.8,4.9051039995644,4.9051032566994
202.8,128,0,49.2,4.9050723462534,4.9050715944506
203.2,128,0,49.6,4.9050406929424,4.9050399322017
203.6,128,0,50,4.9050090396315,4.9050082699529
204,128,0,50.4,4.9049773863205,4.9049766077041
204.4,128,0,50.8,4.9049457330095,4.9049449454552
204.8,128,0,51.2,4.9049140796985,4.9049132832064
205.2,128,0,51.6,4.9048824263875,4.9048816209576
205.6,128,0,52,4.904911618115,4.90491081206
206,128,0,52.4,4.9050206993761,4.905019903611
206.4,128,0,52.8,4.9051297806372,4.905128995162
206.8,128,0,53.2,4.9052388618983,4.905238086713
207.2,128,0,53.6,4.9053479431594,4.905347178264
207.6,128,0,54,4.9054570244206,4.905456269815
208,128,0,54.4,4.9055661056817,4.905565361366
208.4,128,0,54.8,4.9056751869428,4.9056744529169
208.8,128,0,55.2,4.9057842682039,4.9057835444679
209.2,128,0,55.6,4.905893349465,4.9058926360189
209.6,128,0,56,4.9060024307262,4.9060017275699
210,128,0,56.4,4.9061115119873,4.9061108191209
210.4,128,0,56.8,4.9062205932484,4.9062199106719
210.8,128,0,57.2,4.9063296745095,4.9063290022229
211.2,128,0,57.6,4.9064528317766,4.906452171089
211.6,128,0,58,4.9060482245213,4.9060475768736
212,128,0,58.4,4.9056296914799,4.905629041974
212.4,128,0,58.8,4.9052111584385,4.9052105070743
212.8,128,0,59.2,4.9047926253971,4.9047919721746
213.2,128,0,59.6,4.9043740923557,4.904373437275
213.6,128,0,60,4.9039555593143,4.9039549023753
214,128,0,60.4,4.9035370262729,4.9035363674756
214.4,128,0,60.8,4.9031184932315,4.9031178325759
214.8,128,0,61.2,4.9026999601901,4.9026992976763
215.2,128,0,61.6,4.9022814271487,4.9022807627766
215.6,128,0,62,4.9018628941073,4.9018622278769
216,128,0,62.4,4.9014443610659,4.9014436929773
216.4,128,0,62.8,4.9010258280246,4.9010251580776
216.8,128,0,63.2,4.9006072949832,4.9006066231779
217.2,128,0,63.6,4.9001887619418,4.9001880882783
217.6,128,0,64,4.8997702289004,4.8997695533786
218,128,0,64.4,4.8999590044272,4.8999583690542
218.4,128,0,64.8,4.9009190329028,4.9009184910253
218.8,128,0,65.2,4.9018790613784,4.9018786129965
219.2,128,0,65.6,4.901665685706,4.9016652829879
219.6,128,0,66,4.8992051591778,4.8992047105225
220,128,0,66.4,4.8967446326495,4.896744138057
220.4,128,0,66.8,4.8942841061212,4.8942835655915
220.8,128,0,67.2,4.891823579593,4.8918229931261
221.2,128,0,67.6,4.8893630530647,4.8893624206606
221.6,128,0,68,4.8869025265365,4.8869018481951
222,128,0,68.4,4.8849594884581,4.884958767935
222.4,128,0,68.8,4.8851332423388,4.8851324949959
222.8,128,0,69.2,4.8853069962195,4.8853062220568
223.2,128,0,69.6,4.8854807501003,4.8854799491177
223.6,128,0,70,4.885654503981,4.8856536761786
224,128,0,70.4,4.8858282578617,4.8858274032395
224.4,128,0,70.8,4.8860020117425,4.8860011303004
224.8,128,0,71.2,4.8861757656232,4.8861748573613
225.2,128,0,71.6,4.8863495195039,4.8863485844222
225.6,128,0,72,4.8865232733847,4.8865223114831
226,128,0,72.4,4.8866970272654,4.886696038544
226.4,128,0,72.8,4.8868707811461,4.8868697656049
226.8,128,0,73.2,4.8913952585565,4.8913942370674
227.2,128,0,73.6,4.9012917411694,4.9012907395038
227.6,128,0,74,4.9111882237823,4.9111872419402
228,128,0,74.4,4.9210847063952,4.9210837443765
228.4,128,0,74.8,4.9309811890081,4.9309802468129
228.8,128,0,75.2,4.940877671621,4.9408767492493
229.2,128,0,75.6,4.9507741542339,4.9507732516857
229.6,128,0,76,4.9606706368468,4.9606697541221
230,128,0,76.4,4.9705671194597,4.9705662565585
230.4,128,0,76.8,4.9804636020726,4.9804627589949
230.8,128,0,77.2,4.9903600846855,4.9903592614313
231.2,128,0,77.6,5.0002565672984,5.0002557638676
231.6,128,0,78,5.0101530499113,5.010152266304
232,128,0,78.4,5.0200495325242,5.0200487687404
232.4,128,0,78.8,5.0299460151371,5.0299452711768
232.8,128,0,79.2,5.03984249775,5.0398417736132
233.2,128,0,79.6,5.049738980363,5.0497382760496
233.6,128,0,80,5.0375914309339,5.03759074103
234,128,0,80.4,5.0216492274134,5.021648550987
234.4,128,0,80.8,5.005707023893,5.0057063609441
234.8,128,0,81.2,4.9771532921755,4.9771526418409
235.2,128,0,81.6,4.9407010935584,4.9407004552975
235.6,128,0,82,4.9042488949413,4.9042482687541
236,128,0,82.4,4.8677966963241,4.8677960822106
236.4,128,0,82.8,4.831344497707,4.8313438956672
236.8,128,0,83.2,4.7948922990899,4.7948917091238
237.2,128,0,83.6,4.7584401004728,4.7584395225804
237.6,128,0,84,4.7219879018556,4.7219873360369
238,128,0,84.4,4.6855357032385,4.6855351494935
238.4,128,0,84.8,4.6490835046214,4.6490829629501
238.8,128,0,85.2,4.6126313060042,4.6126307764066
239.2,128,0,85.6,4.5761791073871,4.5761785898632
239.6,128,0,86,4.53972690877,4.5397264033198
240,128,0,86.4,4.5032747101529,4.5032742167764
240.4,128,0,86.8,4.4668225115358,4.4668220302329
240.8,128,0,87.2,4.4974787843144,4.4974782934178
241.2,128,0,87.6,4.5892516122356,4.5892510920121
241.6,128,0,88,4.6810244401567,4.6810238906065
242,128,0,88.4,4.7727972680779,4.7727966892009
242.4,128,0,88.8,4.864570095999,4.8645694877953
242.8,128,0,89.2,4.9563429239202,4.9563422863897
243.2,128,0,89.6,5.0481157518413,5.0481150849841
243.6,128,0,90,5.1398885797625,5.1398878835785
244,128,0,90.4,5.2316614076836,5.2316606821729
244.4,128,0,90.8,5.3234342356048,5.3234334807673
244.8,128,0,91.2,5.4152070635259,5.4152062793617
245.2,128,0,91.6,5.5069798914471,5.5069790779561
245.6,128,0,92,5.5987527193682,5.5987518765505
246,128,0,92.4,5.6919465284298,5.6919456529421
246.4,128,0,92.8,5.7924432190479,5.7924422937086
246.8,128,0,93.2,5.892939909666,5.8929389344751
247.2,128,0,93.6,5.9934366002841,5.9934355752416
247.6,128,0,94,6.0939332909022,6.0939322160081
248,128,0,94.4,6.1944299815204,6.1944288567746
248.4,128,0,94.8,6.2949266721385,6.2949254975411
248.8,128,0,95.2,6.037972126482,6.0379709944756
249.2,128,0,95.6,5.7025292305664,5.7025281614492
249.6,128,0,96,5.3670863346506,5.3670853284227
250,128,0,96.4,5.031643438735,5.0316424953963
250.4,128,0,96.8,4.6962005428193,4.6961996623698
250.8,128,0,97.2,4.3607576469036,4.3607568293434
251.2,128,0,97.6,4.025314750988,4.025313996317
251.6,128,0,98,3.6898718550723,3.6898711632906
252,128,0,98.4,3.3544289591566,3.3544283302641
252.4,128,0,98.8,3.0189860632409,3.0189854972377
252.8,128,0,99.2,2.6835431673253,2.6835426642114
253.2,128,0,99.6,2.3481002714096,2.3480998311849
253.6,128,0,100,2.012657375494,2.0126569981585
254,128,0,100.4,1.6772144795783,1.6772141651321
254.4,128,0,100.8,1.3417715836626,1.3417713321056
254.8,128,0,101.2,1.006328687747,1.0063284990792
255.2,128,0,101.6,0.67088579183132,0.67088566605283
255.6,128,0,102,0.33544289591567,0.33544283302642
256,128,0,102.4,-2.4578390560916e-14,-2.4578385986343e-14
