x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,1.0692510492868,1.0692508848697
154.4,128,0,0.80000000000001,2.1385020985736,2.1385017697395
154.8,128,0,1.2,3.2077531478602,3.207752654609
155.2,128,0,1.6,4.2770041971469,4.2770035394787
155.6,128,0,2,5.3462552464336,5.3462544243483
156,128,0,2.4,6.4155062957203,6.4155053092179
156.4,128,0,2.8,6.8959656905375,6.895964650407
156.8,128,0,3.2,6.7033026687182,6.7033016814282
157.2,128,0,3.6,6.57697626342,6.5769752887713
157.6,128,0,4,6.4506498581218,6.4506488961144
158,128,0,4.4,6.3243234528236,6.3243225034575
158.4,128,0,4.8,6.262272079198,6.2622711498429
158.8,128,0,5.2,6.2632032852352,6.2632023831125
159.2,128,0,5.6,6.2641344912724,6.2641336163821
159.6,128,0,6,6.28393825447,6.2839373971832
160,128,0,6.4,6.3102490582082,6.3102482152047
160.4,128,0,6.8,6.3365598619463,6.3365590332263
160.8,128,0,7.2,6.3628706656845,6.3628698512478
161.2,128,0,7.6,6.3594852986798,6.3594844847428
161.6,128,0,8,6.3431214225982,6.3431206031369
162,128,0,8.4,6.3267575465167,6.3267567215311
162.4,128,0,8.8,6.3213641870941,6.3213633356664
162.8,128,0,9.2,6.3185895682492,6.3185886853862
163.2,128,0,9.6,6.3158149494043,6.315814035106
163.6,128,0,10,6.3130403305594,6.3130393848258
164,128,0,10.4,6.3102657117145,6.3102647345455
164.4,128,0,10.8,6.3088014206169,6.308800417682
164.8,128,0,11.2,6.3126426513041,6.3126416455586
165.2,128,0,11.6,6.3164838819914,6.3164828734352
165.6,128,0,12,6.3198620800494,6.3198610744187
166,128,0,12.4,6.3200326063546,6.3200316433869
166.4,128,0,12.8,6.3202031326598,6.3202022123551
166.8,128,0,13.2,6.320373658965,6.3203727813233
167.2,128,0,13.6,6.3204127999266,6.3204119492954
167.6,128,0,14,6.3201307730482,6.3201299111656
168,128,0,14.4,6.3198487461698,6.3198478730358
168.4,128,0,14.8,6.3195667192913,6.319565834906
168.8,128,0,15.2,6.3192478747896,6.3192469812492
169.2,128,0,15.6,6.3185956084271,6.3185947247169
169.6,128,0,16,6.3179433420646,6.3179424681845
170,128,0,16.4,6.3172910757022,6.3172902116521
170.4,128,0,16.8,6.3166388093397,6.3166379551198
170.8,128,0,17.2,6.3166061622066,6.3166052984261
171.2,128,0,17.6,6.3167002324761,6.3166993551696
171.6,128,0,18,6.3167943027457,6.316793411913
172,128,0,18.4,6.3168883730153,6.3168874686564
172.4,128,0,18.8,6.3169824432848,6.3169815253999
172.8,128,0,19.2,6.3170765135544,6.3170755821433
173.2,128,0,19.6,6.3171705275533,6.3171695828548
173.6,128,0,20,6.317257290223,6.3172563629987
174,128,0,20.4,6.3173440528926,6.3173431431426
174.4,128,0,20.8,6.3174308155623,6.3174299232865
174.8,128,0,21.2,6.3174635913882,6.3174626814371
175.2,128,0,21.6,6.3174520067384,6.3174510585622
175.6,128,0,22,6.3174295198006,6.3174286265562
176,128,0,22.4,6.3174070328629,6.3174061945501
176.4,128,0,22.8,6.3173845459252,6.3173837625441
176.8,128,0,23.2,6.3173603752602,6.3173596397059
177.2,128,0,23.6,6.3173319922378,6.3173312867348
177.6,128,0,24,6.3173036092155,6.3173029337637
178,128,0,24.4,6.3172752261931,6.3172745807927
178.4,128,0,24.8,6.3172468431707,6.3172462278216
178.8,128,0,25.2,6.3172420567555,6.3172414315481
179.2,128,0,25.6,6.3172460139982,6.3172453641442
179.6,128,0,26,6.3172499712409,6.3172492967402
180,128,0,26.4,6.3172539284836,6.3172532293363
180.4,128,0,26.8,6.3172578857263,6.3172571619324
180.8,128,0,27.2,6.317261842969,6.3172610945284
181.2,128,0,27.6,6.3172655478436,6.3172647696867
181.6,128,0,28,6.3172689157709,6.3172681011289
182,128,0,28.4,6.3172722836982,6.3172714325711
182.4,128,0,28.8,6.31727542872,6.3172745433507
182.8,128,0,29.2,6.3172745235325,6.3172736446752
183.2,128,0,29.6,6.3172736555202,6.3172727807381
183.6,128,0,30,6.3172728266724,6.3172719533983
184,128,0,30.4,6.3172719978247,6.3172711260586
184.4,128,0,30.8,6.3172711689769,6.3172702987188
184.8,128,0,31.2,6.3172703401291,6.317269471379
185.2,128,0,31.6,6.3172695112813,6.3172686440393
185.6,128,0,32,6.3172686824336,6.3172678166995
186,128,0,32.4,6.3172678535858,6.3172669893598
186.4,128,0,32.8,6.317267024738,6.31726616202
186.8,128,0,33.2,6.3172661958902,6.3172653346802
187.2,128,0,33.6,6.3172653670425,6.3172645073405
187.6,128,0,34,6.3172649852428,6.3172641299924
188,128,0,34.4,6.3172652263064,6.3172643796091
188.4,128,0,34.8,6.31726546737,6.3172646292257
188.8,128,0,35.2,6.3172657084336,6.3172648788424
189.2,128,0,35.6,6.3172659494972,6.3172651284591
189.6,128,0,36,6.3172661905608,6.3172653780757
190,128,0,36.4,6.3172664316244,6.3172656276924
190.4,128,0,36.8,6.3172666726881,6.317265877309
190.8,128,0,37.2,6.3172669137517,6.3172661269257
191.2,128,0,37.6,6.3172671094476,6.317266327684
191.6,128,0,38,6.3172672900276,6.3172665121635
192,128,0,38.4,6.3172674706076,6.3172666966429
192.4,128,0,38.8,6.3172676511876,6.3172668811224
192.8,128,0,39.2,6.317267734426,6.3172669674201
193.2,128,0,39.6,6.3172676913823,6.3172669263458
193.6,128,0,40,6.3172676483386,6.3172668852715
194,128,0,40.4,6.3172676052949,6.3172668441972
194.4,128,0,40.8,6.3172675622512,6.3172668031229
194.8,128,0,41.2,6.3172675192075,6.3172667620486
195.2,128,0,41.6,6.3172674744518,6.3172667154147
195.6,128,0,42,6.3172674256927,6.3172666557803
196,128,0,42.4,6.3172673769336,6.3172665961459
196.4,128,0,42.8,6.3172673281745,6.3172665365114
196.8,128,0,43.2,6.3172672794154,6.317266476877
197.2,128,0,43.6,6.3172672306563,6.3172664172426
197.6,128,0,44,6.3172671818972,6.3172663576081
198,128,0,44.4,6.3172671331381,6.3172662979737
198.4,128,0,44.8,6.317267084379,6.3172662383393
198.8,128,0,45.2,6.3172670899256,6.3172662496055
199.2,128,0,45.6,6.3172670981349,6.3172662643478
199.6,128,0,46,6.3172671063441,6.3172662790901
200,128,0,46.4,6.3172671145533,6.3172662938325
200.4,128,0,46.8,6.317267122676,6.3172663012124
200.8,128,0,47.2,6.3172671307554,6.317266304899
201.2,128,0,47.6,6.3172671388348,6.3172663085855
201.6,128,0,48,6.3172671469142,6.3172663122721
202,128,0,48.4,6.3172671549935,6.3172663159586
202.4,128,0,48.8,6.3172671630729,6.3172663196452
202.8,128,0,49.2,6.3172671711523,6.3172663233318
203.2,128,0,49.6,6.3172671792317,6.3172663270183
203.6,128,0,50,6.317267187311,6.3172663307049
204,128,0,50.4,6.3172671953904,6.3172663343914
204.4,128,0,50.8,6.3172672034698,6.317266338078
204.8,128,0,51.2,6.3172672115492,6.3172663417645
205.2,128,0,51.6,6.3172672196285,6.3172663454511
205.6,128,0,52,6.3172672231365,6.3172663463456
206,128,0,52.4,6.3172672206422,6.3172663435742
206.4,128,0,52.8,6.3172672181479,6.3172663408027
206.8,128,0,53.2,6.3172672156536,6.3172663380313
207.2,128,0,53.6,6.3172672131593,6.3172663352599
