x,y,z,id,xi,xv
153.6,128,0,0,1.1270695627587e-53,1.1270695627587e-53
154,128,0,0.40000000000001,8.8364378275628e-07,9.0889473752722e-07
154.4,128,0,0.80000000000001,1.7672875655126e-06,1.8177894750545e-06
154.8,128,0,1.2,2.6509313482688e-06,2.7266842125816e-06
155.2,128,0,1.6,3.534575131025e-06,3.6355789501087e-06
155.6,128,0,2,4.4182189137812e-06,4.5444736876359e-06
156,128,0,2.4,5.3018626965374e-06,5.4533684251631e-06
156.4,128,0,2.8,5.6984560589925e-06,5.8612948075549e-06
156.8,128,0,3.2,5.5385374505714e-06,5.6968063588487e-06
157.2,128,0,3.6,5.433900654508e-06,5.5891794608312e-06
157.6,128,0,4,5.3292638584447e-06,5.4815525628136e-06
158,128,0,4.4,5.2246270623813e-06,5.373925664796e-06
158.4,128,0,4.8,5.1732071991776e-06,5.3210364397942e-06
158.8,128,0,5.2,5.1739341747387e-06,5.3217842144416e-06
159.2,128,0,5.6,5.1746611502999e-06,5.3225319890889e-06
159.6,128,0,6,5.1910788112244e-06,5.33941882166e-06
160,128,0,6.4,5.2129064399079e-06,5.3618702156893e-06
160.4,128,0,6.8,5.2347340685914e-06,5.3843216097186e-06
160.8,128,0,7.2,5.2565616972748e-06,5.406773003748e-06
161.2,128,0,7.6,5.2537567287231e-06,5.4038878645204e-06
161.6,128,0,8,5.2401862513936e-06,5.3899295660732e-06
162,128,0,8.4,5.226615774064e-06,5.3759712676261e-06
162.4,128,0,8.8,5.2221414170773e-06,5.3713690453502e-06
162.8,128,0,9.2,5.2198383688979e-06,5.369000185192e-06
163.2,128,0,9.6,5.2175353207184e-06,5.3666313250338e-06
163.6,128,0,10,5.215232272539e-06,5.3642624648756e-06
164,128,0,10.4,5.2129292243595e-06,5.3618936047173e-06
164.4,128,0,10.8,5.2117137301305e-06,5.3606433834687e-06
164.8,128,0,11.2,5.2149017457774e-06,5.363922535208e-06
165.2,128,0,11.6,5.2180897614243e-06,5.3672016869474e-06
165.6,128,0,12,5.2208934543805e-06,5.3700855270761e-06
166,128,0,12.4,5.2210347409295e-06,5.3702308347405e-06
166.4,128,0,12.8,5.2211760274785e-06,5.3703761424049e-06
166.8,128,0,13.2,5.2213173140275e-06,5.3705214500693e-06
167.2,128,0,13.6,5.2213500062613e-06,5.3705550746964e-06
167.6,128,0,14,5.2211172426937e-06,5.3703156932264e-06
168,128,0,14.4,5.2208844791261e-06,5.3700763117563e-06
168.4,128,0,14.8,5.2206517155585e-06,5.3698369302863e-06
168.8,128,0,15.2,5.220388283172e-06,5.3695660003818e-06
169.2,128,0,15.6,5.219847112741e-06,5.3690093666004e-06
169.6,128,0,16,5.2193059423101e-06,5.3684527328189e-06
170,128,0,16.4,5.2187647718791e-06,5.3678960990375e-06
170.4,128,0,16.8,5.2182236014482e-06,5.3673394652561e-06
170.8,128,0,17.2,5.2181964725246e-06,5.3673115600477e-06
171.2,128,0,17.6,5.2182744694616e-06,5.3673917843296e-06
171.6,128,0,18,5.2183524663985e-06,5.3674720086116e-06
172,128,0,18.4,5.2184304633354e-06,5.3675522328935e-06
172.4,128,0,18.8,5.2185084602723e-06,5.3676324571755e-06
172.8,128,0,19.2,5.2185864572092e-06,5.3677126814574e-06
