x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,1.6932137241727e-05,0.0010050337123492
154.4,128,0,0.80000000000001,3.3864274483456e-05,0.0020100674246986
154.8,128,0,1.2,5.079641172518e-05,0.0030151011370476
155.2,128,0,1.6,6.7728548966905e-05,0.0040201348493968
155.6,128,0,2,8.4660686208631e-05,0.005025168561746
156,128,0,2.4,0.00010159282345036,0.0060302022740952
156.4,128,0,2.8,0.00010919224247405,0.0064812777759559
156.8,128,0,3.2,0.00010612793743061,0.0062993911162298
157.2,128,0,3.6,0.00010412292106682,0.0061803802075946
157.6,128,0,4,0.00010211790470303,0.0060613692989595
158,128,0,4.4,0.00010011288833924,0.0059423583903243
158.4,128,0,4.8,9.9127588423401e-05,0.0058838743595302
158.8,128,0,5.2,9.914150034372e-05,0.0058847001230086
159.2,128,0,5.6,9.9155412264039e-05,0.0058855258864871
159.6,128,0,6,9.9469987337188e-05,0.0059041979885925
160,128,0,6.4,9.9888227605672e-05,0.0059290233028969
160.4,128,0,6.8,0.00010030646787416,0.0059538486172014
160.8,128,0,7.2,0.00010072470814264,0.0059786739315058
161.2,128,0,7.6,0.0001006709717575,0.0059754843240959
161.6,128,0,8,0.0001004109611919,0.0059600509860413
162,128,0,8.4,0.0001001509506263,0.0059446176479867
162.4,128,0,8.8,0.00010006521881748,0.0059395289007283
162.8,128,0,9.2,0.00010002108859102,0.0059369094810794
163.2,128,0,9.6,9.9976958364552e-05,0.0059342900614305
163.6,128,0,10,9.9932828138088e-05,0.0059316706417816
164,128,0,10.4,9.9888697911624e-05,0.0059290512221327
164.4,128,0,10.8,9.9865401962998e-05,0.0059276684540456
164.8,128,0,11.2,9.9926464080641e-05,0.0059312928926017
165.2,128,0,11.6,9.9987526198284e-05,0.0059349173311579
165.6,128,0,12,0.00010004122877196,0.005938104931852
166,128,0,12.4,0.00010004394789483,0.0059382663257902
166.4,128,0,12.8,0.00010004666701769,0.0059384277197284
166.8,128,0,13.2,0.00010004938614055,0.0059385891136666
167.2,128,0,13.6,0.00010005001392008,0.005938626375043
167.6,128,0,14,0.00010004552946865,0.0059383601978038
168,128,0,14.4,0.00010004104501722,0.0059380940205646
168.4,128,0,14.8,0.00010003656056579,0.0059378278433254
168.8,128,0,15.2,0.00010003149077786,0.005937526922112
169.2,128,0,15.6,0.00010002112015929,0.005936911358086
169.6,128,0,16,0.00010001074954072,0.00593629579406
170,128,0,16.4,0.00010000037892215,0.0059356802300341
170.4,128,0,16.8,9.9990008303583e-05,0.0059350646660081
170.8,128,0,17.2,9.9989489278064e-05,0.005935033858339
171.2,128,0,17.6,9.9990984987119e-05,0.0059351226383185
171.6,128,0,18,9.9992480696173e-05,0.0059352114182981
172,128,0,18.4,9.9993976405228e-05,0.0059353001982777
172.4,128,0,18.8,9.9995472114282e-05,0.0059353889782572
172.8,128,0,19.2,9.9996967823336e-05,0.0059354777582368
173.2,128,0,19.6,9.9998462637658e-05,0.0059355664851004
173.6,128,0,20,9.9999842151936e-05,0.0059356483671675
174,128,0,20.4,0.00010000122166621,0.0059357302492345
174.4,128,0,20.8,0.00010000260118049,0.0059358121313016
174.8,128,0,21.2,0.00010000312230382,0.0059358430615555
175.2,128,0,21.6,0.0001000029380993,0.0059358321251873
175.6,128,0,22,0.00010000258059427,0.0059358108994109
176,128,0,22.4,0.00010000222308925,0.0059357896736345
176.4,128,0,22.8,0.00010000186558422,0.0059357684478581
176.8,128,0,23.2,0.00010000148130318,0.0059357456332022
177.2,128,0,23.6,0.00010000103003376,0.0059357188434791
177.6,128,0,24,0.00010000057876434,0.005935692053756
178,128,0,24.4,0.00010000012749492,0.0059356652640329
178.4,128,0,24.8,9.9999676225498e-05,0.0059356384743098
178.8,128,0,25.2,9.9999600115784e-05,0.0059356339593956
179.2,128,0,25.6,9.9999663020468e-05,0.0059356376983506
179.6,128,0,26,9.9999725925153e-05,0.0059356414373056
180,128,0,26.4,9.9999788829837e-05,0.0059356451762606
180.4,128,0,26.8,9.9999851734521e-05,0.0059356489152156
180.8,128,0,27.2,9.9999914639206e-05,0.0059356526541706
181.2,128,0,27.6,9.9999973527491e-05,0.0059356561549952
181.6,128,0,28,0.00010000002705331,0.0059356593378819
182,128,0,28.4,0.00010000008057913,0.0059356625207685
182.4,128,0,28.8,0.00010000013056208,0.0059356654929859
182.8,128,0,29.2,0.00010000011617071,0.0059356646373251
183.2,128,0,29.6,0.00010000010237062,0.0059356638165454
183.6,128,0,30,0.00010000008919347,0.0059356630325132
184,128,0,30.4,0.00010000007601632,0.0059356622484811
184.4,128,0,30.8,0.00010000006283916,0.0059356614644489
184.8,128,0,31.2,0.00010000004966201,0.0059356606804167
185.2,128,0,31.6,0.00010000003648485,0.0059356598963845
185.6,128,0,32,0.0001000000233077,0.0059356591123523
186,128,0,32.4,0.00010000001013055,0.0059356583283201
186.4,128,0,32.8,9.9999996953391e-05,0.0059356575442879
186.8,128,0,33.2,9.9999983776237e-05,0.0059356567602557
187.2,128,0,33.6,9.9999970599083e-05,0.0059356559762235
187.6,128,0,34,9.9999964533191e-05,0.005935655614827
188,128,0,34.4,9.9999968375281e-05,0.0059356558422804
188.4,128,0,34.8,9.9999972217371e-05,0.0059356560697338
188.8,128,0,35.2,9.9999976059461e-05,0.0059356562971872
189.2,128,0,35.6,9.9999979901551e-05,0.0059356565246406
189.6,128,0,36,9.9999983743642e-05,0.005935656752094
190,128,0,36.4,9.9999987585732e-05,0.0059356569795474
190.4,128,0,36.8,9.9999991427822e-05,0.0059356572070008
190.8,128,0,37.2,9.9999995269912e-05,0.0059356574344542
191.2,128,0,37.6,9.9999998385283e-05,0.00593565761915
191.6,128,0,38,0.00010000000125852,0.0059356577895996
192,128,0,38.4,0.00010000000413176,0.0059356579600491
