x,y,z,id,xi,xv
0,128,0,0,5.8386891760178e-05,8.7403918604724e-05
1,128,0,1,5.8386891018215e-05,8.7403916889758e-05
2,128,0,2,5.8386890276251e-05,8.7403915174793e-05
3,128,0,3,5.8386889534287e-05,8.7403913459828e-05
4,128,0,4,5.8386888792324e-05,8.7403911744863e-05
5,128,0,5,5.8386890308777e-05,8.7403915403649e-05
6,128,0,6,5.838689182523e-05,8.7403919062435e-05
7,128,0,7,5.8386893341683e-05,8.740392272122e-05
8,128,0,8,5.8386894858136e-05,8.7403926380006e-05
9,128,0,9,5.8386893822579e-05,8.7403923860791e-05
10,128,0,10,5.8386892787023e-05,8.7403921341575e-05
11,128,0,11,5.8386891751466e-05,8.7403918822359e-05
12,128,0,12,5.838689071591e-05,8.7403916303143e-05
13,128,0,13,5.838689157852e-05,8.7403918383064e-05
14,128,0,14,5.838689244113e-05,8.7403920462984e-05
15,128,0,15,5.838689330374e-05,8.7403922542904e-05
16,128,0,16,5.8386894166351e-05,8.7403924622825e-05
17,128,0,17,5.8386894007734e-05,8.7403924239622e-05
18,128,0,18,5.8386893849117e-05,8.740392385642e-05
19,128,0,19,5.83868936905e-05,8.7403923473218e-05
20,128,0,20,5.8386893531884e-05,8.7403923090015e-05
21,128,0,21,5.8386894354342e-05,8.7403925065362e-05
22,128,0,22,5.83868951768e-05,8.7403927040709e-05
23,128,0,23,5.8386895999258e-05,8.7403929016056e-05
24,128,0,24,5.8386896821717e-05,8.7403930991403e-05
25,128,0,25,5.8386895343671e-05,8.7403927442456e-05
26,128,0,26,5.8386893865624e-05,8.7403923893508e-05
27,128,0,27,5.8386892387578e-05,8.7403920344561e-05
28,128,0,28,5.8386890909532e-05,8.7403916795614e-05
29,128,0,29,5.8386890888051e-05,8.7403916744086e-05
30,128,0,30,5.838689086657e-05,8.7403916692557e-05
31,128,0,31,5.8386890845089e-05,8.7403916641029e-05
32,128,0,32,5.8386890823608e-05,8.7403916589501e-05
33,128,0,33,5.8386890953368e-05,8.7403916901039e-05
34,128,0,34,5.8386891083128e-05,8.7403917212578e-05
35,128,0,35,5.8386891212888e-05,8.7403917524116e-05
36,128,0,36,5.8386891342648e-05,8.7403917835654e-05
37,128,0,37,5.838689258659e-05,8.7403920822349e-05
38,128,0,38,5.8386893830533e-05,8.7403923809044e-05
39,128,0,39,5.8386895074476e-05,8.7403926795739e-05
40,128,0,40,5.8386896318418e-05,8.7403929782434e-05
41,128,0,41,5.8386896244612e-05,8.7403929605227e-05
42,128,0,42,5.8386896170805e-05,8.7403929428021e-05
43,128,0,43,5.8386896096998e-05,8.7403929250814e-05
44,128,0,44,5.8386896023192e-05,8.7403929073607e-05
45,128,0,45,5.8386896057023e-05,8.7403929154823e-05
46,128,0,46,5.8386896090853e-05,8.7403929236038e-05
47,128,0,47,5.8386896124684e-05,8.7403929317254e-05
48,128,0,48,5.8386896158515e-05,8.7403929398469e-05
49,128,0,49,5.8386894517163e-05,8.7403925456688e-05
50,128,0,50,5.8386892875811e-05,8.7403921514907e-05
51,128,0,51,5.8386891234459e-05,8.7403917573127e-05
52,128,0,52,5.8386889593107e-05,8.7403913631346e-05
53,128,0,53,5.8386891291367e-05,8.7403917708943e-05
54,128,0,54,5.8386892989627e-05,8.7403921786541e-05
55,128,0,55,5.8386894687887e-05,8.7403925864138e-05
56,128,0,56,5.8386896386147e-05,8.7403929941736e-05
57,128,0,57,5.8386895874707e-05,8.7403928714712e-05
58,128,0,58,5.8386895363267e-05,8.7403927487689e-05
59,128,0,59,5.8386894851827e-05,8.7403926260666e-05
60,128,0,60,5.8386894340386e-05,8.7403925033643e-05
61,128,0,61,5.8386894789622e-05,8.7403926111622e-05
62,128,0,62,5.8386895238858e-05,8.74039271896e-05
63,128,0,63,5.8386895688094e-05,8.7403928267579e-05
64,128,0,64,5.838689613733e-05,8.7403929345557e-05
65,128,0,65,5.8386896062285e-05,8.7403929165694e-05
66,128,0,66,5.8386895987241e-05,8.740392898583e-05
67,128,0,67,5.8386895912196e-05,8.7403928805967e-05
68,128,0,68,5.8386895837151e-05,8.7403928626103e-05
69,128,0,69,5.838689472035e-05,8.7403925944789e-05
70,128,0,70,5.8386893603548e-05,8.7403923263474e-05
71,128,0,71,5.8386892486747e-05,8.740392058216e-05
72,128,0,72,5.8386891369945e-05,8.7403917900845e-05
73,128,0,73,5.8386892480447e-05,8.7403920566935e-05
74,128,0,74,5.838689359095e-05,8.7403923233025e-05
75,128,0,75,5.8386894701453e-05,8.7403925899114e-05
76,128,0,76,5.8386895811955e-05,8.7403928565204e-05
77,128,0,77,5.8386895975338e-05,8.7403928957594e-05
