x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,3.6272519391878,3.6272513941079
154.4,128,0,0.80000000000001,7.2545038783759,7.2545027882161
154.8,128,0,1.2,10.881755817563,10.881754182323
155.2,128,0,1.6,14.509007756751,14.509005576431
155.6,128,0,2,18.136259695938,18.136256970539
156,128,0,2.4,21.763511635126,21.763508364646
156.4,128,0,2.8,23.415942810562,23.415939438774
156.8,128,0,3.2,22.796378954376,22.79637589234
157.2,128,0,3.6,22.379640054525,22.37963712007
157.6,128,0,4,21.962901154674,21.962898347801
158,128,0,4.4,21.546162254823,21.546159575532
158.4,128,0,4.8,21.342597179339,21.342594645515
158.8,128,0,5.2,21.347919396879,21.34791702605
159.2,128,0,5.6,21.35324161442,21.353239406584
159.6,128,0,6,21.417897100277,21.41789477068
160,128,0,6.4,21.503010014296,21.503007464756
160.4,128,0,6.8,21.588122928315,21.588120158833
160.8,128,0,7.2,21.673235842334,21.673232852909
161.2,128,0,7.6,21.662084312136,21.662081232373
161.6,128,0,8,21.608861062529,21.608857949069
162,128,0,8.4,21.555637812921,21.555634665765
162.4,128,0,8.8,21.538184293442,21.538181238806
162.8,128,0,9.2,21.529269263685,21.529266331699
163.2,128,0,9.6,21.520354233929,21.520351424591
163.6,128,0,10,21.511439204172,21.511436517483
164,128,0,10.4,21.502524174415,21.502521610376
164.4,128,0,10.8,21.497835460682,21.497832988053
164.8,128,0,11.2,21.510259115804,21.5102566081
165.2,128,0,11.6,21.522682770926,21.522680228146
165.6,128,0,12,21.533606207071,21.533603608179
166,128,0,12.4,21.534136833441,21.534134032703
166.4,128,0,12.8,21.534667459812,21.534664457228
166.8,128,0,13.2,21.535198086182,21.535194881752
167.2,128,0,13.6,21.535310712018,21.535307403687
167.6,128,0,14,21.534401547105,21.534398374298
168,128,0,14.4,21.533492382193,21.533489344909
168.4,128,0,14.8,21.53258321728,21.532580315519
168.8,128,0,15.2,21.531555141283,21.531552356587
169.2,128,0,15.6,21.529450201773,21.529447366981
169.6,128,0,16,21.527345262263,21.527342377375
170,128,0,16.4,21.525240322753,21.52523738777
170.4,128,0,16.8,21.523135383243,21.523132398164
170.8,128,0,17.2,21.523029872306,21.523027002887
171.2,128,0,17.6,21.523333261519,21.523330541657
171.6,128,0,18,21.523636650733,21.523634080427
172,128,0,18.4,21.523940039946,21.523937619198
172.4,128,0,18.8,21.524243429159,21.524241157968
172.8,128,0,19.2,21.524546818372,21.524544696738
173.2,128,0,19.6,21.524850026672,21.52484805352
173.6,128,0,20,21.52512992163,21.525127958313
174,128,0,20.4,21.525409816588,21.525407863105
174.4,128,0,20.8,21.525689711546,21.525687767897
174.8,128,0,21.2,21.525795441502,21.52579352254
175.2,128,0,21.6,21.525758067306,21.525756155689
175.6,128,0,22,21.525685588692,21.525683331914
176,128,0,22.4,21.525613110077,21.525610508138
176.4,128,0,22.8,21.525540631462,21.525537684363
176.8,128,0,23.2,21.525462718222,21.525459459644
177.2,128,0,23.6,21.525371208608,21.525367722817
177.6,128,0,24,21.525279698993,21.52527598599
178,128,0,24.4,21.525188189379,21.525184249163
178.4,128,0,24.8,21.525096679765,21.525092512336
178.8,128,0,25.2,21.525081234976,21.525077111178
179.2,128,0,25.6,21.525093975799,21.525089995993
179.6,128,0,26,21.525106716622,21.525102880807
180,128,0,26.4,21.525119457445,21.525115765621
180.4,128,0,26.8,21.525132198268,21.525128650436
180.8,128,0,27.2,21.525144939091,21.52514153525
181.2,128,0,27.6,21.525156862699,21.525153631188
181.6,128,0,28,21.525167695207,21.525164673863
182,128,0,28.4,21.525178527716,21.525175716539
182.4,128,0,28.8,21.525188642458,21.525186032343
182.8,128,0,29.2,21.525185715324,21.525183140839
183.2,128,0,29.6,21.525182912752,21.525180352951
183.6,128,0,30,21.525180241408,21.525177674222
184,128,0,30.4,21.525177570063,21.525174995492
184.4,128,0,30.8,21.525174898719,21.525172316763
184.8,128,0,31.2,21.525172227375,21.525169638034
185.2,128,0,31.6,21.52516955603,21.525166959305
185.6,128,0,32,21.525166884686,21.525164280576
186,128,0,32.4,21.525164213341,21.525161601847
186.4,128,0,32.8,21.525161541997,21.525158923117
186.8,128,0,33.2,21.525158870653,21.525156244388
187.2,128,0,33.6,21.525156199308,21.525153565659
187.6,128,0,34,21.525154976759,21.525152290054
188,128,0,34.4,21.525155772788,21.525152969394
188.4,128,0,34.8,21.525156568817,21.525153648733
188.8,128,0,35.2,21.525157364846,21.525154328073
189.2,128,0,35.6,21.525158160874,21.525155007413
189.6,128,0,36,21.525158956903,21.525155686753
190,128,0,36.4,21.525159752932,21.525156366092
190.4,128,0,36.8,21.525160548961,21.525157045432
190.8,128,0,37.2,21.52516134499,21.525157724772
191.2,128,0,37.6,21.525161982913,21.525158317929
191.6,128,0,38,21.525162568157,21.525158882371
192,128,0,38.4,21.525163153402,21.525159446813
192.4,128,0,38.8,21.525163738646,21.525160011255
192.8,128,0,39.2,21.52516400708,21.525160278096
193.2,128,0,39.6,21.525163864514,21.525160158856
193.6,128,0,40,21.525163721948,21.525160039617
194,128,0,40.4,21.525163579382,21.525159920377
194.4,128,0,40.8,21.525163436816,21.525159801138
194.8,128,0,41.2,21.52516329425,21.525159681898
195.2,128,0,41.6,21.52516314257,21.52515957648
195.6,128,0,42,21.525162969579,21.525159503383
196,128,0,42.4,21.525162796588,21.525159430286
196.4,128,0,42.8,21.525162623597,21.525159357189
196.8,128,0,43.2,21.525162450606,21.525159284092
197.2,128,0,43.6,21.525162277615,21.525159210995
197.6,128,0,44,21.525162104624,21.525159137898
198,128,0,44.4,21.525161931633,21.525159064801
198.4,128,0,44.8,21.525161758642,21.525158991704
198.8,128,0,45.2,21.525161782319,21.525158978127
199.2,128,0,45.6,21.525161815637,21.525158967469
199.6,128,0,46,21.525161848956,21.52515895681
200,128,0,46.4,21.525161882274,21.525158946152
200.4,128,0,46.8,21.525161908976,21.5251589696
200.8,128,0,47.2,21.525161932359,21.525159010158
201.2,128,0,47.6,21.525161955742,21.525159050717
201.6,128,0,48,21.525161979124,21.525159091275
202,128,0,48.4,21.525162002507,21.525159131833
202.4,128,0,48.8,21.52516202589,21.525159172392
202.8,128,0,49.2,21.525162049272,21.52515921295
203.2,128,0,49.6,21.525162072655,21.525159253508
203.6,128,0,50,21.525162096038,21.525159294067
204,128,0,50.4,21.52516211942,21.525159334625
