x,y,z,id,xi,xv
153.6,128,0,0,8.4352173687846e-75,8.4352173687846e-75
154,128,0,0.40000000000001,1.5993754121476e-06,1.6812661753452e-06
154.4,128,0,0.80000000000001,3.1987508242953e-06,3.3625323506906e-06
154.8,128,0,1.2,4.7981262364426e-06,5.0437985260356e-06
155.2,128,0,1.6,6.3975016485901e-06,6.7250647013807e-06
155.6,128,0,2,7.9968770607376e-06,8.4063308767259e-06
156,128,0,2.4,9.596252472885e-06,1.0087597052071e-05
156.4,128,0,2.8,1.0314077865869e-05,1.0842176317535e-05
156.8,128,0,3.2,1.0024629264634e-05,1.0537907422576e-05
157.2,128,0,3.6,9.8352392320129e-06,1.0338820282582e-05
157.6,128,0,4,9.6458491993917e-06,1.0139733142588e-05
158,128,0,4.4,9.4564591667704e-06,9.9406460025938e-06
158.4,128,0,4.8,9.3633900678211e-06,9.8428116240521e-06
158.8,128,0,5.2,9.3647050667138e-06,9.8441940011979e-06
159.2,128,0,5.6,9.3660200656065e-06,9.8455763783436e-06
159.6,128,0,6,9.3957349688127e-06,9.8768127767617e-06
160,128,0,6.4,9.4352418322255e-06,9.9183424981811e-06
160.4,128,0,6.8,9.4747486956383e-06,9.9598722196006e-06
160.8,128,0,7.2,9.5142555590511e-06,1.000140194102e-05
161.2,128,0,7.6,9.5091791477178e-06,9.9960655779456e-06
161.6,128,0,8,9.4846179199421e-06,9.9702467119834e-06
162,128,0,8.4,9.4600566921664e-06,9.9444278460212e-06
162.4,128,0,8.8,9.4519584107532e-06,9.9359149066144e-06
162.8,128,0,9.2,9.4477899520646e-06,9.931533015317e-06
163.2,128,0,9.6,9.4436214933761e-06,9.9271511240196e-06
163.6,128,0,10,9.4394530346876e-06,9.9227692327223e-06
164,128,0,10.4,9.435284575999e-06,9.9183873414249e-06
164.4,128,0,10.8,9.4330843365199e-06,9.9160744590902e-06
164.8,128,0,11.2,9.438853423734e-06,9.9221390015238e-06
165.2,128,0,11.6,9.4446225109481e-06,9.9282035439574e-06
165.6,128,0,12,9.4496961939209e-06,9.9335370637258e-06
166,128,0,12.4,9.4499524441669e-06,9.9338064031199e-06
166.4,128,0,12.8,9.4502086944129e-06,9.934075742514e-06
166.8,128,0,13.2,9.450464944659e-06,9.9343450819081e-06
167.2,128,0,13.6,9.4505241748127e-06,9.9344073412092e-06
167.6,128,0,14,9.4501017947979e-06,9.9339633989481e-06
168,128,0,14.4,9.4496794147832e-06,9.933519456687e-06
168.4,128,0,14.8,9.4492570347684e-06,9.9330755144259e-06
168.8,128,0,15.2,9.4487792490639e-06,9.9325733234232e-06
169.2,128,0,15.6,9.4477997072303e-06,9.9315436295009e-06
169.6,128,0,16,9.4468201653968e-06,9.9305139355787e-06
170,128,0,16.4,9.4458406235632e-06,9.9294842416564e-06
170.4,128,0,16.8,9.4448610817297e-06,9.9284545477341e-06
170.8,128,0,17.2,9.444812012973e-06,9.9284029645624e-06
171.2,128,0,17.6,9.4449532338749e-06,9.9285514133587e-06
171.6,128,0,18,9.4450944547768e-06,9.928699862155e-06
172,128,0,18.4,9.4452356756786e-06,9.9288483109513e-06
172.4,128,0,18.8,9.4453768965805e-06,9.9289967597475e-06
172.8,128,0,19.2,9.4455181174823e-06,9.9291452085438e-06
173.2,128,0,19.6,9.4456592469583e-06,9.9292935608623e-06
173.6,128,0,20,9.4457885948106e-06,9.9294294805388e-06
174,128,0,20.4,9.4459179426629e-06,9.9295654002154e-06
174.4,128,0,20.8,9.4460472905152e-06,9.9297013198919e-06
174.8,128,0,21.2,9.4460967855033e-06,9.9297533643796e-06
175.2,128,0,21.6,9.4460805229815e-06,9.9297363312206e-06
175.6,128,0,22,9.446046412076e-06,9.9297004565456e-06
176,128,0,22.4,9.4460123011705e-06,9.9296645818706e-06
176.4,128,0,22.8,9.4459781902651e-06,9.9296287071956e-06
176.8,128,0,23.2,9.4459414167616e-06,9.9295900258431e-06
177.2,128,0,23.6,9.4458979819567e-06,9.9295443227303e-06
177.6,128,0,24,9.4458545471518e-06,9.9294986196175e-06
178,128,0,24.4,9.445811112347e-06,9.9294529165047e-06
178.4,128,0,24.8,9.4457676775421e-06,9.9294072133919e-06
178.8,128,0,25.2,9.4457605248968e-06,9.9293997010811e-06
179.2,128,0,25.6,9.4457668165061e-06,9.9294063402671e-06
179.6,128,0,26,9.4457731081154e-06,9.9294129794531e-06
180,128,0,26.4,9.4457793997247e-06,9.929419618639e-06
180.4,128,0,26.8,9.445785691334e-06,9.929426257825e-06
180.8,128,0,27.2,9.4457919829433e-06,9.929432897011e-06
181.2,128,0,27.6,9.4457978299288e-06,9.9294390635019e-06
181.6,128,0,28,9.4458030832786e-06,9.9294445988779e-06
182,128,0,28.4,9.4458083366283e-06,9.9294501342539e-06
182.4,128,0,28.8,9.4458131758436e-06,9.9294552312866e-06
182.8,128,0,29.2,9.4458104902048e-06,9.929452363588e-06
183.2,128,0,29.6,9.4458086715482e-06,9.9294504173808e-06
183.6,128,0,30,9.4458077662642e-06,9.9294494419719e-06
184,128,0,30.4,9.4458068609803e-06,9.9294484665631e-06
184.4,128,0,30.8,9.4458059556964e-06,9.9294474911543e-06
184.8,128,0,31.2,9.4458050504124e-06,9.9294465157454e-06
185.2,128,0,31.6,9.4458041451285e-06,9.9294455403366e-06
185.6,128,0,32,9.4458032398445e-06,9.9294445649278e-06
186,128,0,32.4,9.4458023345606e-06,9.929443589519e-06
186.4,128,0,32.8,9.4458014292766e-06,9.9294426141101e-06
186.8,128,0,33.2,9.4458005239927e-06,9.9294416387013e-06
187.2,128,0,33.6,9.4457996187088e-06,9.9294406632925e-06
187.6,128,0,34,9.4457993523655e-06,9.9294403694954e-06
188,128,0,34.4,9.4457999762459e-06,9.9294410253747e-06
188.4,128,0,34.8,9.4458006001263e-06,9.929441681254e-06
188.8,128,0,35.2,9.4458012240067e-06,9.9294423371333e-06
189.2,128,0,35.6,9.4458018478871e-06,9.9294429930126e-06
189.6,128,0,36,9.4458024717675e-06,9.9294436488919e-06
190,128,0,36.4,9.4458030956479e-06,9.9294443047712e-06
190.4,128,0,36.8,9.4458037195283e-06,9.9294449606505e-06
190.8,128,0,37.2,9.4458043434087e-06,9.9294456165298e-06
191.2,128,0,37.6,9.4458003281056e-06,9.9294413993393e-06
191.6,128,0,38,9.445794767091e-06,9.9294355585098e-06
192,128,0,38.4,9.4457892060765e-06,9.9294297176802e-06
192.4,128,0,38.8,9.4457836450619e-06,9.9294238768507e-06
192.8,128,0,39.2,9.4457862924276e-06,9.929426670123e-06
193.2,128,0,39.6,9.4457995885931e-06,9.929440664487e-06
193.6,128,0,40,9.4458128847585e-06,9.9294546588511e-06
194,128,0,40.4,9.4458261809239e-06,9.9294686532151e-06
194.4,128,0,40.8,9.4458394770894e-06,9.9294826475791e-06
194.8,128,0,41.2,9.4458527732548e-06,9.9294966419432e-06
195.2,128,0,41.6,9.4458631746984e-06,9.9295075939899e-06
195.6,128,0,42,9.4458668070893e-06,9.9295114318447e-06
196,128,0,42.4,9.4458704394802e-06,9.9295152696996e-06
196.4,128,0,42.8,9.4458740718711e-06,9.9295191075544e-06
196.8,128,0,43.2,9.445877704262e-06,9.9295229454093e-06
197.2,128,0,43.6,9.4458813366529e-06,9.9295267832641e-06
197.6,128,0,44,9.4458849690438e-06,9.929530621119e-06
198,128,0,44.4,9.4458886014347e-06,9.9295344589738e-06
198.4,128,0,44.8,9.4458922338256e-06,9.9295382968287e-06
198.8,128,0,45.2,9.44591086729e-06,9.9295578744018e-06
199.2,128,0,45.6,9.4459302362366e-06,9.9295782236719e-06
199.6,128,0,46,9.4459496051833e-06,9.929598572942e-06
200,128,0,46.4,9.4459689741299e-06,9.9296189222121e-06
200.4,128,0,46.8,9.4459344103525e-06,9.929582568003e-06
200.8,128,0,47.2,9.4458727907079e-06,9.9295177679508e-06
201.2,128,0,47.6,9.4458111710633e-06,9.9294529678987e-06
201.6,128,0,48,9.4457495514186e-06,9.9293881678465e-06
202,128,0,48.4,9.445687931774e-06,9.9293233677943e-06
202.4,128,0,48.8,9.4456263121294e-06,9.9292585677422e-06
202.8,128,0,49.2,9.4455646924848e-06,9.92919376769e-06
203.2,128,0,49.6,9.4455030728401e-06,9.9291289676379e-06
203.6,128,0,50,9.4454414531955e-06,9.9290641675857e-06
204,128,0,50.4,9.4453798335509e-06,9.9289993675335e-06
204.4,128,0,50.8,9.4453182139063e-06,9.9289345674814e-06
204.8,128,0,51.2,9.4452565942616e-06,9.9288697674292e-06
205.2,128,0,51.6,9.445194974617e-06,9.928804967377e-06
205.6,128,0,52,9.4452509651786e-06,9.9288638047461e-06
206,128,0,52.4,9.4454613779374e-06,9.9290849780457e-06
206.4,128,0,52.8,9.4456717906962e-06,9.9293061513453e-06
