x,y,z,id,xi,xv
153.6,128,0,0,3.6584744260156e-270,3.6584744260156e-270
154,128,0,0.40000000000001,1.3437176134761e-05,9.5321142109161e-05
154.4,128,0,0.80000000000001,2.6874352269524e-05,0.00019064228421833
154.8,128,0,1.2,4.0311528404282e-05,0.00028596342632748
155.2,128,0,1.6,5.3748704539042e-05,0.00038128456843663
155.6,128,0,2,6.7185880673803e-05,0.00047660571054579
156,128,0,2.4,8.0623056808564e-05,0.00057192685265494
156.4,128,0,2.8,9.3298434833297e-05,0.00062055151206872
156.8,128,0,3.2,0.00010500020445654,0.00061017959396564
157.2,128,0,3.6,0.00011664680445096,0.00059736413778408
157.6,128,0,4,0.00012829340444538,0.00058454868160252
158,128,0,4.4,0.00013994000443981,0.00057173322542096
158.4,128,0,4.8,0.00015099812687865,0.00056520036972568
158.8,128,0,5.2,0.00016147960495716,0.00056482378304062
159.2,128,0,5.6,0.00017196108303567,0.00056444719635556
159.6,128,0,6,0.00018173591910811,0.00056497847838844
160,128,0,6.4,0.00019126711314827,0.00056582278310835
160.4,128,0,6.8,0.00020079830718842,0.00056666708782825
160.8,128,0,7.2,0.00021032950122857,0.00056751139254815
161.2,128,0,7.6,0.00021947350677752,0.00056776691236391
161.6,128,0,8,0.00022844829423465,0.00056776510774922
162,128,0,8.4,0.00023742308169178,0.00056776330313454
162.4,128,0,8.8,0.0002454659234107,0.00056770459977296
162.8,128,0,9.2,0.00025328630303446,0.00056763231427464
163.2,128,0,9.6,0.00026110668265822,0.00056756002877631
163.6,128,0,10,0.00026892706228198,0.00056748774327799
164,128,0,10.4,0.00027674744190574,0.00056741545777967
164.4,128,0,10.8,0.00028444465432676,0.00056735344414709
164.8,128,0,11.2,0.00029164316229867,0.00056733302133601
165.2,128,0,11.6,0.00029884167027058,0.00056731259852492
165.6,128,0,12,0.00030599883950769,0.00056729700629939
166,128,0,12.4,0.00031286963347978,0.00056731487809312
166.4,128,0,12.8,0.00031974042745187,0.00056733274988685
166.8,128,0,13.2,0.00032661122142397,0.00056735062168057
167.2,128,0,13.6,0.00033310231228452,0.00056736352279206
167.6,128,0,14,0.00033866522938694,0.00056736427320825
168,128,0,14.4,0.00034422814648937,0.00056736502362444
168.4,128,0,14.8,0.00034979106359179,0.00056736577404062
168.8,128,0,15.2,0.00035535188235508,0.00056736683596155
169.2,128,0,15.6,0.00036089369847568,0.00056737071888178
169.6,128,0,16,0.00036643551459628,0.000567374601802
170,128,0,16.4,0.00037197733071689,0.00056737848472223
170.4,128,0,16.8,0.00037751914683749,0.00056738236764245
170.8,128,0,17.2,0.00038203349204003,0.00056738239414191
171.2,128,0,17.6,0.00038633771070055,0.00056738163197053
171.6,128,0,18,0.00039064192936106,0.00056738086979915
172,128,0,18.4,0.00039494614802157,0.00056738010762776
172.4,128,0,18.8,0.00039925036668208,0.00056737934545638
172.8,128,0,19.2,0.0004035545853426,0.00056737858328499
173.2,128,0,19.6,0.00040786035216309,0.00056737782138341
173.6,128,0,20,0.00041236562303816,0.00056737709425005
174,128,0,20.4,0.00041687089391324,0.0005673763671167
174.4,128,0,20.8,0.00042137616478831,0.00056737563998334
174.8,128,0,21.2,0.00042547214373266,0.00056737538948223
175.2,128,0,21.6,0.0004292003354743,0.00056737552965846
