x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,4.0423760264025e-05,0.00040881880669144
154.4,128,0,0.80000000000001,8.0847520528055e-05,0.00081763761338293
154.8,128,0,1.2,0.00012127128079207,0.0012264564200743
155.2,128,0,1.6,0.00016169504105609,0.0016352752267657
155.6,128,0,2,0.00020211880132012,0.0020440940334571
156,128,0,2.4,0.00024254256158414,0.0024529128401485
156.4,128,0,2.8,0.00028129460163921,0.0027142244019084
156.8,128,0,3.2,0.00031798445500582,0.0027814937514941
157.2,128,0,3.6,0.00035465530182789,0.0028304993013423
157.6,128,0,4,0.00039132614864995,0.0028795048511906
158,128,0,4.4,0.00042799699547201,0.0029285104010388
158.4,128,0,4.8,0.00046334865166649,0.0029557133325006
158.8,128,0,5.2,0.00049740764371706,0.0029615520559076
159.2,128,0,5.6,0.00053146663576762,0.0029673907793146
159.6,128,0,6,0.0005639107619237,0.0029657227191961
160,128,0,6.4,0.00059579810090177,0.0029614664064992
160.4,128,0,6.8,0.00062768543987985,0.0029572100938023
160.8,128,0,7.2,0.00065957277885792,0.0029529537811054
161.2,128,0,7.6,0.00069066202480847,0.0029507676980226
161.6,128,0,8,0.00072140246963944,0.0029494863946862
162,128,0,8.4,0.00075214291447042,0.0029482050913499
162.4,128,0,8.8,0.00078075315535172,0.0029479144522722
162.8,128,0,9.2,0.00080885490135579,0.0029478602918193
163.2,128,0,9.6,0.00083695664735986,0.0029478061313665
163.6,128,0,10,0.00086505839336392,0.0029477519709136
164,128,0,10.4,0.00089316013936799,0.0029476978104607
164.4,128,0,10.8,0.00092098151044564,0.0029476902125524
164.8,128,0,11.2,0.00094766764243277,0.002947871146555
165.2,128,0,11.6,0.0009743537744199,0.0029480520805577
165.6,128,0,12,0.001000968466692,0.0029482214434983
166,128,0,12.4,0.0010270882582993,0.0029483106475763
166.4,128,0,12.8,0.0010532080499067,0.0029483998516543
166.8,128,0,13.2,0.001079327841514,0.0029484890557323
167.2,128,0,13.6,0.0011044643414726,0.0029485453980646
167.6,128,0,14,0.0011271972121818,0.0029485214107678
168,128,0,14.4,0.0011499300828909,0.0029484974234711
168.4,128,0,14.8,0.0011726629536001,0.0029484734361744
168.8,128,0,15.2,0.0011954162239963,0.002948448557832
169.2,128,0,15.6,0.00121835423477,0.0029484156101454
169.6,128,0,16,0.0012412922455437,0.0029483826624588
170,128,0,16.4,0.0012642302563173,0.0029483497147721
170.4,128,0,16.8,0.001287168267091,0.0029483167670855
170.8,128,0,17.2,0.0013074067603439,0.002948314016892
171.2,128,0,17.6,0.0013270931793027,0.0029483174423427
171.6,128,0,18,0.0013467795982615,0.0029483208677934
172,128,0,18.4,0.0013664660172203,0.0029483242932441
172.4,128,0,18.8,0.0013861524361791,0.0029483277186948
172.8,128,0,19.2,0.0014058388551379,0.0029483311441455
173.2,128,0,19.6,0.0014255307844405,0.00294833456673
173.6,128,0,20,0.0014459328056786,0.0029483376199634
174,128,0,20.4,0.0014663348269167,0.0029483406731968
174.4,128,0,20.8,0.0014867368481548,0.0029483437264302
174.8,128,0,21.2,0.0015060828498805,0.0029483451441189
