x,y,z,id,xi,xv
0,128,0,0,-7.0228271791268e-102,-7.0228271791268e-102
1,128,0,1,4.8288745262515e-07,3.2011423611875e-06
2,128,0,2,8.7879808289408e-07,2.4551810204476e-06
3,128,0,3,1.199909852052e-06,2.6278295046194e-06
4,128,0,4,1.4573755404309e-06,2.5881855352498e-06
5,128,0,5,1.661311132278e-06,2.5972086196689e-06
6,128,0,6,1.8207905263946e-06,2.595184942706e-06
7,128,0,7,1.9438503056043e-06,2.5956394039532e-06
8,128,0,8,2.0375071718872e-06,2.5955389109517e-06
9,128,0,9,2.1077900774215e-06,2.5955529806583e-06
10,128,0,10,2.1597886740962e-06,2.5955570188582e-06
11,128,0,11,2.1977186553198e-06,2.5955533009364e-06
12,128,0,12,2.2250026201657e-06,2.5955477555149e-06
13,128,0,13,2.2443628093872e-06,2.5955441890157e-06
14,128,0,14,2.2579203167617e-06,2.5955517823312e-06
15,128,0,15,2.2672947447636e-06,2.595552864759e-06
16,128,0,16,2.2736988057978e-06,2.5955540670242e-06
17,128,0,17,2.2780237227213e-06,2.5955552739732e-06
18,128,0,18,2.2809129671329e-06,2.5955581838588e-06
19,128,0,19,2.2828234710307e-06,2.5955456868525e-06
20,128,0,20,2.2840747011417e-06,2.5955517721285e-06
21,128,0,21,2.2848868070158e-06,2.5955469830118e-06
22,128,0,22,2.2854094735525e-06,2.5955469968607e-06
23,128,0,23,2.2857432164086e-06,2.5955480634809e-06
24,128,0,24,2.2859547604447e-06,2.5955594904084e-06
25,128,0,25,2.286087929918e-06,2.5955485780285e-06
26,128,0,26,2.2861712260236e-06,2.5955432429358e-06
27,128,0,27,2.2862230163654e-06,2.5955435217559e-06
28,128,0,28,2.2862550387212e-06,2.5955468127207e-06
29,128,0,29,2.2862747357824e-06,2.595544159361e-06
30,128,0,30,2.2862867928707e-06,2.5955489266018e-06
31,128,0,31,2.2862941396313e-06,2.595544618614e-06
32,128,0,32,2.2862985966392e-06,2.5955464694826e-06
33,128,0,33,2.286301288708e-06,2.5955451902346e-06
34,128,0,34,2.2863029071583e-06,2.5955582556984e-06
35,128,0,35,2.2863038747203e-06,2.5955566433718e-06
36,128,0,36,2.2863044487961e-06,2.5955497971409e-06
37,128,0,37,2.2863047854979e-06,2.595555141534e-06
38,128,0,38,2.286304979133e-06,2.5955453952114e-06
39,128,0,39,2.286305086526e-06,2.5955442051643e-06
40,128,0,40,2.2863051416717e-06,2.5955578812359e-06
41,128,0,41,2.2863051649934e-06,2.5955485469922e-06
42,128,0,42,2.2863051684034e-06,2.5955465423942e-06
43,128,0,43,2.286305158851e-06,2.5955561911801e-06
44,128,0,44,2.2863051401219e-06,2.5955579485243e-06
45,128,0,45,2.2863051142867e-06,2.5955491774099e-06
46,128,0,46,2.2863050824556e-06,2.5955547337847e-06
47,128,0,47,2.2863050449286e-06,2.595558846197e-06
