x,y,z,id,xi,xv
153.6,128,0,0,-2.1225655885747e-158,-2.1225655885747e-158
154,128,0,0.40000000000001,2.6215535028601e-05,0.00010067468708021
154.4,128,0,0.80000000000001,5.2431070057206e-05,0.00020134937416042
154.8,128,0,1.2,7.8646605085801e-05,0.00030202406124061
155.2,128,0,1.6,0.0001048621401144,0.0004026987483208
155.6,128,0,2,0.000131077675143,0.000503373435401
156,128,0,2.4,0.0001572932101716,0.0006040481224812
156.4,128,0,2.8,0.00018007393405705,0.0006500633035437
156.8,128,0,3.2,0.0001982738103041,0.00063225928412697
157.2,128,0,3.6,0.00021596268117744,0.00061878619343486
157.6,128,0,4,0.00023365155205078,0.00060531310274275
158,128,0,4.4,0.00025134042292412,0.00059184001205065
158.4,128,0,4.8,0.00026686275672194,0.00058548874971209
158.8,128,0,5.2,0.0002802621184978,0.00058611610893077
159.2,128,0,5.6,0.00029366148027366,0.00058674346814945
159.6,128,0,6,0.00030477311833462,0.00058860770985797
160,128,0,6.4,0.00031509597558374,0.00059089841441605
160.4,128,0,6.8,0.00032541883283286,0.00059318911897413
160.8,128,0,7.2,0.00033574169008199,0.00059547982353221
161.2,128,0,7.6,0.0003448126061988,0.00059526042869819
161.6,128,0,8,0.00035333636997432,0.00059394401202839
162,128,0,8.4,0.00036186013374984,0.00059262759535859
162.4,128,0,8.8,0.00036804740767502,0.00059218461365357
162.8,128,0,9.2,0.00037367694480705,0.00059195012710474
163.2,128,0,9.6,0.0003793064819391,0.0005917156405559
163.6,128,0,10,0.00038493601907114,0.00059148115400707
164,128,0,10.4,0.00039056555620318,0.00059124666745823
164.4,128,0,10.8,0.00039593467524767,0.00059111608001656
164.8,128,0,11.2,0.00040024936051438,0.00059140618043532
165.2,128,0,11.6,0.00040456404578109,0.00059169628085408
165.6,128,0,12,0.00040877687014311,0.00059195248436866
166,128,0,12.4,0.00041228405018111,0.00059197386611219
166.4,128,0,12.8,0.0004157912302191,0.00059199524785572
166.8,128,0,13.2,0.0004192984102571,0.00059201662959925
167.2,128,0,13.6,0.00042231276500359,0.0005920253446136
167.6,128,0,14,0.00042412242195063,0.00059200309615866
168,128,0,14.4,0.00042593207889768,0.00059198084770372
168.4,128,0,14.8,0.00042774173584472,0.00059195859924878
168.8,128,0,15.2,0.00042953562697615,0.00059193368067402
169.2,128,0,15.6,0.00043118674225455,0.00059188458138803
169.6,128,0,16,0.00043283785753295,0.00059183548210205
170,128,0,16.4,0.00043448897281134,0.00059178638281606
170.4,128,0,16.8,0.00043614008808974,0.00059173728353008
170.8,128,0,17.2,0.00043698934716525,0.00059173472764741
171.2,128,0,17.6,0.00043767461982697,0.00059174169028661
171.6,128,0,18,0.0004383598924887,0.00059174865292581
172,128,0,18.4,0.00043904516515042,0.00059175561556501
172.4,128,0,18.8,0.00043973043781215,0.00059176257820421
172.8,128,0,19.2,0.00044041571047388,0.00059176954084341
