time,average_xi,average_xv,left_jix,left_jvx,left_xi,left_xs,left_xv,right_jix,right_jvx,total_ci,total_cv
0,0,0,0,0,0,0,0,0,0,0,0
1,9.4638160844094e-08,9.6097619557976e-08,-1.5998903345202e-08,-1.6936191946103e-11,-1.4523740218878e-22,1,-1.4523740218878e-22,1.6159541564557e-08,1.7133583898836e-11,0.0060073584661226,0.0061000007108852
2.2,2.0688353451829e-07,2.1139016135389e-07,-3.4396534682932e-08,-3.7254396998776e-11,4.5849624147449e-34,1,4.5849637958168e-34,3.4720351384187e-08,3.7688661325366e-11,0.013132372200652,0.013418439920407
3.64,3.3925937513497e-07,3.4973842356343e-07,-5.5136386528436e-08,-6.1634401877402e-11,2.9376036128246e-39,1,3.257029664484e-39,5.560977571803e-08,6.2352836824201e-11,0.021535210122965,0.022200390001063
5.368,4.9471265930487e-07,5.1575205644443e-07,-7.8237419504543e-08,-9.088757971473e-11,4.1683719357914e-39,1,4.8029121929888e-39,7.8835497318723e-08,9.1946902327789e-11,0.031402937838882,0.032738458303366
7.4416,6.7651796214792e-07,7.1496213884109e-07,-1.0374074720337e-07,-1.2598724670153e-10,5.5173452732012e-39,1,6.6577811680457e-39,1.0443180176514e-07,1.2745546286876e-10,0.042943415966087,0.045383741816367
9.92992,8.881773742909e-07,9.5400515476271e-07,-1.3168033952944e-07,-1.681008462066e-10,6.9746717554186e-39,1,8.8833529236778e-39,1.3243081686226e-07,1.7005948625041e-10,0.056378947152775,0.060557505472128
12.915904,1.1332937756778e-06,1.2408436812142e-06,-1.6206280575644e-07,-2.1862851393431e-10,8.5255426405072e-39,1,1.1553648229486e-38,1.6284234762248e-07,2.2117530456204e-10,0.071938231863337,0.078765190774967
16.4990848,1.4153892521353e-06,1.585031063264e-06,-1.9484783397673e-07,-2.7924925636997e-10,1.0150361504907e-38,1,1.4757439702864e-38,1.956329631303e-07,2.8250131213646e-10,0.089844841983788,0.1006132166141
20.79890176,1.7376465311799e-06,1.9980287957257e-06,-2.2992631064441e-07,-3.5197621327748e-10,1.1825524096019e-38,1,1.8601178997735e-38,2.3070116577902e-07,3.5607384520608e-10,0.11030080790992,0.12682912574065
25.958682112,2.1025557531884e-06,2.493587048027e-06,-2.6709660230528e-07,-4.3922275132075e-10,1.3524549992133e-38,1,2.3212499374142e-38,2.6784987863726e-07,4.4433400698809e-10,0.13346419659633,0.15828573939276
32.1504185344,2.5114559038003e-06,3.0882008139167e-06,-3.06041574408e-07,-5.4388145699944e-10,1.521924771871e-38,1,2.8744404251189e-38,3.0676036054872e-07,5.502075252214e-10,0.15942000300326,0.19603011236801
39.58050224128,2.9639734437505e-06,3.8016566015553e-06,-3.4630976371243e-07,-6.6941846903262e-10,1.6880653934263e-38,1,3.5380272552452e-38,3.4697261873062e-07,6.7720010316229e-10,0.18814451593169,0.2413182353392
48.496602689536,3.4573836308192e-06,4.657687473483e-06,-3.8730417746912e-07,-8.1998601832831e-10,1.847968502688e-38,1,4.3339835041193e-38,3.8787666140102e-07,8.2951115481864e-10,0.21946477657624,0.29565661490903
59.195923227443,3.9859556418328e-06,5.6847576799152e-06,-4.2828232548365e-07,-1.0005565314007e-09,1.998769145009e-38,1,5.2886302702115e-38,4.2871763696223e-07,1.0121693039614e-09,0.2530170087519,0.36085207987667
72.035107872932,4.5403912022083e-06,6.9170021954478e-06,-4.6837182115773e-07,-1.2170822017882e-09,2.1377261485062e-38,1,6.4334858724295e-38,4.686172547089e-07,1.2311935747285e-09,0.28821098471079,0.43907142032764
