x,y,z,id,xi,xv
153.6,128,0,0,-2.3920648491683e-45,-2.3920648491683e-45
154,128,0,0.40000000000001,4.692655733794e-07,6.1656816102151e-07
154.4,128,0,0.80000000000001,9.3853114675886e-07,1.2331363220431e-06
154.8,128,0,1.2,1.4077967201382e-06,1.8497044830645e-06
155.2,128,0,1.6,1.8770622935175e-06,2.4662726440859e-06
155.6,128,0,2,2.3463278668969e-06,3.0828408051074e-06
156,128,0,2.4,2.8155934402763e-06,3.6994089661289e-06
156.4,128,0,2.8,3.1251951456449e-06,3.9764999465664e-06
156.8,128,0,3.2,3.2242704343913e-06,3.8650555081428e-06
157.2,128,0,3.6,3.3029006320164e-06,3.7912599147484e-06
157.6,128,0,4,3.3815308296415e-06,3.717464321354e-06
158,128,0,4.4,3.4601610272666e-06,3.6436687279597e-06
158.4,128,0,4.8,3.5095618643717e-06,3.6075542051412e-06
158.8,128,0,5.2,3.5303210893372e-06,3.6083630562608e-06
159.2,128,0,5.6,3.5510803143026e-06,3.6091719073804e-06
159.6,128,0,6,3.5577450625253e-06,3.6206408721521e-06
160,128,0,6.4,3.5595501973537e-06,3.6357853214439e-06
160.4,128,0,6.8,3.5613553321822e-06,3.6509297707358e-06
160.8,128,0,7.2,3.5631604670106e-06,3.6660742200277e-06
161.2,128,0,7.6,3.5646384876149e-06,3.6641590194858e-06
161.6,128,0,8,3.5659735451765e-06,3.6547880152265e-06
162,128,0,8.4,3.567308602738e-06,3.6454170109673e-06
162.4,128,0,8.8,3.5674590742569e-06,3.6423245115306e-06
162.8,128,0,9.2,3.567326776638e-06,3.6407307359786e-06
163.2,128,0,9.6,3.567194479019e-06,3.6391369604266e-06
163.6,128,0,10,3.5670621814001e-06,3.6375431848747e-06
164,128,0,10.4,3.5669298837812e-06,3.6359494093227e-06
164.4,128,0,10.8,3.5668278014818e-06,3.6351054381012e-06
164.8,128,0,11.2,3.5668480611204e-06,3.6372974273238e-06
165.2,128,0,11.6,3.5668683207591e-06,3.6394894165463e-06
165.6,128,0,12,3.5668880229195e-06,3.641417597657e-06
166,128,0,12.4,3.5669038631338e-06,3.6415182405444e-06
166.4,128,0,12.8,3.5669197033481e-06,3.6416188834317e-06
166.8,128,0,13.2,3.5669355435624e-06,3.641719526319e-06
167.2,128,0,13.6,3.5669466571347e-06,3.6417445036231e-06
167.6,128,0,14,3.5669462165614e-06,3.6415845185007e-06
168,128,0,14.4,3.5669457759882e-06,3.6414245333783e-06
168.4,128,0,14.8,3.5669453354149e-06,3.641264548256e-06
168.8,128,0,15.2,3.56694484488e-06,3.6410834911818e-06
169.2,128,0,15.6,3.5669439018906e-06,3.6407116056735e-06
169.6,128,0,16,3.5669429589012e-06,3.6403397201653e-06
170,128,0,16.4,3.5669420159118e-06,3.6399678346571e-06
170.4,128,0,16.8,3.5669410729224e-06,3.6395959491489e-06
170.8,128,0,17.2,3.5669408264166e-06,3.6395772410665e-06
171.2,128,0,17.6,3.5669407223477e-06,3.6396307607718e-06
171.6,128,0,18,3.5669406182788e-06,3.639684280477e-06
172,128,0,18.4,3.5669405142098e-06,3.6397378001823e-06
172.4,128,0,18.8,3.5669404101409e-06,3.6397913198875e-06
172.8,128,0,19.2,3.566940306072e-06,3.6398448395928e-06
173.2,128,0,19.6,3.5669402018031e-06,3.6398983196086e-06
173.6,128,0,20,3.5669400717708e-06,3.6399466850419e-06
174,128,0,20.4,3.5669399417385e-06,3.6399950504752e-06
174.4,128,0,20.8,3.5669398117062e-06,3.6400434159084e-06
174.8,128,0,21.2,3.5669397758002e-06,3.640062412891e-06
175.2,128,0,21.6,3.5669398154031e-06,3.6400571177662e-06
175.6,128,0,22,3.5669398519505e-06,3.6400439627874e-06
176,128,0,22.4,3.566939888498e-06,3.6400308078086e-06
176.4,128,0,22.8,3.5669399250454e-06,3.6400176528298e-06
176.8,128,0,23.2,3.5669399172057e-06,3.6400033844261e-06
177.2,128,0,23.6,3.5669397983183e-06,3.6399863304502e-06
177.6,128,0,24,3.5669396794308e-06,3.6399692764743e-06
178,128,0,24.4,3.5669395605433e-06,3.6399522224984e-06
178.4,128,0,24.8,3.5669394416559e-06,3.6399351685225e-06
178.8,128,0,25.2,3.5669395045853e-06,3.6399325453371e-06
179.2,128,0,25.6,3.5669396348866e-06,3.6399352694413e-06
179.6,128,0,26,3.5669397651878e-06,3.6399379935456e-06
180,128,0,26.4,3.5669398954891e-06,3.6399407176499e-06
180.4,128,0,26.8,3.5669400257904e-06,3.6399434417542e-06
180.8,128,0,27.2,3.5669401560916e-06,3.6399461658585e-06
181.2,128,0,27.6,3.5669402497445e-06,3.6399486495834e-06
181.6,128,0,28,3.5669402944665e-06,3.6399508123679e-06
182,128,0,28.4,3.5669403391886e-06,3.6399529751523e-06
182.4,128,0,28.8,3.566940369794e-06,3.6399549402364e-06
182.8,128,0,29.2,3.5669401438993e-06,3.6399533130911e-06
183.2,128,0,29.6,3.5669399380963e-06,3.6399521563664e-06
183.6,128,0,30,3.56693975346e-06,3.6399514952335e-06
184,128,0,30.4,3.5669395688237e-06,3.6399508341006e-06
184.4,128,0,30.8,3.5669393841874e-06,3.6399501729678e-06
184.8,128,0,31.2,3.5669391995511e-06,3.6399495118349e-06
185.2,128,0,31.6,3.5669390149147e-06,3.639948850702e-06
185.6,128,0,32,3.5669388302784e-06,3.6399481895692e-06
186,128,0,32.4,3.5669386456421e-06,3.6399475284363e-06
186.4,128,0,32.8,3.5669384610058e-06,3.6399468673035e-06
186.8,128,0,33.2,3.5669382763695e-06,3.6399462061706e-06
187.2,128,0,33.6,3.5669380917332e-06,3.6399455450377e-06
187.6,128,0,34,3.5669379794863e-06,3.6399452585949e-06
188,128,0,34.4,3.5669379680983e-06,3.6399454942003e-06
188.4,128,0,34.8,3.5669379567103e-06,3.6399457298057e-06
188.8,128,0,35.2,3.5669379453223e-06,3.6399459654112e-06
189.2,128,0,35.6,3.5669379339342e-06,3.6399462010166e-06
189.6,128,0,36,3.5669379225462e-06,3.639946436622e-06
190,128,0,36.4,3.5669379111582e-06,3.6399466722275e-06
190.4,128,0,36.8,3.5669378997702e-06,3.6399469078329e-06
190.8,128,0,37.2,3.5669378883822e-06,3.6399471434383e-06
191.2,128,0,37.6,3.5669380792856e-06,3.6399456493347e-06
191.6,128,0,38,3.5669383375898e-06,3.6399435789162e-06
192,128,0,38.4,3.5669385958939e-06,3.6399415084976e-06
192.4,128,0,38.8,3.5669388541981e-06,3.6399394380791e-06
192.8,128,0,39.2,3.5669391424693e-06,3.6399405967256e-06
193.2,128,0,39.6,3.5669394696172e-06,3.6399459444651e-06
193.6,128,0,40,3.566939796765e-06,3.6399512922045e-06
194,128,0,40.4,3.5669401239128e-06,3.639956639944e-06
194.4,128,0,40.8,3.5669404510607e-06,3.6399619876834e-06
194.8,128,0,41.2,3.5669407782085e-06,3.6399673354229e-06
195.2,128,0,41.6,3.566941145134e-06,3.6399715800974e-06
195.6,128,0,42,3.5669416050759e-06,3.6399732453516e-06
196,128,0,42.4,3.5669420650179e-06,3.6399749106057e-06
196.4,128,0,42.8,3.5669425249598e-06,3.6399765758599e-06
196.8,128,0,43.2,3.5669429849018e-06,3.639978241114e-06
197.2,128,0,43.6,3.5669434448437e-06,3.6399799063682e-06
197.6,128,0,44,3.5669439047857e-06,3.6399815716224e-06
198,128,0,44.4,3.5669443647276e-06,3.6399832368765e-06
198.4,128,0,44.8,3.5669448246696e-06,3.6399849021307e-06
198.8,128,0,45.2,3.5669424731154e-06,3.6399919179603e-06
199.2,128,0,45.6,3.5669399837174e-06,3.6399991961214e-06
199.6,128,0,46,3.5669374943194e-06,3.6400064742825e-06
200,128,0,46.4,3.5669350049214e-06,3.6400137524436e-06
200.4,128,0,46.8,3.5669325461257e-06,3.6400001725319e-06
200.8,128,0,47.2,3.5669301026818e-06,3.6399761289683e-06
201.2,128,0,47.6,3.5669276592379e-06,3.6399520854046e-06
201.6,128,0,48,3.566925215794e-06,3.639928041841e-06
202,128,0,48.4,3.5669227723501e-06,3.6399039982774e-06
202.4,128,0,48.8,3.5669203289062e-06,3.6398799547137e-06
202.8,128,0,49.2,3.5669178854623e-06,3.6398559111501e-06
203.2,128,0,49.6,3.5669154420184e-06,3.6398318675864e-06
203.6,128,0,50,3.5669129985745e-06,3.6398078240228e-06
204,128,0,50.4,3.5669105551306e-06,3.6397837804592e-06
