x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,4.0292601180294e-06,0.00055107057106467
154.4,128,0,0.80000000000001,8.0585202360594e-06,0.0011021411421294
154.8,128,0,1.2,1.2087780354088e-05,0.001653211713194
155.2,128,0,1.6,1.6117040472117e-05,0.0022042822842586
155.6,128,0,2,2.0146300590146e-05,0.0027553528553232
156,128,0,2.4,2.4175560708176e-05,0.0033064234263879
156.4,128,0,2.8,2.7805319023784e-05,0.0036790419459891
156.8,128,0,3.2,3.0907457856965e-05,0.0038156674397621
157.2,128,0,3.6,3.3957269996924e-05,0.0039284902193258
157.6,128,0,4,3.7007082136883e-05,0.0040413129988896
158,128,0,4.4,4.0056894276841e-05,0.0041541357784533
158.4,128,0,4.8,4.2838282227021e-05,0.0042253108043501
158.8,128,0,5.2,4.5356643501425e-05,0.0042556755358783
159.2,128,0,5.6,4.787500477583e-05,0.0042860402674065
159.6,128,0,6,5.0096584785205e-05,0.0042951254179484
160,128,0,6.4,5.2215838029492e-05,0.0042968736138327
160.4,128,0,6.8,5.4335091273778e-05,0.0042986218097169
160.8,128,0,7.2,5.6454344518064e-05,0.0043003700056012
161.2,128,0,7.6,5.8408652431003e-05,0.0043008790865861
161.6,128,0,8,6.0290872110797e-05,0.0043008466208475
162,128,0,8.4,6.2173091790591e-05,0.0043008141551089
162.4,128,0,8.8,6.3716574397462e-05,0.0043000631528244
162.8,128,0,9.2,6.5179198048861e-05,0.0042991406307412
163.2,128,0,9.6,6.6641821700261e-05,0.004298218108658
163.6,128,0,10,6.8104445351661e-05,0.0042972955865748
164,128,0,10.4,6.9567069003061e-05,0.0042963730644916
164.4,128,0,10.8,7.0988597700175e-05,0.0042956215689779
164.8,128,0,11.2,7.224373277885e-05,0.0042955625606627
165.2,128,0,11.6,7.3498867857525e-05,0.0042955035523475
165.6,128,0,12,7.4738415498254e-05,0.0042954703445061
166,128,0,12.4,7.5869980717785e-05,0.0042956158701831
166.4,128,0,12.8,7.7001545937316e-05,0.0042957613958601
166.8,128,0,13.2,7.8133111156847e-05,0.0042959069215371
167.2,128,0,13.6,7.9165701891159e-05,0.0042960139710451
167.6,128,0,14,7.9956352232802e-05,0.0042960269666218
168,128,0,14.4,8.0747002574445e-05,0.0042960399621985
168.4,128,0,14.8,8.1537652916088e-05,0.0042960529577753
168.8,128,0,15.2,8.232600427672e-05,0.0042960669990322
169.2,128,0,15.6,8.3093535973918e-05,0.0042960905100105
169.6,128,0,16,8.3861067671117e-05,0.0042961140209888
170,128,0,16.4,8.4628599368315e-05,0.0042961375319671
170.4,128,0,16.8,8.5396131065513e-05,0.0042961610429454
170.8,128,0,17.2,8.5942245667637e-05,0.0042961604163098
171.2,128,0,17.6,8.6443078590527e-05,0.0042961548533268
171.6,128,0,18,8.6943911513416e-05,0.0042961492903438
172,128,0,18.4,8.7444744436306e-05,0.0042961437273608
172.4,128,0,18.8,8.7945577359196e-05,0.0042961381643779
172.8,128,0,19.2,8.8446410282086e-05,0.0042961326013949
173.2,128,0,19.6,8.8947493480941e-05,0.0042961270379362
173.6,128,0,20,8.9480828559896e-05,0.0042961214131724
174,128,0,20.4,9.0014163638851e-05,0.0042961157884087
174.4,128,0,20.8,9.0547498717806e-05,0.004296110163645
174.8,128,0,21.2,9.100320391999e-05,0.0042961079853697
175.2,128,0,21.6,9.1390091112737e-05,0.004296108641212
175.6,128,0,22,9.1700777543606e-05,0.0042961100191678
176,128,0,22.4,9.2011463974475e-05,0.0042961113971236
176.4,128,0,22.8,9.2322150405344e-05,0.0042961127750794
176.8,128,0,23.2,9.2636101539783e-05,0.004296114247315
177.2,128,0,23.6,9.2958220326617e-05,0.0042961159554203
177.6,128,0,24,9.3280339113452e-05,0.0042961176635256
178,128,0,24.4,9.3602457900286e-05,0.0042961193716309
178.4,128,0,24.8,9.392457668712e-05,0.0042961210797362
178.8,128,0,25.2,9.4163758589366e-05,0.0042961214013334
179.2,128,0,25.6,9.4372208456988e-05,0.0042961212091638
179.6,128,0,26,9.4580658324609e-05,0.0042961210169941
180,128,0,26.4,9.4789108192231e-05,0.0042961208248245
180.4,128,0,26.8,9.4997558059852e-05,0.0042961206326548
180.8,128,0,27.2,9.5206007927474e-05,0.0042961204404852
181.2,128,0,27.6,9.5417906689424e-05,0.0042961202605208
181.6,128,0,28,9.5634410214679e-05,0.004296120096852
182,128,0,28.4,9.5850913739933e-05,0.0042961199331832
182.4,128,0,28.8,9.6063077191775e-05,0.004296119779583
182.8,128,0,29.2,9.6196381169952e-05,0.0042961198089294
