time,average_xi,average_xv,left_jix,left_jvx,left_xi,left_xs,left_xv,right_jix,right_jvx,total_ci,total_cv
0,0,0,0,0,0,0,0,0,0,0,0
1,9.4621095939991e-07,1.025175413512e-06,-1.5995908534705e-07,-1.8067502596053e-10,-1.0797811544014e-22,1,-1.0797811544014e-22,1.6156598057999e-07,1.8278154442011e-10,0.060062752350537,0.065075188958583
2.2,2.0686677193213e-06,2.2553468381986e-06,-3.4393739819931e-07,-3.9747027654163e-10,1.2602952771661e-34,1,1.2603222737391e-34,3.471762581441e-07,4.0210422356071e-10,0.13131308159858,0.14316293556058
3.64,3.3924295615874e-06,3.7315228004422e-06,-5.5133800076873e-07,-6.5760493179887e-10,2.9374425568132e-38,1,3.4750298780981e-38,5.5607272924196e-07,6.652709797321e-10,0.21534167893541,0.23686634320478
5.368,4.9469663109368e-06,5.5028882686437e-06,-7.8235043906616e-07,-9.6973634316528e-10,4.1682252913189e-38,1,5.1244840923881e-38,7.8833214718212e-07,9.8103966297323e-10,0.31401920414099,0.34930753233068
7.4416,6.7650237834827e-06,7.628459854249e-06,-1.037385803449e-06,-1.3442497945241e-09,5.5172155809571e-38,1,7.1036293216037e-38,1.0442973169265e-06,1.3599160091257e-09,0.42942426751272,0.48423270782274
9.92992,8.8816229518067e-06,1.0179048841849e-05,-1.3167837599268e-06,-1.7936019067729e-09,6.9745587851791e-38,1,9.47831442425e-38,1.3242894857516e-06,1.814500944822e-09,0.56377989974194,0.64613676651951
12.915904,1.1332792681397e-05,1.3239615928338e-05,-1.6206103804708e-06,-2.3327321280604e-09,8.525445713059e-38,1,1.23275195628e-37,1.6284066914449e-06,2.3599067336604e-09,0.71937310966512,0.84041276928805
16.4990848,1.4153753893299e-05,1.6912095305898e-05,-1.9484625363606e-06,-2.9795554578042e-09,1.0150279546647e-37,1,1.5745965121577e-37,1.9563146277947e-06,3.0142552434175e-09,0.89843962012745,1.0735312056955
20.79890176,1.7376333917117e-05,2.1318781124556e-05,-2.2992490906894e-06,-3.7555520975476e-09,1.1825455739702e-37,1,1.9847235017195e-37,2.3069983314594e-06,3.7992741819885e-09,1.1029997385424,1.3532549569195
25.958682112,2.1025434195532e-05,2.6606387692544e-05,-2.6709537114955e-06,-4.68647266991e-09,1.3524493708027e-37,1,2.4767513940368e-37,2.678487048793e-06,4.7410101210547e-09,1.3346341369261,1.6888970255989
32.1504185344,2.5114444599066e-05,3.2950916593697e-05,-3.060405055715e-06,-5.8031810732201e-09,1.5219201949073e-37,1,3.067005654192e-37,3.0675933805974e-06,5.8706805760126e-09,1.5941927657778,2.0916294864578
39.58050224128,2.9639629713621e-05,4.0563489870746e-05,-3.463088490259e-06,-7.1426610080687e-09,1.6880617202134e-37,1,3.7750528136698e-37,3.4697174042111e-06,7.225691401124e-09,1.8814385117457,2.574853760017
48.496602689536,3.4573742047633e-05,4.9697339301847e-05,-3.8730340823999e-06,-8.749216778796e-09,1.8479655999036e-37,1,4.6243381452895e-37,3.87875919889e-06,8.850850344463e-09,2.194641782373,3.1546442717811
59.195923227443,3.9859473240511e-05,6.0656178437649e-05,-4.2828169204543e-06,-1.0675904176942e-08,1.9987668950804e-37,1,5.6429462615766e-37,4.2871702391386e-06,1.079981282238e-08,2.5301648076302,3.8502798850913
72.035107872932,4.540384034823e-05,7.380422745731e-05,-4.6837131252856e-06,-1.2986233108191e-08,2.1377244474027e-37,1,6.8645072093816e-37,4.6861676043521e-06,1.3136801823317e-08,2.8821052974578,4.6848802501743
87.442129447518,5.1075165651255e-05,8.957821213852e-05,-5.0660625574652e-06,-1.5756190096301e-08,2.2623557663675e-37,1,8.3292742762828e-37,5.0661370959284e-06,1.5938650300172e-08,3.2421047286532,5.6861674642745
105.93055533702,5.6704792034592e-05,0.00010850171852572,-5.4198823546351e-06,-1.9076635781671e-08,2.3706314818799e-37,1,1.0085403739698e-36,5.4172513241083e-06,1.9297221362973e-08,3.5994572322671,6.8873772647393
128.11666640443,6.2095797896887e-05,0.00013120235580831,-5.7357403278235e-06,-2.3056139865592e-08,2.4612031090136e-37,1,1.219047098294e-36,5.7303097699867e-06,2.3322268672292e-08,3.9416627909859,8.3283484792013
154.73999968531,6.7040336890009e-05,0.00015843226217948,-6.0058304494475e-06,-2.7824323122772e-08,2.5336139390512e-37,1,1.4713261896336e-36,5.9977572470389e-06,2.8144806653281e-08,4.255527915968,10.056824678565
186.68799962237,7.1345434857617e-05,0.00019109258448409,-6.2251025942252e-06,-3.3535782747468e-08,2.5884334724629e-37,1,1.7735882516988e-36,6.2147547649869e-06,3.3921066230045e-08,4.5288031623646,12.130008074701
225.02559954685,7.4864030660701e-05,0.00023026267258994,-6.3922067931089e-06,-4.0374682256236e-08,2.6272616715041e-37,1,2.1356233450496e-36,6.380081864026e-06,4.0837116398078e-08,4.7521535117162,14.616412695234
271.03071945622,7.7524352139498e-05,0.00027723485509409,-6.509956868752e-06,-4.8560089238276e-08,2.6525701932677e-37,1,2.5690897685325e-36,6.4965848599129e-06,4.9114233255855e-08,4.9210230735898,17.598071845431
326.23686334746,7.9347980962164e-05,0.00033355580421783,-6.5850525538637e-06,-5.8352141393994e-08,2.6673842605399e-37,1,3.0878490035437e-36,6.5709099781303e-06,5.901509427261e-08,5.0367817902554,21.173163832858
392.48423601695,8.0447508760301e-05,0.00040107565479792,-6.6269658323223e-06,-7.005911106831e-08,2.6748570632907e-37,1,3.7083511855754e-36,6.6124197618339e-06,7.0850863700566e-08,5.1065766549058,25.459129899779
471.98108322034,8.1000275057625e-05,0.00048200620973928,-6.6461823145151e-06,-8.4045416777292e-08,2.6778339192427e-37,1,4.4500743865298e-36,6.6314720996894e-06,8.4989211669225e-08,5.1416646708436,30.596368938014
