x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,4.0295424142722e-06,0.0038665282185192
154.4,128,0,0.80000000000001,8.0590848285449e-06,0.0077330564370389
154.8,128,0,1.2,1.2088627242816e-05,0.011599584655557
155.2,128,0,1.6,1.6118169657088e-05,0.015466112874076
155.6,128,0,2,2.014771207136e-05,0.019332641092595
156,128,0,2.4,2.4177254485632e-05,0.023199169311114
156.4,128,0,2.8,2.7807292708087e-05,0.026671909455153
156.8,128,0,3.2,3.090971052902e-05,0.029623933215019
157.2,128,0,3.6,3.3959804414364e-05,0.032523495904734
157.6,128,0,4,3.7009898299708e-05,0.035423058594449
158,128,0,4.4,4.0059992185052e-05,0.038322621284164
158.4,128,0,4.8,4.2841666660502e-05,0.040958539843084
158.8,128,0,5.2,4.5360319143948e-05,0.043336115667067
159.2,128,0,5.6,4.7878971627394e-05,0.045713691491049
159.6,128,0,6,5.0100854089572e-05,0.047800549361375
160,128,0,6.4,5.222041366338e-05,0.0497871710266
160.4,128,0,6.8,5.4339973237188e-05,0.051773792691826
160.8,128,0,7.2,5.6459532810996e-05,0.053760414357051
161.2,128,0,7.6,5.8414160524641e-05,0.055585102525472
161.6,128,0,8,6.029670589263e-05,0.057339018762511
162,128,0,8.4,6.2179251260618e-05,0.05909293499955
162.4,128,0,8.8,6.3723099242432e-05,0.060516684677944
162.8,128,0,9.2,6.5186097742284e-05,0.061861621243757
163.2,128,0,9.6,6.6649096242136e-05,0.063206557809571
163.6,128,0,10,6.8112094741989e-05,0.064551494375384
164,128,0,10.4,6.9575093241841e-05,0.065896430941197
164.4,128,0,10.8,7.0997004612153e-05,0.067201452121426
164.8,128,0,11.2,7.2252554046445e-05,0.068344855761146
165.2,128,0,11.6,7.3508103480737e-05,0.069488259400867
165.6,128,0,12,7.4748069945753e-05,0.070616389444325
166,128,0,12.4,7.5880084946414e-05,0.071638711213807
166.4,128,0,12.8,7.7012099947075e-05,0.072661032983288
166.8,128,0,13.2,7.8144114947736e-05,0.07368335475277
167.2,128,0,13.6,7.9177190562678e-05,0.074611099135051
167.6,128,0,14,7.9968411584705e-05,0.075307651709193
168,128,0,14.4,8.0759632606732e-05,0.076004204283335
168.4,128,0,14.8,8.1550853628759e-05,0.076700756857477
168.8,128,0,15.2,8.2339778354343e-05,0.07739495022696
169.2,128,0,15.6,8.3107907728042e-05,0.078067778545251
169.6,128,0,16,8.387603710174e-05,0.078740606863543
170,128,0,16.4,8.4644166475438e-05,0.079413435181834
170.4,128,0,16.8,8.5412295849137e-05,0.080086263500126
170.8,128,0,17.2,8.595920865588e-05,0.080550839065204
171.2,128,0,17.6,8.6460880793095e-05,0.08097282517093
171.6,128,0,18,8.6962552930311e-05,0.081394811276655
172,128,0,18.4,8.7464225067526e-05,0.081816797382381
172.4,128,0,18.8,8.7965897204741e-05,0.082238783488107
172.8,128,0,19.2,8.8467569341956e-05,0.082660769593833
173.2,128,0,19.6,8.8969491590727e-05,0.083082981755839
173.6,128,0,20,8.9503644532846e-05,0.083534324721565
174,128,0,20.4,9.0037797474965e-05,0.083985667687291
174.4,128,0,20.8,9.0571950417084e-05,0.084437010653017
174.8,128,0,21.2,9.1028606149617e-05,0.084816335359327
175.2,128,0,21.6,9.1416566609961e-05,0.085131932876865
175.6,128,0,22,9.1728518248481e-05,0.085378235875369
176,128,0,22.4,9.2040469887e-05,0.085624538873872
176.4,128,0,22.8,9.2352421525519e-05,0.085870841872376
176.8,128,0,23.2,9.2667633396715e-05,0.086119852203554
177.2,128,0,23.6,9.2991001734999e-05,0.086375635753715
177.6,128,0,24,9.3314370073283e-05,0.086631419303877
178,128,0,24.4,9.3637738411567e-05,0.086887202854039
178.4,128,0,24.8,9.3961106749851e-05,0.0871429864042
178.8,128,0,25.2,9.4201945211421e-05,0.087325691519126
179.2,128,0,25.6,9.4412202454013e-05,0.087481317620736
179.6,128,0,26,9.4622459696606e-05,0.087636943722347
180,128,0,26.4,9.4832716939199e-05,0.087792569823957
180.4,128,0,26.8,9.5042974181792e-05,0.087948195925568
180.8,128,0,27.2,9.5253231424385e-05,0.088103822027179
181.2,128,0,27.6,9.5466925031046e-05,0.088262249741948
181.6,128,0,28,9.5685206671335e-05,0.088424418007813
182,128,0,28.4,9.5903488311623e-05,0.088586586273678
182.4,128,0,28.8,9.6117476729027e-05,0.088745101876234
182.8,128,0,29.2,9.6253456950512e-05,0.088837248300507
183.2,128,0,29.6,9.6387284624483e-05,0.088927415031979
183.6,128,0,30,9.6518844572687e-05,0.089015496141488
184,128,0,30.4,9.6650404520891e-05,0.089103577250998
184.4,128,0,30.8,9.6781964469094e-05,0.089191658360507
184.8,128,0,31.2,9.6913524417298e-05,0.089279739470016
185.2,128,0,31.6,9.7045084365502e-05,0.089367820579526
185.6,128,0,32,9.7176644313705e-05,0.089455901689035
186,128,0,32.4,9.7308204261909e-05,0.089543982798544
186.4,128,0,32.8,9.7439764210113e-05,0.089632063908053
186.8,128,0,33.2,9.7571324158316e-05,0.089720145017563
187.2,128,0,33.6,9.770288410652e-05,0.089808226127072
187.6,128,0,34,9.7810875847659e-05,0.089877700233071
188,128,0,34.4,9.7886030466662e-05,0.089921249564852
188.4,128,0,34.8,9.7961185085664e-05,0.089964798896632
188.8,128,0,35.2,9.8036339704666e-05,0.090008348228413
189.2,128,0,35.6,9.8111494323668e-05,0.090051897560193
189.6,128,0,36,9.818664894267e-05,0.090095446891974
190,128,0,36.4,9.8261803561672e-05,0.090138996223754
190.4,128,0,36.8,9.8336958180674e-05,0.090182545555535
190.8,128,0,37.2,9.8412112799676e-05,0.090226094887315
191.2,128,0,37.6,9.8484119966208e-05,0.090267209222944
191.6,128,0,38,9.855507844539e-05,0.090307512251749
192,128,0,38.4,9.8626036924571e-05,0.090347815280554
192.4,128,0,38.8,9.8696995403753e-05,0.090388118309359
192.8,128,0,39.2,9.8754227288479e-05,0.090418898596671
193.2,128,0,39.6,9.8793651548511e-05,0.090437324952558
193.6,128,0,40,9.8833075808543e-05,0.090455751308446
194,128,0,40.4,9.8872500068575e-05,0.090474177664333
194.4,128,0,40.8,9.8911924328606e-05,0.090492604020221
194.8,128,0,41.2,9.8951348588638e-05,0.090511030376108
195.2,128,0,41.6,9.8991605807787e-05,0.090529964287351
195.6,128,0,42,9.9033810828684e-05,0.090550085072222
196,128,0,42.4,9.907601584958e-05,0.090570205857093
196.4,128,0,42.8,9.9118220870477e-05,0.090590326641964
196.8,128,0,43.2,9.9160425891374e-05,0.090610447426835
197.2,128,0,43.6,9.9202630912271e-05,0.090630568211706
197.6,128,0,44,9.9244835933168e-05,0.090650688996577
198,128,0,44.4,9.9287040954065e-05,0.090670809781448
198.4,128,0,44.8,9.9329245974962e-05,0.090690930566319
198.8,128,0,45.2,9.9351575282925e-05,0.090699233345957
199.2,128,0,45.6,9.9372930111783e-05,0.090706956704912
199.6,128,0,46,9.9394284940642e-05,0.090714680063868
200,128,0,46.4,9.94156397695e-05,0.090722403422823
200.4,128,0,46.8,9.9436185601234e-05,0.090729656733353
200.8,128,0,47.2,9.9456325591815e-05,0.09073667423959
201.2,128,0,47.6,9.9476465582397e-05,0.090743691745828
201.6,128,0,48,9.9496605572979e-05,0.090750709252065
202,128,0,48.4,9.951674556356e-05,0.090757726758303
202.4,128,0,48.8,9.9536885554142e-05,0.090764744264541
202.8,128,0,49.2,9.9557025544724e-05,0.090771761770778
203.2,128,0,49.6,9.9577165535305e-05,0.090778779277016
203.6,128,0,50,9.9597305525887e-05,0.090785796783253
204,128,0,50.4,9.9617445516469e-05,0.090792814289491
204.4,128,0,50.8,9.963758550705e-05,0.090799831795728
204.8,128,0,51.2,9.9657725497632e-05,0.090806849301966
205.2,128,0,51.6,9.9677865488214e-05,0.090813866808203
205.6,128,0,52,9.9693489412365e-05,0.09081884740221
206,128,0,52.4,9.9703183741425e-05,0.090821153530517
206.4,128,0,52.8,9.9712878070484e-05,0.090823459658824
206.8,128,0,53.2,9.9722572399544e-05,0.090825765787131
207.2,128,0,53.6,9.9732266728603e-05,0.090828071915438
207.6,128,0,54,9.9741961057663e-05,0.090830378043745
208,128,0,54.4,9.9751655386722e-05,0.090832684172052
208.4,128,0,54.8,9.9761349715781e-05,0.090834990300359
208.8,128,0,55.2,9.9771044044841e-05,0.090837296428666
209.2,128,0,55.6,9.97807383739e-05,0.090839602556972
209.6,128,0,56,9.979043270296e-05,0.090841908685279
210,128,0,56.4,9.9800127032019e-05,0.090844214813586
210.4,128,0,56.8,9.9809821361079e-05,0.090846520941893
