x,y,z,id,xi,xv
153.6,128,0,0,-3.6873174678981e-262,-3.6873174678981e-262
154,128,0,0.40000000000001,4.0246522776242e-06,8.2233557111403e-05
154.4,128,0,0.80000000000001,8.049304555249e-06,0.00016446711422281
154.8,128,0,1.2,1.2073956832872e-05,0.0002467006713342
155.2,128,0,1.6,1.6098609110496e-05,0.0003289342284456
155.6,128,0,2,2.012326138812e-05,0.000411167785557
156,128,0,2.4,2.4147913665744e-05,0.0004934013426684
156.4,128,0,2.8,2.7773219140797e-05,0.00053465367840927
156.8,128,0,3.2,3.0871090288073e-05,0.00052451033677157
157.2,128,0,3.6,3.391662819998e-05,0.00051274451835002
157.6,128,0,4,3.6962166111887e-05,0.00050097869992847
158,128,0,4.4,4.0007704023794e-05,0.00048921288150692
158.4,128,0,4.8,4.2784942731159e-05,0.00048339316829684
158.8,128,0,5.2,4.5299277234765e-05,0.00048339999511979
159.2,128,0,5.6,4.781361173837e-05,0.00048340682194275
159.6,128,0,6,5.0031321866933e-05,0.00048409832151456
160,128,0,6.4,5.2146759324268e-05,0.00048502588837159
160.4,128,0,6.8,5.4262196781604e-05,0.00048595345522861
160.8,128,0,7.2,5.6377634238939e-05,0.00048688102208564
161.2,128,0,7.6,5.8328197180452e-05,0.00048707632411294
161.6,128,0,8,6.0206702838262e-05,0.00048695159478599
162,128,0,8.4,6.2085208496072e-05,0.00048682686545903
162.4,128,0,8.8,6.3625192096567e-05,0.00048673381039868
162.8,128,0,9.2,6.508436806735e-05,0.00048664831621169
163.2,128,0,9.6,6.6543544038134e-05,0.0004865628220247
163.6,128,0,10,6.8002720008917e-05,0.00048647732783771
164,128,0,10.4,6.94618959797e-05,0.00048639183365072
164.4,128,0,10.8,7.0880006268793e-05,0.00048632431451023
164.8,128,0,11.2,7.2131841464287e-05,0.00048632957639801
165.2,128,0,11.6,7.3383676659782e-05,0.00048633483828579
165.6,128,0,12,7.4619930330828e-05,0.00048634201226644
166,128,0,12.4,7.5748242546602e-05,0.00048636243232505
166.4,128,0,12.8,7.6876554762376e-05,0.00048638285238365
166.8,128,0,13.2,7.8004866978151e-05,0.00048640327244226
167.2,128,0,13.6,7.9034327869051e-05,0.00048641729075305
167.6,128,0,14,7.9822149429338e-05,0.00048641566016829
168,128,0,14.4,8.0609970989624e-05,0.00048641402958354
168.4,128,0,14.8,8.1397792549911e-05,0.00048641239899878
168.8,128,0,15.2,8.2183311557769e-05,0.00048641086795558
169.2,128,0,15.6,8.2947978559292e-05,0.00048641023836463
169.6,128,0,16,8.3712645560816e-05,0.00048640960877368
170,128,0,16.4,8.4477312562339e-05,0.00048640897918273
170.4,128,0,16.8,8.5241979563863e-05,0.00048640834959177
170.8,128,0,17.2,8.5785656055241e-05,0.00048640814458737
171.2,128,0,17.6,8.6284138107631e-05,0.00048640802641454
171.6,128,0,18,8.6782620160021e-05,0.0004864079082417
172,128,0,18.4,8.7281102212412e-05,0.00048640779006886
172.4,128,0,18.8,8.7779584264802e-05,0.00048640767189602
172.8,128,0,19.2,8.8278066317192e-05,0.00048640755372318
173.2,128,0,19.6,8.8776797756271e-05,0.00048640743551795
173.6,128,0,20,8.9307666478472e-05,0.00048640731313846
174,128,0,20.4,8.9838535200673e-05,0.00048640719075897
174.4,128,0,20.8,9.0369403922874e-05,0.00048640706837947
174.8,128,0,21.2,9.0822854412968e-05,0.0004864070567188
175.2,128,0,21.6,9.1207683597412e-05,0.00048640713415458
175.6,128,0,22,9.1516629056584e-05,0.00048640721132755
176,128,0,22.4,9.1825574515756e-05,0.00048640728850053
176.4,128,0,22.8,9.2134519974928e-05,0.00048640736567351
176.8,128,0,23.2,9.2446703910113e-05,0.00048640744962722
177.2,128,0,23.6,9.276698988145e-05,0.00048640755054499
177.6,128,0,24,9.3087275852788e-05,0.00048640765146276
178,128,0,24.4,9.3407561824125e-05,0.00048640775238053
178.4,128,0,24.8,9.3727847795462e-05,0.0004864078532983
178.8,128,0,25.2,9.396577879769e-05,0.00048640786435454
179.2,128,0,25.6,9.4173193392473e-05,0.00048640784211284
179.6,128,0,26,9.4380607987256e-05,0.00048640781987114
180,128,0,26.4,9.4588022582039e-05,0.00048640779762943
180.4,128,0,26.8,9.4795437176823e-05,0.00048640777538773
180.8,128,0,27.2,9.5002851771606e-05,0.00048640775314603
181.2,128,0,27.6,9.5213677767838e-05,0.0004864077317131
181.6,128,0,28,9.5429058469057e-05,0.00048640771136001
182,128,0,28.4,9.5644439170277e-05,0.00048640769100692
182.4,128,0,28.8,9.5855539340071e-05,0.00048640767199469
182.8,128,0,29.2,9.5988861918731e-05,0.00048640767734599
183.2,128,0,29.6,9.6120015653051e-05,0.000486407682648
183.6,128,0,30,9.6248884492771e-05,0.00048640768789808
184,128,0,30.4,9.6377753332491e-05,0.00048640769314816
