x,y,z,id,xi,xv
0,128,0,0,1.0007433426196e-06,8.1589797966057e-06
1,128,0,1,1.000743362829e-06,8.1589250306661e-06
2,128,0,2,1.0007433830385e-06,8.1588702647265e-06
3,128,0,3,1.000743403248e-06,8.1588154987868e-06
4,128,0,4,1.0007434234574e-06,8.1587607328472e-06
5,128,0,5,1.0007438263042e-06,8.1587450795516e-06
6,128,0,6,1.000744229151e-06,8.158729426256e-06
7,128,0,7,1.0007446319978e-06,8.1587137729603e-06
8,128,0,8,1.0007450348445e-06,8.1586981196647e-06
9,128,0,9,1.0007454238841e-06,8.1587240547324e-06
10,128,0,10,1.0007458129236e-06,8.1587499898e-06
11,128,0,11,1.0007462019631e-06,8.1587759248677e-06
12,128,0,12,1.0007465910027e-06,8.1588018599353e-06
13,128,0,13,1.0007470739144e-06,8.158797842199e-06
14,128,0,14,1.0007475568262e-06,8.1587938244626e-06
15,128,0,15,1.000748039738e-06,8.1587898067263e-06
16,128,0,16,1.0007485226498e-06,8.1587857889899e-06
17,128,0,17,1.0007489939716e-06,8.1587867656652e-06
18,128,0,18,1.0007494652934e-06,8.1587877423404e-06
19,128,0,19,1.0007499366151e-06,8.1587887190156e-06
20,128,0,20,1.0007504079369e-06,8.1587896956908e-06
21,128,0,21,1.0007508371512e-06,8.158790556877e-06
22,128,0,22,1.0007512663656e-06,8.1587914180632e-06
23,128,0,23,1.0007516955799e-06,8.1587922792494e-06
24,128,0,24,1.0007521247942e-06,8.1587931404356e-06
25,128,0,25,1.0007525012698e-06,8.1587910183872e-06
26,128,0,26,1.0007528777455e-06,8.1587888963389e-06
27,128,0,27,1.0007532542211e-06,8.1587867742905e-06
28,128,0,28,1.0007536306968e-06,8.1587846522422e-06
29,128,0,29,1.0007539557281e-06,8.1587839624097e-06
30,128,0,30,1.0007542807595e-06,8.1587832725773e-06
31,128,0,31,1.0007546057908e-06,8.1587825827449e-06
32,128,0,32,1.0007549308221e-06,8.1587818929125e-06
33,128,0,33,1.00075521063e-06,8.1587825667898e-06
34,128,0,34,1.0007554904378e-06,8.1587832406672e-06
35,128,0,35,1.0007557702456e-06,8.1587839145446e-06
36,128,0,36,1.0007560500534e-06,8.158784588422e-06
37,128,0,37,1.0007562914598e-06,8.1587867871014e-06
38,128,0,38,1.0007565328662e-06,8.1587889857809e-06
39,128,0,39,1.0007567742726e-06,8.1587911844603e-06
40,128,0,40,1.000757015679e-06,8.1587933831397e-06
41,128,0,41,1.0007572251802e-06,8.1587937041379e-06
42,128,0,42,1.0007574346813e-06,8.1587940251361e-06
43,128,0,43,1.0007576441825e-06,8.1587943461343e-06
44,128,0,44,1.0007578536837e-06,8.1587946671324e-06
45,128,0,45,1.0007580355028e-06,8.1587939394911e-06
46,128,0,46,1.0007582173219e-06,8.1587932118499e-06
47,128,0,47,1.000758399141e-06,8.1587924842086e-06
48,128,0,48,1.00075858096e-06,8.1587917565673e-06
49,128,0,49,1.0007587398687e-06,8.1587890749807e-06
50,128,0,50,1.0007588987773e-06,8.1587863933941e-06
51,128,0,51,1.000759057686e-06,8.1587837118075e-06
52,128,0,52,1.0007592165946e-06,8.1587810302209e-06
53,128,0,53,1.0007593569195e-06,8.1587843232508e-06
54,128,0,54,1.0007594972444e-06,8.1587876162807e-06
55,128,0,55,1.0007596375693e-06,8.1587909093107e-06
56,128,0,56,1.0007597778942e-06,8.1587942023406e-06
57,128,0,57,1.0007599011524e-06,8.1587927792758e-06
58,128,0,58,1.0007600244105e-06,8.158791356211e-06
59,128,0,59,1.0007601476686e-06,8.1587899331463e-06
60,128,0,60,1.0007602709268e-06,8.1587885100815e-06
61,128,0,61,1.0007603779343e-06,8.1587899354315e-06
62,128,0,62,1.0007604849419e-06,8.1587913607816e-06
63,128,0,63,1.0007605919494e-06,8.1587927861316e-06
64,128,0,64,1.0007606989569e-06,8.1587942114817e-06
65,128,0,65,1.0007607875879e-06,8.1587932070732e-06
66,128,0,66,1.0007608762189e-06,8.1587922026647e-06
67,128,0,67,1.0007609648499e-06,8.1587911982562e-06
68,128,0,68,1.0007610534809e-06,8.1587901938478e-06
