x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,4.029260073093e-06,0.0019341262303253
154.4,128,0,0.80000000000001,8.0585201461865e-06,0.0038682524606509
154.8,128,0,1.2,1.2087780219279e-05,0.0058023786909759
155.2,128,0,1.6,1.6117040292371e-05,0.007736504921301
155.6,128,0,2,2.0146300365464e-05,0.0096706311516263
156,128,0,2.4,2.4175560438557e-05,0.011604757381952
156.4,128,0,2.8,2.7805318715874e-05,0.013230787303731
156.8,128,0,3.2,3.0907457517418e-05,0.014444559247825
157.2,128,0,3.6,3.3957269623691e-05,0.015610621907499
157.6,128,0,4,3.7007081729964e-05,0.016776684567173
158,128,0,4.4,4.0056893836236e-05,0.017942747226847
158.4,128,0,4.8,4.2838281757827e-05,0.01892929805015
158.8,128,0,5.2,4.5356643008639e-05,0.019739946688101
159.2,128,0,5.6,4.7875004259449e-05,0.020550595326053
159.6,128,0,6,5.0096584252602e-05,0.021182092516805
160,128,0,6.4,5.2215837483206e-05,0.021751820350076
160.4,128,0,6.8,5.433509071381e-05,0.022321548183347
160.8,128,0,7.2,5.6454343944414e-05,0.022891276016618
161.2,128,0,7.6,5.840865185497e-05,0.023368650865338
161.6,128,0,8,6.0290871537318e-05,0.023805663471444
162,128,0,8.4,6.2173091219667e-05,0.024242676077549
162.4,128,0,8.8,6.3716573822298e-05,0.024522885457242
162.8,128,0,9.2,6.5179197467835e-05,0.024765664788334
163.2,128,0,9.6,6.6641821113373e-05,0.025008444119426
163.6,128,0,10,6.8104444758911e-05,0.025251223450518
164,128,0,10.4,6.9567068404449e-05,0.025494002781611
164.4,128,0,10.8,7.0988597096999e-05,0.025721365193298
164.8,128,0,11.2,7.2243732176363e-05,0.025886304442589
165.2,128,0,11.6,7.3498867255727e-05,0.026051243691881
165.6,128,0,12,7.4738414898504e-05,0.02621033537762
166,128,0,12.4,7.5869980129503e-05,0.026328917899975
166.4,128,0,12.8,7.7001545360502e-05,0.02644750042233
166.8,128,0,13.2,7.8133110591501e-05,0.026566082944684
167.2,128,0,13.6,7.9165701340337e-05,0.02666274840697
167.6,128,0,14,7.995635170397e-05,0.02670583822188
168,128,0,14.4,8.0747002067603e-05,0.026748928036789
168.4,128,0,14.8,8.1537652431237e-05,0.026792017851699
168.8,128,0,15.2,8.2326003813316e-05,0.02683438776205
169.2,128,0,15.6,8.3093535527039e-05,0.026870238188103
169.6,128,0,16,8.3861067240762e-05,0.026906088614157
170,128,0,16.4,8.4628598954486e-05,0.02694193904021
170.4,128,0,16.8,8.5396130668209e-05,0.026977789466263
170.8,128,0,17.2,8.5942245286471e-05,0.026991235225753
171.2,128,0,17.6,8.644307822542e-05,0.027000099040364
171.6,128,0,18,8.6943911164369e-05,0.027008962854976
172,128,0,18.4,8.7444744103319e-05,0.027017826669587
172.4,128,0,18.8,8.7945577042268e-05,0.027026690484199
172.8,128,0,19.2,8.8446409981217e-05,0.02703555429881
173.2,128,0,19.6,8.8947493196076e-05,0.027044433296133
173.6,128,0,20,8.9480828283808e-05,0.027055268817723
174,128,0,20.4,9.0014163371541e-05,0.027066104339313
174.4,128,0,20.8,9.0547498459274e-05,0.027076939860903
174.8,128,0,21.2,9.1003203680406e-05,0.027083752124355
175.2,128,0,21.6,9.1390090898705e-05,0.027087121452929
175.6,128,0,22,9.1700777336095e-05,0.027088029192292
176,128,0,22.4,9.2011463773484e-05,0.027088936931654
176.4,128,0,22.8,9.2322150210874e-05,0.027089844671017
176.8,128,0,23.2,9.2636101352985e-05,0.027090764485429
177.2,128,0,23.6,9.2958220150369e-05,0.02709171450926
177.6,128,0,24,9.3280338947753e-05,0.027092664533092
178,128,0,24.4,9.3602457745137e-05,0.027093614556924
178.4,128,0,24.8,9.3924576542521e-05,0.027094564580756
178.8,128,0,25.2,9.4163758469459e-05,0.027094915124628
179.2,128,0,25.6,9.4372208367011e-05,0.027095043532848
179.6,128,0,26,9.4580658264564e-05,0.027095171941069
180,128,0,26.4,9.4789108162117e-05,0.027095300349289
180.4,128,0,26.8,9.499755805967e-05,0.02709542875751
180.8,128,0,27.2,9.5206007957223e-05,0.02709555716573
181.2,128,0,27.6,9.541790675027e-05,0.027095696792799
181.6,128,0,28,9.5634410308176e-05,0.027095851398622
182,128,0,28.4,9.5850913866082e-05,0.027096006004445
182.4,128,0,28.8,9.6063077349785e-05,0.027096152955711
182.8,128,0,29.2,9.6196381345441e-05,0.027096160823062
183.2,128,0,29.6,9.6327453869865e-05,0.02709616842035
183.6,128,0,30,9.6456175521763e-05,0.027096175733124
184,128,0,30.4,9.6584897173662e-05,0.027096183045899
184.4,128,0,30.8,9.671361882556e-05,0.027096190358674
184.8,128,0,31.2,9.6842340477458e-05,0.027096197671449
185.2,128,0,31.6,9.6971062129356e-05,0.027096204984223
185.6,128,0,32,9.7099783781255e-05,0.027096212296998
186,128,0,32.4,9.7228505433153e-05,0.027096219609773
186.4,128,0,32.8,9.7357227085051e-05,0.027096226922548
186.8,128,0,33.2,9.748594873695e-05,0.027096234235323
187.2,128,0,33.6,9.7614670388848e-05,0.027096241548097
187.6,128,0,34,9.7719091649463e-05,0.027096246082909
188,128,0,34.4,9.7789655649984e-05,0.02709624674724
188.4,128,0,34.8,9.7860219650505e-05,0.027096247411571
188.8,128,0,35.2,9.7930783651025e-05,0.027096248075901
189.2,128,0,35.6,9.8001347651546e-05,0.027096248740232
189.6,128,0,36,9.8071911652066e-05,0.027096249404563
190,128,0,36.4,9.8142475652587e-05,0.027096250068893
190.4,128,0,36.8,9.8213039653108e-05,0.027096250733224
190.8,128,0,37.2,9.8283603653628e-05,0.027096251397555
191.2,128,0,37.6,9.8350723251369e-05,0.027096252023066
191.6,128,0,38,9.8416695222049e-05,0.027096252635644
192,128,0,38.4,9.848266719273e-05,0.027096253248222
192.4,128,0,38.8,9.854863916341e-05,0.0270962538608
192.8,128,0,39.2,9.8599397082481e-05,0.027096252818431
193.2,128,0,39.6,9.8630417686371e-05,0.027096249629085
193.6,128,0,40,9.8661438290261e-05,0.027096246439739
194,128,0,40.4,9.8692458894151e-05,0.027096243250394
194.4,128,0,40.8,9.8723479498041e-05,0.027096240061048
194.8,128,0,41.2,9.875450010193e-05,0.027096236871702
195.2,128,0,41.6,9.8786442134086e-05,0.027096233989179
195.6,128,0,42,9.8820538845327e-05,0.027096231824134
196,128,0,42.4,9.8854635556568e-05,0.027096229659089
