x,y,z,id,xi,xv
0,128,0,0,3.2697940666216e-05,3.9572677907726e-05
1,128,0,1,3.2697940644202e-05,3.9572676443719e-05
2,128,0,2,3.2697940622187e-05,3.9572674979712e-05
3,128,0,3,3.2697940600173e-05,3.9572673515705e-05
4,128,0,4,3.2697940578159e-05,3.9572672051698e-05
5,128,0,5,3.2697940580868e-05,3.9572675648534e-05
6,128,0,6,3.2697940583577e-05,3.9572679245371e-05
7,128,0,7,3.2697940586286e-05,3.9572682842208e-05
8,128,0,8,3.2697940588995e-05,3.9572686439045e-05
9,128,0,9,3.2697940612322e-05,3.9572683941168e-05
10,128,0,10,3.2697940635648e-05,3.957268144329e-05
11,128,0,11,3.2697940658975e-05,3.9572678945413e-05
12,128,0,12,3.2697940682301e-05,3.9572676447536e-05
13,128,0,13,3.269794071098e-05,3.957267849295e-05
14,128,0,14,3.2697940739659e-05,3.9572680538363e-05
15,128,0,15,3.2697940768338e-05,3.9572682583776e-05
16,128,0,16,3.2697940797017e-05,3.957268462919e-05
17,128,0,17,3.2697940816199e-05,3.9572684268602e-05
18,128,0,18,3.269794083538e-05,3.9572683908014e-05
19,128,0,19,3.2697940854562e-05,3.9572683547426e-05
20,128,0,20,3.2697940873744e-05,3.9572683186838e-05
21,128,0,21,3.269794087746e-05,3.9572685102621e-05
22,128,0,22,3.2697940881177e-05,3.9572687018404e-05
23,128,0,23,3.2697940884893e-05,3.9572688934187e-05
24,128,0,24,3.269794088861e-05,3.9572690849971e-05
25,128,0,25,3.2697940879522e-05,3.9572687389481e-05
26,128,0,26,3.2697940870435e-05,3.9572683928991e-05
27,128,0,27,3.2697940861348e-05,3.95726804685e-05
28,128,0,28,3.269794085226e-05,3.957267700801e-05
29,128,0,29,3.2697940835186e-05,3.9572676904943e-05
30,128,0,30,3.2697940818111e-05,3.9572676801876e-05
31,128,0,31,3.2697940801036e-05,3.9572676698809e-05
32,128,0,32,3.2697940783962e-05,3.9572676595742e-05
33,128,0,33,3.2697940762374e-05,3.9572676939165e-05
34,128,0,34,3.2697940740787e-05,3.9572677282588e-05
35,128,0,35,3.2697940719199e-05,3.9572677626011e-05
36,128,0,36,3.2697940697612e-05,3.9572677969434e-05
37,128,0,37,3.2697940674043e-05,3.9572680906523e-05
38,128,0,38,3.2697940650475e-05,3.9572683843613e-05
39,128,0,39,3.2697940626907e-05,3.9572686780702e-05
40,128,0,40,3.2697940603338e-05,3.9572689717792e-05
41,128,0,41,3.269794058168e-05,3.9572689583912e-05
42,128,0,42,3.2697940560022e-05,3.9572689450032e-05
43,128,0,43,3.2697940538364e-05,3.9572689316152e-05
44,128,0,44,3.2697940516706e-05,3.9572689182272e-05
45,128,0,45,3.2697940502697e-05,3.9572689194041e-05
46,128,0,46,3.2697940488688e-05,3.9572689205809e-05
47,128,0,47,3.2697940474679e-05,3.9572689217578e-05
48,128,0,48,3.269794046067e-05,3.9572689229347e-05
49,128,0,49,3.2697940459725e-05,3.957268541926e-05
50,128,0,50,3.269794045878e-05,3.9572681609172e-05
51,128,0,51,3.2697940457836e-05,3.9572677799085e-05
52,128,0,52,3.2697940456891e-05,3.9572673988998e-05
53,128,0,53,3.269794047177e-05,3.957267792877e-05
54,128,0,54,3.2697940486649e-05,3.9572681868541e-05
55,128,0,55,3.2697940501529e-05,3.9572685808313e-05
56,128,0,56,3.2697940516408e-05,3.9572689748085e-05
57,128,0,57,3.2697940546272e-05,3.9572688597876e-05
58,128,0,58,3.2697940576137e-05,3.9572687447668e-05
59,128,0,59,3.2697940606001e-05,3.9572686297459e-05
60,128,0,60,3.2697940635866e-05,3.9572685147251e-05
61,128,0,61,3.2697940672691e-05,3.9572686185264e-05
62,128,0,62,3.2697940709516e-05,3.9572687223277e-05
63,128,0,63,3.2697940746341e-05,3.9572688261291e-05
64,128,0,64,3.2697940783166e-05,3.9572689299304e-05
65,128,0,65,3.269794081205e-05,3.9572689111839e-05
66,128,0,66,3.2697940840933e-05,3.9572688924375e-05
67,128,0,67,3.2697940869817e-05,3.957268873691e-05
68,128,0,68,3.26979408987e-05,3.9572688549445e-05
69,128,0,69,3.2697940906571e-05,3.9572685919929e-05
70,128,0,70,3.2697940914442e-05,3.9572683290413e-05
71,128,0,71,3.2697940922313e-05,3.9572680660897e-05
72,128,0,72,3.2697940930183e-05,3.9572678031381e-05
