x,y,z,id,xi,xv
153.6,128,0,0,-2.5762353561485e-215,-2.5762353561485e-215
154,128,0,0.40000000000001,6.6611977554047e-06,3.1876109457097e-05
154.4,128,0,0.80000000000001,1.332239551081e-05,6.3752218914197e-05
154.8,128,0,1.2,1.9983593266214e-05,9.5628328371288e-05
155.2,128,0,1.6,2.6644791021617e-05,0.00012750443782838
155.6,128,0,2,3.3305988777022e-05,0.00015938054728548
156,128,0,2.4,3.9967186532427e-05,0.00019125665674257
156.4,128,0,2.8,4.6106356615226e-05,0.00020632691880955
156.8,128,0,3.2,5.1562115846777e-05,0.00020111664985332
157.2,128,0,3.6,5.6957775530836e-05,0.00019633405822346
157.6,128,0,4,6.2353435214894e-05,0.00019155146659361
158,128,0,4.4,6.7749094898952e-05,0.00018676887496376
158.4,128,0,4.8,7.2758283824256e-05,0.00018455153508072
158.8,128,0,5.2,7.7388773202985e-05,0.00018484786447632
159.2,128,0,5.6,8.2019262581713e-05,0.00018514419387191
159.6,128,0,6,8.620007713024e-05,0.00018566946743318
160,128,0,6.4,9.0225848971768e-05,0.0001862736783083
160.4,128,0,6.8,9.4251620813296e-05,0.00018687788918342
160.8,128,0,7.2,9.8277392654824e-05,0.00018748210005854
161.2,128,0,7.6,0.00010204532106069,0.00018747519366686
161.6,128,0,8,0.00010570056074991,0.0001872012026378
162,128,0,8.4,0.00010935580043913,0.00018692721160875
162.4,128,0,8.8,0.00011244516280321,0.00018682604298145
162.8,128,0,9.2,0.00011539944621346,0.00018676612829416
163.2,128,0,9.6,0.00011835372962371,0.00018670621360687
163.6,128,0,10,0.00012130801303396,0.00018664629891959
164,128,0,10.4,0.0001242622964442,0.0001865863842323
164.4,128,0,10.8,0.00012714399646946,0.00018654874020947
164.8,128,0,11.2,0.00012973180610655,0.00018660127018749
165.2,128,0,11.6,0.00013231961574364,0.00018665380016551
165.6,128,0,12,0.00013487994800175,0.00018670087190068
166,128,0,12.4,0.00013724992993289,0.0001867101315028
166.4,128,0,12.8,0.00013961991186403,0.00018671939110492
166.8,128,0,13.2,0.00014198989379516,0.00018672865070704
167.2,128,0,13.6,0.00014416716384959,0.00018673390400686
167.6,128,0,14,0.00014587335504952,0.00018672936401149
168,128,0,14.4,0.00014757954624944,0.00018672482401611
168.4,128,0,14.8,0.00014928573744936,0.00018672028402073
168.8,128,0,15.2,0.00015098767919896,0.00018671531481022
169.2,128,0,15.6,0.00015265113775756,0.00018670645861042
169.6,128,0,16,0.00015431459631615,0.00018669760241062
170,128,0,16.4,0.00015597805487474,0.00018668874621082
170.4,128,0,16.8,0.00015764151343333,0.00018667989001101
170.8,128,0,17.2,0.00015883631705928,0.00018667938080179
171.2,128,0,17.6,0.00015993527676529,0.00018668057862314
171.6,128,0,18,0.00016103423647131,0.00018668177644449
172,128,0,18.4,0.00016213319617733,0.00018668297426584
172.4,128,0,18.8,0.00016323215588335,0.00018668417208718
172.8,128,0,19.2,0.00016433111558936,0.00018668536990853
173.2,128,0,19.6,0.00016543061719132,0.00018668656703527
173.6,128,0,20,0.00016659995036016,0.000186687674651
174,128,0,20.4,0.00016776928352899,0.00018668878226673
174.4,128,0,20.8,0.00016893861669783,0.00018668988988246
174.8,128,0,21.2,0.00016993588718095,0.00018669032799774
175.2,128,0,21.6,0.0001707803894542,0.0001866902145197
175.6,128,0,22,0.00017145315007463,0.00018668994813921
176,128,0,22.4,0.00017212591069506,0.00018668968175871
176.4,128,0,22.8,0.00017279867131549,0.00018668941537822
176.8,128,0,23.2,0.00017347867253599,0.0001866891304649
177.2,128,0,23.6,0.00017417678832744,0.00018668879918605
177.6,128,0,24,0.0001748749041189,0.00018668846790721
178,128,0,24.4,0.00017557301991036,0.00018668813662836
178.4,128,0,24.8,0.00017627113570181,0.00018668780534951
178.8,128,0,25.2,0.00017677716138646,0.00018668774479984
179.2,128,0,25.6,0.00017721200861002,0.00018668778456812
179.6,128,0,26,0.00017764685583357,0.00018668782433639
180,128,0,26.4,0.00017808170305712,0.00018668786410467
180.4,128,0,26.8,0.00017851655028067,0.00018668790387295
180.8,128,0,27.2,0.00017895139750423,0.00018668794364123
181.2,128,0,27.6,0.00017939385963121,0.00018668798131527
181.6,128,0,28,0.00017984648873476,0.00018668801619321
182,128,0,28.4,0.00018029911783832,0.00018668805107114
