time,average_xi,average_xv,center_xi,center_xs,center_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv
0,0,0,0,0,0,0,0,0,0,0,0
1,9.8382812343035e-07,9.9548752607635e-07,1.2122257066302e-07,1,4.0017714226846e-07,-6.4463695304779e-07,-1.262333811277e-09,6.4463700112563e-07,1.2623336699476e-09,0.064476159897131,0.065240270508939
2.2,2.1570637967932e-06,2.1900236167181e-06,1.9550422865707e-07,1,8.7875915456104e-07,-1.2025433833314e-06,-2.7745231798176e-09,1.2025434822655e-06,2.774523038198e-09,0.14136533298664,0.14352538774524
3.64,3.5545206075485e-06,3.6234204012586e-06,2.3929590801664e-07,1,1.4500525526733e-06,-1.6880899496279e-06,-4.5843640318802e-09,1.6880900115038e-06,4.5843638899062e-09,0.2329490625363,0.23746447941689
5.368,5.2189661655787e-06,5.3434253483612e-06,2.6982327556384e-07,1,2.1310323639572e-06,-2.1425800700365e-06,-6.7488697432109e-09,2.1425800997111e-06,6.7488696008143e-09,0.34203016662737,0.3501867236302
7.4416,7.2014323864942e-06,7.4073273988969e-06,2.9474467284314e-07,1,2.9415851988278e-06,-2.5930273620786e-06,-9.3356592761031e-09,2.5930273789439e-06,9.3356591332868e-09,0.47195307288128,0.48544660841411
9.92992,9.5623534133233e-06,9.8838603930549e-06,3.168186201466e-07,1,3.9048056716814e-06,-3.0542953053629e-06,-1.2424601007369e-08,3.0542953176788e-06,1.2424600864181e-08,0.62667839329556,0.64774867471925
12.915904,1.2373144955895e-05,1.2855486019202e-05,3.3711071306154e-07,1,5.0472991551997e-06,-3.5353091706298e-06,-1.6109684110982e-08,3.5353091801678e-06,1.6109683967415e-08,0.81088642782954,0.8424971317544
16.4990848,1.5718094810773e-05,1.6421131241288e-05,3.5614533078856e-07,1,6.3994470310871e-06,-4.0424757429434e-06,-2.0501080029568e-08,4.0424757492381e-06,2.0501079885727e-08,1.0301010615188,1.076175257029
20.79890176,1.9696546664178e-05,2.0699470107385e-05,3.7424362876563e-07,1,7.9955869877107e-06,-4.5811575177104e-06,-2.572735040693e-08,4.5811575217252e-06,2.5727350263093e-08,1.2908328821836,1.3565604729576
25.958682112,2.4425394046355e-05,2.5832857544245e-05,3.9162615618913e-07,1,9.874051432037e-06,-5.1562929907405e-06,-3.1937738677508e-08,5.1562929930137e-06,3.1937738534024e-08,1.6007426242219,1.6929821520196
32.1504185344,3.0041908267164e-05,3.1992043898581e-05,4.084522626278e-07,1,1.2076995909179e-05,-5.7726795384672e-06,-3.9304454959776e-08,5.7726795399715e-06,3.9304454817188e-08,1.9688265001969,2.0966305889374
39.58050224128,3.6706920786151e-05,3.9381824228978e-05,4.2484021563633e-07,1,1.4649940439769e-05,-6.4351197156644e-06,-4.8024831575075e-08,6.4351197155307e-06,4.8024831434159e-08,2.4056247606412,2.5809272326703
48.496602689536,4.4608370713142e-05,4.8247806540025e-05,4.4087946265368e-07,1,1.7640944809755e-05,-7.1485059922414e-06,-5.832319466039e-08,7.1485059899828e-06,5.8323194522373e-08,2.9234541830565,3.1619682494071
59.195923227443,5.3965212950889e-05,5.8884519134908e-05,4.5663869766407e-07,1,2.1099350315994e-05,-7.9178728791044e-06,-7.0452274093744e-08,7.91787287683e-06,7.0452273959918e-08,3.5366641959495,3.8590558460253
72.035107872932,6.5031658696682e-05,7.1645120415653e-05,4.721713531588e-07,1,2.5074052421654e-05,-8.7484283433842e-06,-8.4693971529858e-08,8.7484283429459e-06,8.4693971402068e-08,4.2619147843458,4.6953346115603
87.442129447518,7.8101686827012e-05,8.6953025965773e-05,4.8751942387943e-07,1,2.9611327231775e-05,-9.6455696161494e-06,-1.0135933993484e-07,9.6455696184257e-06,1.0135933981512e-07,5.1184721478951,5.6985535096929
105.93055533702,9.3513717632145e-05,0.00010531582932387,5.027161847775e-07,1,3.4752321257762e-05,-1.061488536357e-05,-1.2078771334858e-07,1.0614885357145e-05,1.2078771324052e-07,6.1285149987403,6.9019781905693
128.11666640443,0.00011165527477439,0.00012734196656222,5.1778815493146e-07,1,4.0530420810822e-05,-1.1662144245358e-05,-1.4334507215224e-07,1.166214423577e-05,1.433450720594e-07,7.3174400876144,8.3454831206215
154.73999968531,0.00013296737474731,0.00015376066237846,5.3275654672884e-07,1,4.6968822674632e-05,-1.279326890186e-05,-1.6942192930248e-07,1.2793268887694e-05,1.6942192922815e-07,8.71414987144,10.076858769635
186.68799962237,0.00015794826604573,0.00018544579994131,5.4763834733177e-07,1,5.4078694808225e-05,-1.401429306605e-05,-1.9943124192972e-07,1.4014293044796e-05,1.9943124187821e-07,10.351297563573,12.153375944953
225.02559954685,0.00018715598884194,0.00022344448061292,5.6244713239119e-07,1,6.1858300274979e-05,-1.5331298795127e-05,-2.3380702082372e-07,1.533129879201e-05,2.3380702079847e-07,12.265454884745,14.643657481449
271.03071945622,0.00022120903112869,0.00026901118604215,5.7719368764368e-07,1,7.0293326141271e-05,-1.6750329761527e-05,-2.7300433572141e-07,1.6750329758538e-05,2.7300433572541e-07,14.49715506405,17.629917088458
326.23686334746,0.00026078411315272,0.00032364862807937,5.9188648273595e-07,1,7.935841629405e-05,-1.8277275338841e-05,-3.1750122054714e-07,1.8277275324254e-05,3.1750122058061e-07,17.090747639576,21.21063648981
392.48423601695,0.00030660983129814,0.00038915657599076,6.0653202913817e-07,1,8.9019615303155e-05,-1.9917719305461e-05,-3.6780256788201e-07,1.9917719295031e-05,3.6780256794475e-07,20.093981903955,25.503765364131
471.98108322034,0.00035945453224434,0.00046769019159795,6.2113515185867e-07,1,9.9237201858859e-05,-2.1676745322274e-05,-4.2444558829306e-07,2.1676745305375e-05,4.2444558838007e-07,23.557212225165,30.650544396563
567.37729986441,0.00042010637871949,0.00056182968840006,6.3569918845442e-07,1,0.00010996833768334,-2.3558690024162e-05,-4.8800602831575e-07,2.3558689991098e-05,4.8800602841976e-07,27.53209163576,36.820070458987
681.8527598373,0.00048934311511565,0.00067466346900399,6.5022612649022e-07,1,0.00012116912074595,-2.5566832534808e-05,-5.5910431395369e-07,2.5566832525185e-05,5.5910431406948e-07,32.069590392219,44.214745104645
819.22331180476,0.00056788860010998,0.00080988729434234,6.6471668142427e-07,1,0.00013279593058638,-2.7703007301455e-05,-6.3841116032711e-07,2.7703007265388e-05,6.3841116045577e-07,37.217147296808,53.07677372202
