x,y,z,id,xi,xv
0,128,0,0,1.2345733729199e-81,1.2345733729199e-81
1,128,0,1,4.122754639017e-07,2.054984434495e-06
2,128,0,2,7.3807771987751e-07,1.5507292892714e-06
3,128,0,3,9.9057835564086e-07,1.6741485084778e-06
4,128,0,4,1.1822648430613e-06,1.6440224263972e-06
5,128,0,5,1.3246573112864e-06,1.6513593740268e-06
6,128,0,6,1.4280815761215e-06,1.6495856463163e-06
7,128,0,7,1.5015073646113e-06,1.6500205041635e-06
8,128,0,8,1.5524654454973e-06,1.6499145984514e-06
9,128,0,9,1.58705509071e-06,1.6499316503847e-06
10,128,0,10,1.6100390607403e-06,1.6499350241428e-06
11,128,0,11,1.6250059080926e-06,1.649931250236e-06
12,128,0,12,1.6345691240546e-06,1.649925165137e-06
13,128,0,13,1.6405727735327e-06,1.6499216615702e-06
14,128,0,14,1.6442807388036e-06,1.6499297986578e-06
15,128,0,15,1.6465366426789e-06,1.6499307257332e-06
16,128,0,16,1.6478902691312e-06,1.6499322788673e-06
17,128,0,17,1.6486922529925e-06,1.6499333277345e-06
18,128,0,18,1.6491619085934e-06,1.6499365412067e-06
19,128,0,19,1.6494340297167e-06,1.6499228217507e-06
20,128,0,20,1.6495901642497e-06,1.6499301812871e-06
21,128,0,21,1.649678949112e-06,1.6499245139609e-06
22,128,0,22,1.649729021173e-06,1.6499248917444e-06
23,128,0,23,1.6497570467652e-06,1.649925176684e-06
24,128,0,24,1.6497726242856e-06,1.6499379866186e-06
25,128,0,25,1.6497812292607e-06,1.6499259857464e-06
26,128,0,26,1.6497859581807e-06,1.6499209230242e-06
27,128,0,27,1.6497885481462e-06,1.6499208998202e-06
28,128,0,28,1.6497899655379e-06,1.6499247918621e-06
29,128,0,29,1.6497907429014e-06,1.6499216354373e-06
30,128,0,30,1.6497911713173e-06,1.6499267175952e-06
31,128,0,31,1.6497914095557e-06,1.649922018549e-06
32,128,0,32,1.6497915437998e-06,1.6499244984282e-06
33,128,0,33,1.6497916201084e-06,1.6499225790972e-06
34,128,0,34,1.6497916626593e-06,1.6499367635735e-06
35,128,0,35,1.6497916845831e-06,1.6499350262433e-06
36,128,0,36,1.6497916935598e-06,1.6499271993113e-06
37,128,0,37,1.6497916945171e-06,1.6499337889703e-06
38,128,0,38,1.6497916904852e-06,1.6499231103182e-06
39,128,0,39,1.6497916831098e-06,1.6499213501205e-06
40,128,0,40,1.6497916727168e-06,1.6499365124515e-06
41,128,0,41,1.6497916586764e-06,1.6499262543181e-06
42,128,0,42,1.6497916403133e-06,1.6499241914389e-06
43,128,0,43,1.6497916183008e-06,1.649934366369e-06
44,128,0,44,1.649791593536e-06,1.6499363527702e-06
45,128,0,45,1.6497915656561e-06,1.6499268439832e-06
46,128,0,46,1.6497915324481e-06,1.6499326955166e-06
47,128,0,47,1.6497914920883e-06,1.6499368276179e-06
48,128,0,48,1.6497914424896e-06,1.6499360727932e-06
49,128,0,49,1.6497913820131e-06,1.6499210147395e-06
50,128,0,50,1.6497913086525e-06,1.649929946915e-06
51,128,0,51,1.6497912215072e-06,1.6499327821851e-06
52,128,0,52,1.6497911203821e-06,1.6499236669582e-06
53,128,0,53,1.6497910062629e-06,1.6499304122364e-06
54,128,0,54,1.6497908828925e-06,1.6499230807434e-06
55,128,0,55,1.6497907560631e-06,1.6499352561383e-06
56,128,0,56,1.6497906318699e-06,1.6499373327172e-06
57,128,0,57,1.6497905129479e-06,1.6499232415355e-06
58,128,0,58,1.6497903979431e-06,1.6499217613731e-06
59,128,0,59,1.6497902842313e-06,1.6499260484813e-06
60,128,0,60,1.6497901713685e-06,1.6499324393477e-06
61,128,0,61,1.6497900622781e-06,1.6499227162744e-06
62,128,0,62,1.649789963801e-06,1.6499357250711e-06
63,128,0,63,1.6497898839982e-06,1.6499285174596e-06
64,128,0,64,1.6497898284918e-06,1.6499356568951e-06
65,128,0,65,1.6497897998875e-06,1.6499327800244e-06
66,128,0,66,1.6497897985906e-06,1.6499193041117e-06
67,128,0,67,1.6497898250565e-06,1.6499271618406e-06
68,128,0,68,1.6497898786807e-06,1.6499361483067e-06
69,128,0,69,1.649789960298e-06,1.6499362927241e-06
70,128,0,70,1.649790069531e-06,1.64993189491e-06
71,128,0,71,1.6497902044075e-06,1.6499225149144e-06
72,128,0,72,1.6497903607673e-06,1.6499263976515e-06
73,128,0,73,1.6497905310567e-06,1.649930094188e-06
74,128,0,74,1.6497907058294e-06,1.6499291408007e-06
75,128,0,75,1.6497908753898e-06,1.6499378658535e-06
76,128,0,76,1.6497910324097e-06,1.6499365426254e-06
77,128,0,77,1.6497911717223e-06,1.649931827131e-06
78,128,0,78,1.6497912903974e-06,1.6499234859216e-06
79,128,0,79,1.6497913877067e-06,1.649931752541e-06
80,128,0,80,1.6497914641431e-06,1.6499379203692e-06
81,128,0,81,1.6497915210752e-06,1.6499307404296e-06
82,128,0,82,1.6497915602751e-06,1.6499215246747e-06
83,128,0,83,1.6497915851172e-06,1.6499257002395e-06
84,128,0,84,1.6497915993441e-06,1.6499294621355e-06
85,128,0,85,1.6497916065786e-06,1.6499303212435e-06
86,128,0,86,1.6497916099113e-06,1.6499289663622e-06
87,128,0,87,1.649791612812e-06,1.6499299994727e-06
88,128,0,88,1.6497916182731e-06,1.6499252069242e-06
89,128,0,89,1.6497916280112e-06,1.6499206565736e-06
90,128,0,90,1.649791642085e-06,1.6499225849571e-06
91,128,0,91,1.649791659988e-06,1.6499370311379e-06
92,128,0,92,1.6497916808872e-06,1.6499249862297e-06
93,128,0,93,1.649791703577e-06,1.6499306292907e-06
94,128,0,94,1.6497917267521e-06,1.6499247450298e-06
95,128,0,95,1.6497917494142e-06,1.649931719842e-06
96,128,0,96,1.6497917703356e-06,1.6499261107795e-06
97,128,0,97,1.6497917878072e-06,1.6499294455455e-06
98,128,0,98,1.6497918000918e-06,1.6499240827911e-06
99,128,0,99,1.6497918060767e-06,1.6499345135211e-06
100,128,0,100,1.6497918051164e-06,1.6499270669445e-06
101,128,0,101,1.649791796788e-06,1.6499279420765e-06
102,128,0,102,1.6497917808027e-06,1.6499240174906e-06
103,128,0,103,1.6497917573951e-06,1.6499271381002e-06
104,128,0,104,1.6497917271097e-06,1.6499288887153e-06
105,128,0,105,1.6497916906537e-06,1.6499375290827e-06
106,128,0,106,1.649791649206e-06,1.6499294726837e-06
107,128,0,107,1.6497916047076e-06,1.6499247540499e-06
108,128,0,108,1.6497915592316e-06,1.6499307525521e-06
109,128,0,109,1.6497915142133e-06,1.6499254754985e-06
110,128,0,110,1.649791470448e-06,1.649927087847e-06
111,128,0,111,1.6497914286005e-06,1.6499214197411e-06
112,128,0,112,1.6497913886562e-06,1.6499286239991e-06
113,128,0,113,1.6497913486268e-06,1.6499219795388e-06
114,128,0,114,1.6497913034583e-06,1.6499257346816e-06
115,128,0,115,1.6497912457388e-06,1.649936564155e-06
116,128,0,116,1.6497911649764e-06,1.6499359960863e-06
117,128,0,117,1.6497910482405e-06,1.6499313600598e-06
118,128,0,118,1.6497908797896e-06,1.6499216392445e-06
119,128,0,119,1.649790642002e-06,1.6499263518435e-06
120,128,0,120,1.6497903150387e-06,1.6499377676034e-06
121,128,0,121,1.6497898770652e-06,1.6499240076353e-06
122,128,0,122,1.6497893057683e-06,1.6499352195144e-06
123,128,0,123,1.6497885801676e-06,1.6499375666508e-06
124,128,0,124,1.6497876829342e-06,1.6499379929662e-06
125,128,0,125,1.6497866015726e-06,1.6499349997392e-06
126,128,0,126,1.6497853329157e-06,1.6499262596263e-06
127,128,0,127,1.6497838890443e-06,1.6499207647871e-06
128,128,0,128,1.6497823032188e-06,1.6499252935152e-06
129,128,0,129,1.6497806311517e-06,1.6499279336851e-06
130,128,0,130,1.6497789487084e-06,1.6499365683544e-06
131,128,0,131,1.6497773393059e-06,1.6499346683606e-06
132,128,0,132,1.6497758813973e-06,1.6499338819453e-06
133,128,0,133,1.6497746362866e-06,1.649917296976e-06
134,128,0,134,1.6497736534515e-06,1.6499638942174e-06
135,128,0,135,1.6497729661463e-06,1.6499457433571e-06
136,128,0,136,1.649772596439e-06,1.6498410782073e-06
137,128,0,137,1.6497725584108e-06,1.6499572392916e-06
138,128,0,138,1.6497728443056e-06,1.6499268319517e-06
139,128,0,139,1.6497734202081e-06,1.6499421261992e-06
140,128,0,140,1.649774231611e-06,1.6499292934295e-06
141,128,0,141,1.6497752068664e-06,1.6499336107015e-06
142,128,0,142,1.6497762730669e-06,1.649938489812e-06
143,128,0,143,1.6497773636091e-06,1.6499379559194e-06
144,128,0,144,1.6497784263403e-06,1.6499383331355e-06
145,128,0,145,1.6497794232751e-06,1.649932511003e-06
146,128,0,146,1.6497803312565e-06,1.6499414558933e-06
147,128,0,147,1.6497811386631e-06,1.6499244435331e-06
148,128,0,148,1.6497818428221e-06,1.6499502320338e-06
