x,y,z,id,xi,xv
153.6,128,0,0,-1.3416777375873e-233,-1.3416777375873e-233
154,128,0,0.40000000000001,8.4047793760392e-06,4.6231454217146e-05
154.4,128,0,0.80000000000001,1.6809558752079e-05,9.2462908434297e-05
154.8,128,0,1.2,2.5214338128117e-05,0.00013869436265144
155.2,128,0,1.6,3.3619117504155e-05,0.00018492581686858
155.6,128,0,2,4.2023896880194e-05,0.00023115727108572
156,128,0,2.4,5.0428676256233e-05,0.00027738872530286
156.4,128,0,2.8,5.8248075242819e-05,0.00029967431406551
156.8,128,0,3.2,6.5306916880076e-05,0.00029262411104369
157.2,128,0,3.6,7.2306316559951e-05,0.00028558056208213
157.6,128,0,4,7.9305716239826e-05,0.00027853701312057
158,128,0,4.4,8.63051159197e-05,0.00027149346415901
158.4,128,0,4.8,9.2863391672026e-05,0.00026818873931592
158.8,128,0,5.2,9.8989413683126e-05,0.00026854765775324
159.2,128,0,5.6,0.00010511543569423,0.00026890657619057
159.6,128,0,6,0.00011072156399823,0.00026956933677144
160,128,0,6.4,0.0001161484389345,0.00027033685862706
160.4,128,0,6.8,0.00012157531387078,0.00027110438048268
160.8,128,0,7.2,0.00012700218880705,0.0002718719023383
161.2,128,0,7.6,0.00013213423098758,0.00027191028728181
161.6,128,0,8,0.00013713741852118,0.00027163000790613
162,128,0,8.4,0.00014214060605478,0.00027134972853046
162.4,128,0,8.8,0.00014647491012224,0.00027123503882953
162.8,128,0,9.2,0.00015064954693529,0.00027115987656508
163.2,128,0,9.6,0.00015482418374833,0.00027108471430064
163.6,128,0,10,0.00015899882056138,0.0002710095520362
164,128,0,10.4,0.00016317345737443,0.00027093438977175
164.4,128,0,10.8,0.00016726103978122,0.00027088358427022
164.8,128,0,11.2,0.00017099613858243,0.00027093139938973
165.2,128,0,11.6,0.00017473123738363,0.00027097921450924
165.6,128,0,12,0.00017843445658641,0.00027102278981707
166,128,0,12.4,0.00018191682896131,0.00027103699370854
166.4,128,0,12.8,0.00018539920133622,0.00027105119760001
166.8,128,0,13.2,0.00018888157371112,0.00027106540149148
167.2,128,0,13.6,0.00019211906401058,0.00027107414798876
167.6,128,0,14,0.00019475794684711,0.00027106955403681
168,128,0,14.4,0.00019739682968364,0.00027106496008486
168.4,128,0,14.8,0.00020003571252016,0.0002710603661329
168.8,128,0,15.2,0.00020267045352908,0.00027105543036182
169.2,128,0,15.6,0.00020526768598248,0.00027104739906305
169.6,128,0,16,0.00020786491843587,0.00027103936776429
170,128,0,16.4,0.00021046215088926,0.00027103133646552
170.4,128,0,16.8,0.00021305938334266,0.00027102330516675
170.8,128,0,17.2,0.00021503130049103,0.00027102279583308
171.2,128,0,17.6,0.00021687533534083,0.00027102382480524
171.6,128,0,18,0.00021871937019062,0.0002710248537774
172,128,0,18.4,0.00022056340504042,0.00027102588274956
172.4,128,0,18.8,0.00022240743989021,0.00027102691172172
172.8,128,0,19.2,0.00022425147474001,0.00027102794069388
173.2,128,0,19.6,0.00022609630461146,0.00027102896906856
173.6,128,0,20,0.00022804358516329,0.00027102992044809
174,128,0,20.4,0.00022999086571512,0.00027103087182762
174.4,128,0,20.8,0.00023193814626696,0.00027103182320715
174.8,128,0,21.2,0.00023364665322214,0.00027103221201559
175.2,128,0,21.6,0.00023514223380982,0.00027103213659143
175.6,128,0,22,0.00023638832112869,0.00027103192381721
176,128,0,22.4,0.00023763440844756,0.00027103171104298
176.4,128,0,22.8,0.00023888049576644,0.00027103149826875
176.8,128,0,23.2,0.00024013901335557,0.00027103127142047
177.2,128,0,23.6,0.00024142862905958,0.00027103100936164
177.6,128,0,24,0.00024271824476359,0.00027103074730281
178,128,0,24.4,0.0002440078604676,0.00027103048524399
178.4,128,0,24.8,0.00024529747617162,0.00027103022318516
178.8,128,0,25.2,0.00024628849268712,0.00027103017172026
179.2,128,0,25.6,0.00024716886409405,0.00027103019829036
179.6,128,0,26,0.00024804923550098,0.00027103022486046
180,128,0,26.4,0.0002489296069079,0.00027103025143056
180.4,128,0,26.8,0.00024980997831483,0.00027103027800065
180.8,128,0,27.2,0.00025069034972176,0.00027103030457075
181.2,128,0,27.6,0.00025158424220667,0.00027103032986669
181.6,128,0,28,0.00025249618724923,0.00027103035346145
182,128,0,28.4,0.0002534081322918,0.00027103037705621
182.4,128,0,28.8,0.00025430315519468,0.00027103039863704
182.8,128,0,29.2,0.00025489070149469,0.00027103038362478
183.2,128,0,29.6,0.00025546940168025,0.00027103038255785
183.6,128,0,30,0.00025603878241453,0.00027103039618243
184,128,0,30.4,0.0002566081631488,0.00027103040980701
184.4,128,0,30.8,0.00025717754388308,0.00027103042343159
184.8,128,0,31.2,0.00025774692461735,0.00027103043705617
185.2,128,0,31.6,0.00025831630535163,0.00027103045068075
185.6,128,0,32,0.0002588856860859,0.00027103046430533
186,128,0,32.4,0.00025945506682018,0.00027103047792991
186.4,128,0,32.8,0.00026002444755446,0.00027103049155449
186.8,128,0,33.2,0.00026059382828873,0.00027103050517907
187.2,128,0,33.6,0.00026116320902301,0.00027103051880365
187.6,128,0,34,0.00026162974030865,0.00027103052529861
188,128,0,34.4,0.00026195297346825,0.00027103052186002
188.4,128,0,34.8,0.00026227620662784,0.00027103051842142
188.8,128,0,35.2,0.00026259943978744,0.00027103051498283
189.2,128,0,35.6,0.00026292267294704,0.00027103051154424
189.6,128,0,36,0.00026324590610664,0.00027103050810564
190,128,0,36.4,0.00026356913926623,0.00027103050466705
190.4,128,0,36.8,0.00026389237242583,0.00027103050122845
190.8,128,0,37.2,0.00026421560558543,0.00027103049778986
191.2,128,0,37.6,0.00026452354674567,0.00027103039614465
191.6,128,0,38,0.0002648263928246,0.00027103026177837
192,128,0,38.4,0.00026512923890352,0.00027103012741209
192.4,128,0,38.8,0.00026543208498244,0.00027102999304581
192.8,128,0,39.2,0.00026566707815281,0.0002710300569109
193.2,128,0,39.6,0.00026581404518281,0.00027103037794321
193.6,128,0,40,0.00026596101221281,0.00027103069897552
194,128,0,40.4,0.00026610797924282,0.00027103102000782
194.4,128,0,40.8,0.00026625494627282,0.00027103134104013
194.8,128,0,41.2,0.00026640191330283,0.00027103166207244
195.2,128,0,41.6,0.00026655297652968,0.00027103191753961
195.6,128,0,42,0.00026671361835315,0.00027103201968849
196,128,0,42.4,0.00026687426017663,0.00027103212183736
196.4,128,0,42.8,0.0002670349020001,0.00027103222398623
