x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,1.2875135458294e-05,0.00021850627248147
154.4,128,0,0.80000000000001,2.575027091659e-05,0.00043701254496297
154.8,128,0,1.2,3.8625406374881e-05,0.0006555188174444
155.2,128,0,1.6,5.1500541833173e-05,0.00087402508992585
155.6,128,0,2,6.4375677291467e-05,0.0010925313624073
156,128,0,2.4,7.7250812749761e-05,0.0013110376348888
156.4,128,0,2.8,8.9662781049932e-05,0.0014965250546403
156.8,128,0,3.2,0.0001015150146893,0.0016378096025694
157.2,128,0,3.6,0.00011337792900315,0.0017739523505566
157.6,128,0,4,0.000125240843317,0.0019100950985438
158,128,0,4.4,0.00013710375763085,0.002046237846531
158.4,128,0,4.8,0.00014859856665572,0.0021622310887161
158.8,128,0,5.2,0.00015973267230817,0.0022584799943942
159.2,128,0,5.6,0.00017086677796061,0.0023547289000723
159.6,128,0,6,0.00018154671313003,0.0024304731565064
160,128,0,6.4,0.00019207005554309,0.0024991476458303
160.4,128,0,6.8,0.00020259339795616,0.0025678221351541
160.8,128,0,7.2,0.00021311674036922,0.002636496624478
161.2,128,0,7.6,0.00022343028080198,0.0026943658086751
161.6,128,0,8,0.00023365212870882,0.0027475126078927
162,128,0,8.4,0.00024387397661565,0.0028006594071103
162.4,128,0,8.8,0.00025350133930322,0.002835183856256
162.8,128,0,9.2,0.00026298679412857,0.0028652630176089
163.2,128,0,9.6,0.00027247224895392,0.0028953421789618
163.6,128,0,10,0.00028195770377927,0.0029254213403148
164,128,0,10.4,0.00029144315860462,0.0029555005016677
164.4,128,0,10.8,0.00030085100273338,0.0029837102406733
164.8,128,0,11.2,0.00030994460087111,0.0030043506818377
165.2,128,0,11.6,0.00031903819900884,0.0030249911230021
165.6,128,0,12,0.00032811600010756,0.0030449185575824
166,128,0,12.4,0.00033708436676773,0.0030599066187045
166.4,128,0,12.8,0.00034605273342789,0.0030748946798265
166.8,128,0,13.2,0.00035502110008806,0.0030898827409486
167.2,128,0,13.6,0.0003636991443125,0.0031021363163034
167.6,128,0,14,0.00037166750336965,0.0031077055168031
168,128,0,14.4,0.0003796358624268,0.0031132747173028
168.4,128,0,14.8,0.00038760422148395,0.0031188439178026
168.8,128,0,15.2,0.00039558278878667,0.0031243234973683
169.2,128,0,15.6,0.00040365380236714,0.003128991466192
169.6,128,0,16,0.00041172481594761,0.0031336594350157
170,128,0,16.4,0.00041979582952808,0.0031383274038395
170.4,128,0,16.8,0.00042786684310855,0.0031429953726632
170.8,128,0,17.2,0.00043514334027879,0.0031447702127041
171.2,128,0,17.6,0.00044225735208526,0.003145953383301
171.6,128,0,18,0.00044937136389174,0.0031471365538979
172,128,0,18.4,0.00045648537569822,0.0031483197244948
172.4,128,0,18.8,0.0004635993875047,0.0031495028950917
172.8,128,0,19.2,0.00047071339931118,0.0031506860656886
173.2,128,0,19.6,0.00047782927419855,0.0031518712066065
173.6,128,0,20,0.0004851852355096,0.0031533102534616
174,128,0,20.4,0.00049254119682064,0.0031547493003167
174.4,128,0,20.8,0.00049989715813169,0.0031561883471719
174.8,128,0,21.2,0.0005069495967281,0.0031570983266419
175.2,128,0,21.6,0.00051372398629825,0.0031575552703676
175.6,128,0,22,0.00052009239936307,0.0031576851147461
176,128,0,22.4,0.00052646081242789,0.0031578149591246
176.4,128,0,22.8,0.00053282922549271,0.003157944803503
176.8,128,0,23.2,0.00053924711073926,0.0031580764590763
177.2,128,0,23.6,0.0005457887657477,0.0031582126459062
177.6,128,0,24,0.00055233042075615,0.003158348832736
178,128,0,24.4,0.00055887207576459,0.0031584850195659
178.4,128,0,24.8,0.00056541373077304,0.0031586212063957
178.8,128,0,25.2,0.00057140858105665,0.0031586722828454
179.2,128,0,25.6,0.00057720081435242,0.0031586918218776
179.6,128,0,26,0.00058299304764818,0.0031587113609098
180,128,0,26.4,0.00058878528094395,0.003158730899942
180.4,128,0,26.8,0.00059457751423971,0.0031587504389742
180.8,128,0,27.2,0.00060036974753548,0.0031587699780064
181.2,128,0,27.6,0.0006062184915896,0.0031587911260134
181.6,128,0,28,0.0006121426855246,0.00315881442223
182,128,0,28.4,0.0006180668794596,0.0031588377184466
182.4,128,0,28.8,0.00062395491687306,0.0031588598712755
182.8,128,0,29.2,0.00062918598745946,0.0031588612486598
183.2,128,0,29.6,0.00063444133061716,0.0031588625663734
183.6,128,0,30,0.00063972224512001,0.0031588638212232
184,128,0,30.4,0.00064500315962286,0.0031588650760731
184.4,128,0,30.8,0.0006502840741257,0.003158866330923
184.8,128,0,31.2,0.00065556498862855,0.0031588675857729
185.2,128,0,31.6,0.0006608459031314,0.0031588688406228
185.6,128,0,32,0.00066612681763424,0.0031588700954727
186,128,0,32.4,0.00067140773213709,0.0031588713503226
186.4,128,0,32.8,0.00067668864663994,0.0031588726051725
186.8,128,0,33.2,0.00068196956114278,0.0031588738600224
187.2,128,0,33.6,0.00068725047564563,0.0031588751148723
187.6,128,0,34,0.00069224381243438,0.0031588758256953
188,128,0,34.4,0.00069683647281632,0.0031588757785363
188.4,128,0,34.8,0.00070142913319826,0.0031588757313772
188.8,128,0,35.2,0.0007060217935802,0.0031588756842182
189.2,128,0,35.6,0.00071061445396214,0.0031588756370592
189.6,128,0,36,0.00071520711434407,0.0031588755899001
190,128,0,36.4,0.00071979977472601,0.0031588755427411
190.4,128,0,36.8,0.00072439243510795,0.0031588754955821
190.8,128,0,37.2,0.00072898509548989,0.003158875448423
191.2,128,0,37.6,0.0007335767107812,0.0031588754132712
191.6,128,0,38,0.00073816797786286,0.0031588753821201
192,128,0,38.4,0.00074275924494451,0.0031588753509689
192.4,128,0,38.8,0.00074735051202617,0.0031588753198178
192.8,128,0,39.2,0.00075166710888454,0.0031588753027744
193.2,128,0,39.6,0.00075562737378691,0.0031588753040332
193.6,128,0,40,0.00075958763868929,0.003158875305292
194,128,0,40.4,0.00076354790359167,0.0031588753065508
