x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,0.00012875132905626,0.0024035689676277
154.4,128,0,0.80000000000001,0.00025750265811255,0.0048071379352557
154.8,128,0,1.2,0.00038625398716878,0.0072107069028829
155.2,128,0,1.6,0.00051500531622503,0.0096142758705102
155.6,128,0,2,0.00064375664528129,0.012017844838138
156,128,0,2.4,0.00077250797433755,0.014421413805766
156.4,128,0,2.8,0.00089662763267763,0.016461775377563
156.8,128,0,3.2,0.0010151499454355,0.018015905351258
157.2,128,0,3.6,0.0011337790648913,0.019513475541111
157.6,128,0,4,0.0012524081843471,0.021011045730964
158,128,0,4.4,0.001371037303803,0.022508615920817
158.4,128,0,4.8,0.001485985371059,0.023784541519428
158.8,128,0,5.2,0.0015973264052669,0.024843279389593
159.2,128,0,5.6,0.0017086674394747,0.025902017259759
159.6,128,0,6,0.0018154667696839,0.026735204011168
160,128,0,6.4,0.0019207001726161,0.02749062333227
160.4,128,0,6.8,0.0020259335755484,0.028246042653372
160.8,128,0,7.2,0.0021311669784806,0.029001461974474
161.2,128,0,7.6,0.0022343023619911,0.029638022935957
161.6,128,0,8,0.002336520820409,0.030222637661254
162,128,0,8.4,0.0024387392788269,0.030807252386552
162.4,128,0,8.8,0.0025350128861343,0.031187021273971
162.8,128,0,9.2,0.0026298674150779,0.031517891998751
163.2,128,0,9.6,0.0027247219440214,0.031848762723531
163.6,128,0,10,0.002819576472965,0.032179633448312
164,128,0,10.4,0.0029144310019086,0.032510504173092
164.4,128,0,10.8,0.0030085094240294,0.032820811252521
164.8,128,0,11.2,0.0030994453868196,0.033047856057596
165.2,128,0,11.6,0.0031903813496099,0.033274900862671
165.6,128,0,12,0.0032811593420332,0.033494102595352
166,128,0,12.4,0.0033708429902314,0.033658971220204
166.4,128,0,12.8,0.0034605266384296,0.033823839845055
166.8,128,0,13.2,0.0035502102866278,0.033988708469907
167.2,128,0,13.6,0.0036369907110257,0.034123497753968
167.6,128,0,14,0.0037166742851124,0.034184758921097
168,128,0,14.4,0.003796357859199,0.034246020088226
168.4,128,0,14.8,0.0038760414332857,0.034307281255355
168.8,128,0,15.2,0.0039558270898038,0.034367556592219
169.2,128,0,15.6,0.0040365372088799,0.034418904211004
