x,y,z,id,xi,xv
0,128,0,0,4.8484856282093e-05,4.8496607787258e-05
1,128,0,1,4.8484856255402e-05,4.8496606185082e-05
2,128,0,2,4.8484856228711e-05,4.8496604582906e-05
3,128,0,3,4.848485620202e-05,4.849660298073e-05
4,128,0,4,4.8484856175329e-05,4.8496601378554e-05
5,128,0,5,4.8484856173936e-05,4.8496604921644e-05
6,128,0,6,4.8484856172544e-05,4.8496608464733e-05
7,128,0,7,4.8484856171152e-05,4.8496612007823e-05
8,128,0,8,4.8484856169759e-05,4.8496615550912e-05
9,128,0,9,4.8484856189128e-05,4.8496613140889e-05
10,128,0,10,4.8484856208496e-05,4.8496610730865e-05
11,128,0,11,4.8484856227865e-05,4.8496608320841e-05
12,128,0,12,4.8484856247233e-05,4.8496605910817e-05
13,128,0,13,4.8484856274425e-05,4.8496607927009e-05
14,128,0,14,4.8484856301617e-05,4.8496609943201e-05
15,128,0,15,4.848485632881e-05,4.8496611959393e-05
16,128,0,16,4.8484856356002e-05,4.8496613975584e-05
17,128,0,17,4.8484856375636e-05,4.849661362574e-05
18,128,0,18,4.848485639527e-05,4.8496613275896e-05
19,128,0,19,4.8484856414904e-05,4.8496612926052e-05
20,128,0,20,4.8484856434538e-05,4.8496612576208e-05
21,128,0,21,4.8484856437466e-05,4.8496614477844e-05
22,128,0,22,4.8484856440394e-05,4.849661637948e-05
23,128,0,23,4.8484856443321e-05,4.8496618281116e-05
24,128,0,24,4.8484856446249e-05,4.8496620182752e-05
25,128,0,25,4.8484856431916e-05,4.8496616741216e-05
26,128,0,26,4.8484856417583e-05,4.8496613299681e-05
27,128,0,27,4.8484856403249e-05,4.8496609858146e-05
28,128,0,28,4.8484856388916e-05,4.8496606416611e-05
29,128,0,29,4.8484856362028e-05,4.8496606302164e-05
30,128,0,30,4.848485633514e-05,4.8496606187716e-05
31,128,0,31,4.8484856308251e-05,4.8496606073269e-05
32,128,0,32,4.8484856281363e-05,4.8496605958821e-05
33,128,0,33,4.8484856247989e-05,4.8496606309296e-05
34,128,0,34,4.8484856214615e-05,4.849660665977e-05
35,128,0,35,4.8484856181241e-05,4.8496607010245e-05
36,128,0,36,4.8484856147867e-05,4.8496607360719e-05
37,128,0,37,4.8484856114005e-05,4.8496610287724e-05
38,128,0,38,4.8484856080143e-05,4.8496613214729e-05
39,128,0,39,4.8484856046281e-05,4.8496616141734e-05
40,128,0,40,4.8484856012419e-05,4.8496619068739e-05
41,128,0,41,4.8484855984509e-05,4.8496618944196e-05
42,128,0,42,4.8484855956599e-05,4.8496618819653e-05
43,128,0,43,4.8484855928689e-05,4.849661869511e-05
44,128,0,44,4.8484855900779e-05,4.8496618570567e-05
45,128,0,45,4.848485588547e-05,4.849661856735e-05
46,128,0,46,4.8484855870161e-05,4.8496618564134e-05
47,128,0,47,4.8484855854853e-05,4.8496618560917e-05
