x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,3.5101813634789e-05,0.0011963270653321
154.4,128,0,0.80000000000001,7.0203627269582e-05,0.0023926541306644
154.8,128,0,1.2,0.00010530544090436,0.0035889811959962
155.2,128,0,1.6,0.00014040725453915,0.0047853082613282
155.6,128,0,2,0.00017550906817394,0.0059816353266603
156,128,0,2.4,0.00021061088180872,0.0071779623919923
156.4,128,0,2.8,0.00024419709086388,0.0081150771919296
156.8,128,0,3.2,0.00027590146994879,0.0087053025490108
157.2,128,0,3.6,0.00030757183624937,0.0092553303322659
157.6,128,0,4,0.00033924220254995,0.009805358115521
158,128,0,4.4,0.00037091256885054,0.010355385898776
158.4,128,0,4.8,0.00040136870521345,0.010782365490417
158.8,128,0,5.2,0.00043063502755702,0.011088771162
159.2,128,0,5.6,0.00045990134990059,0.011395176833582
159.6,128,0,6,0.00048766914140771,0.01159659465301
160,128,0,6.4,0.00051492025672617,0.011761813869121
160.4,128,0,6.8,0.00054217137204463,0.011927033085231
160.8,128,0,7.2,0.00056942248736308,0.012092252301342
161.2,128,0,7.6,0.00059590282483865,0.012214714878577
161.6,128,0,8,0.00062204629910997,0.012318490958131
162,128,0,8.4,0.0006481897733813,0.012422267037684
162.4,128,0,8.8,0.00067229534807867,0.012468847190252
162.8,128,0,9.2,0.00069591446161169,0.012501774267079
163.2,128,0,9.6,0.00071953357514471,0.012534701343905
163.6,128,0,10,0.00074315268867773,0.012567628420732
164,128,0,10.4,0.00076677180221075,0.012600555497558
164.4,128,0,10.8,0.00079011681892398,0.012629914660024
164.8,128,0,11.2,0.00081235201662317,0.012644827324346
165.2,128,0,11.6,0.00083458721432235,0.012659739988668
165.6,128,0,12,0.00085674411353369,0.012673522976711
166,128,0,12.4,0.00087835859773609,0.012679480100092
166.4,128,0,12.8,0.00089997308193849,0.012685437223472
166.8,128,0,13.2,0.00092158756614089,0.012691394346852
167.2,128,0,13.6,0.00094224730670399,0.012695649200313
167.6,128,0,14,0.00096057320283757,0.012695742902022
168,128,0,14.4,0.00097889909897115,0.01269583660373
168.4,128,0,14.8,0.00099722499510473,0.012695930305438
168.8,128,0,15.2,0.0010155605989479,0.01269595164273
169.2,128,0,15.6,0.0010339841161954,0.012695317644989
169.6,128,0,16,0.0010524076334429,0.012694683647249
170,128,0,16.4,0.0010708311506903,0.012694049649508
170.4,128,0,16.8,0.0010892546679378,0.012693415651767
170.8,128,0,17.2,0.001104923075452,0.012693278739921
171.2,128,0,17.6,0.0011200280395918,0.012693243486368
171.6,128,0,18,0.0011351330037315,0.012693208232815
172,128,0,18.4,0.0011502379678713,0.012693172979262
172.4,128,0,18.8,0.0011653429320111,0.012693137725709
172.8,128,0,19.2,0.0011804478961509,0.012693102472156
173.2,128,0,19.6,0.0011955578362373,0.012693067233792
173.6,128,0,20,0.0012113090030279,0.012693033952751
174,128,0,20.4,0.0012270601698186,0.012693000671709
174.4,128,0,20.8,0.0012428113366092,0.012692967390668
174.8,128,0,21.2,0.0012574210350244,0.012692952882843
175.2,128,0,21.6,0.0012709949540081,0.012692954019137
175.6,128,0,22,0.0012831610887425,0.012692961573689
176,128,0,22.4,0.0012953272234769,0.012692969128241
176.4,128,0,22.8,0.0013074933582113,0.012692976682793
176.8,128,0,23.2,0.0013197748425882,0.012692984673251
177.2,128,0,23.6,0.0013323449093011,0.012692993754259
177.6,128,0,24,0.0013449149760141,0.012693002835266
178,128,0,24.4,0.0013574850427271,0.012693011916274
178.4,128,0,24.8,0.00137005510944,0.012693020997282
178.8,128,0,25.2,0.0013806492341249,0.012693023164987
179.2,128,0,25.6,0.0013905111789222,0.012693022770987
179.6,128,0,26,0.0014003731237196,0.012693022376986
180,128,0,26.4,0.001410235068517,0.012693021982985
180.4,128,0,26.8,0.0014200970133143,0.012693021588985
180.8,128,0,27.2,0.0014299589581117,0.012693021194984
181.2,128,0,27.6,0.0014399562457648,0.012693020890478
181.6,128,0,28,0.0014501342353347,0.01269302070546
182,128,0,28.4,0.0014603122249045,0.012693020520442
182.4,128,0,28.8,0.0014703524482745,0.012693020346248
182.8,128,0,29.2,0.0014778894490083,0.012693020368746
183.2,128,0,29.6,0.0014853847626187,0.012693020449798
183.6,128,0,30,0.0014928361585159,0.012693020592537
184,128,0,30.4,0.0015002875544132,0.012693020735276
184.4,128,0,30.8,0.0015077389503104,0.012693020878015
184.8,128,0,31.2,0.0015151903462077,0.012693021020754
185.2,128,0,31.6,0.0015226417421049,0.012693021163493
185.6,128,0,32,0.0015300931380022,0.012693021306232
186,128,0,32.4,0.0015375445338994,0.012693021448971
186.4,128,0,32.8,0.0015449959297967,0.01269302159171
186.8,128,0,33.2,0.0015524473256939,0.012693021734449
187.2,128,0,33.6,0.0015598987215912,0.012693021877188
187.6,128,0,34,0.0015661899913147,0.012693021852592
188,128,0,34.4,0.0015708648799213,0.012693021594853
188.4,128,0,34.8,0.0015755397685279,0.012693021337114
188.8,128,0,35.2,0.0015802146571344,0.012693021079375
189.2,128,0,35.6,0.001584889545741,0.012693020821636
189.6,128,0,36,0.0015895644343476,0.012693020563898
190,128,0,36.4,0.0015942393229541,0.012693020306159
190.4,128,0,36.8,0.0015989142115607,0.01269302004842
190.8,128,0,37.2,0.0016035891001673,0.012693019790681
191.2,128,0,37.6,0.001608074370936,0.012693019245198
191.6,128,0,38,0.0016124964636805,0.012693018603843
192,128,0,38.4,0.0016169185564251,0.012693017962488
192.4,128,0,38.8,0.0016213406491696,0.012693017321133
