x,y,z,id,xi,xv
153.6,128,0,0,-1.6360114182773e-125,-1.6360114182773e-125
154,128,0,0.40000000000001,2.2110072894935e-06,5.4592878776765e-06
154.4,128,0,0.80000000000001,4.4220145789872e-06,1.0918575755354e-05
154.8,128,0,1.2,6.6330218684802e-06,1.6377863633029e-05
155.2,128,0,1.6,8.8440291579734e-06,2.1837151510705e-05
155.6,128,0,2,1.1055036447467e-05,2.7296439388381e-05
156,128,0,2.4,1.326604373696e-05,3.2755727266058e-05
156.4,128,0,2.8,1.5145142744577e-05,3.5230937818515e-05
156.8,128,0,3.2,1.6579924742061e-05,3.4254036966356e-05
157.2,128,0,3.6,1.796304011588e-05,3.3557552301731e-05
157.6,128,0,4,1.9346155489698e-05,3.2861067637106e-05
158,128,0,4.4,2.0729270863516e-05,3.2164582972481e-05
158.4,128,0,4.8,2.1909016110573e-05,3.1831426264668e-05
158.8,128,0,5.2,2.2889480627983e-05,3.1854291660431e-05
159.2,128,0,5.6,2.3869945145392e-05,3.1877157056195e-05
159.6,128,0,6,2.4642958547966e-05,3.1978914180453e-05
160,128,0,6.4,2.5344445193306e-05,3.2107872264881e-05
160.4,128,0,6.8,2.6045931838646e-05,3.2236830349309e-05
160.8,128,0,7.2,2.6747418483986e-05,3.2365788433737e-05
161.2,128,0,7.6,2.7339295404646e-05,3.2351420168749e-05
161.6,128,0,8,2.7883268142004e-05,3.2274412099358e-05
162,128,0,8.4,2.8427240879362e-05,3.2197404029967e-05
162.4,128,0,8.8,2.8781830739475e-05,3.2171778017476e-05
162.8,128,0,9.2,2.9091213555949e-05,3.2158417268469e-05
163.2,128,0,9.6,2.9400596372423e-05,3.2145056519461e-05
163.6,128,0,10,2.9709979188897e-05,3.2131695770453e-05
164,128,0,10.4,3.001936200537e-05,3.2118335021445e-05
164.4,128,0,10.8,3.0309671792516e-05,3.2111079559321e-05
164.8,128,0,11.2,3.0522754814973e-05,3.2128544425853e-05
165.2,128,0,11.6,3.0735837837429e-05,3.2146009292385e-05
165.6,128,0,12,3.0941641809674e-05,3.2161401428182e-05
166,128,0,12.4,3.1097019953851e-05,3.2162434662664e-05
166.4,128,0,12.8,3.1252398098028e-05,3.2163467897147e-05
166.8,128,0,13.2,3.1407776242205e-05,3.2164501131629e-05
167.2,128,0,13.6,3.1535078940973e-05,3.2164853920266e-05
167.6,128,0,14,3.1593751989664e-05,3.2163543377847e-05
168,128,0,14.4,3.1652425038356e-05,3.2162232835428e-05
168.4,128,0,14.8,3.1711098087048e-05,3.2160922293009e-05
168.8,128,0,15.2,3.1768852082385e-05,3.2159447753651e-05
169.2,128,0,15.6,3.1818283094004e-05,3.2156488051491e-05
169.6,128,0,16,3.1867714105623e-05,3.2153528349331e-05
170,128,0,16.4,3.1917145117241e-05,3.2150568647172e-05
170.4,128,0,16.8,3.196657612886e-05,3.2147608945012e-05
170.8,128,0,17.2,3.1985834123449e-05,3.2147457606245e-05
171.2,128,0,17.6,3.1998921479414e-05,3.2147880601679e-05
171.6,128,0,18,3.201200883538e-05,3.2148303597114e-05
172,128,0,18.4,3.2025096191345e-05,3.2148726592548e-05
172.4,128,0,18.8,3.2038183547311e-05,3.2149149587982e-05
172.8,128,0,19.2,3.2051270903276e-05,3.2149572583416e-05
173.2,128,0,19.6,3.206437905397e-05,3.2149995319924e-05
173.6,128,0,20,3.2080166922909e-05,3.2150384689912e-05
174,128,0,20.4,3.2095954791848e-05,3.2150774059899e-05
174.4,128,0,20.8,3.2111742660787e-05,3.2151163429886e-05
174.8,128,0,21.2,3.2121872102347e-05,3.2151312218202e-05
175.2,128,0,21.6,3.2127149775764e-05,3.215126308115e-05
175.6,128,0,22,3.2128850802906e-05,3.215116245214e-05
176,128,0,22.4,3.2130551830049e-05,3.2151061823131e-05
176.4,128,0,22.8,3.2132252857192e-05,3.2150961194122e-05
176.8,128,0,23.2,3.2133978667164e-05,3.2150852990816e-05
177.2,128,0,23.6,3.2135766478947e-05,3.2150725838093e-05
177.6,128,0,24,3.213755429073e-05,3.215059868537e-05
178,128,0,24.4,3.2139342102513e-05,3.2150471532648e-05
178.4,128,0,24.8,3.2141129914295e-05,3.2150344379925e-05
178.8,128,0,25.2,3.2141845305711e-05,3.2150323104946e-05
179.2,128,0,25.6,3.2142163314706e-05,3.2150341062674e-05
179.6,128,0,26,3.2142481323702e-05,3.2150359020403e-05
180,128,0,26.4,3.2142799332697e-05,3.2150376978131e-05
180.4,128,0,26.8,3.2143117341692e-05,3.2150394935859e-05
180.8,128,0,27.2,3.2143435350688e-05,3.2150412893588e-05
181.2,128,0,27.6,3.2143774601428e-05,3.2150429652648e-05
181.6,128,0,28,3.2144142212911e-05,3.2150444811317e-05
182,128,0,28.4,3.2144509824395e-05,3.2150459969986e-05
182.4,128,0,28.8,3.2144860139814e-05,3.215047408048e-05
182.8,128,0,29.2,3.2144896184385e-05,3.2150469145535e-05
183.2,128,0,29.6,3.2144930117339e-05,3.2150464622222e-05
183.6,128,0,30,3.2144961825688e-05,3.2150460532567e-05
184,128,0,30.4,3.2144993534037e-05,3.2150456442911e-05
184.4,128,0,30.8,3.2145025242386e-05,3.2150452353256e-05
184.8,128,0,31.2,3.2145056950736e-05,3.21504482636e-05
185.2,128,0,31.6,3.2145088659085e-05,3.2150444173945e-05
185.6,128,0,32,3.2145120367434e-05,3.2150440084289e-05
186,128,0,32.4,3.2145152075783e-05,3.2150435994634e-05
186.4,128,0,32.8,3.2145183784132e-05,3.2150431904978e-05
186.8,128,0,33.2,3.2145215492481e-05,3.2150427815323e-05
187.2,128,0,33.6,3.214524720083e-05,3.2150423725667e-05
187.6,128,0,34,3.2145265551408e-05,3.2150421782302e-05
188,128,0,34.4,3.2145265290865e-05,3.2150422829321e-05
188.4,128,0,34.8,3.2145265030322e-05,3.2150423876339e-05
188.8,128,0,35.2,3.2145264769779e-05,3.2150424923358e-05
189.2,128,0,35.6,3.2145264509236e-05,3.2150425970377e-05
189.6,128,0,36,3.2145264248693e-05,3.2150427017396e-05
190,128,0,36.4,3.214526398815e-05,3.2150428064414e-05
190.4,128,0,36.8,3.2145263727607e-05,3.2150429111433e-05
190.8,128,0,37.2,3.2145263467064e-05,3.2150430158452e-05
191.2,128,0,37.6,3.2145263359383e-05,3.2150431080977e-05
191.6,128,0,38,3.2145263302634e-05,3.2150431962022e-05
192,128,0,38.4,3.2145263245884e-05,3.2150432843067e-05
192.4,128,0,38.8,3.2145263189135e-05,3.2150433724112e-05
192.8,128,0,39.2,3.2145263137199e-05,3.2150434300236e-05
193.2,128,0,39.6,3.2145263091506e-05,3.2150434480782e-05
193.6,128,0,40,3.2145263045813e-05,3.2150434661328e-05
194,128,0,40.4,3.2145263000121e-05,3.2150434841873e-05
194.4,128,0,40.8,3.2145262954428e-05,3.2150435022419e-05
194.8,128,0,41.2,3.2145262908735e-05,3.2150435202965e-05
195.2,128,0,41.6,3.2145262862413e-05,3.2150435389266e-05
195.6,128,0,42,3.2145262814618e-05,3.2150435589023e-05
196,128,0,42.4,3.2145262766822e-05,3.2150435788781e-05
196.4,128,0,42.8,3.2145262719027e-05,3.2150435988538e-05
196.8,128,0,43.2,3.2145262671232e-05,3.2150436188296e-05
197.2,128,0,43.6,3.2145262623437e-05,3.2150436388053e-05
197.6,128,0,44,3.2145262575642e-05,3.2150436587811e-05
198,128,0,44.4,3.2145262527847e-05,3.2150436787568e-05
198.4,128,0,44.8,3.2145262480051e-05,3.2150436987326e-05
198.8,128,0,45.2,3.2145262418301e-05,3.2150436802332e-05
199.2,128,0,45.6,3.2145262355866e-05,3.2150436598475e-05
199.6,128,0,46,3.2145262293432e-05,3.2150436394617e-05
200,128,0,46.4,3.2145262230997e-05,3.215043619076e-05
200.4,128,0,46.8,3.2145262165584e-05,3.215043579385e-05
200.8,128,0,47.2,3.2145262098678e-05,3.2150435300094e-05
201.2,128,0,47.6,3.2145262031771e-05,3.2150434806338e-05
201.6,128,0,48,3.2145261964864e-05,3.2150434312583e-05
202,128,0,48.4,3.2145261897958e-05,3.2150433818827e-05
202.4,128,0,48.8,3.2145261831051e-05,3.2150433325071e-05
202.8,128,0,49.2,3.2145261764144e-05,3.2150432831315e-05
203.2,128,0,49.6,3.2145261697238e-05,3.2150432337559e-05
203.6,128,0,50,3.2145261630331e-05,3.2150431843803e-05
204,128,0,50.4,3.2145261563424e-05,3.2150431350047e-05
204.4,128,0,50.8,3.2145261496518e-05,3.2150430856291e-05
204.8,128,0,51.2,3.2145261429611e-05,3.2150430362536e-05
205.2,128,0,51.6,3.2145261362704e-05,3.215042986878e-05
205.6,128,0,52,3.2145261299399e-05,3.2150429464619e-05
206,128,0,52.4,3.2145261240821e-05,3.2150429178098e-05
206.4,128,0,52.8,3.2145261182244e-05,3.2150428891576e-05
206.8,128,0,53.2,3.2145261123667e-05,3.2150428605055e-05
207.2,128,0,53.6,3.2145261065089e-05,3.2150428318533e-05
207.6,128,0,54,3.2145261006512e-05,3.2150428032012e-05
208,128,0,54.4,3.2145260947935e-05,3.215042774549e-05
208.4,128,0,54.8,3.2145260889357e-05,3.2150427458969e-05
208.8,128,0,55.2,3.214526083078e-05,3.2150427172447e-05
209.2,128,0,55.6,3.2145260772203e-05,3.2150426885926e-05
209.6,128,0,56,3.2145260713625e-05,3.2150426599404e-05
210,128,0,56.4,3.2145260655048e-05,3.2150426312883e-05
210.4,128,0,56.8,3.2145260596471e-05,3.2150426026361e-05
210.8,128,0,57.2,3.2145260537893e-05,3.215042573984e-05
