x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-3.2908311448588e-12,-1.039618344815e-12,0,3.7e-11,1,0.000181,8.397177670131e-21,1,4.3037883693406e-07
1,0,0,1,1.0362295268635e-12,1.8198728637071e-08,-3.2837146651243e-12,-1.0328407522148e-12,0,3.7e-11,1,0.000181,8.4392644787249e-21,337.12712504798,21039811.272968
2,0,0,2,2.063422859674e-12,3.6308037146624e-08,-3.2742271814205e-12,-1.0238051171751e-12,0,3.7e-11,1,0.000181,8.4815537456179e-21,673.18677973197,890295727.53533
3,0,0,3,3.0815820534177e-12,5.436493688753e-08,-3.2647422602195e-12,-1.0147720436691e-12,0,3.7e-11,1,0.000181,8.5240464005409e-21,1009.1789641967,7975364074.6171
4,0,0,4,4.0907105039241e-12,7.2369446626631e-08,-3.255261233416e-12,-1.0057428635916e-12,0,3.7e-11,1,0.000181,8.5667433772713e-21,1345.1036785869,37803661463.179
5,0,0,5,5.090812924053e-12,9.0321592407179e-08,-3.2457854091361e-12,-9.9671888506915e-13,0,3.7e-11,1,0.000181,8.6096456136501e-21,1680.9609230471,126404175141.48
6,0,0,6,6.0818953200026e-12,1.0822140741794e-07,-3.2363160718615e-12,-9.8770139258336e-13,0,3.7e-11,1,0.000181,8.6527540515979e-21,2016.7506977221,338918942795.74
7,0,0,7,7.0639649677455e-12,1.2606893186301e-07,-3.226854482558e-12,-9.7869164710031e-13,0,3.7e-11,1,0.000181,8.6960696371319e-21,2352.4730027564,780263863286.92
8,0,0,8,8.0370303895961e-12,1.4386421283235e-07,-3.2174018788099e-12,-9.6969088620448e-13,0,3.7e-11,1,0.000181,8.7395933203826e-21,2688.1278382946,1606697276301
9,0,0,9,9.0011013309154e-12,1.6160730417307e-07,-3.2079594749587e-12,-9.6070032423778e-13,0,3.7e-11,1,0.000181,8.7833260556103e-21,3023.7152044813,3038195017868.3
10,0,0,10,9.9561887369586e-12,1.7929826636156e-07,-3.1985284622477e-12,-9.5172115244345e-13,0,3.7e-11,1,0.000181,8.8272688012224e-21,3359.2351014609,5371554728660.9
11,0,0,11,1.0902304729868e-11,1.9693716637631e-07,-3.1891100089695e-12,-9.4275453911441e-13,0,3.7e-11,1,0.000181,8.87142251979e-21,3694.6875293779,8994167977333.2
12,0,0,12,1.1839462585819e-11,2.145240775717e-07,-3.1797052606192e-12,-9.3380162974603e-13,0,3.7e-11,1,0.000181,8.9157881780647e-21,4030.0724883768,14398409786150
13,0,0,13,1.2767676712318e-11,2.3205907955258e-07,-3.1703153400514e-12,-9.2486354719307e-13,0,3.7e-11,1,0.000181,8.9603667469963e-21,4365.3899786021,22196603209060
14,0,0,14,1.3686962625666e-11,2.4954225804968e-07,-3.1609413476412e-12,-9.1594139183074e-13,0,3.7e-11,1,0.000181,9.0051592017489e-21,4700.640000198,33136522720911
15,0,0,15,1.4597336928578e-11,2.6697370479606e-07,-3.1515843614487e-12,-9.0703624171949e-13,0,3.7e-11,1,0.000181,9.0501665217192e-21,5035.8225533089,48117404935915
16,0,0,16,1.5498817287974e-11,2.8435351740437e-07,-3.1422454373881e-12,-8.9814915277361e-13,0,3.7e-11,1,0.000181,9.0953896905529e-21,5370.9376380793,68206438967239
17,0,0,17,1.6391422412943e-11,3.0168179924506e-07,-3.1329256093992e-12,-8.8928115893317e-13,0,3.7e-11,1,0.000181,9.1408296961621e-21,5705.9852546533,94655711821581
18,0,0,18,1.7275172032874e-11,3.1895865932563e-07,-3.1236258896233e-12,-8.804332723396e-13,0,3.7e-11,1,0.000181,9.1864875307431e-21,6040.9654031753,1.2891958676681e+14
