x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-2.3023389343705e-11,-5.1016107537391e-13,0,3.7e-11,1,0.000181,8.397177670131e-21,1,4.3037883693406e-07
1,0,0,1,5.0677239512496e-13,1.2720996258259e-07,-2.3013223259809e-11,-5.0338386289648e-13,0,3.7e-11,1,0.000181,8.4392644787249e-21,3362.4355431273,5399327498113.3
2,0,0,2,1.0045105419587e-12,2.5430804815555e-07,-2.2999672431645e-11,-4.9435152160437e-13,0,3.7e-11,1,0.000181,8.4815537456179e-21,6723.1963825886,2.3012977308878e+14
3,0,0,3,1.4932214359736e-12,3.8133129542063e-07,-2.2986130320496e-11,-4.8532788778384e-13,0,3.7e-11,1,0.000181,8.5240464005409e-21,10083.282519809,2.0665079590673e+15
4,0,0,4,1.9729165837148e-12,5.0827976800263e-07,-2.2972601388621e-11,-4.763174236959e-13,0,3.7e-11,1,0.000181,8.5667433772713e-21,13442.693956213,9.8071918728641e+15
5,0,0,5,2.4436118728079e-12,6.3515355373118e-07,-2.2959089968447e-11,-4.6732446176978e-13,0,3.7e-11,1,0.000181,8.6096456136501e-21,16801.430693226,3.2816090765405e+16
6,0,0,6,2.9053274424374e-12,7.619527639252e-07,-2.2945600263079e-11,-4.5835320511225e-13,0,3.7e-11,1,0.000181,8.6527540515979e-21,20159.492732272,8.8030069823937e+16
7,0,0,7,3.3580875543965e-12,8.8867753268043e-07,-2.2932136346906e-11,-4.4940772811492e-13,0,3.7e-11,1,0.000181,8.6960696371319e-21,23516.880074774,2.0273398437494e+17
8,0,0,8,3.8019204648032e-12,1.0153280161607e-06,-2.2918702166305e-11,-4.4049197715615e-13,0,3.7e-11,1,0.000181,8.7395933203826e-21,26873.592722156,4.1757214846887e+17
9,0,0,9,4.2368582965753e-12,1.1419043918933e-06,-2.2905301540431e-11,-4.3160977139316e-13,0,3.7e-11,1,0.000181,8.7833260556103e-21,30229.630675842,7.8976984357084e+17
10,0,0,10,4.6629369127519e-12,1.2684068580693e-06,-2.2891938162097e-11,-4.2276480364061e-13,0,3.7e-11,1,0.000181,8.8272688012224e-21,33584.993937255,1.3965447478189e+18
11,0,0,11,5.0801957907452e-12,1.3948356328486e-06,-2.2878615598735e-11,-4.1396064133181e-13,0,3.7e-11,1,0.000181,8.87142251979e-21,36939.682507817,2.3386922805324e+18
12,0,0,12,5.4886778976033e-12,1.5211909536708e-06,-2.2865337293433e-11,-4.0520072755919e-13,0,3.7e-11,1,0.000181,8.9157881780647e-21,40293.696388951,3.7443317297426e+18
13,0,0,13,5.8884295663607e-12,1.6474730765721e-06,-2.2852106566057e-11,-3.9648838218937e-13,0,3.7e-11,1,0.000181,8.9603667469963e-21,43647.035582079,5.7728021314734e+18
14,0,0,14,6.2795003735487e-12,1.7736822755086e-06,-2.2838926614433e-11,-3.8782680305005e-13,0,3.7e-11,1,0.000181,9.0051592017489e-21,46999.700088622,8.6186984610729e+18
15,0,0,15,6.6619430179358e-12,1.8998188416863e-06,-2.2825800515602e-11,-3.7921906718483e-13,0,3.7e-11,1,0.000181,9.0501665217192e-21,50351.689910003,1.2516039936863e+19
16,0,0,16,7.0358132005625e-12,2.0258830828984e-06,-2.2812731227142e-11,-3.7066813217195e-13,0,3.7e-11,1,0.000181,9.0953896905529e-21,53703.005047642,1.7742563224726e+19
17,0,0,17,7.4011695061345e-12,2.1518753228699e-06,-2.2799721588542e-11,-3.6217683750447e-13,0,3.7e-11,1,0.000181,9.1408296961621e-21,57053.64550296,2.4624134135099e+19
18,0,0,18,7.7580732858308e-12,2.2777959006102e-06,-2.2786774322647e-11,-3.5374790602712e-13,0,3.7e-11,1,0.000181,9.1864875307431e-21,60403.611277379,3.3539272066624e+19
19,0,0,19,8.1065885415833e-12,2.4036451697735e-06,-2.2773892037139e-11,-3.4538394542725e-13,0,3.7e-11,1,0.000181,9.2323641907933e-21,63752.902372319,4.4923782005286e+19
20,0,0,20,8.4467818118793e-12,2.5294234980284e-06,-2.2761077226089e-11,-3.3708744977718e-13,0,3.7e-11,1,0.000181,9.2784606771292e-21,67101.518789199,5.9275489357638e+19
21,0,0,21,8.7787220591363e-12,2.6551312664353e-06,-2.2748332271543e-11,-3.288608011228e-13,0,3.7e-11,1,0.000181,9.3247779949033e-21,70449.460529439,7.7159073298639e+19
22,0,0,22,9.1024805586928e-12,2.780768868833e-06,-2.273565944515e-11,-3.2070627111719e-13,0,3.7e-11,1,0.000181,9.3713171536224e-21,73796.727594458,9.9210994661812e+19
23,0,0,23,9.418130789459e-12,2.906336711235e-06,-2.2723060909846e-11,-3.1262602269539e-13,0,3.7e-11,1,0.000181,9.4180791671648e-21,77143.319985677,1.261445147017e+20
24,0,0,24,9.7257483262667e-12,3.0318352112342e-06,-2.2710538721554e-11,-3.0462211178677e-13,0,3.7e-11,1,0.000181,9.4650650537985e-21,80489.237704513,1.5875480132379e+20
25,0,0,25,1.0025410733953e-11,3.1572647974181e-06,-2.2698094830945e-11,-2.9669648906258e-13,0,3.7e-11,1,0.000181,9.5122758361984e-21,83834.480752384,1.9792411961109e+20
26,0,0,26,1.0317197463212e-11,3.2826259087933e-06,-2.2685731085212e-11,-2.8885100171663e-13,0,3.7e-11,1,0.000181,9.5597125414648e-21,87179.04913071,2.4462710368471e+20
27,0,0,27,1.0601189748247e-11,3.4079189942199e-06,-2.2673449229877e-11,-2.8108739527409e-13,0,3.7e-11,1,0.000181,9.607376201141e-21,90522.942840908,2.9993610712118e+20
28,0,0,28,1.0877470506246e-11,3.5331445118566e-06,-2.2661250910632e-11,-2.7340731542731e-13,0,3.7e-11,1,0.000181,9.6552678512315e-21,93866.161884396,3.650266293163e+20
29,0,0,29,1.1146124238711e-11,3.6583029286148e-06,-2.2649137675198e-11,-2.6581230989682e-13,0,3.7e-11,1,0.000181,9.7033885322199e-21,97208.706262592,4.411828153352e+20
30,0,0,30,1.140723693466e-11,3.7833947196245e-06,-2.2637110975192e-11,-2.5830383031166e-13,0,3.7e-11,1,0.000181,9.7517392890871e-21,100550.57597691,5.2980302692475e+20
31,0,0,31,1.166089597572e-11,3.9084203677094e-06,-2.262517216806e-11,-2.5088323410967e-13,0,3.7e-11,1,0.000181,9.8003211713299e-21,103891.77102877,6.3240548248781e+20
32,0,0,32,1.1907190043136e-11,4.0333803628736e-06,-2.2613322518962e-11,-2.4355178645497e-13,0,3.7e-11,1,0.000181,9.8491352329786e-21,107232.29141959,7.5063396393176e+20
33,0,0,33,1.2146209026701e-11,4.1582752017982e-06,-2.2601563202712e-11,-2.3631066216728e-13,0,3.7e-11,1,0.000181,9.898182532616e-21,110572.13715078,8.8626358840696e+20
34,0,0,34,1.2378043935623e-11,4.2831053873489e-06,-2.2589895305729e-11,-2.2916094766542e-13,0,3.7e-11,1,0.000181,9.9474641333954e-21,113911.30822376,1.0412066430456e+21
35,0,0,35,1.2602786811345e-11,4.4078714280943e-06,-2.2578319827983e-11,-2.2210364291799e-13,0,3.7e-11,1,0.000181,9.9969811030595e-21,117249.80463995,1.2175184808987e+21
36,0,0,36,1.2820530642321e-11,4.5325738378352e-06,-2.2566837684945e-11,-2.1513966340334e-13,0,3.7e-11,1,0.000181,1.0046734513958e-20,120587.62640075,1.4174034763492e+21
37,0,0,37,1.3031369280748e-11,4.6572131351443e-06,-2.2555449709564e-11,-2.0826984207293e-13,0,3.7e-11,1,0.000181,1.0096725443069e-20,123924.7735076,1.6432210383549e+21
38,0,0,38,1.3235397361273e-11,4.7817898429173e-06,-2.2544156654229e-11,-2.0149493131934e-13,0,3.7e-11,1,0.000181,1.0146954972012e-20,127261.24596189,1.8974916799416e+21
39,0,0,39,1.3432710221662e-11,4.9063044879345e-06,-2.2532959192746e-11,-1.9481560494501e-13,0,3.7e-11,1,0.000181,1.0197424187075e-20,130597.04376504,2.1829031424348e+21
40,0,0,40,1.362340382544e-11,5.0307576004335e-06,-2.2521857922293e-11,-1.8823246012944e-13,0,3.7e-11,1,0.000181,1.0248134179224e-20,133932.16691847,2.5023165729751e+21
41,0,0,41,1.3807574686501e-11,5.1551497136925e-06,-2.2510853365389e-11,-1.8174601939616e-13,0,3.7e-11,1,0.000181,1.0299086044131e-20,137266.6154236,2.8587727539194e+21
42,0,0,42,1.398531979567e-11,5.2794813636247e-06,-2.2499945971857e-11,-1.7535673257328e-13,0,3.7e-11,1,0.000181,1.0350280882185e-20,140600.38928183,3.2554983827836e+21
43,0,0,43,1.415673654924e-11,5.4037530883835e-06,-2.248913612079e-11,-1.690649787489e-13,0,3.7e-11,1,0.000181,1.0401719798517e-20,143933.48849457,3.6959124014297e+21
44,0,0,44,1.4321922679442e-11,5.5279654279782e-06,-2.2478424122481e-11,-1.6287106821981e-13,0,3.7e-11,1,0.000181,1.0453403903015e-20,147265.91306325,4.1836323732471e+21
45,0,0,45,1.4480976186872e-11,5.6521189239008e-06,-2.2467810220371e-11,-1.5677524443053e-13,0,3.7e-11,1,0.000181,1.0505334310346e-20,150597.66298928,4.7224809071227e+21
46,0,0,46,1.4633995274844e-11,5.7762141187634e-06,-2.2457294592973e-11,-1.5077768590311e-13,0,3.7e-11,1,0.000181,1.0557512139975e-20,153928.73827405,5.3164921270314e+21
47,0,0,47,1.4781078285662e-11,5.9002515559458e-06,-2.2446877355804e-11,-1.4487850815196e-13,0,3.7e-11,1,0.000181,1.0609938516183e-20,157259.138919,5.9699181861211e+21
48,0,0,48,1.4922323638812e-11,6.0242317792543e-06,-2.2436558563281e-11,-1.3907776559039e-13,0,3.7e-11,1,0.000181,1.0662614568086e-20,160588.86492552,6.687235824202e+21
49,0,0,49,1.5057829771035e-11,6.1481553325906e-06,-2.2426338210605e-11,-1.333754534179e-13,0,3.7e-11,1,0.000181,1.0715541429656e-20,163917.91629504,7.4731529675805e+21
50,0,0,50,1.518769507829e-11,6.2720227596309e-06,-2.2416216235621e-11,-1.2777150949504e-13,0,3.7e-11,1,0.000181,1.0768720239742e-20,167246.29302895,8.3326153702157e+21
51,0,0,51,1.5312017859577e-11,6.3958346035158e-06,-2.2406192520713e-11,-1.2226581620036e-13,0,3.7e-11,1,0.000181,1.0822152142084e-20,170573.99512868,9.2708132952042e+21
52,0,0,52,1.5430896262601e-11,6.51959140655e-06,-2.2396266894612e-11,-1.1685820226966e-13,0,3.7e-11,1,0.000181,1.0875838285339e-20,173901.02259563,1.0293188235631e+22
53,0,0,53,1.5544428231276e-11,6.6432937099123e-06,-2.2386439134227e-11,-1.1154844461613e-13,0,3.7e-11,1,0.000181,1.0929779823099e-20,177227.37543121,1.1405439673846e+22
54,0,0,54,1.5652711455025e-11,6.7669420533753e-06,-2.2376708966455e-11,-1.0633627013125e-13,0,3.7e-11,1,0.000181,1.0983977913907e-20,180553.05363684,1.2613531878262e+22
55,0,0,55,1.5755843319871e-11,6.8905369750357e-06,-2.2367076069941e-11,-1.012213574637e-13,0,3.7e-11,1,0.000181,1.1038433721282e-20,183878.05721392,1.3923700736789e+22
56,0,0,56,1.5853920861298e-11,7.0140790110532e-06,-2.2357540076847e-11,-9.6203338778105e-14,0,3.7e-11,1,0.000181,1.1093148413738e-20,187202.38616385,1.5342460626034e+22
57,0,0,57,1.5947040718853e-11,7.1375686954e-06,-2.234810057458e-11,-9.1281801490909e-14,0,3.7e-11,1,0.000181,1.1148123164799e-20,190526.04048806,1.6876611315444e+22
58,0,0,58,1.6035299092466e-11,7.2610065596196e-06,-2.2338757107523e-11,-8.6456289982477e-14,0,3.7e-11,1,0.000181,1.1203359153028e-20,193849.02018795,1.8533244905572e+22
59,0,0,59,1.6118791700477e-11,7.3843931325947e-06,-2.23295091787e-11,-8.1726307284249e-14,0,3.7e-11,1,0.000181,1.1258857562039e-20,197171.32526492,2.0319752799663e+22
60,0,0,60,1.6197613739325e-11,7.5077289403245e-06,-2.2320356251469e-11,-7.7091316745624e-14,0,3.7e-11,1,0.000181,1.1314619580522e-20,200492.95572038,2.2243832707795e+22
61,0,0,61,1.6271859844894e-11,7.6310145057113e-06,-2.2311297751131e-11,-7.255074367106e-14,0,3.7e-11,1,0.000181,1.1370646402262e-20,203813.91155575,2.431349568282e+22
62,0,0,62,1.6341624055476e-11,7.7542503483559e-06,-2.2302333066562e-11,-6.8103976933536e-14,0,3.7e-11,1,0.000181,1.142693922616e-20,207134.19277243,2.6537073187357e+22
63,0,0,63,1.6406999776339e-11,7.8774369843614e-06,-2.2293461551773e-11,-6.3750370561267e-14,0,3.7e-11,1,0.000181,1.1483499256252e-20,210453.79937182,2.8923224191131e+22
64,0,0,64,1.6468079745851e-11,8.0005749261465e-06,-2.2284682527508e-11,-5.9489245298517e-14,0,3.7e-11,1,0.000181,1.154032770173e-20,213772.73135533,3.1480942297949e+22
65,0,0,65,1.6524956003166e-11,8.1236646822669e-06,-2.2275995282762e-11,-5.5319890138689e-14,0,3.7e-11,1,0.000181,1.1597425776966e-20,217090.98872438,3.4219562901629e+22
66,0,0,66,1.6577719857408e-11,8.246706757245e-06,-2.2267399076291e-11,-5.1241563829739e-14,0,3.7e-11,1,0.000181,1.1654794701528e-20,220408.57148035,3.7148770370211e+22
67,0,0,67,1.6626461858356e-11,8.3697016514077e-06,-2.2258893138066e-11,-4.7253496352854e-14,0,3.7e-11,1,0.000181,1.1712435700203e-20,223725.47962467,4.0278605257791e+22
68,0,0,68,1.6671271768586e-11,8.492649860733e-06,-2.2250476670744e-11,-4.3354890371697e-14,0,3.7e-11,1,0.000181,1.1770350003019e-20,227041.71315874,4.3619471543342e+22
69,0,0,69,1.6712238537041e-11,8.6155518767034e-06,-2.2242148851099e-11,-3.9544922653401e-14,0,3.7e-11,1,0.000181,1.1828538845262e-20,230357.27208396,4.7182143895898e+22
70,0,0,70,1.674945027401e-11,8.738408186168e-06,-2.223390883138e-11,-3.5822745463026e-14,0,3.7e-11,1,0.000181,1.1887003467504e-20,233672.15640173,5.0977774965475e+22
71,0,0,71,1.678299422748e-11,8.8612192712119e-06,-2.2225755740725e-11,-3.2187487925927e-14,0,3.7e-11,1,0.000181,1.1945745115617e-20,236986.36611347,5.5017902699145e+22
72,0,0,72,1.6812956760833e-11,8.9839856090329e-06,-2.2217688686451e-11,-2.8638257364143e-14,0,3.7e-11,1,0.000181,1.2004765040797e-20,240299.90122057,5.9314457681664e+22
73,0,0,73,1.6839423331859e-11,9.1067076718254e-06,-2.2209706755387e-11,-2.5174140601865e-14,0,3.7e-11,1,0.000181,1.2064064499587e-20,243612.76172443,6.3879770500075e+22
74,0,0,74,1.6862478473063e-11,9.2293859266718e-06,-2.2201809015118e-11,-2.1794205242773e-14,0,3.7e-11,1,0.000181,1.2123644753896e-20,246924.94762648,6.8726579131735e+22
75,0,0,75,1.6882205773224e-11,9.3520208354403e-06,-2.2193994515284e-11,-1.8497500918253e-14,0,3.7e-11,1,0.000181,1.2183507071023e-20,250236.4589281,7.3868036355194e+22
76,0,0,76,1.6898687860186e-11,9.4746128546905e-06,-2.2186262288769e-11,-1.5283060504321e-14,0,3.7e-11,1,0.000181,1.2243652723673e-20,253547.2956307,7.9317717183419e+22
77,0,0,77,1.691200638485e-11,9.5971624355841e-06,-2.2178611352856e-11,-1.214990131413e-14,0,3.7e-11,1,0.000181,1.2304082989986e-20,256857.45773568,8.508962631877e+22
78,0,0,78,1.6922242006339e-11,9.7196700238035e-06,-2.2171040710472e-11,-9.0970262551496e-15,0,3.7e-11,1,0.000181,1.2364799153555e-20,260166.94524445,9.1198205629279e+22
79,0,0,79,1.6929474378298e-11,9.8421360594761e-06,-2.2163549351239e-11,-6.1234249616225e-15,0,3.7e-11,1,0.000181,1.2425802503445e-20,263475.75815841,9.7658341645669e+22
80,0,0,80,1.6933782136317e-11,9.9645609771044e-06,-2.2156136252636e-11,-3.2280748973939e-15,0,3.7e-11,1,0.000181,1.248709433422e-20,266783.89647896,1.0448537307862e+23
81,0,0,81,1.6935242886428e-11,1.0086945205503e-05,-2.2148800380998e-11,-4.0994242816878e-16,0,3.7e-11,1,0.000181,1.2548675945963e-20,270091.3602075,1.1169509835583e+23
82,0,0,82,1.6933933194667e-11,1.020928916774e-05,-2.2141540692652e-11,2.3320161339143e-15,0,3.7e-11,1,0.000181,1.2610548644297e-20,273398.14934543,1.1930378317829e+23
83,0,0,83,1.6929928577656e-11,1.0331593281087e-05,-2.213435613487e-11,4.9988535136518e-15,0,3.7e-11,1,0.000181,1.2672713740407e-20,276704.26389415,1.2732816809542e+23
84,0,0,84,1.6923303494183e-11,1.045385795697e-05,-2.2127245646877e-11,7.591630487862e-15,0,3.7e-11,1,0.000181,1.2735172551064e-20,280009.70385507,1.3578547609856e+23
85,0,0,85,1.6914131337753e-11,1.057608360093e-05,-2.2120208160806e-11,1.0111414922495e-14,0,3.7e-11,1,0.000181,1.2797926398645e-20,283314.46922958,1.4469342023222e+23
86,0,0,86,1.6902484430086e-11,1.0698270612585e-05,-2.2113242602615e-11,1.2559280844096e-14,0,3.7e-11,1,0.000181,1.2860976611159e-20,286618.56001909,1.5407021122291e+23
87,0,0,87,1.6888434015518e-11,1.0820419385604e-05,-2.2106347893028e-11,1.4936307536434e-14,0,3.7e-11,1,0.000181,1.2924324522264e-20,289921.97622499,1.6393456512483e+23
88,0,0,88,1.6872050256297e-11,1.0942530307674e-05,-2.2099522948376e-11,1.7243578664093e-14,0,3.7e-11,1,0.000181,1.2987971471294e-20,293224.71784868,1.7430571098219e+23
