x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-9.7263193250138e-15,-1.8869799045591e-15,0,3.7e-11,1,0.000181,2.2622735593781e-18,1,4.3037883693406e-07
1,0,0,1,1.886131550926e-15,9.0730009012445e-11,-9.7239439371026e-15,-1.8852831969858e-15,0,3.7e-11,1,0.000181,2.2622855859486e-18,2.1705241272699,2.8609251669179e-05
2,0,0,2,3.7700008240084e-15,1.4444251976188e-10,-9.7207767508294e-15,-1.8830209189526e-15,0,3.7e-11,1,0.000181,2.2622974772899e-18,3.3409131331778,0.00029568350258043
3,0,0,3,5.6516078218865e-15,1.9813753225596e-10,-9.7176095687914e-15,-1.8807586463881e-15,0,3.7e-11,1,0.000181,2.2623092335601e-18,4.5111670175365,0.0015036018492693
4,0,0,4,7.5309525547375e-15,2.5181504654428e-10,-9.714442398573e-15,-1.8784963868239e-15,0,3.7e-11,1,0.000181,2.2623208549176e-18,5.6812857801668,0.005242446775067
5,0,0,5,9.4080350402596e-15,3.0547506271828e-10,-9.7112752477432e-15,-1.8762341477744e-15,0,3.7e-11,1,0.000181,2.2623323415215e-18,6.8512694208973,0.014452531841453
6,0,0,6,1.1282855303655e-14,3.5911758091116e-10,-9.7081081238515e-15,-1.8739719367371e-15,0,3.7e-11,1,0.000181,2.262343693531e-18,8.0211179395649,0.033939691687391
7,0,0,7,1.3155413377612e-14,4.1274260129778e-10,-9.7049410344323e-15,-1.8717097611919e-15,0,3.7e-11,1,0.000181,2.2623549111063e-18,9.1908313360141,0.070936524443196
8,0,0,8,1.5025709302288e-14,4.6635012409455e-10,-9.7017739870021e-15,-1.8694476286022e-15,0,3.7e-11,1,0.000181,2.2623659944077e-18,10.360409610098,0.13570448127908
9,0,0,9,1.6893743125294e-14,5.1994014955935e-10,-9.6986069890596e-15,-1.8671855464136e-15,0,3.7e-11,1,0.000181,2.2623769435963e-18,11.529852761677,0.24217295006992
10,0,0,10,1.8759514901676e-14,5.7351267799145e-10,-9.6954400480869e-15,-1.8649235220553e-15,0,3.7e-11,1,0.000181,2.2623877588334e-18,12.699160790619,0.40861229123532
11,0,0,11,2.0623024693897e-14,6.2706770973137e-10,-9.6922731715493e-15,-1.8626615629388e-15,0,3.7e-11,1,0.000181,2.2623984402811e-18,13.868333696802,0.65833834516949
12,0,0,12,2.2484272571823e-14,6.8060524516084e-10,-9.6891063668965e-15,-1.8603996764588e-15,0,3.7e-11,1,0.000181,2.2624089881018e-18,15.037371480109,1.0204463383254
13,0,0,13,2.4343258612702e-14,7.3412528470268e-10,-9.6859396415554e-15,-1.8581378699929e-15,0,3.7e-11,1,0.000181,2.2624194024585e-18,16.206274140433,1.5305724220945
14,0,0,14,2.6199982901149e-14,7.8762782882067e-10,-9.6827730029423e-15,-1.8558761509017e-15,0,3.7e-11,1,0.000181,2.2624296835148e-18,17.375041677675,2.2316813167352
15,0,0,15,2.8054445529132e-14,8.4111287801953e-10,-9.6796064584515e-15,-1.8536145265287e-15,0,3.7e-11,1,0.000181,2.2624398314345e-18,18.543674091743,3.1748787216217
16,0,0,16,2.9906646595947e-14,8.9458043284476e-10,-9.6764400154637e-15,-1.8513530042001e-15,0,3.7e-11,1,0.000181,2.2624498463822e-18,19.712171382553,4.4202473060918
17,0,0,17,3.175658620821e-14,9.4803049388258e-10,-9.6732736813407e-15,-1.8490915912255e-15,0,3.7e-11,1,0.000181,2.262459728523e-18,20.880533550028,6.0377052210633
18,0,0,18,3.3604264479832e-14,1.0014630617598e-09,-9.6701074634267e-15,-1.846830294897e-15,0,3.7e-11,1,0.000181,2.2624694780224e-18,22.048760594101,8.1078861766489
19,0,0,19,3.544968153201e-14,1.0548781371438e-09,-9.6669413690499e-15,-1.8445691224901e-15,0,3.7e-11,1,0.000181,2.2624790950464e-18,23.216852514711,10.723040219734
20,0,0,20,3.7292837493202e-14,1.1082757207424e-09,-9.6637754055202e-15,-1.8423080812631e-15,0,3.7e-11,1,0.000181,2.2624885797616e-18,24.384809311806,13.987954421235
21,0,0,21,3.9133732499115e-14,1.1616558133036e-09,-9.6606095801331e-15,-1.8400471784573e-15,0,3.7e-11,1,0.000181,2.2624979323351e-18,25.552630985341,18.020892748026
22,0,0,22,4.0972366692686e-14,1.2150184156158e-09,-9.657443900167e-15,-1.8377864212969e-15,0,3.7e-11,1,0.000181,2.2625071529346e-18,26.720317535279,22.954554451249
23,0,0,23,4.2808740224068e-14,1.2683635285075e-09,-9.6542783728798e-15,-1.8355258169893e-15,0,3.7e-11,1,0.000181,2.2625162417281e-18,27.887868961593,28.937050352347
24,0,0,24,4.4642853250608e-14,1.3216911528473e-09,-9.6511130055126e-15,-1.8332653727249e-15,0,3.7e-11,1,0.000181,2.2625251988844e-18,29.055285264259,36.132896451933
25,0,0,25,4.6474705936835e-14,1.3750012895436e-09,-9.6479478052939e-15,-1.831005095677e-15,0,3.7e-11,1,0.000181,2.2625340245725e-18,30.222566443266,44.724024325391
26,0,0,26,4.8304298454438e-14,1.4282939395448e-09,-9.6447827794307e-15,-1.8287449930022e-15,0,3.7e-11,1,0.000181,2.2625427189623e-18,31.389712498608,54.910807803665
27,0,0,27,5.0131630982255e-14,1.4815691038391e-09,-9.6416179351141e-15,-1.8264850718399e-15,0,3.7e-11,1,0.000181,2.262551282224e-18,32.556723430287,66.913105468712
28,0,0,28,5.195670370625e-14,1.5348267834543e-09,-9.6384532795167e-15,-1.8242253393127e-15,0,3.7e-11,1,0.000181,2.2625597145282e-18,33.723599238312,80.971318520927
29,0,0,29,5.3779516819502e-14,1.5880669794577e-09,-9.6352888198026e-15,-1.8219658025261e-15,0,3.7e-11,1,0.000181,2.2625680160464e-18,34.890339922702,97.347463601136
30,0,0,30,5.5600070522182e-14,1.6412896929562e-09,-9.6321245631073e-15,-1.819706468569e-15,0,3.7e-11,1,0.000181,2.2625761869503e-18,36.056945483483,116.32626017253
31,0,0,31,5.7418365021542e-14,1.6944949250961e-09,-9.6289605165567e-15,-1.8174473445133e-15,0,3.7e-11,1,0.000181,2.2625842274123e-18,37.223415920687,138.21623208881
32,0,0,32,5.9234400531893e-14,1.7476826770629e-09,-9.625796687254e-15,-1.8151884374138e-15,0,3.7e-11,1,0.000181,2.2625921376054e-18,38.389751234357,163.35082299388
33,0,0,33,6.1048177274592e-14,1.8008529500814e-09,-9.6226330822953e-15,-1.8129297543086e-15,0,3.7e-11,1,0.000181,2.2625999177028e-18,39.555951424539,192.08952521577
34,0,0,34,6.2859695478023e-14,1.8540057454155e-09,-9.6194697087458e-15,-1.8106713022189e-15,0,3.7e-11,1,0.000181,2.2626075678787e-18,40.722016491291,224.81902183366
35,0,0,35,6.4668955377579e-14,1.9071410643681e-09,-9.6163065736657e-15,-1.8084130881491e-15,0,3.7e-11,1,0.000181,2.2626150883074e-18,41.887946434678,261.95434161149
36,0,0,36,6.6475957215651e-14,1.9602589082809e-09,-9.6131436840921e-15,-1.8061551190866e-15,0,3.7e-11,1,0.000181,2.2626224791642e-18,43.05374125477,303.94002650554
37,0,0,37,6.8280701241602e-14,2.0133592785347e-09,-9.6099810470489e-15,-1.8038974020021e-15,0,3.7e-11,1,0.000181,2.2626297406244e-18,44.219400951647,351.25131146582
38,0,0,38,7.0083187711758e-14,2.0664421765488e-09,-9.6068186695412e-15,-1.8016399438495e-15,0,3.7e-11,1,0.000181,2.2626368728644e-18,45.384925525397,404.39531626304
39,0,0,39,7.1883416889389e-14,2.1195076037813e-09,-9.6036565585604e-15,-1.7993827515657e-15,0,3.7e-11,1,0.000181,2.2626438760607e-18,46.550314976114,463.91224908369
40,0,0,40,7.3681389044689e-14,2.1725555617288e-09,-9.6004947210724e-15,-1.7971258320711e-15,0,3.7e-11,1,0.000181,2.2626507503905e-18,47.715569303901,530.37662164616
41,0,0,41,7.5477104454763e-14,2.2255860519263e-09,-9.5973331640326e-15,-1.7948691922688e-15,0,3.7e-11,1,0.000181,2.2626574960317e-18,48.880688508869,604.39847560034
42,0,0,42,7.727056340361e-14,2.2785990759471e-09,-9.5941718943781e-15,-1.7926128390457e-15,0,3.7e-11,1,0.000181,2.2626641131626e-18,50.045672591134,686.62461998185
43,0,0,43,7.9061766182103e-14,2.3315946354031e-09,-9.5910109190343e-15,-1.7903567792717e-15,0,3.7e-11,1,0.000181,2.262670601962e-18,51.210521550822,777.73987950088
44,0,0,44,8.0850713087977e-14,2.384572731944e-09,-9.5878502448998e-15,-1.7881010197998e-15,0,3.7e-11,1,0.000181,2.2626769626094e-18,52.375235388066,878.46835345278
45,0,0,45,8.2637404425806e-14,2.4375333672577e-09,-9.5846898788675e-15,-1.7858455674666e-15,0,3.7e-11,1,0.000181,2.2626831952847e-18,53.539814103008,989.57468504574
46,0,0,46,8.4421840506995e-14,2.4904765430703e-09,-9.5815298278005e-15,-1.7835904290915e-15,0,3.7e-11,1,0.000181,2.2626893001684e-18,54.704257695793,1111.8653409472
47,0,0,47,8.6204021649752e-14,2.5434022611455e-09,-9.5783700985572e-15,-1.7813356114773e-15,0,3.7e-11,1,0.000181,2.2626952774417e-18,55.86856616658,1246.1899008576
48,0,0,48,8.7983948179084e-14,2.596310523285e-09,-9.5752106979743e-15,-1.7790811214105e-15,0,3.7e-11,1,0.000181,2.2627011272862e-18,57.03273951553,1393.442356926
49,0,0,49,8.9761620426768e-14,2.6492013313282e-09,-9.5720516328723e-15,-1.7768269656605e-15,0,3.7e-11,1,0.000181,2.262706849884e-18,58.196777742815,1554.5624228289
50,0,0,50,9.1537038731344e-14,2.7020746871519e-09,-9.568892910051e-15,-1.7745731509801e-15,0,3.7e-11,1,0.000181,2.2627124454181e-18,59.360680848613,1730.5368523365
51,0,0,51,9.3310203438092e-14,2.7549305926708e-09,-9.5657345363006e-15,-1.7723196841055e-15,0,3.7e-11,1,0.000181,2.2627179140715e-18,60.524448833109,1922.4007672
52,0,0,52,9.508111489902e-14,2.8077690498368e-09,-9.562576518389e-15,-1.7700665717562e-15,0,3.7e-11,1,0.000181,2.2627232560284e-18,61.688081696497,2131.2389941953
53,0,0,53,9.6849773472843e-14,2.8605900606392e-09,-9.5594188630712e-15,-1.7678138206349e-15,0,3.7e-11,1,0.000181,2.2627284714731e-18,62.851579438979,2358.187411164
54,0,0,54,9.861617952497e-14,2.9133936271044e-09,-9.5562615770774e-15,-1.765561437428e-15,0,3.7e-11,1,0.000181,2.2627335605906e-18,64.014942060762,2604.4343018971
55,0,0,55,1.0038033342748e-13,2.9661797512962e-09,-9.5531046671373e-15,-1.7633094288048e-15,0,3.7e-11,1,0.000181,2.2627385235665e-18,65.178169562063,2871.2217197135
56,0,0,56,1.0214223555913e-13,3.0189484353155e-09,-9.5499481399469e-15,-1.7610578014185e-15,0,3.7e-11,1,0.000181,2.2627433605871e-18,66.341261943104,3159.8468595841
57,0,0,57,1.0390188630529e-13,3.0716996812998e-09,-9.5467920021975e-15,-1.7588065619053e-15,0,3.7e-11,1,0.000181,2.2627480718389e-18,67.504219204118,3471.6634386625
58,0,0,58,1.0565928605798e-13,3.1244334914239e-09,-9.5436362605528e-15,-1.7565557168851e-15,0,3.7e-11,1,0.000181,2.2627526575094e-18,68.667041345341,3808.0830850818
59,0,0,59,1.0741443521582e-13,3.1771498678992e-09,-9.5404809216687e-15,-1.754305272961e-15,0,3.7e-11,1,0.000181,2.2627571177863e-18,69.82972836702,4170.5767348839
60,0,0,60,1.0916733418402e-13,3.2298488129738e-09,-9.5373259921839e-15,-1.7520552367197e-15,0,3.7e-11,1,0.000181,2.2627614528582e-18,70.992280269409,4560.6760369509
61,0,0,61,1.1091798337438e-13,3.2825303289323e-09,-9.5341714787126e-15,-1.7498056147312e-15,0,3.7e-11,1,0.000181,2.2627656629141e-18,72.154697052766,4979.9747658077
62,0,0,62,1.1266638320524e-13,3.3351944180962e-09,-9.5310173878646e-15,-1.747556413549e-15,0,3.7e-11,1,0.000181,2.2627697481436e-18,73.316978717362,5430.1302421746
63,0,0,63,1.144125341015e-13,3.387841082823e-09,-9.5278637262201e-15,-1.7453076397103e-15,0,3.7e-11,1,0.000181,2.2627737087368e-18,74.479125263471,5912.8647611448
64,0,0,64,1.1615643649458e-13,3.4404703255067e-09,-9.5247105003531e-15,-1.7430592997352e-15,0,3.7e-11,1,0.000181,2.2627775448846e-18,75.641136691375,6429.9670278697
65,0,0,65,1.178980908224e-13,3.4930821485776e-09,-9.5215577168216e-15,-1.7408114001283e-15,0,3.7e-11,1,0.000181,2.2627812567783e-18,76.803013001366,6983.2936006362
66,0,0,66,1.1963749752939e-13,3.5456765545021e-09,-9.5184053821508e-15,-1.7385639473764e-15,0,3.7e-11,1,0.000181,2.2627848446098e-18,77.964754193741,7574.7703412194
67,0,0,67,1.2137465706646e-13,3.5982535457825e-09,-9.5152535028588e-15,-1.7363169479512e-15,0,3.7e-11,1,0.000181,2.2627883085717e-18,79.126360268804,8206.3938724029
