time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,2.3452503830009e-13,3.7916139032182e-11,-5.0983768717275e-14,-2.5382821310856e-16,5.0978921038117e-14,2.7023509048462e-16,4.6905007660018e-09,7.5832278064364e-07,1,0.00018099999999999
186.68799962237,1.6853935036503e-12,3.9659123016498e-11,-1.3842332910441e-13,-1.3347977529078e-15,1.3842301922042e-13,1.3519000984709e-15,3.3707870073006e-08,7.9318246032996e-07,1,0.00018099999999999
1181.8815689988,1.0653088136549e-11,5.045095726721e-11,-3.4992307636317e-13,-4.5900914893043e-15,3.4992306677524e-13,4.5945191912976e-15,2.1306176273098e-07,1.0090191453442e-06,1,0.00018099999999999
7343.8578398454,6.593824061695e-11,1.172665767602e-10,-8.7391161295466e-13,-1.2899365752342e-14,8.7391161234912e-13,1.2899368047427e-14,1.318764812339e-06,2.3453315352041e-06,1,0.00018099999999999
45497.190750011,4.0443960922569e-10,5.3079183916566e-10,-2.17640145434e-12,-3.3857968649757e-14,2.1764014543004e-12,3.3857977205925e-14,8.0887921845138e-06,1.0615836783313e-05,1,0.00018099999999999
281732.57176583,2.4182099573368e-09,3.0647532431706e-09,-5.3779897707933e-12,-8.6155613895445e-14,5.3779897707898e-12,8.6155614606694e-14,4.8364199146737e-05,6.1295064863413e-05,1,0.00018099999999999
1744439.784661,1.027361433704e-08,1.4848588654966e-08,-1.066604643013e-11,-2.1563827365697e-13,1.0666046430146e-11,2.1563827370442e-13,0.00020547228674079,0.00029697177309932,1,0.00018099999999999
10801137.310052,7.4515696393074e-09,3.5694638891445e-08,-6.3995572512631e-12,-5.1726142381717e-13,6.3995572514544e-12,5.1726142381968e-13,0.00014903139278615,0.00071389277782891,1,0.00018099999999999
66877821.244672,1.7333606660129e-09,1.4819178200604e-07,-2.7856925077958e-12,-1.0775670881703e-12,2.7856925077817e-12,1.0775670881741e-12,3.4667213320259e-05,0.0029638356401207,1,0.00018099999999999
414089867.61007,3.0901071413014e-10,7.8757903734425e-07,-1.575298229684e-12,-1.7797856199735e-12,1.5752982297035e-12,1.7797856199502e-12,6.1802142826029e-06,0.015751580746885,1,0.00018099999999999
2563935341.3868,5.5202082379665e-11,4.4658235071741e-06,-1.1953235356917e-12,-2.5937817699032e-12,1.1953235356927e-12,2.5937817698992e-12,1.1040416475933e-06,0.089316470143482,1,0.00018099999999999
15875211863.902,1.1577022942949e-11,2.507563742708e-05,-9.2923171394362e-13,-4.3976653381866e-12,9.2923171411644e-13,4.3976653365042e-12,2.3154045885898e-07,0.50151274854161,1,0.00018099999999999
98295127536.995,3.283392582527e-12,0.00012096420319695,-6.9874708544513e-13,-9.2853698053354e-12,6.9874708545767e-13,9.2853698048682e-12,6.566785165054e-08,2.4192840639389,1,0.00018099999999999
608617521341.22,1.5433049218493e-12,0.0003083689272579,-5.5910528631211e-13,-1.7535508912113e-11,5.5910528630702e-13,1.7535508912515e-11,3.0866098436986e-08,6.167378545158,1,0.00018099999999999
