time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,7.3572211039983e-15,3.7642333116938e-11,-2.9017372238815e-18,-3.5274977706689e-17,2.9023750540817e-18,5.1356115732201e-17,1.4714442207997e-10,7.5284666233876e-07,1,0.00018099999999999
186.68799962237,5.2748125506983e-14,3.7689992902062e-11,-1.1451403872073e-18,-5.9424730364663e-17,1.1451411244553e-18,7.6216794668274e-17,1.0549625101397e-09,7.5379985804124e-07,1,0.00018099999999999
1181.8815689988,3.337964693857e-13,3.798508333487e-11,-6.0485145096623e-19,-1.1141806321643e-16,6.0485127647495e-19,1.1570073345154e-16,6.6759293877139e-09,7.5970166669739e-07,1,0.00018099999999999
7343.8578398454,2.073961112601e-12,3.9812213324093e-11,-6.6890936667714e-19,-5.5348549042187e-17,6.6890935345984e-19,5.5227813110471e-17,4.1479222252019e-08,7.9624426648185e-07,1,0.00018099999999999
45497.190750011,1.2847898896219e-11,5.1124895385422e-11,-1.8233562865631e-18,-2.2409093422377e-17,1.8233562856856e-18,2.240747893117e-17,2.5695797792439e-07,1.0224979077084e-06,1,0.00018099999999999
281732.57176583,7.9477687823053e-11,1.2109508152488e-10,-1.4038914184653e-17,-9.0417921143744e-18,1.4038914184437e-17,9.0417749637452e-18,1.5895537564611e-06,2.4219016304977e-06,1,0.00018099999999999
1744439.784661,4.7792807663722e-10,5.4044656742974e-10,-1.4951302353111e-15,-3.711111073146e-18,1.4951302356577e-15,3.7111108477898e-18,9.5585615327444e-06,1.0808931348595e-05,1,0.00018099999999999
10801137.310052,1.7043206608045e-09,1.976595570656e-09,-2.0999895149665e-13,-1.506869817596e-18,2.0999895145656e-13,1.506869812178e-18,3.4086413216091e-05,3.9531911413119e-05,1,0.00018099999999999
66877821.244672,1.1566074867988e-09,4.0214823977461e-09,-2.5513822251899e-13,3.1133297292493e-18,2.5513822229944e-13,-3.1133297243693e-18,2.3132149735976e-05,8.0429647954922e-05,1,0.00018099999999999
414089867.61007,3.7312096241868e-10,1.2772320164367e-08,-7.9507093115359e-14,8.2764644452038e-18,7.9507092975299e-14,-8.2764644327022e-18,7.4624192483737e-06,0.00025544640328734,1,0.00018099999999999
2563935341.3868,9.450512278769e-11,5.0796078034107e-08,-1.9544902342252e-14,-1.3939426160941e-18,1.954490231347e-14,1.3939426305093e-18,1.8901024557538e-06,0.0010159215606821,1,0.00018099999999999
15875211863.902,1.6565206626254e-11,2.4707610478221e-07,-1.6067163360665e-15,-2.6014777825125e-16,1.6067163237031e-15,2.6014777912162e-16,3.3130413252508e-07,0.0049415220956442,1,0.00018099999999999
95564707327.495,3.4096020609926e-12,1.2689242895602e-06,-1.0297632603268e-17,-3.0104110106849e-14,1.02976326056e-17,3.0104110110966e-14,6.8192041219851e-08,0.025378485791203,1,0.00018099999999999
228743683466.06,1.9679171206075e-12,2.3703703071881e-06,-4.358219339171e-18,-7.935304893151e-14,4.3582193391671e-18,7.9353048931466e-14,3.935834241215e-08,0.047407406143761,1,0.00018099999999999
449103933655,1.4932900255694e-12,3.2052306642167e-06,-3.2799006594292e-18,-1.1679858360011e-13,3.2799006594427e-18,1.1679858359931e-13,2.9865800511388e-08,0.064104613284334,1,0.00018099999999999
812270767380.11,1.3424564254022e-12,3.594498785001e-06,-2.9807363570943e-18,-1.3422900776395e-13,2.9807363570897e-18,1.3422900776426e-13,2.6849128508043e-08,0.071889975700019,1,0.00018099999999999
1219518540922.9,1.3164006115443e-12,3.6707949624325e-06,-2.9306870749222e-18,-1.3764408224195e-13,2.9306870750249e-18,1.3764408223451e-13,2.6328012230887e-08,0.07341589924865,1,0.00018099999999999
2003638633704.6,1.3119205448047e-12,3.6842192235605e-06,-2.9221261592571e-18,-1.3824492547935e-13,2.9221261592549e-18,1.382449254795e-13,2.6238410896094e-08,0.07368438447121,1,0.00018099999999999
