x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-1.9472700946848e-12,-1.3826443680631e-12,0,3.7e-11,1,0.000181,3.3588710638501e-20,1,4.3037883693406e-07
1,0,0,1,1.3792555381185e-12,1.077573934271e-08,-1.9401535815349e-12,-1.375866742317e-12,0,3.7e-11,1,0.000181,3.4266973466283e-20,85.284945932799,12314.941325722
2,0,0,2,2.7494747115628e-12,2.1462057611272e-08,-1.9306658075729e-12,-1.3668308180075e-12,0,3.7e-11,1,0.000181,3.4958373237934e-20,169.50242139427,508026.25170869
3,0,0,3,4.1106591388738e-12,3.2095963749285e-08,-1.9211800512009e-12,-1.3577969110378e-12,0,3.7e-11,1,0.000181,3.5663152667855e-20,253.65242642181,4507494.4348391
4,0,0,4,5.4628114943555e-12,4.2677472533292e-08,-1.9116973612574e-12,-1.3487660702465e-12,0,3.7e-11,1,0.000181,3.6381558716986e-20,337.73496105276,21246063.925691
5,0,0,5,6.805935489657e-12,5.3206604471021e-08,-1.9022187682056e-12,-1.3397393260969e-12,0,3.7e-11,1,0.000181,3.7113842662455e-20,421.75002532445,70755164.315276
6,0,0,6,8.1400358554697e-12,6.368338570027e-08,-1.8927452842499e-12,-1.3307176907938e-12,0,3.7e-11,1,0.000181,3.7860260168281e-20,505.69761927418,189099773.59738
7,0,0,7,9.4651183233431e-12,7.4107847888436e-08,-1.8832779034548e-12,-1.3217021584017e-12,0,3.7e-11,1,0.000181,3.8621071357147e-20,589.57774293921,434143207.98153
8,0,0,8,1.078118960762e-11,8.4480028132715e-08,-1.8738176018669e-12,-1.3126937049676e-12,0,3.7e-11,1,0.000181,3.9396540883255e-20,673.39039635677,891755005.7853
9,0,0,9,1.2088257387498e-11,9.4799968860989e-08,-1.8643653376403e-12,-1.3036932886458e-12,0,3.7e-11,1,0.000181,4.0186938006277e-20,757.13557956408,1682400783.582
10,0,0,10,1.3386330289216e-11,1.0506771773341e-07,-1.8549220511643e-12,-1.2947018498257e-12,0,3.7e-11,1,0.000181,4.099253666643e-20,840.8132925983,2968066875.6801
