x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-5.4181816572953e-16,-1.1260616847157e-14,0,3.7e-11,1,0.000181,3.3588710638501e-23,1,4.3037883693406e-07
1,0,0,1,1.1257227975104e-14,3.9971121072187e-11,-5.3373622114704e-16,-1.1253839104268e-14,0,3.7e-11,1,0.000181,3.4266973466283e-23,-0.60063536823032,-nan
2,0,0,2,2.250541896985e-14,4.2883084903812e-11,-5.2308010726149e-16,-1.1244802131725e-14,0,3.7e-11,1,0.000181,3.4958373237934e-23,-2.2015201735494,-nan
3,0,0,3,3.3744573006061e-14,4.5736647879248e-11,-5.1256088017416e-16,-1.1235765181885e-14,0,3.7e-11,1,0.000181,3.5663152667855e-23,-3.802633976395,-nan
4,0,0,4,4.4974690107873e-14,4.8532566029994e-11,-5.0217846358954e-16,-1.1226728257031e-14,0,3.7e-11,1,0.000181,3.6381558716986e-23,-5.4039563470874,-nan
5,0,0,5,5.6195770301659e-14,5.1271594851741e-11,-4.9193274812445e-16,-1.1217691359373e-14,0,3.7e-11,1,0.000181,3.7113842662455e-23,-7.005466870762,-nan
6,0,0,6,6.7407813615957e-14,5.395448912183e-11,-4.8182359138381e-16,-1.1208654491051e-14,0,3.7e-11,1,0.000181,3.7860260168281e-23,-8.6071451522929,-nan
7,0,0,7,7.8610820081402e-14,5.6582002717181e-11,-4.7185081805791e-16,-1.1199617654133e-14,0,3.7e-11,1,0.000181,3.8621071357147e-23,-10.208970821202,-nan
8,0,0,8,8.9804789730651e-14,5.9154888432852e-11,-4.6201422004044e-16,-1.1190580850617e-14,0,3.7e-11,1,0.000181,3.9396540883255e-23,-11.810923536554,-nan
9,0,0,9,1.0098972259832e-13,6.1673897801315e-11,-4.5231355656915e-16,-1.1181544082434e-14,0,3.7e-11,1,0.000181,4.0186938006277e-23,-13.412982991829,-nan
10,0,0,10,1.1216561872091e-13,6.4139780912586e-11,-4.4274855438813e-16,-1.1172507351449e-14,0,3.7e-11,1,0.000181,4.099253666643e-23,-15.015128919775,-nan
11,0,0,11,1.2333247813675e-13,6.655328623532e-11,-4.3331890792887e-16,-1.1163470659461e-14,0,3.7e-11,1,0.000181,4.1813615560663e-23,-16.617341097232,-nan
12,0,0,12,1.3449030088593e-13,6.8915160438986e-11,-4.2402427951454e-16,-1.1154434008205e-14,0,3.7e-11,1,0.000181,4.2650458220004e-23,-18.219599349929,-nan
13,0,0,13,1.4563908701023e-13,7.1226148217245e-11,-4.1486429958719e-16,-1.1145397399354e-14,0,3.7e-11,1,0.000181,4.3503353088057e-23,-19.82188355725,-nan
14,0,0,14,1.5677883655306e-13,7.3486992112639e-11,-4.0583856694901e-16,-1.1136360834518e-14,0,3.7e-11,1,0.000181,4.4372593600673e-23,-21.424173656961,-nan
15,0,0,15,1.6790954955942e-13,7.5698432342698e-11,-3.9694664903011e-16,-1.112732431525e-14,0,3.7e-11,1,0.000181,4.5258478266817e-23,-23.026449649901,-nan
16,0,0,16,1.790312260758e-13,7.7861206627598e-11,-3.8818808217518e-16,-1.1118287843042e-14,0,3.7e-11,1,0.000181,4.6161310750638e-23,-24.62869160463,-nan
17,0,0,17,1.9014386615018e-13,7.9976050019455e-11,-3.79562371947e-16,-1.110925141933e-14,0,3.7e-11,1,0.000181,4.7081399954763e-23,-26.230879662037,-nan
18,0,0,18,2.0124746983191e-13,8.2043694733379e-11,-3.7106899345329e-16,-1.1100215045492e-14,0,3.7e-11,1,0.000181,4.8019060104829e-23,-27.832994039894,-nan
19,0,0,19,2.1234203717171e-13,8.4064869980408e-11,-3.6270739169326e-16,-1.1091178722853e-14,0,3.7e-11,1,0.000181,4.8974610835269e-23,-29.435015037368,-nan
20,0,0,20,2.2342756822155e-13,8.6040301802388e-11,-3.5447698191732e-16,-1.1082142452683e-14,0,3.7e-11,1,0.000181,4.9948377276375e-23,-31.036923039469,-nan
21,0,0,21,2.345040630347e-13,8.7970712908934e-11,-3.4637715001016e-16,-1.1073106236202e-14,0,3.7e-11,1,0.000181,5.0940690142647e-23,-32.638698521454,-nan
22,0,0,22,2.4557152166555e-13,8.9856822516595e-11,-3.3840725289839e-16,-1.1064070074576e-14,0,3.7e-11,1,0.000181,5.1951885822447e-23,-34.240322053165,-nan
23,0,0,23,2.5662994416968e-13,9.169934619026e-11,-3.3056661896111e-16,-1.1055033968923e-14,0,3.7e-11,1,0.000181,5.2982306468979e-23,-35.841774303306,-nan
24,0,0,24,2.6767933060373e-13,9.3498995686965e-11,-3.2285454847019e-16,-1.1045997920312e-14,0,3.7e-11,1,0.000181,5.4032300092607e-23,-37.443036043659,-nan
25,0,0,25,2.7871968102537e-13,9.5256478802138e-11,-3.1527031404005e-16,-1.1036961929764e-14,0,3.7e-11,1,0.000181,5.5102220654537e-23,-39.04408815323,-nan
26,0,0,26,2.8975099549329e-13,9.6972499218447e-11,-3.0781316110636e-16,-1.1027925998255e-14,0,3.7e-11,1,0.000181,5.6192428161869e-23,-40.644911622331,-nan
27,0,0,27,3.0077327406711e-13,9.8647756357288e-11,-3.0048230840516e-16,-1.1018890126714e-14,0,3.7e-11,1,0.000181,5.7303288764049e-23,-42.245487556584,-nan
28,0,0,28,3.1178651680736e-13,1.0028294523301e-10,-2.9327694847713e-16,-1.1009854316027e-14,0,3.7e-11,1,0.000181,5.8435174850729e-23,-43.845797180855,-nan
29,0,0,29,3.2279072377542e-13,1.0187875630998e-10,-2.8619624818963e-16,-1.1000818567039e-14,0,3.7e-11,1,0.000181,5.9588465151062e-23,-45.445821843111,-nan
30,0,0,30,3.3378589503349e-13,1.0343587536256e-10,-2.7923934926711e-16,-1.0991782880551e-14,0,3.7e-11,1,0.000181,6.0763544834446e-23,-47.045543018197,-nan
31,0,0,31,3.4477203064455e-13,1.0495498333811e-10,-2.7240536883584e-16,-1.0982747257324e-14,0,3.7e-11,1,0.000181,6.1960805612736e-23,-48.644942311536,-nan
32,0,0,32,3.5574913067232e-13,1.0643675622299e-10,-2.6569339999293e-16,-1.0973711698081e-14,0,3.7e-11,1,0.000181,6.3180645843944e-23,-50.244001462739,-nan
33,0,0,33,3.6671719518122e-13,1.0788186491178e-10,-2.5910251237394e-16,-1.0964676203506e-14,0,3.7e-11,1,0.000181,6.4423470637448e-23,-51.842702349139,-nan
34,0,0,34,3.7767622423631e-13,1.0929097507971e-10,-2.5263175274692e-16,-1.0955640774244e-14,0,3.7e-11,1,0.000181,6.5689691960723e-23,-53.441026989231,-nan
35,0,0,35,3.8862621790329e-13,1.106647470584e-10,-2.4628014560992e-16,-1.0946605410908e-14,0,3.7e-11,1,0.000181,6.6979728747626e-23,-55.038957546024,-nan
36,0,0,36,3.9956717624846e-13,1.1200383571486e-10,-2.4004669380282e-16,-1.0937570114072e-14,0,3.7e-11,1,0.000181,6.8294007008241e-23,-56.636476330308,-nan
37,0,0,37,4.1049909933865e-13,1.1330889033407e-10,-2.3393037913402e-16,-1.0928534884279e-14,0,3.7e-11,1,0.000181,6.9632959940312e-23,-58.233565803821,-nan
38,0,0,38,4.2142198724124e-13,1.1458055450491e-10,-2.2793016301579e-16,-1.0919499722036e-14,0,3.7e-11,1,0.000181,7.0997028042283e-23,-59.830208582327,-nan
39,0,0,39,4.3233584002405e-13,1.1581946600971e-10,-2.2204498709862e-16,-1.0910464627822e-14,0,3.7e-11,1,0.000181,7.2386659227967e-23,-61.426387438599,-nan
40,0,0,40,4.4324065775542e-13,1.1702625671736e-10,-2.162737739436e-16,-1.0901429602081e-14,0,3.7e-11,1,0.000181,7.3802308942862e-23,-63.022085305298,-nan
41,0,0,41,4.5413644050407e-13,1.1820155248005e-10,-2.1061542766864e-16,-1.089239464523e-14,0,3.7e-11,1,0.000181,7.5244440282133e-23,-64.617285277764,-nan
42,0,0,42,4.6502318833914e-13,1.1934597303379e-10,-2.050688346301e-16,-1.0883359757656e-14,0,3.7e-11,1,0.000181,7.6713524110293e-23,-66.211970616698,-nan
43,0,0,43,4.7590090133013e-13,1.2046013190254e-10,-1.9963286409961e-16,-1.0874324939718e-14,0,3.7e-11,1,0.000181,7.8210039182584e-23,-67.80612475075,-nan
44,0,0,44,4.8676957954689e-13,1.2154463630622e-10,-1.9430636894555e-16,-1.0865290191748e-14,0,3.7e-11,1,0.000181,7.9734472268104e-23,-69.399731279001,-nan
45,0,0,45,4.9762922305958e-13,1.226000870725e-10,-1.8908818633876e-16,-1.0856255514051e-14,0,3.7e-11,1,0.000181,8.1287318274677e-23,-70.99277397334,-nan
46,0,0,46,5.0847983193864e-13,1.2362707855243e-10,-1.8397713843659e-16,-1.0847220906909e-14,0,3.7e-11,1,0.000181,8.2869080375514e-23,-72.585236780745,-nan
47,0,0,47,5.193214062548e-13,1.2462619853996e-10,-1.789720330939e-16,-1.0838186370578e-14,0,3.7e-11,1,0.000181,8.4480270137659e-23,-74.177103825455,-nan
48,0,0,48,5.3015394607902e-13,1.2559802819537e-10,-1.7407166457704e-16,-1.082915190529e-14,0,3.7e-11,1,0.000181,8.6121407652274e-23,-75.768359411028,-nan
49,0,0,49,5.4097745148246e-13,1.265431419726e-10,-1.6927481426218e-16,-1.0820117511255e-14,0,3.7e-11,1,0.000181,8.7793021666756e-23,-77.358988022312,-nan
50,0,0,50,5.5179192253651e-13,1.2746210755056e-10,-1.6458025136462e-16,-1.0811083188663e-14,0,3.7e-11,1,0.000181,8.9495649718726e-23,-78.948974327289,-nan
51,0,0,51,5.6259735931271e-13,1.2835548576842e-10,-1.5998673365009e-16,-1.0802048937679e-14,0,3.7e-11,1,0.000181,9.1229838271917e-23,-80.538303178829,-nan
52,0,0,52,5.7339376188276e-13,1.292238305648e-10,-1.5549300815448e-16,-1.0793014758452e-14,0,3.7e-11,1,0.000181,9.2996142853967e-23,-82.126959616325,-nan
53,0,0,53,5.841811303185e-13,1.3006768892099e-10,-1.5109781190743e-16,-1.0783980651109e-14,0,3.7e-11,1,0.000181,9.4795128196156e-23,-83.714928867224,-nan
54,0,0,54,5.9495946469189e-13,1.3088760080825e-10,-1.4679987267242e-16,-1.0774946615761e-14,0,3.7e-11,1,0.000181,9.662736837511e-23,-85.302196348453,-nan
55,0,0,55,6.0572876507497e-13,1.3168409913905e-10,-1.4259790965495e-16,-1.0765912652497e-14,0,3.7e-11,1,0.000181,9.8493446956485e-23,-86.888747667733,-nan
56,0,0,56,6.1648903153989e-13,1.3245770972226e-10,-1.3849063422001e-16,-1.0756878761392e-14,0,3.7e-11,1,0.000181,1.0039395714067e-22,-88.474568624781,-nan
57,0,0,57,6.2724026415883e-13,1.33208951222e-10,-1.3447675050561e-16,-1.0747844942505e-14,0,3.7e-11,1,0.000181,1.023295019105e-22,-90.059645212431,-nan
58,0,0,58,6.3798246300405e-13,1.3393833512036e-10,-1.30554956213e-16,-1.0738811195877e-14,0,3.7e-11,1,0.000181,1.0430069418112e-22,-91.643963617629,-nan
59,0,0,59,6.4871562814781e-13,1.3464636568447e-10,-1.2672394336463e-16,-1.0729777521537e-14,0,3.7e-11,1,0.000181,1.0630815695177e-22,-93.227510222327,-nan
60,0,0,60,6.5943975966243e-13,1.3533353993755e-10,-1.2298239899531e-16,-1.0720743919495e-14,0,3.7e-11,1,0.000181,1.0835252345988e-22,-94.81027160426,-nan
61,0,0,61,6.7015485762019e-13,1.3600034763403e-10,-1.193290059868e-16,-1.0711710389753e-14,0,3.7e-11,1,0.000181,1.1043443733714e-22,-96.392234537618,-nan
