x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-3.5966901699641e-17,-2.2309508922882e-15,0,3.7e-11,1,0.000181,2.2622735593757e-18,1,4.3037883693406e-07
1,0,0,1,2.2301033452017e-15,3.719183897759e-11,-3.3490198705225e-17,-2.2292561203453e-15,0,3.7e-11,1,0.000181,2.2623208549152e-18,0.67218448704526,5.0074886743824e-08
2,0,0,2,4.457949572716e-15,3.7365936531758e-11,-3.0347276945779e-17,-2.2270009365129e-15,0,3.7e-11,1,0.000181,2.2623659944052e-18,0.34422651030795,1.335503975701e-09
3,0,0,3,6.6835438403867e-15,3.7523297392025e-11,-2.738599942172e-17,-2.2247509113303e-15,0,3.7e-11,1,0.000181,2.2624089880993e-18,0.016152454467631,8.5235476843146e-17
4,0,0,4,8.9068913081956e-15,3.7664922303321e-11,-2.4605502904533e-17,-2.2225060469249e-15,0,3.7e-11,1,0.000181,2.2624498463797e-18,-0.31201140380684,-nan
5,0,0,5,1.1127997138234e-14,3.7791805872115e-11,-2.2004523721946e-17,-2.220266345396e-15,0,3.7e-11,1,0.000181,2.262488579759e-18,-0.64023895406616,-nan
6,0,0,6,1.3346866494675e-14,3.7904934233162e-11,-1.9581361541712e-17,-2.2180318088142e-15,0,3.7e-11,1,0.000181,2.2625251988817e-18,-0.96850431513696,-nan
7,0,0,7,1.5563504543744e-14,3.800528248405e-11,-1.7333834013918e-17,-2.2158024392231e-15,0,3.7e-11,1,0.000181,2.2625597145255e-18,-1.2967819044544,-nan
8,0,0,8,1.7777916453695e-14,3.8093811842236e-11,-1.5259223857267e-17,-2.2135782386388e-15,0,3.7e-11,1,0.000181,2.2625921376027e-18,-1.6250465148948,-nan
9,0,0,9,1.9990107394778e-14,3.8171466490475e-11,-1.3354220712825e-17,-2.2113592090474e-15,0,3.7e-11,1,0.000181,2.2626224791614e-18,-1.9532734000302,-nan
10,0,0,10,2.2200082539216e-14,3.8239170092561e-11,-1.1614861024503e-17,-2.2091453524121e-15,0,3.7e-11,1,0.000181,2.2626507503877e-18,-2.2814383682936,-nan
11,0,0,11,2.4407847061174e-14,3.8297821983086e-11,-1.0036470337463e-17,-2.2069366706673e-15,0,3.7e-11,1,0.000181,2.2626769626066e-18,-2.6095178859542,-nan
12,0,0,12,2.6613406136737e-14,3.834829306373e-11,-8.6136137303305e-18,-2.2047331657188e-15,0,3.7e-11,1,0.000181,2.2627011272833e-18,-2.9374891880248,-nan
13,0,0,13,2.881676494388e-14,3.8391421475022e-11,-7.340061506956e-18,-2.2025348394475e-15,0,3.7e-11,1,0.000181,2.2627232560255e-18,-3.2653303952368,-nan
14,0,0,14,3.1017928662437e-14,3.8428008155221e-11,-6.2087780713017e-18,-2.2003416937039e-15,0,3.7e-11,1,0.000181,2.2627433605841e-18,-3.5930206340663,-nan
15,0,0,15,3.3216902474082e-14,3.8458812441344e-11,-5.2119417606471e-18,-2.1981537303188e-15,0,3.7e-11,1,0.000181,2.2627614528552e-18,-3.9205401556218,-nan
16,0,0,16,3.5413691562302e-14,3.8484547907001e-11,-4.3410023106227e-18,-2.1959709510916e-15,0,3.7e-11,1,0.000181,2.2627775448816e-18,-4.2478704481312,-nan
17,0,0,17,3.7608301112363e-14,3.850587863717e-11,-3.5867706415098e-18,-2.193793357795e-15,0,3.7e-11,1,0.000181,2.2627916488539e-18,-4.5749943376192,-nan
18,0,0,18,3.9800736311235e-14,3.8523416037922e-11,-2.9394407515398e-18,-2.191620951984e-15,0,3.7e-11,1,0.000181,2.262803777113e-18,-4.9018960741184,-nan
