time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,3.1222767572005e-17,3.7634556116616e-11,-2.8695687391334e-18,-1.441689753074e-16,2.8695687391334e-18,1.441689753074e-16,9.3668302716014e-13,1.1290366834985e-06,1,0.00018099999999999
186.68799962237,6.1466383435655e-17,3.7634584682229e-11,-1.0787757571523e-18,-1.4250287885417e-16,1.0787757571523e-18,1.4250287885417e-16,1.8439915030697e-12,1.1290375404669e-06,1,0.00018099999999999
1181.8815689988,2.4879080403228e-16,3.7634763054468e-11,-4.291748025343e-19,-1.203542766121e-16,4.291748025343e-19,1.203542766121e-16,7.4637241209685e-12,1.129042891634e-06,1,0.00018099999999999
7343.8578398454,1.4087992876853e-15,3.7635891174479e-11,-1.724503098413e-19,-5.5400258823566e-17,1.724503098413e-19,5.5400258823566e-17,4.2263978630558e-11,1.1290767352344e-06,1,0.00018099999999999
45497.190750011,8.5913521648862e-15,3.7642991950927e-11,-7.0111744732858e-20,-2.2396280634717e-17,7.0111744732858e-20,2.2396280634717e-17,2.5774056494658e-10,1.1292897585278e-06,1,0.00018099999999999
281732.57176583,5.3053585387711e-14,3.7687253182894e-11,-3.2399085060297e-20,-9.0062335419279e-18,3.2399085060771e-20,9.0062335419279e-18,1.5916075616313e-09,1.1306175954868e-06,1,0.00018099999999999
1744439.784661,3.2791815443539e-13,3.7961734479876e-11,-1.3537754268403e-19,-3.6197750529142e-18,1.3537754270085e-19,3.6197750529142e-18,9.8375446330617e-09,1.1388520343963e-06,1,0.00018099999999999
10801137.310052,2.0054614908887e-12,3.9649619958411e-11,-3.7177971710137e-17,-1.4547042339185e-18,3.7177971731293e-17,1.4547042339185e-18,6.0163844726662e-08,1.1894885987523e-06,1,0.00018099999999999
66877821.244672,9.6339907822797e-12,4.953136640323e-11,-1.0904176325999e-15,-5.7681581871009e-19,1.0904176316536e-15,5.7681581871009e-19,2.8901972346839e-07,1.4859409920969e-06,1,0.00018099999999999
246430553.11019,1.4465341149358e-11,7.6171593253614e-11,-1.9638613571769e-15,-2.2104739282191e-19,1.9638613574939e-15,2.2104739280788e-19,4.3396023448074e-07,2.2851477976084e-06,1,0.00018099999999999
684377946.19114,1.175979099841e-11,1.2829908752446e-10,-1.6104882566886e-15,9.3624269787588e-20,1.610488264039e-15,-9.3624269984095e-20,3.5279372995231e-07,3.8489726257338e-06,1,0.00018099999999999
1112481290.8179,1.0065825804683e-11,1.7107486480754e-10,-1.3794320677879e-15,2.8536295217319e-19,1.379432068196e-15,-2.8536295252878e-19,3.0197477414048e-07,5.1322459442263e-06,1,0.00018099999999999
1355964740.5912,9.3841513831232e-12,1.9305281605283e-10,-1.2865371282055e-15,3.7476194582253e-19,1.2865371269457e-15,-3.7476194617811e-19,2.815245414937e-07,5.791584481585e-06,1,0.00018099999999999
1602915861.8079,8.8195185194481e-12,2.1401232120363e-10,-1.2095723113759e-15,4.5599101559865e-19,1.209572311573e-15,-4.5599101594019e-19,2.6458555558344e-07,6.4203696361088e-06,1,0.00018099999999999
1900248367.5818,8.2602055067549e-12,2.3777570430884e-10,-1.1332853681197e-15,5.4406496343659e-19,1.1332853684942e-15,-5.4406496380154e-19,2.4780616520265e-07,7.1332711292653e-06,1,0.00018099999999999
2253303855.9407,7.718342343485e-12,2.6426182854258e-10,-1.0593014756391e-15,6.3775914408992e-19,1.0593014755914e-15,-6.3775914444082e-19,2.3155027030455e-07,7.9278548562773e-06,1,0.00018099999999999
2542995387.2237,7.3463333030391e-12,2.8481643784904e-10,-1.0084474055094e-15,7.074605266213e-19,1.0084474059198e-15,-7.0746052694414e-19,2.2038999909117e-07,8.5444931354711e-06,1,0.00018099999999999
2871593720.4353,6.9838783994534e-12,3.0703827172029e-10,-9.5883660868452e-16,7.7998701750301e-19,9.5883660875024e-16,-7.7998701785859e-19,2.095163519836e-07,9.2111481516088e-06,1,0.00018099999999999
3154927668.9659,6.7114174540063e-12,3.2538378533212e-10,-9.2149505527071e-16,8.3769554953831e-19,9.2149505529061e-16,-8.3769554990325e-19,2.0134252362019e-07,9.7615135599636e-06,1,0.00018099999999999
3516553042.0378,6.4063870578578e-12,3.4783848028406e-10,-8.7963160597158e-16,9.0569246143365e-19,8.7963160619617e-16,-9.0569246187345e-19,1.9219161173573e-07,1.0435154408522e-05,1,0.00018099999999999
3948835736.244,6.0916082878343e-12,3.7344387255635e-10,-8.3635562283474e-16,9.7969475228711e-19,8.3635562283805e-16,-9.7969475267544e-19,1.8274824863503e-07,1.1203316176691e-05,1,0.00018099999999999
4387229703.027,5.815891251078e-12,3.9821449655225e-10,-7.9837803116733e-16,1.0476828158563e-18,7.9837803143323e-16,-1.0476828162119e-18,1.7447673753234e-07,1.1946434896567e-05,1,0.00018099999999999
4922884298.1873,5.5253134879939e-12,4.2706442223908e-10,-7.5826979424405e-16,1.1223567405359e-18,7.5826979429384e-16,-1.1223567408587e-18,1.6575940463982e-07,1.2811932667173e-05,1,0.00018099999999999
5395769107.6137,5.3022780525066e-12,4.5140213089365e-10,-7.2741822830974e-16,1.1815250617625e-18,7.2741822840955e-16,-1.1815250621041e-18,1.590683415752e-07,1.3542063926809e-05,1,0.00018099999999999
