time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,2.6088153983998e-16,3.7634786336367e-11,-5.2758236507235e-17,-1.4547280266649e-16,5.2758236507235e-17,1.4547280266649e-16,1.0435261593599e-11,1.5053914534547e-06,1,0.00018099999999999
186.68799962237,1.712558186033e-15,3.763631028976e-11,-1.3838291229882e-16,-1.4647122849985e-16,1.3838291229882e-16,1.4647122849985e-16,6.850232744132e-11,1.5054524115904e-06,1,0.00018099999999999
1181.8815689988,1.069315216952e-14,3.7645746489832e-11,-3.5035175174952e-16,-1.2467736120628e-16,3.5035175174952e-16,1.2467736120628e-16,4.2772608678082e-10,1.5058298595933e-06,1,0.00018099999999999
7343.8578398454,6.6178562133426e-14,3.7704189353609e-11,-8.740878925174e-16,-6.6668158412434e-17,8.740878925174e-16,6.6668158412434e-17,2.647142485337e-09,1.5081675741444e-06,1,0.00018099999999999
45497.190750011,4.0787254792675e-13,3.8066102848297e-11,-2.1768912496602e-15,-5.2001761648273e-17,2.1768912496602e-15,5.2001761648273e-17,1.631490191707e-08,1.5226441139319e-06,1,0.00018099999999999
281732.57176583,2.4946140332496e-12,4.0306382273276e-11,-5.4177734275917e-15,-8.439217751835e-17,5.4177734275932e-15,8.439217751835e-17,9.9784561329983e-08,1.612255290931e-06,1,0.00018099999999999
1744439.784661,1.4953488006051e-11,5.4151976379275e-11,-1.3467675810631e-14,-1.9294573128024e-16,1.3467675811847e-14,1.9294573128024e-16,5.9813952024205e-07,2.166079055171e-06,1,0.00018099999999999
10801137.310052,8.3636155345759e-11,1.3814028247383e-10,-3.3027673132739e-14,-4.74198782224e-16,3.3027673794267e-14,4.7419878222272e-16,3.3454462138304e-06,5.5256112989533e-06,1,0.00018099999999999
66877821.244672,2.7885581980194e-10,5.0931915544694e-10,-6.1235995999751e-14,-1.172627644754e-15,6.123600248041e-14,1.1726276442293e-15,1.1154232792078e-05,2.0372766217878e-05,1,0.00018099999999999
414089867.61007,1.6981200313496e-10,1.3807290223495e-09,-3.709070616785e-14,-2.765009007709e-15,3.7090707090115e-14,2.7650089989989e-15,6.7924801253984e-06,5.5229160893978e-05,1,0.00018099999999999
2563935341.3868,5.9839998638977e-11,4.3834911879531e-09,-1.7640831162276e-14,-5.4082655579482e-15,1.7640831205052e-14,5.4082655492467e-15,2.3935999455591e-06,0.00017533964751813,1,0.00018099999999999
15875211863.902,1.7704142506154e-11,1.4038703096333e-08,-1.0423025311544e-14,-8.0432469726354e-15,1.0423025312666e-14,8.0432469718561e-15,7.0816570024615e-07,0.00056154812385332,1,0.00018099999999999
98295127536.995,4.7061091338608e-12,4.923886056794e-08,-8.2727075822465e-15,-1.0098184862596e-14,8.2727075822846e-15,1.0098184862546e-14,1.8824436535443e-07,0.0019695544227176,1,0.00018099999999999
577623110531.92,1.6262284158459e-12,1.6920810251317e-07,-7.1722171667162e-15,-1.2377924282627e-14,7.1722171671011e-15,1.2377924280538e-14,6.5049136633835e-08,0.0067683241005269,1,0.00018099999999999
1661638540218.6,1.0973960490281e-12,2.771117899386e-07,-6.6229711875928e-15,-1.427670829309e-14,6.6229711875434e-15,1.4276708293564e-14,4.3895841961124e-08,0.011084471597544,1,0.00018099999999999
3572444372356.8,9.9528496973529e-13,3.1264277701234e-07,-6.4731904708646e-15,-1.4928644020184e-14,6.4731904705089e-15,1.492864402055e-14,3.9811398789411e-08,0.012505711080494,1,0.00018099999999999
