x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,1.9779231527485e-17,-1.0075767604712e-12,0,3.7e-11,1,0.000181,1.6794355318329e-19,1,-nan
1,0,0,1,1.0075767604712e-12,3.6890722477749e-11,1.9779231527485e-17,-1.0075767604712e-12,0,3.7e-11,1,0.000181,1.8556921330217e-19,-149.45491110986,-nan
2,0,0,2,2.01515326991e-12,3.6781855061229e-11,1.9705002390056e-17,-1.0075765094388e-12,0,3.7e-11,1,0.000181,2.0496268332108e-19,-299.90977365147,-nan
3,0,0,3,3.022729442991e-12,3.6674727485013e-11,1.9390091295015e-17,-1.007576173081e-12,0,3.7e-11,1,0.000181,2.2629239132196e-19,-450.36453894522,-nan
4,0,0,4,4.0303051916672e-12,3.6570666002486e-11,1.883512833745e-17,-1.0075757486763e-12,0,3.7e-11,1,0.000181,2.4974188636861e-19,-600.81915799922,-nan
5,0,0,5,5.0378804250255e-12,3.647099844088e-11,1.803982865077e-17,-1.0075752333582e-12,0,3.7e-11,1,0.000181,2.7551110325817e-19,-751.27358135101,-nan
6,0,0,6,6.0454550491445e-12,3.6377059345025e-11,1.7002976349622e-17,-1.007574624119e-12,0,3.7e-11,1,0.000181,3.0381772415635e-19,-901.72775890742,-nan
7,0,0,7,7.0530289669557e-12,3.6290195216123e-11,1.5722407331319e-17,-1.0075739178112e-12,0,3.7e-11,1,0.000181,3.3489864372077e-19,-1052.1816397822,-nan
8,0,0,8,8.0606020781047e-12,3.6211769852446e-11,1.4194990825515e-17,-1.007573111149e-12,0,3.7e-11,1,0.000181,3.6901154469534e-19,-1202.635172131,-nan
9,0,0,9,9.0681742788121e-12,3.6143169799496e-11,1.2416609584013e-17,-1.0075722007074e-12,0,3.7e-11,1,0.000181,4.0643659135266e-19,-1353.0883029832,-nan
10,0,0,10,1.0075745461733e-11,3.60858099177e-11,1.0382138605001e-17,-1.0075711829209e-12,0,3.7e-11,1,0.000181,4.47478248571e-19,-1503.5409780705,-nan
11,0,0,11,1.1083315515814e-11,3.6041139076325e-11,8.0854222888752e-18,-1.0075700540805e-12,0,3.7e-11,1,0.000181,4.9246723475773e-19,-1653.9931416516,-nan
12,0,0,12,1.2090884326144e-11,3.6010645982812e-11,5.5192499259407e-18,-1.0075688103304e-12,0,3.7e-11,1,0.000181,5.4176261727247e-19,-1804.4447363328,-nan
