x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-2.9628570271863e-14,-2.1764541784681e-12,0,3.7e-11,1,0.000181,1.679435531943e-20,1,nan
1,0,0,1,2.1730690083411e-12,1.8262607140027e-10,-2.3202716249796e-14,-2.1696853204999e-12,0,3.7e-11,1,0.000181,1.6963107470211e-20,-319.54810951436,nan
2,0,0,2,4.3371247342903e-12,2.8589975893164e-10,-1.6205014485453e-14,-2.1606809355971e-12,0,3.7e-11,1,0.000181,1.7133486733324e-20,-639.8950093958,nan
3,0,0,3,6.4921909095733e-12,3.5633547977626e-10,-1.0871356637953e-14,-2.1517002865695e-12,0,3.7e-11,1,0.000181,1.7305508081781e-20,-959.78709686932,nan
4,0,0,4,8.638291274102e-12,4.0242563643641e-10,-6.9916283357464e-15,-2.1427433791603e-12,0,3.7e-11,1,0.000181,1.7479186619153e-20,-1278.9983924006,nan
5,0,0,5,1.0775449564502e-11,4.3130784611745e-10,-3.5471217469011e-15,-2.130466572235e-12,0,3.7e-11,1,0.000181,1.7654537580633e-20,-1597.3395317835,nan
6,0,0,6,1.2903689522811e-11,4.4857872953883e-10,-2.7049380516357e-15,-2.1260133443835e-12,0,3.7e-11,1,0.000181,1.7831576334117e-20,-1914.6628001739,nan
7,0,0,7,1.5023034951331e-11,4.5850538326765e-10,-9.9137557920491e-16,-2.1104746355089e-12,0,3.7e-11,1,0.000181,1.8010318381283e-20,-2230.8564248111,nan
8,0,0,8,1.713350958684e-11,4.6398259641243e-10,-9.9137557920491e-16,-2.1104746355089e-12,0,3.7e-11,1,0.000181,1.8190779358686e-20,-2545.8457125414,nan
9,0,0,9,1.9235137106492e-11,4.6680311689663e-10,-5.1051420764046e-16,-2.1016275196523e-12,0,3.7e-11,1,0.000181,1.837297503886e-20,-2859.5857462049,nan
