x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-1.4145179503415e-13,-8.015025967719e-16,0,3.7e-11,1,0.000181,1.679435531943e-20,1,4.3037883693406e-07
1,0,0,1,8.015025967719e-16,8.1850163002292e-10,-1.4145179503415e-13,-8.015025967719e-16,0,3.7e-11,1,0.000181,1.6963107470211e-20,22.001984834609,8.0151719168984
2,0,0,2,1.6029882584152e-15,1.6000031630247e-09,-1.4145177747331e-13,-8.0148566164331e-16,0,3.7e-11,1,0.000181,1.7133486733324e-20,43.003969575787,302.04206641851
3,0,0,3,2.4044568849242e-15,2.3815045996183e-09,-1.4145176002345e-13,-8.0146862650896e-16,0,3.7e-11,1,0.000181,1.7305508081781e-20,64.005954255038,2602.4546571446
4,0,0,4,3.2059084206051e-15,3.1630059406614e-09,-1.414517427288e-13,-8.0145153568093e-16,0,3.7e-11,1,0.000181,1.7479186619153e-20,85.007938903854,12099.874687654
5,0,0,5,4.0073428540598e-15,3.9445071872556e-09,-1.4145172563355e-13,-8.0143443345475e-16,0,3.7e-11,1,0.000181,1.7654537580633e-20,106.00992355371,39999.46968234
6,0,0,6,4.8087602181691e-15,4.7260083407469e-09,-1.4145170878192e-13,-8.0141736410922e-16,0,3.7e-11,1,0.000181,1.7831576334117e-20,127.01190823608,106452.86694779
7,0,0,7,5.6101605900754e-15,5.5075094027252e-09,-1.4145169221808e-13,-8.0140037190629e-16,0,3.7e-11,1,0.000181,1.8010318381283e-20,148.01389298241,243814.1385232
8,0,0,8,6.4115440911663e-15,6.2890103750245e-09,-1.4145167598618e-13,-8.0138350109097e-16,0,3.7e-11,1,0.000181,1.8190779358686e-20,169.01587782414,500179.02433798
9,0,0,9,7.2129108870575e-15,7.0705112597227e-09,-1.4145166013037e-13,-8.0136679589119e-16,0,3.7e-11,1,0.000181,1.837297503886e-20,190.01786279271,943178.24412159
10,0,0,10,8.0142611875752e-15,7.8520120591413e-09,-1.4145164469477e-13,-8.0135030051766e-16,0,3.7e-11,1,0.000181,1.8556921331424e-20,211.01984791952,1664002.7509426
11,0,0,11,8.815595246739e-15,8.6335127758457e-09,-1.4145162972349e-13,-8.0133405916385e-16,0,3.7e-11,1,0.000181,1.87426342842e-20,232.02183323598,2781643.3758697
12,0,0,12,9.6169133627448e-15,9.4150134126446e-09,-1.4145161526061e-13,-8.013181160058e-16,0,3.7e-11,1,0.000181,1.8930130084341e-20,253.02381877347,4447330.5237515
13,0,0,13,1.0418215877947e-14,1.0196513972591e-08,-1.4145160135021e-13,-8.0130251520208e-16,0,3.7e-11,1,0.000181,1.911942505946e-20,274.02580456338,6849161.9267759
14,0,0,14,1.1219503178841e-14,1.0978014458979e-08,-1.4145158803633e-13,-8.0128730089367e-16,0,3.7e-11,1,0.000181,1.9310535678778e-20,295.02779063706,10216908.238691
15,0,0,15,1.2020775696044e-14,1.1759514875349e-08,-1.41451575363e-13,-8.012725172039e-16,0,3.7e-11,1,0.000181,1.9503478554271e-20,316.02977702586,14826987.634833
16,0,0,16,1.2822033904283e-14,1.2541015225483e-08,-1.4145156337425e-13,-8.0125820823837e-16,0,3.7e-11,1,0.000181,1.9698270441835e-20,337.03176376111,21007601.683428
17,0,0,17,1.3623278322368e-14,1.3322515513406e-08,-1.4145155211405e-13,-8.0124441808485e-16,0,3.7e-11,1,0.000181,1.9894928242447e-20,358.03375087414,29144025.6461
18,0,0,18,1.4424509513181e-14,1.4104015743386e-08,-1.4145154162639e-13,-8.0123119081324e-16,0,3.7e-11,1,0.000181,2.009346900335e-20,379.03573839626,39684047.10107
19,0,0,19,1.5225728083656e-14,1.4885515919934e-08,-1.4145153195523e-13,-8.0121857047549e-16,0,3.7e-11,1,0.000181,2.0293909919233e-20,400.03772635874,53143547.397036
20,0,0,20,1.6026934684762e-14,1.5667016047805e-08,-1.4145152314449e-13,-8.0120660110555e-16,0,3.7e-11,1,0.000181,2.049626833343e-20,421.03971479287,70112220.96518
21,0,0,21,1.6828130011481e-14,1.6448516131993e-08,-1.4145151523811e-13,-8.0119532671931e-16,0,3.7e-11,1,0.000181,2.0700561739122e-20,442.04170372992,91259427.960506
22,0,0,22,1.7629314802796e-14,1.7230016177739e-08,-1.4145150827998e-13,-8.0118479131457e-16,0,3.7e-11,1,0.000181,2.0906807780551e-20,463.04369320112,117340176.08619
23,0,0,23,1.8430489841667e-14,1.8011516190523e-08,-1.4145150231398e-13,-8.0117503887097e-16,0,3.7e-11,1,0.000181,2.1115024254239e-20,484.04568323772,149201227.78707
24,0,0,24,1.9231655955017e-14,1.879301617607e-08,-1.4145149738397e-13,-8.0116611334996e-16,0,3.7e-11,1,0.000181,2.1325229110225e-20,505.04767387094,187787329.2893
25,0,0,25,2.0032814013712e-14,1.9574516140345e-08,-1.414514935338e-13,-8.011580586948e-16,0,3.7e-11,1,0.000181,2.15374404533e-20,526.04966513196,234147558.21974
26,0,0,26,2.0833964932542e-14,2.0356016089557e-08,-1.4145149080728e-13,-8.0115091883049e-16,0,3.7e-11,1,0.000181,2.1751676544256e-20,547.051657052,289441786.7658
27,0,0,27,2.1635109670206e-14,2.1137516030155e-08,-1.4145148924823e-13,-8.0114473766374e-16,0,3.7e-11,1,0.000181,2.196795580115e-20,568.05364966221,354947257.53904
28,0,0,28,2.2436249229289e-14,2.1919015968831e-08,-1.4145148890042e-13,-8.0113955908302e-16,0,3.7e-11,1,0.000181,2.2186296800568e-20,589.05564299375,432065269.4873
29,0,0,29,2.3237384656247e-14,2.270051591252e-08,-1.4145148980762e-13,-8.0113542695848e-16,0,3.7e-11,1,0.000181,2.2406718278903e-20,610.05763707776,522327971.36325
30,0,0,30,2.4038517041389e-14,2.3482015868396e-08,-1.4145149201358e-13,-8.0113238514196e-16,0,3.7e-11,1,0.000181,2.2629239133644e-20,631.05963194538,627405260.40475
31,0,0,31,2.4839647518856e-14,2.4263515843876e-08,-1.4145149556202e-13,-8.0113047746702e-16,0,3.7e-11,1,0.000181,2.285387842467e-20,652.06162762771,749111784.01608
32,0,0,32,2.5640777266605e-14,2.504501584662e-08,-1.4145150049666e-13,-8.0112974774888e-16,0,3.7e-11,1,0.000181,2.3080655375559e-20,673.06362415584,889414042.36092
33,0,0,33,2.644190750639e-14,2.5826515884527e-08,-1.4145150686117e-13,-8.011302397845e-16,0,3.7e-11,1,0.000181,2.3309589374901e-20,694.06562156086,1050437589.889
34,0,0,34,2.7243039503742e-14,2.6608015965739e-08,-1.4145151469923e-13,-8.0113199735254e-16,0,3.7e-11,1,0.000181,2.3540699977626e-20,715.06761987382,1234474333.92
35,0,0,35,2.8044174567956e-14,2.7389516098636e-08,-1.4145152405448e-13,-8.011350642134e-16,0,3.7e-11,1,0.000181,2.3774006906339e-20,736.06961912576,1443989928.5025
36,0,0,36,2.8845314052065e-14,2.8171016291844e-08,-1.4145153497056e-13,-8.0113948410922e-16,0,3.7e-11,1,0.000181,2.4009530052663e-20,757.07161934772,1681631261.8508
37,0,0,37,2.9646459352829e-14,2.8952516554225e-08,-1.4145154749108e-13,-8.0114530076396e-16,0,3.7e-11,1,0.000181,2.42472894786e-20,778.0736205707,1950234035.743
38,0,0,38,3.0447611910712e-14,2.9734016894886e-08,-1.4145156165963e-13,-8.0115255788337e-16,0,3.7e-11,1,0.000181,2.4487305417888e-20,799.0756228257,2252830435.337
39,0,0,39,3.1248773209867e-14,3.0515517323172e-08,-1.4145157751978e-13,-8.0116129915506e-16,0,3.7e-11,1,0.000181,2.4729598277384e-20,820.0776261437,2592656887.9295
40,0,0,40,3.2049944778116e-14,3.129701784867e-08,-1.4145159511508e-13,-8.0117156824856e-16,0,3.7e-11,1,0.000181,2.4974188638446e-20,841.07963055565,2973161909.2457
41,0,0,41,3.2851128186931e-14,3.2078518481206e-08,-1.4145161448907e-13,-8.011834088153e-16,0,3.7e-11,1,0.000181,2.5221097258327e-20,862.0816360925,3398014035.9092
42,0,0,42,3.365232505142e-14,3.2860019230849e-08,-1.4145163568527e-13,-8.0119686448875e-16,0,3.7e-11,1,0.000181,2.5470345071586e-20,883.08364278516,3871109842.7931
43,0,0,43,3.4453537030304e-14,3.3641520107905e-08,-1.4145165874716e-13,-8.0121197888441e-16,0,3.7e-11,1,0.000181,2.57219531915e-20,904.08565066455,4396582044.0082
44,0,0,44,3.5254765825904e-14,3.4423021122923e-08,-1.4145168371822e-13,-8.0122879559991e-16,0,3.7e-11,1,0.000181,2.5975942911491e-20,925.08765976155,4978807676.3309
45,0,0,45,3.6056013184119e-14,3.520452228669e-08,-1.4145171064192e-13,-8.0124735821504e-16,0,3.7e-11,1,0.000181,2.6232335706566e-20,946.08967010704,5622416363.919
46,0,0,46,3.6857280894411e-14,3.5986023610236e-08,-1.4145173956169e-13,-8.0126771029189e-16,0,3.7e-11,1,0.000181,2.6491153234762e-20,967.09168173185,6332298663.2072
47,0,0,47,3.7658570789786e-14,3.6767525104826e-08,-1.4145177052096e-13,-8.0128989537482e-16,0,3.7e-11,1,0.000181,2.6752417338605e-20,988.09369466684,7113614486.9122
48,0,0,48,3.8459884746777e-14,3.7549026781971e-08,-1.4145180356311e-13,-8.0131395699064e-16,0,3.7e-11,1,0.000181,2.7016150046581e-20,1009.0957089428,7971801606.1178
49,0,0,49,3.9261224685425e-14,3.8330528653416e-08,-1.4145183873154e-13,-8.0133993864866e-16,0,3.7e-11,1,0.000181,2.7282373574612e-20,1030.0977245905,8912584229.4438
50,0,0,50,4.0062592569266e-14,3.9112030731148e-08,-1.4145187606961e-13,-8.0136788384074e-16,0,3.7e-11,1,0.000181,2.7551110327551e-20,1051.0997416408,9941981658.3375
51,0,0,51,4.0863990405307e-14,3.9893533027395e-08,-1.4145191562067e-13,-8.0139783604148e-16,0,3.7e-11,1,0.000181,2.7822382900679e-20,1072.1017601244,11066317017.557
52,0,0,52,4.1665420244016e-14,4.0675035554622e-08,-1.4145195742803e-13,-8.0142983870821e-16,0,3.7e-11,1,0.000181,2.8096214081222e-20,1093.1037800721,12292226059.951
53,0,0,53,4.2466884179297e-14,4.1456538325534e-08,-1.4145200153503e-13,-8.0146393528118e-16,0,3.7e-11,1,0.000181,2.8372626849871e-20,1114.1058015145,13626666044.654
54,0,0,54,4.326838434848e-14,4.2238041353075e-08,-1.4145204798492e-13,-8.0150016918362e-16,0,3.7e-11,1,0.000181,2.8651644382317e-20,1135.1078244823,15076924687.87
55,0,0,55,4.4069922932302e-14,4.3019544650428e-08,-1.4145209682101e-13,-8.015385838219e-16,0,3.7e-11,1,0.000181,2.8933290050801e-20,1156.1098490063,16650629185.407
56,0,0,56,4.4871502154888e-14,4.3801048231017e-08,-1.4145214808653e-13,-8.0157922258558e-16,0,3.7e-11,1,0.000181,2.9217587425663e-20,1177.1118751171,18355755306.188
57,0,0,57,4.5673124283736e-14,4.4582552108502e-08,-1.4145220182473e-13,-8.0162212884761e-16,0,3.7e-11,1,0.000181,2.9504560276919e-20,1198.1139028453,20200636555.951
58,0,0,58,4.64747916297e-14,4.5364056296782e-08,-1.4145225807882e-13,-8.0166734596441e-16,0,3.7e-11,1,0.000181,2.9794232575835e-20,1219.1159322216,22193973410.407
