time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,1.0140210213648e-16,3.733038706887e-11,-1.3932527192124e-17,1.4698365997498e-16,2.8688749573024e-18,1.4417403967546e-16,5.0701051068242e-13,1.8665193534435e-07,1,0.000181
186.68799962237,5.8465023384293e-16,3.7330895218971e-11,-3.5206954636893e-17,1.4577773314771e-16,1.078692966106e-18,1.4110684488316e-16,2.9232511692147e-12,1.8665447609485e-07,1,0.00018099999999999
1181.8815689988,3.569265217794e-15,3.7334043258641e-11,-8.7654297090287e-17,1.123455939433e-16,4.2906050617312e-19,1.1559342146779e-16,1.784632608897e-11,1.866702162932e-07,1,0.00018099999999999
7343.8578398454,2.1929942587394e-14,3.7353511789545e-11,-2.1859107595741e-16,3.134789078632e-17,1.7218755370741e-19,5.4763895275227e-17,1.0964971293697e-10,1.8676755894773e-07,1,0.00018099999999999
45497.190750011,1.337662874831e-13,3.7473976742401e-11,-5.4550023224515e-16,-1.8349289637549e-18,7.2506287404466e-20,2.2336142552814e-17,6.6883143741548e-10,1.87369883712e-07,1,0.00018099999999999
281732.57176583,7.9388755576726e-13,3.8219882545043e-11,-1.5711511190445e-15,-1.7022366397548e-17,1.0455532027352e-17,9.0008411351425e-18,3.9694377788363e-09,1.9109941272521e-07,1,0.00018099999999999
1744439.784661,3.8486890892074e-12,4.2828663234868e-11,-5.7951595986989e-15,-4.765729335828e-17,1.4868964740512e-15,3.6183536022476e-18,1.9243445446037e-08,2.1414331617434e-07,1,0.00018099999999999
10801137.310052,7.6541550349007e-12,7.116058072372e-11,-9.6957725794429e-15,-1.1838169702389e-16,5.1046720091898e-15,1.444918886737e-18,3.8270775174504e-08,3.558029036186e-07,1,0.00018099999999999
66877821.244672,7.5352497019382e-12,2.4276853656713e-10,-9.5536509762498e-15,-2.9452265412805e-16,5.0457502975949e-15,5.035981800805e-19,3.7676248509691e-08,1.2138426828357e-06,1,0.00018099999999999
414089867.61007,6.6254193390286e-12,1.2106481908621e-09,-8.534573325339e-15,-7.3026147434365e-16,4.4219543001196e-15,-2.2452121550335e-19,3.3127096695143e-08,6.0532409543104e-06,1,0.00018099999999999
2563935341.3868,4.4201541176506e-12,5.4181760834403e-09,-6.0678292635574e-15,-2.0529973984848e-15,2.8280032853449e-15,4.6686527847949e-17,2.2100770588253e-08,2.7090880417202e-05,1,0.00018099999999999
15875211863.902,2.7007912766284e-12,1.3965086084138e-08,-4.2703247668661e-15,-4.2031309529957e-15,1.4051420920382e-15,1.0962215551598e-15,1.3503956383142e-08,6.9825430420691e-05,1,0.00018099999999999
98295127536.995,2.4860474835104e-12,1.5923831601667e-08,-4.0606306227503e-15,-4.5524007194255e-15,1.2173993267483e-15,1.4786526825158e-15,1.2430237417552e-08,7.9619158008336e-05,1,0.00018099999999999
