x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-4.76774817813e-13,-8.3381011842579e-13,0,3.7e-11,1,0.000181,2.2622735593756e-15,1,-nan
1,0,0,1,8.3296173701566e-13,2.6659782513614e-09,-4.7491668579392e-13,-8.3211334721379e-13,0,3.7e-11,1,0.000181,2.2624885797589e-15,-52.324872856391,-nan
2,0,0,2,1.66366108409e-12,5.2813296688295e-09,-4.7245853587234e-13,-8.2985095343921e-13,0,3.7e-11,1,0.000181,2.2626507503876e-15,-105.68021711689,-nan
3,0,0,3,2.4920981188434e-12,7.8831771306643e-09,-4.7002270666707e-13,-8.2758871616423e-13,0,3.7e-11,1,0.000181,2.2627614528551e-15,-159.06272333778,-nan
4,0,0,4,3.3182731278675e-12,1.0471644678014e-08,-4.6760940668879e-13,-8.2532684312049e-13,0,3.7e-11,1,0.000181,2.2628221566111e-15,-212.46908184962,-nan
5,0,0,5,4.1421866033915e-12,1.30468574857e-08,-4.6521883913318e-13,-8.2306553868032e-13,0,3.7e-11,1,0.000181,2.2628344237374e-15,-265.89598304911,-nan
6,0,0,6,4.9638392398779e-12,1.5608941832589e-08,-4.6285120180589e-13,-8.2080500378435e-13,0,3.7e-11,1,0.000181,2.262799913922e-15,-319.34011769139,-nan
7,0,0,7,5.783231930543e-12,1.8158025071549e-08,-4.605066870425e-13,-8.1854543586428e-13,0,3.7e-11,1,0.000181,2.262720389636e-15,-372.79817718271,-nan
8,0,0,8,6.6003657637969e-12,2.0694235598926e-08,-4.5818548162289e-13,-8.1628702876062e-13,0,3.7e-11,1,0.000181,2.2625977215162e-15,-426.26685387357,-nan
9,0,0,9,7.4152420195979e-12,2.3217702823542e-08,-4.5588776667997e-13,-8.1402997263496e-13,0,3.7e-11,1,0.000181,2.2624338939583e-15,-479.74284135237,-nan
10,0,0,10,8.2278621657161e-12,2.5728557135161e-08,-4.5361371760244e-13,-8.1177445387677e-13,0,3.7e-11,1,0.000181,2.2622310109209e-15,-533.22283473972,-nan
11,0,0,11,9.0382278538992e-12,2.8226929872401e-08,-4.5136350393144e-13,-8.0952065500441e-13,0,3.7e-11,1,0.000181,2.2619913019456e-15,-586.70353098323,-nan
12,0,0,12,9.8463409159369e-12,3.0712953290046e-08,-4.4913728925063e-13,-8.0726875456019e-13,0,3.7e-11,1,0.000181,2.261717128393e-15,-640.18162915315,-nan
13,0,0,13,1.0652203359616e-11,3.3186760525737e-08,-4.4693523106975e-13,-8.0501892699906e-13,0,3.7e-11,1,0.000181,2.2614109898983e-15,-693.65383073871,-nan
14,0,0,14,1.1455817364558e-11,3.5648485565991e-08,-4.4475748070108e-13,-8.0277134257102e-13,0,3.7e-11,1,0.000181,2.2610755310454e-15,-747.11683994526,-nan
15,0,0,15,1.225718527794e-11,3.8098263211509e-08,-4.4260418312882e-13,-8.005261671967e-13,0,3.7e-11,1,0.000181,2.2607135482624e-15,-800.56736399242,-nan
16,0,0,16,1.3056309610083e-11,4.0536229041742e-08,-4.4047547687096e-13,-7.9828356233611e-13,0,3.7e-11,1,0.000181,2.2603279969367e-15,-854.00211341312,-nan
17,0,0,17,1.3853193029903e-11,4.2962519378671e-08,-4.3837149383345e-13,-7.9604368485014e-13,0,3.7e-11,1,0.000181,2.2599219987492e-15,-907.4178023538,-nan
