x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,6.6687164226738e-12,3.6880147814664e-08,5.8544627215061e-21,5.8590802218394e-21,0,3.7e-11,1,0.000181,6.2231870855349e-62,0.98407223836127,3.9453789900447e-07
1,0,0,1,6.6687164168147e-12,3.6880147782319e-08,5.8544627215061e-21,5.8590802218394e-21,0,3.7e-11,1,0.000181,6.7524033625671e-62,0.98407223905074,3.9453790050143e-07
2,0,0,2,6.6687163992375e-12,3.6880147685283e-08,1.7563400142093e-20,1.7577257629183e-20,0,3.7e-11,1,0.000181,7.326384656884e-62,0.98407224111998,3.9453790499415e-07
3,0,0,3,6.668716369942e-12,3.6880147523557e-08,2.9272389066254e-20,2.929548108076e-20,0,3.7e-11,1,0.000181,7.948897096987e-62,0.98407224456803,3.9453791248052e-07
4,0,0,4,6.6687163289282e-12,3.688014729714e-08,4.098145344914e-20,4.1013785311693e-20,0,3.7e-11,1,0.000181,8.6240219246846e-62,0.98407224939585,3.9453792296264e-07
5,0,0,5,6.668716276196e-12,3.6880147006032e-08,5.2690630421232e-20,5.2732199402552e-20,0,3.7e-11,1,0.000181,9.3561817141313e-62,0.98407225560297,3.9453793643947e-07
6,0,0,6,6.6687162117453e-12,3.6880146650231e-08,6.4399951124229e-20,6.4450756472872e-20,0,3.7e-11,1,0.000181,1.0150168760104e-61,0.98407226318925,3.9453795291075e-07
7,0,0,7,6.6687161355758e-12,3.6880146229737e-08,7.6109443106551e-20,7.6169488026603e-20,0,3.7e-11,1,0.000181,1.101117581396e-61,0.9840722721552,3.9453797237752e-07
8,0,0,8,6.6687160476874e-12,3.6880145744548e-08,8.781914469644e-20,8.7888425567693e-20,0,3.7e-11,1,0.000181,1.1944829360306e-61,0.98407228250019,3.9453799483847e-07
9,0,0,9,6.6687159480798e-12,3.6880145194664e-08,9.9529081046805e-20,9.9607599792298e-20,0,3.7e-11,1,0.000181,1.2957225643201e-61,0.98407229422471,3.9453802029466e-07
10,0,0,10,6.6687158367527e-12,3.6880144580082e-08,1.1123928809037e-19,1.1132704381995e-19,0,3.7e-11,1,0.000181,1.4054969667771e-61,0.98407230732841,3.9453804874528e-07
11,0,0,11,6.6687157137059e-12,3.6880143900802e-08,1.2294979577108e-19,1.2304678915461e-19,0,3.7e-11,1,0.000181,1.5245217421546e-61,0.98407232181152,3.9453808019088e-07
12,0,0,12,6.6687155789391e-12,3.688014315682e-08,1.3466063642837e-19,1.3476686730022e-19,0,3.7e-11,1,0.000181,1.6535721579805e-61,0.98407233767404,3.9453811463146e-07
13,0,0,13,6.6687154324517e-12,3.6880142348136e-08,1.4637184120396e-19,1.4648730976072e-19,0,3.7e-11,1,0.000181,1.7934880980757e-61,0.98407235491586,3.9453815206674e-07
14,0,0,14,6.6687152742436e-12,3.6880141474747e-08,1.5808344123953e-19,1.5820814723228e-19,0,3.7e-11,1,0.000181,1.9451794179699e-61,0.98407237353697,3.9453819249673e-07
15,0,0,15,6.6687151043142e-12,3.688014053665e-08,1.6979547127005e-19,1.6992941445002e-19,0,3.7e-11,1,0.000181,2.1096317416505e-61,0.98407239353749,3.9453823592169e-07
16,0,0,16,6.668714922663e-12,3.6880139533844e-08,1.8150796004171e-19,1.8165113968671e-19,0,3.7e-11,1,0.000181,2.2879127358046e-61,0.98407241491718,3.9453828234111e-07
17,0,0,17,6.6687147292897e-12,3.6880138466325e-08,1.9322093869619e-19,1.9337335606189e-19,0,3.7e-11,1,0.000181,2.4811789006569e-61,0.98407243767616,3.9453833175523e-07
