x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate,ci_analytical,cv_analytical
0,0,0,0,3.7605648782311e-11,3.7790658421395e-09,7.3647115939985e-25,2.2550914191381e-18,0,3.7e-11,1,0.000181,6.2231870855349e-62,-5513.1607981011,-nan,0,0
1,0,0,1,3.7605646527219e-11,3.7790658421354e-09,7.3647115939985e-25,2.2550914191381e-18,0,3.7e-11,1,0.000181,6.7524033625671e-62,-5513.1604613697,-nan,3.7605642319305e-11,2.0776569855222e-07
2,0,0,2,3.760564169488e-11,3.7790658421267e-09,1.5784947008645e-24,4.8323387386786e-18,0,3.7e-11,1,0.000181,7.326384656884e-62,-5513.1597398022,-nan,3.7605637809122e-11,2.0776567363413e-07
3,0,0,3,3.7605633980094e-11,3.7790658421127e-09,2.5211298745953e-24,7.7147864104251e-18,0,3.7e-11,1,0.000181,7.948897096987e-62,-5513.1585878261,-nan,3.7605630292152e-11,2.0776563210401e-07
4,0,0,4,3.7605623314121e-11,3.7790658420935e-09,3.4841269262846e-24,1.0665972900935e-17,0,3.7e-11,1,0.000181,8.6240219246846e-62,-5513.1569951773,-nan,3.7605619768392e-11,2.0776557396178e-07
5,0,0,5,3.7605609672666e-11,3.7790658420689e-09,4.4550591215901e-24,1.3641454629538e-17,0,3.7e-11,1,0.000181,9.3561817141313e-62,-5513.1549582279,-nan,3.7605606237839e-11,2.0776549920751e-07
6,0,0,6,3.7605593044465e-11,3.7790658420389e-09,5.4295845894766e-24,1.6628201537033e-17,0,3.7e-11,1,0.000181,1.0150168760104e-61,-5513.1524752958,-nan,3.7605589700506e-11,2.0776540784117e-07
7,0,0,7,3.7605573423394e-11,3.7790658420035e-09,6.4051580951992e-24,1.9621070989853e-17,0,3.7e-11,1,0.000181,1.101117581396e-61,-5513.1495454668,-nan,3.7605570156379e-11,2.0776529986281e-07
8,0,0,8,3.7605550805761e-11,3.7790658419627e-09,7.381629919067e-24,2.2617632860605e-17,0,3.7e-11,1,0.000181,1.1944829360306e-61,-5513.1461681896,-nan,3.7605547605464e-11,2.0776517527235e-07
9,0,0,9,3.760552518917e-11,3.7790658419165e-09,8.3573531444805e-24,2.5616591474258e-17,0,3.7e-11,1,0.000181,1.2957225643201e-61,-5513.1423431063,-nan,3.760552204776e-11,2.0776503406985e-07
10,0,0,10,3.7605496571976e-11,3.779065841865e-09,9.3317288926761e-24,2.8617193359745e-17,0,3.7e-11,1,0.000181,1.4054969667771e-61,-5513.1380699714,-nan,3.7605493483268e-11,2.077648762553e-07
11,0,0,11,3.7605464953006e-11,3.779065841808e-09,1.0307002959017e-23,3.1618970681807e-17,0,3.7e-11,1,0.000181,1.5245217421546e-61,-5513.1333486096,-nan,3.7605461911991e-11,2.0776470182865e-07
12,0,0,12,3.7605430331388e-11,3.7790658417457e-09,1.1280630108758e-23,3.4621617739048e-17,0,3.7e-11,1,0.000181,1.6535721579805e-61,-5513.1281788908,-nan,3.7605427333922e-11,2.0776451078997e-07
13,0,0,13,3.7605392706462e-11,3.779065841678e-09,1.2252161182827e-23,3.7624926282284e-17,0,3.7e-11,1,0.000181,1.7934880980757e-61,-5513.1225607164,-nan,3.7605389749065e-11,2.0776430313923e-07
14,0,0,14,3.7605352077712e-11,3.779065841605e-09,1.3223991696278e-23,4.0628749635591e-17,0,3.7e-11,1,0.000181,1.9451794179699e-61,-5513.1164940095,-nan,3.7605349157416e-11,2.0776407887644e-07
15,0,0,15,3.760530844473e-11,3.7790658415265e-09,1.4193726134057e-23,4.3632981480412e-17,0,3.7e-11,1,0.000181,2.1096317416505e-61,-5513.109978709,-nan,3.7605305558983e-11,2.0776383800156e-07
16,0,0,16,3.7605261807188e-11,3.7790658414428e-09,1.5161065056781e-23,4.6637542872697e-17,0,3.7e-11,1,0.000181,2.2879127358046e-61,-5513.1030147658,-nan,3.7605258953761e-11,2.0776358051463e-07
17,0,0,17,3.7605212164814e-11,3.7790658413537e-09,1.612735594167e-23,4.9642373984022e-17,0,3.7e-11,1,0.000181,2.4811789006569e-61,-5513.0956021396,-nan,3.7605209341754e-11,2.0776330641568e-07
18,0,0,18,3.7605159517385e-11,3.7790658412593e-09,1.7090951872123e-23,5.2647428634446e-17,0,3.7e-11,1,0.000181,2.6906829196941e-61,-5513.0877407969,-nan,3.7605156722946e-11,2.0776301570462e-07
19,0,0,19,3.7605103864714e-11,3.7790658411595e-09,1.805364948443e-23,5.5652670615429e-17,0,3.7e-11,1,0.000181,2.9177816140037e-61,-5513.0794307099,-nan,3.7605101097359e-11,2.0776270838151e-07
20,0,0,20,3.7605045206643e-11,3.7790658410545e-09,1.9013053263539e-23,5.8658071137208e-17,0,3.7e-11,1,0.000181,3.1639445506775e-61,-5513.0706718549,-nan,3.7605042464981e-11,2.0776238444637e-07
21,0,0,21,3.7604983543036e-11,3.7790658409441e-09,1.9970360966975e-23,6.1663607012878e-17,0,3.7e-11,1,0.000181,3.4307633587493e-61,-5513.0614642116,-nan,3.7604980825818e-11,2.0776204389913e-07
22,0,0,22,3.7604918873777e-11,3.7790658408285e-09,2.0924524556903e-23,6.4669259385304e-17,0,3.7e-11,1,0.000181,3.719961810481e-61,-5513.0518077627,-nan,3.7604916179863e-11,2.0776168673984e-07
23,0,0,23,3.7604851198764e-11,3.7790658407077e-09,2.1875843472704e-23,6.7675012744851e-17,0,3.7e-11,1,0.000181,4.0334067305108e-61,-5513.0417024931,-nan,3.7604848527113e-11,2.0776131296851e-07
24,0,0,24,3.760478051791e-11,3.7790658405816e-09,2.2825665191597e-23,7.0680854179747e-17,0,3.7e-11,1,0.000181,4.3731198004483e-61,-5513.0311483895,-nan,3.7604777867585e-11,2.0776092258511e-07
25,0,0,25,3.7604706831137e-11,3.7790658404502e-09,2.377219307729e-23,7.3686772943105e-17,0,3.7e-11,1,0.000181,4.7412903319897e-61,-5513.0201454406,-nan,3.7604704201262e-11,2.0776051558964e-07
26,0,0,26,3.7604630138377e-11,3.7790658403137e-09,2.4716175728239e-23,7.6692759935939e-17,0,3.7e-11,1,0.000181,5.140289087553e-61,-5513.008693636,-nan,3.7604627528154e-11,2.0776009198212e-07
27,0,0,27,3.760455043957e-11,3.7790658401719e-09,2.5655067909697e-23,7.9698807435742e-17,0,3.7e-11,1,0.000181,5.5726832338395e-61,-5512.9967929668,-nan,3.7604547848251e-11,2.0775965176252e-07
28,0,0,28,3.7604467734661e-11,3.779065840025e-09,2.6591414856412e-23,8.2704908850919e-17,0,3.7e-11,1,0.000181,6.0412525206476e-61,-5512.9844434248,-nan,3.7604465161563e-11,2.0775919493089e-07
29,0,0,29,3.7604382023602e-11,3.7790658398729e-09,2.7525815447144e-23,8.5711058520452e-17,0,3.7e-11,1,0.000181,6.5490067847474e-61,-5512.971645003,-nan,3.7604379468086e-11,2.0775872148716e-07
30,0,0,30,3.7604293306351e-11,3.7790658397157e-09,2.8455874166842e-23,8.8717251526495e-17,0,3.7e-11,1,0.000181,7.0992048867039e-61,-5512.9583976948,-nan,3.7604290767819e-11,2.077582314314e-07
31,0,0,31,3.7604201582867e-11,3.7790658395534e-09,2.9383237932104e-23,9.1723483623284e-17,0,3.7e-11,1,0.000181,7.6953751972709e-61,-5512.9447014944,-nan,3.7604199060766e-11,2.0775772476358e-07
32,0,0,32,3.7604106853116e-11,3.7790658393859e-09,3.0305511227876e-23,9.4729751094969e-17,0,3.7e-11,1,0.000181,8.341337759411e-61,-5512.9305563965,-nan,3.7604104346921e-11,2.0775720148369e-07
33,0,0,33,3.7604009117065e-11,3.7790658392134e-09,3.1225089569212e-23,9.7736050665139e-17,0,3.7e-11,1,0.000181,9.0412282621911e-61,-5512.9159623962,-nan,3.7604006626295e-11,2.0775666159172e-07
34,0,0,34,3.7603908374686e-11,3.7790658390359e-09,3.2140326039513e-23,1.0074237947097e-16,0,3.7e-11,1,0.000181,9.7995239738151e-61,-5512.9009194894,-nan,3.7603905898871e-11,2.0775610508773e-07
35,0,0,35,3.7603804625951e-11,3.7790658388533e-09,3.3052118956924e-23,1.0374873497923e-16,0,3.7e-11,1,0.000181,1.0621071792955e-60,-5512.8854276719,-nan,3.7603802164658e-11,2.0775553197165e-07
36,0,0,36,3.7603697870836e-11,3.7790658386656e-09,3.3958971124537e-23,1.0675511493456e-16,0,3.7e-11,1,0.000181,1.1511118590388e-60,-5512.86948694,-nan,3.7603695423661e-11,2.0775494224348e-07
37,0,0,37,3.7603588109319e-11,3.779065838473e-09,3.4861331701423e-23,1.0976151732069e-16,0,3.7e-11,1,0.000181,1.2475344026846e-60,-5512.8530972906,-nan,3.7603585675872e-11,2.077543359033e-07
38,0,0,38,3.7603475341378e-11,3.7790658382755e-09,3.5759050967892e-23,1.1276794036696e-16,0,3.7e-11,1,0.000181,1.3519896047961e-60,-5512.8362587204,-nan,3.7603472921291e-11,2.0775371295104e-07
39,0,0,39,3.7603359566996e-11,3.779065838073e-09,3.6652278643635e-23,1.1577438244484e-16,0,3.7e-11,1,0.000181,1.4651429273408e-60,-5512.8189712266,-nan,3.7603357159922e-11,2.077530733867e-07
40,0,0,40,3.7603240786154e-11,3.7790658378656e-09,3.7540865008961e-23,1.1878084213262e-16,0,3.7e-11,1,0.000181,1.5877146514848e-60,-5512.8012348066,-nan,3.7603238391768e-11,2.0775241721033e-07
41,0,0,41,3.7603118998836e-11,3.7790658376533e-09,3.8425109503251e-23,1.2178731811198e-16,0,3.7e-11,1,0.000181,1.7204843676152e-60,-5512.783049458,-nan,3.7603116616825e-11,2.0775174442187e-07
42,0,0,42,3.7602994205026e-11,3.7790658374361e-09,3.9304413247743e-23,1.2479380921969e-16,0,3.7e-11,1,0.000181,1.8642958309838e-60,-5512.7644151785,-nan,3.7602991835091e-11,2.0775105502134e-07
43,0,0,43,3.7602866404712e-11,3.7790658372141e-09,4.0178476803054e-23,1.2780031437656e-16,0,3.7e-11,1,0.000181,2.0200622125668e-60,-5512.745331966,-nan,3.7602864046566e-11,2.0775034900876e-07
44,0,0,44,3.7602735597879e-11,3.7790658369874e-09,4.1047449888876e-23,1.3080683264553e-16,0,3.7e-11,1,0.000181,2.1887717771187e-60,-5512.7257998185,-nan,3.7602733251252e-11,2.0774962638413e-07
45,0,0,45,3.7602601784516e-11,3.7790658367558e-09,4.1911931383972e-23,1.3381336311541e-16,0,3.7e-11,1,0.000181,2.3714940229702e-60,-5512.7058187343,-nan,3.760259944915e-11,2.0774888714741e-07
46,0,0,46,3.7602464964611e-11,3.7790658365195e-09,4.276997493236e-23,1.3681990500426e-16,0,3.7e-11,1,0.000181,2.5693863208956e-60,-5512.6853887115,-nan,3.7602462640259e-11,2.0774813129867e-07
47,0,0,47,3.7602325138154e-11,3.7790658362785e-09,4.3622329132494e-23,1.3982645757538e-16,0,3.7e-11,1,0.000181,2.7837010923763e-60,-5512.6645097487,-nan,3.7602322824574e-11,2.0774735883781e-07
48,0,0,48,3.7602182305133e-11,3.7790658360328e-09,4.446959286314e-23,1.4283302013728e-16,0,3.7e-11,1,0.000181,3.0157935708261e-60,-5512.6431818443,-nan,3.7602180002107e-11,2.0774656976492e-07
49,0,0,49,3.7602036465541e-11,3.7790658357825e-09,4.5311316965223e-23,1.4583959211483e-16,0,3.7e-11,1,0.000181,3.2671301928377e-60,-5512.621404997,-nan,3.7602034172848e-11,2.0774576407997e-07
50,0,0,50,3.7601887619368e-11,3.7790658355275e-09,4.6146453400907e-23,1.488461728941e-16,0,3.7e-11,1,0.000181,3.5392976702917e-60,-5512.5991792053,-nan,3.7601885336801e-11,2.0774494178294e-07
51,0,0,51,3.7601735766606e-11,3.779065835268e-09,4.6975750768648e-23,1.5185276199687e-16,0,3.7e-11,1,0.000181,3.8340127982409e-60,-5512.5765044681,-nan,3.7601733493956e-11,2.0774410287382e-07
