x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,1.1570330151953e-09,3.864373808662e-10,-1.9310857433638e-17,-1.9496051273446e-15,0,3.7e-11,1,0.000181,1.2197909109621e-15,-172758.40974009,-nan
1,0,0,1,1.1570349648004e-09,3.8654407068628e-10,-1.9310857433638e-17,-1.9496051273446e-15,0,3.7e-11,1,0.000181,1.2246773966001e-15,-172758.69797277,-nan
2,0,0,2,1.1570408103609e-09,3.8684723544533e-10,-5.4872821389176e-17,-5.8455604323206e-15,0,3.7e-11,1,0.000181,1.2295785391886e-15,-172759.56264167,-nan
3,0,0,3,1.1570505469904e-09,3.8732310507514e-10,-8.6132402996141e-17,-9.7366295144165e-15,0,3.7e-11,1,0.000181,1.234494358097e-15,-172761.0036596,-nan
4,0,0,4,1.1570641697969e-09,3.8794999545758e-10,-1.1346715922007e-16,-1.3622806525259e-14,0,3.7e-11,1,0.000181,1.2394248725956e-15,-172763.02088214,-nan
5,0,0,5,1.1570816738816e-09,3.8870825569954e-10,-1.3724510379473e-16,-1.7504084676796e-14,0,3.7e-11,1,0.000181,1.2443701018553e-15,-172765.6141089,-nan
6,0,0,6,1.1571030543379e-09,3.895801983579e-10,-1.5782162116375e-16,-2.1380456327121e-14,0,3.7e-11,1,0.000181,1.2493300649463e-15,-172768.78308526,-nan
7,0,0,7,1.157128306251e-09,3.9055001412531e-10,-1.7553665390128e-16,-2.5251913065254e-14,0,3.7e-11,1,0.000181,1.2543047808379e-15,-172772.52750462,-nan
8,0,0,8,1.1571574246968e-09,3.9160367288764e-10,-1.9071223598244e-16,-2.911844578952e-14,0,3.7e-11,1,0.000181,1.2592942683973e-15,-172776.84701089,-nan
9,0,0,9,1.1571904047415e-09,3.9272881340103e-10,-2.0365043292333e-16,-3.2980044784063e-14,0,3.7e-11,1,0.000181,1.2642985463896e-15,-172781.74120148,-nan
10,0,0,10,1.1572272414413e-09,3.9391462409405e-10,-2.1463173543587e-16,-3.6836699789153e-14,0,3.7e-11,1,0.000181,1.2693176334763e-15,-172787.20963034,-nan
11,0,0,11,1.1572679298414e-09,3.9515171766456e-10,-2.2391393626178e-16,-4.0688400067574e-14,0,3.7e-11,1,0.000181,1.2743515482152e-15,-172793.25181133,-nan
12,0,0,12,1.1573124649759e-09,3.9643200220151e-10,-2.3173150118914e-16,-4.4535134465209e-14,0,3.7e-11,1,0.000181,1.2794003090593e-15,-172799.86722166,-nan
13,0,0,13,1.1573608418673e-09,3.9774855151786e-10,-2.3829542625815e-16,-4.8376891465014e-14,0,3.7e-11,1,0.000181,1.2844639343562e-15,-172807.05530529,-nan
14,0,0,14,1.1574130555266e-09,3.9909547723795e-10,-2.4379355533796e-16,-5.2213659238101e-14,0,3.7e-11,1,0.000181,1.2895424423477e-15,-172814.81547636,-nan
15,0,0,15,1.1574691009522e-09,4.0046780495571e-10,-2.4839131691315e-16,-5.6045425686953e-14,0,3.7e-11,1,0.000181,1.2946358511685e-15,-172823.14712253,-nan
16,0,0,16,1.1575289731307e-09,4.0186135648533e-10,-2.5223282686236e-16,-5.9872178484717e-14,0,3.7e-11,1,0.000181,1.2997441788459e-15,-172832.04960806,-nan
17,0,0,17,1.1575926670358e-09,4.0327263988548e-10,-2.5544229542598e-16,-6.3693905108914e-14,0,3.7e-11,1,0.000181,1.3048674432992e-15,-172841.52227684,-nan
18,0,0,18,1.1576601776287e-09,4.0469874856572e-10,-2.5812567112436e-16,-6.7510592871006e-14,0,3.7e-11,1,0.000181,1.3100056623385e-15,-172851.56445501,-nan
19,0,0,19,1.1577314998577e-09,4.0613727039749e-10,-2.6037245154943e-16,-7.1322228941008e-14,0,3.7e-11,1,0.000181,1.3151588536643e-15,-172862.17545344,-nan
20,0,0,20,1.157806628658e-09,4.0758620736012e-10,-2.6225759023727e-16,-7.5128800369614e-14,0,3.7e-11,1,0.000181,1.3203270348669e-15,-172873.35456988,-nan
21,0,0,21,1.1578855589521e-09,4.0904390586877e-10,-2.6384343006569e-16,-7.8930294103916e-14,0,3.7e-11,1,0.000181,1.3255102234254e-15,-172885.10109081,-nan
22,0,0,22,1.1579682856491e-09,4.1050899756508e-10,-2.6518159703105e-16,-8.2726697004561e-14,0,3.7e-11,1,0.000181,1.3307084367072e-15,-172897.41429305,-nan
23,0,0,23,1.158054803645e-09,4.1198035001995e-10,-2.6631479433126e-16,-8.6517995856927e-14,0,3.7e-11,1,0.000181,1.335921691967e-15,-172910.29344507,-nan
24,0,0,24,1.1581451078224e-09,4.134570265165e-10,-2.6727844587564e-16,-9.0304177380007e-14,0,3.7e-11,1,0.000181,1.3411500063465e-15,-172923.73780806,-nan
25,0,0,25,1.1582391930506e-09,4.1493825386835e-10,-2.6810215068489e-16,-9.4085228238204e-14,0,3.7e-11,1,0.000181,1.3463933968733e-15,-172937.7466368,-nan
26,0,0,26,1.1583370541857e-09,4.1642339709727e-10,-2.6881092443473e-16,-9.7861135044425e-14,0,3.7e-11,1,0.000181,1.3516518804605e-15,-172952.31918035,-nan
27,0,0,27,1.15843868607e-09,4.1791193975014e-10,-2.6942622017053e-16,-1.0163188436919e-13,0,3.7e-11,1,0.000181,1.3569254739057e-15,-172967.45468253,-nan
28,0,0,28,1.1585440835328e-09,4.1940346867308e-10,-2.6996673505072e-16,-1.0539746274413e-13,0,3.7e-11,1,0.000181,1.3622141938904e-15,-172983.1523824,-nan
29,0,0,29,1.1586532413894e-09,4.2089766216483e-10,-2.7044902200711e-16,-1.0915785666698e-13,0,3.7e-11,1,0.000181,1.3675180569794e-15,-172999.4115145,-nan
30,0,0,30,1.158766154442e-09,4.2239428058024e-10,-2.7088793318954e-16,-1.1291305260546e-13,0,3.7e-11,1,0.000181,1.3728370796197e-15,-173016.23130913,-nan
31,0,0,31,1.158882817479e-09,4.238931586226e-10,-2.7129692566656e-16,-1.166630370019e-13,0,3.7e-11,1,0.000181,1.3781712781403e-15,-173033.61099258,-nan
32,0,0,32,1.1590032252753e-09,4.253941987313e-10,-2.7168825967593e-16,-1.2040779627376e-13,0,3.7e-11,1,0.000181,1.3835206687512e-15,-173051.54978727,-nan
33,0,0,33,1.1591273725921e-09,4.2689736512332e-10,-2.7207311695422e-16,-1.2414731682035e-13,0,3.7e-11,1,0.000181,1.3888852675425e-15,-173070.04691191,-nan
34,0,0,34,1.1592552541772e-09,4.2840267817673e-10,-2.7246166266799e-16,-1.2788158502193e-13,0,3.7e-11,1,0.000181,1.394265090484e-15,-173089.10158166,-nan
35,0,0,35,1.1593868647644e-09,4.2991020895173e-10,-2.7286307027545e-16,-1.3161058724531e-13,0,3.7e-11,1,0.000181,1.3996601534243e-15,-173108.7130083,-nan
36,0,0,36,1.1595221990742e-09,4.3142007372964e-10,-2.7328552480044e-16,-1.3533430984368e-13,0,3.7e-11,1,0.000181,1.4050704720902e-15,-173128.88040031,-nan
37,0,0,37,1.1596612518134e-09,4.3293242851703e-10,-2.7373621651879e-16,-1.3905273915987e-13,0,3.7e-11,1,0.000181,1.4104960620859e-15,-173149.60296309,-nan
38,0,0,38,1.1598040176749e-09,4.3444746350983e-10,-2.74221333696e-16,-1.4276586152823e-13,0,3.7e-11,1,0.000181,1.4159369388921e-15,-173170.87989906,-nan
39,0,0,39,1.1599504913382e-09,4.3596539754071e-10,-2.7474605959007e-16,-1.4647366327547e-13,0,3.7e-11,1,0.000181,1.4213931178657e-15,-173192.71040783,-nan
40,0,0,40,1.1601006674689e-09,4.374864725438e-10,-2.7531457555939e-16,-1.5017613072271e-13,0,3.7e-11,1,0.000181,1.4268646142387e-15,-173215.09368634,-nan
41,0,0,41,1.1602545407191e-09,4.3901094806445e-10,-2.7593006923724e-16,-1.5387325018589e-13,0,3.7e-11,1,0.000181,1.4323514431175e-15,-173238.028929,-nan
42,0,0,42,1.1604121057271e-09,4.4053909582652e-10,-2.7659474493519e-16,-1.5756500797706e-13,0,3.7e-11,1,0.000181,1.4378536194825e-15,-173261.51532787,-nan
43,0,0,43,1.1605733571175e-09,4.4207119435236e-10,-2.7730983317601e-16,-1.6125139040491e-13,0,3.7e-11,1,0.000181,1.443371158187e-15,-173285.55207277,-nan
44,0,0,44,1.1607382895013e-09,4.4360752362105e-10,-2.7807559763401e-16,-1.6493238377567e-13,0,3.7e-11,1,0.000181,1.4489040739568e-15,-173310.13835143,-nan
45,0,0,45,1.1609068974757e-09,4.45148359756e-10,-2.7889134042551e-16,-1.6860797439207e-13,0,3.7e-11,1,0.000181,1.4544523813889e-15,-173335.27334964,-nan
46,0,0,46,1.1610791756242e-09,4.4669396975545e-10,-2.7975540989998e-16,-1.7227814855414e-13,0,3.7e-11,1,0.000181,1.4600160949516e-15,-173360.95625141,-nan
47,0,0,47,1.1612551185168e-09,4.4824460631821e-10,-2.8066521785929e-16,-1.7594289255941e-13,0,3.7e-11,1,0.000181,1.4655952289832e-15,-173387.18623907,-nan
48,0,0,48,1.1614347207095e-09,4.4980050286266e-10,-2.8161727454559e-16,-1.796021927013e-13,0,3.7e-11,1,0.000181,1.4711897976914e-15,-173413.96249342,-nan
49,0,0,49,1.1616179767448e-09,4.513618688802e-10,-2.8260724917525e-16,-1.8325603526887e-13,0,3.7e-11,1,0.000181,1.4767998151526e-15,-173441.28419389,-nan
50,0,0,50,1.1618048811513e-09,4.5292888579292e-10,-2.8363006120144e-16,-1.8690440654603e-13,0,3.7e-11,1,0.000181,1.4824252953111e-15,-173469.15051859,-nan
51,0,0,51,1.1619954284441e-09,4.5450170349131e-10,-2.8468000340995e-16,-1.9054729281109e-13,0,3.7e-11,1,0.000181,1.4880662519785e-15,-173497.56064443,-nan
52,0,0,52,1.1621896131244e-09,4.5608043770892e-10,-2.8575089338613e-16,-1.9418468033389e-13,0,3.7e-11,1,0.000181,1.4937226988331e-15,-173526.51374723,-nan
53,0,0,53,1.1623874296798e-09,4.5766516834944e-10,-2.8683624593538e-16,-1.9781655537598e-13,0,3.7e-11,1,0.000181,1.4993946494186e-15,-173556.00900169,-nan
54,0,0,54,1.162588872584e-09,4.5925593882758e-10,-2.8792945654185e-16,-2.014429041888e-13,0,3.7e-11,1,0.000181,1.5050821171441e-15,-173586.04558147,-nan
55,0,0,55,1.162793936297e-09,4.6085275642567e-10,-2.8902398525541e-16,-2.0506371301159e-13,0,3.7e-11,1,0.000181,1.5107851152828e-15,-173616.62265912,-nan
56,0,0,56,1.1630026152651e-09,4.6245559361519e-10,-2.9011353130354e-16,-2.0867896807136e-13,0,3.7e-11,1,0.000181,1.5165036569717e-15,-173647.7394061,-nan
57,0,0,57,1.1632149039207e-09,4.6406439024853e-10,-2.9119219063308e-16,-2.1228865557984e-13,0,3.7e-11,1,0.000181,1.5222377552106e-15,-173679.39499269,-nan
58,0,0,58,1.1634307966824e-09,4.6567905649607e-10,-2.9225459080582e-16,-2.1589276173347e-13,0,3.7e-11,1,0.000181,1.5279874228613e-15,-173711.5885879,-nan
59,0,0,59,1.1636502879551e-09,4.6729947638401e-10,-2.9329599971767e-16,-2.1949127271191e-13,0,3.7e-11,1,0.000181,1.5337526726471e-15,-173744.3193594,-nan
60,0,0,60,1.1638733721298e-09,4.6892551177848e-10,-2.9431240639815e-16,-2.2308417467684e-13,0,3.7e-11,1,0.000181,1.5395335171523e-15,-173777.58647337,-nan
61,0,0,61,1.1641000435836e-09,4.7055700666183e-10,-2.9530057388714e-16,-2.2667145377133e-13,0,3.7e-11,1,0.000181,1.5453299688207e-15,-173811.38909442,-nan
62,0,0,62,1.1643302966797e-09,4.7219379155735e-10,-2.9625806608774e-16,-2.3025309611882e-13,0,3.7e-11,1,0.000181,1.5511420399555e-15,-173845.72638546,-nan
63,0,0,63,1.1645641257675e-09,4.7383568797957e-10,-2.9718325242339e-16,-2.3382908782369e-13,0,3.7e-11,1,0.000181,1.5569697427187e-15,-173880.59750754,-nan
64,0,0,64,1.1648015251825e-09,4.7548251281679e-10,-2.9807529553642e-16,-2.3739941496947e-13,0,3.7e-11,1,0.000181,1.5628130891296e-15,-173916.00161978,-nan
65,0,0,65,1.1650424892461e-09,4.771340825818e-10,-2.9893412746665e-16,-2.4096406362002e-13,0,3.7e-11,1,0.000181,1.568672091065e-15,-173951.93787922,-nan
66,0,0,66,1.1652870122659e-09,4.7879021748999e-10,-2.9976041838252e-16,-2.4452301981893e-13,0,3.7e-11,1,0.000181,1.5745467602577e-15,-173988.40544073,-nan
67,0,0,67,1.1655350885355e-09,4.8045074533145e-10,-3.0055553930427e-16,-2.480762695906e-13,0,3.7e-11,1,0.000181,1.5804371082963e-15,-174025.40345686,-nan
68,0,0,68,1.1657867123344e-09,4.8211550509541e-10,-3.0132151727628e-16,-2.516237989391e-13,0,3.7e-11,1,0.000181,1.5863431466242e-15,-174062.9310778,-nan
69,0,0,69,1.1660418779283e-09,4.8378435028467e-10,-3.0206097925624e-16,-2.5516559385077e-13,0,3.7e-11,1,0.000181,1.5922648865389e-15,-174100.98745123,-nan
70,0,0,70,1.1663005795686e-09,4.8545715183425e-10,-3.0277708047377e-16,-2.5870164029311e-13,0,3.7e-11,1,0.000181,1.5982023391916e-15,-174139.57172228,-nan
71,0,0,71,1.1665628114928e-09,4.8713380053272e-10,-3.034734144223e-16,-2.6223192421749e-13,0,3.7e-11,1,0.000181,1.6041555155857e-15,-174178.68303343,-nan
72,0,0,72,1.1668285679244e-09,4.8881420884521e-10,-3.041539045607e-16,-2.6575643155811e-13,0,3.7e-11,1,0.000181,1.6101244265771e-15,-174218.3205245,-nan
73,0,0,73,1.1670978430726e-09,4.9049831205682e-10,-3.0482268130251e-16,-2.6927514823471e-13,0,3.7e-11,1,0.000181,1.6161090828727e-15,-174258.48333255,-nan
74,0,0,74,1.1673706311328e-09,4.9218606869182e-10,-3.0548395093402e-16,-2.7278806015254e-13,0,3.7e-11,1,0.000181,1.6221094950298e-15,-174299.17059195,-nan
75,0,0,75,1.167646926286e-09,4.9387746021095e-10,-3.061418649633e-16,-2.7629515320446e-13,0,3.7e-11,1,0.000181,1.6281256734558e-15,-174340.38143432,-nan
76,0,0,76,1.1679267226992e-09,4.9557249003848e-10,-3.0680039878239e-16,-2.7979641327131e-13,0,3.7e-11,1,0.000181,1.6341576284069e-15,-174382.11498858,-nan
77,0,0,77,1.1682100145254e-09,4.9727118201417e-10,-3.0746324760005e-16,-2.8329182622278e-13,0,3.7e-11,1,0.000181,1.6402053699878e-15,-174424.37038099,-nan
78,0,0,78,1.1684967959034e-09,4.9897357839963e-10,-3.0813374576838e-16,-2.8678137791988e-13,0,3.7e-11,1,0.000181,1.6462689081508e-15,-174467.14673521,-nan
79,0,0,79,1.1687870609576e-09,5.0067973758866e-10,-3.0881481321482e-16,-2.9026505421347e-13,0,3.7e-11,1,0.000181,1.652348252695e-15,-174510.44317233,-nan
80,0,0,80,1.1690808037985e-09,5.0238973167618e-10,-3.0950892984046e-16,-2.9374284094759e-13,0,3.7e-11,1,0.000181,1.658443413266e-15,-174554.25881097,-nan
81,0,0,81,1.1693780185225e-09,5.0410364402712e-10,-3.1021813552066e-16,-2.9721472395824e-13,0,3.7e-11,1,0.000181,1.6645543993544e-15,-174598.59276735,-nan
82,0,0,82,1.1696786992116e-09,5.0582156695499e-10,-3.1094404994366e-16,-3.0068068907497e-13,0,3.7e-11,1,0.000181,1.6706812202959e-15,-174643.44415529,-nan
83,0,0,83,1.1699828399337e-09,5.075435995708e-10,-3.1168790346221e-16,-3.0414072212198e-13,0,3.7e-11,1,0.000181,1.67682388527e-15,-174688.81208633,-nan
84,0,0,84,1.1702904347426e-09,5.09269845804e-10,-3.1245056820875e-16,-3.0759480891622e-13,0,3.7e-11,1,0.000181,1.6829824032996e-15,-174734.69566978,-nan
85,0,0,85,1.1706014776779e-09,5.1100041253733e-10,-3.1323257873265e-16,-3.1104293527072e-13,0,3.7e-11,1,0.000181,1.6891567832501e-15,-174781.09401272,-nan
86,0,0,86,1.1709159627649e-09,5.1273540775169e-10,-3.1403413379957e-16,-3.1448508699293e-13,0,3.7e-11,1,0.000181,1.6953470338289e-15,-174828.00622011,-nan
87,0,0,87,1.1712338840148e-09,5.1447493855554e-10,-3.1485507549647e-16,-3.1792124988489e-13,0,3.7e-11,1,0.000181,1.7015531635843e-15,-174875.43139478,-nan
88,0,0,88,1.1715552354245e-09,5.1621910898332e-10,-3.1569484742849e-16,-3.2135140974517e-13,0,3.7e-11,1,0.000181,1.7077751809053e-15,-174923.36863756,-nan
89,0,0,89,1.1718800109769e-09,5.1796801748699e-10,-3.1655243916412e-16,-3.247755523657e-13,0,3.7e-11,1,0.000181,1.7140130940202e-15,-174971.81704729,-nan
90,0,0,90,1.1722082046404e-09,5.1972175410522e-10,-3.1742632790084e-16,-3.2819366353551e-13,0,3.7e-11,1,0.000181,1.7202669109967e-15,-175020.77572091,-nan
91,0,0,91,1.1725398103694e-09,5.2148039736454e-10,-3.1831442993562e-16,-3.3160572903745e-13,0,3.7e-11,1,0.000181,1.7265366397404e-15,-175070.24375355,-nan
92,0,0,92,1.1728748221041e-09,5.2324401103358e-10,-3.1921407409622e-16,-3.3501173464854e-13,0,3.7e-11,1,0.000181,1.7328222879947e-15,-175120.22023863,-nan
93,0,0,93,1.1732132337702e-09,5.2501264090927e-10,-3.2012200749967e-16,-3.3841166614107e-13,0,3.7e-11,1,0.000181,1.7391238633398e-15,-175170.70426791,-nan
94,0,0,94,1.1735550392795e-09,5.2678631185705e-10,-3.2103444154871e-16,-3.4180550928011e-13,0,3.7e-11,1,0.000181,1.7454413731918e-15,-175221.69493162,-nan
95,0,0,95,1.1739002325293e-09,5.2856502535572e-10,-3.2194714326032e-16,-3.4519324982303e-13,0,3.7e-11,1,0.000181,1.7517748248023e-15,-175273.19131846,-nan
96,0,0,96,1.1742488074028e-09,5.3034875780726e-10,-3.2285557372877e-16,-3.485748735196e-13,0,3.7e-11,1,0.000181,1.7581242252577e-15,-175325.19251571,-nan
97,0,0,97,1.174600757769e-09,5.3213745985976e-10,-3.2375507150137e-16,-3.5195036611107e-13,0,3.7e-11,1,0.000181,1.7644895814783e-15,-175377.69760919,-nan
98,0,0,98,1.1749560774823e-09,5.3393105695298e-10,-3.2464107387388e-16,-3.5531971332673e-13,0,3.7e-11,1,0.000181,1.7708709002176e-15,-175430.70568329,-nan
99,0,0,99,1.1753147603832e-09,5.3572945122924e-10,-3.2550936400315e-16,-3.5868290088715e-13,0,3.7e-11,1,0.000181,1.7772681880616e-15,-175484.21582089,-nan
100,0,0,100,1.1756768002977e-09,5.3753252485957e-10,-3.2635632708964e-16,-3.6203991449969e-13,0,3.7e-11,1,0.000181,1.7836814514283e-15,-175538.22710328,-nan
101,0,0,101,1.1760421910375e-09,5.3934014472486e-10,-3.2717919561646e-16,-3.6539073985909e-13,0,3.7e-11,1,0.000181,1.7901106965666e-15,-175592.73861002,-nan
102,0,0,102,1.1764109264002e-09,5.4115216827447e-10,-3.2797626247971e-16,-3.687353626481e-13,0,3.7e-11,1,0.000181,1.796555929556e-15,-175647.7494188,-nan
103,0,0,103,1.1767830001687e-09,5.4296845027507e-10,-3.287470421086e-16,-3.7207376853539e-13,0,3.7e-11,1,0.000181,1.8030171563057e-15,-175703.25860523,-nan
104,0,0,104,1.1771584061119e-09,5.4478885007161e-10,-3.294923631737e-16,-3.75405943176e-13,0,3.7e-11,1,0.000181,1.8094943825538e-15,-175759.26524265,-nan
105,0,0,105,1.1775371379841e-09,5.4661323892059e-10,-3.3021438166462e-16,-3.7873187221318e-13,0,3.7e-11,1,0.000181,1.8159876138666e-15,-175815.76840195,-nan
106,0,0,106,1.1779191895254e-09,5.4844150692785e-10,-3.3091650931408e-16,-3.8205154127673e-13,0,3.7e-11,1,0.000181,1.8224968556382e-15,-175872.76715136,-nan
107,0,0,107,1.1783045544614e-09,5.5027356913209e-10,-3.3160325896846e-16,-3.8536493598591e-13,0,3.7e-11,1,0.000181,1.8290221130894e-15,-175930.26055627,-nan
108,0,0,108,1.1786932265033e-09,5.5210937032066e-10,-3.3228001513091e-16,-3.8867204194963e-13,0,3.7e-11,1,0.000181,1.8355633912673e-15,-175988.24767915,-nan
109,0,0,109,1.1790851993481e-09,5.5394888824414e-10,-3.3295274415071e-16,-3.9197284476793e-13,0,3.7e-11,1,0.000181,1.8421206950444e-15,-176046.72757941,-nan
110,0,0,110,1.1794804666781e-09,5.5579213500606e-10,-3.3362766390591e-16,-3.952673300336e-13,0,3.7e-11,1,0.000181,1.848694029118e-15,-176105.69931338,-nan
111,0,0,111,1.1798790221615e-09,5.5763915653446e-10,-3.3431089664151e-16,-3.9855548333486e-13,0,3.7e-11,1,0.000181,1.8552833980094e-15,-176165.16193432,-nan
112,0,0,112,1.1802808594517e-09,5.5949003018171e-10,-3.3500813015158e-16,-4.0183729025459e-13,0,3.7e-11,1,0.000181,1.8618888060633e-15,-176225.1144925,-nan
113,0,0,113,1.1806859721881e-09,5.6134486063059e-10,-3.3572431124802e-16,-4.0511273637482e-13,0,3.7e-11,1,0.000181,1.8685102574471e-15,-176285.55603529,-nan
114,0,0,114,1.1810943539954e-09,5.6320377439593e-10,-3.3646339152623e-16,-4.083818072751e-13,0,3.7e-11,1,0.000181,1.8751477561501e-15,-176346.48560732,-nan
115,0,0,115,1.1815059984839e-09,5.6506691328859e-10,-3.3722813957101e-16,-4.1164448853602e-13,0,3.7e-11,1,0.000181,1.881801305983e-15,-176407.90225065,-nan
116,0,0,116,1.1819208992496e-09,5.6693442725105e-10,-3.3802002720616e-16,-4.1490076573858e-13,0,3.7e-11,1,0.000181,1.8884709105768e-15,-176469.80500497,-nan
117,0,0,117,1.1823390498741e-09,5.6880646698309e-10,-3.3883919149834e-16,-4.1815062446523e-13,0,3.7e-11,1,0.000181,1.8951565733828e-15,-176532.19290781,-nan
118,0,0,118,1.1827604439244e-09,5.7068317676151e-10,-3.3968446989523e-16,-4.2139405030049e-13,0,3.7e-11,1,0.000181,1.901858297671e-15,-176595.06499468,-nan
119,0,0,119,1.1831850749532e-09,5.7256468782948e-10,-3.4055350330113e-16,-4.2463102882949e-13,0,3.7e-11,1,0.000181,1.9085760865303e-15,-176658.42029935,-nan
120,0,0,120,1.1836129364989e-09,5.7445111269445e-10,-3.4144290056099e-16,-4.2786154563883e-13,0,3.7e-11,1,0.000181,1.9153099428672e-15,-176722.25785388,-nan
121,0,0,121,1.1840440220852e-09,5.7634254063273e-10,-3.4234845682819e-16,-4.3108558631652e-13,0,3.7e-11,1,0.000181,1.9220598694054e-15,-176786.57668886,-nan
122,0,0,122,1.1844783252216e-09,5.7823903464797e-10,-3.4326541675883e-16,-4.3430313644812e-13,0,3.7e-11,1,0.000181,1.9288258686848e-15,-176851.37583341,-nan
123,0,0,123,1.1849158394032e-09,5.8014063006763e-10,-3.4418877095754e-16,-4.3751418162001e-13,0,3.7e-11,1,0.000181,1.9356079430614e-15,-176916.65431525,-nan
124,0,0,124,1.1853565581107e-09,5.8204733487828e-10,-3.4511357072736e-16,-4.4071870741485e-13,0,3.7e-11,1,0.000181,1.942406094706e-15,-176982.41116068,-nan
125,0,0,125,1.1858004748101e-09,5.8395913179877e-10,-3.4603524260896e-16,-4.4391669941281e-13,0,3.7e-11,1,0.000181,1.9492203256038e-15,-177048.64539454,-nan
126,0,0,126,1.1862475829533e-09,5.8587598197202e-10,-3.4694988135824e-16,-4.4710814318868e-13,0,3.7e-11,1,0.000181,1.9560506375537e-15,-177115.3560401,-nan
127,0,0,127,1.1866978759776e-09,5.8779783003184e-10,-3.4785449882786e-16,-4.5029302431354e-13,0,3.7e-11,1,0.000181,1.9628970321675e-15,-177182.54211891,-nan
128,0,0,128,1.1871513473059e-09,5.8972461018277e-10,-3.4874720731885e-16,-4.5347132835206e-13,0,3.7e-11,1,0.000181,1.9697595108696e-15,-177250.20265066,-nan
129,0,0,129,1.1876079903468e-09,5.9165625283245e-10,-3.4962731959081e-16,-4.5664304086311e-13,0,3.7e-11,1,0.000181,1.9766380748958e-15,-177318.33665298,-nan
130,0,0,130,1.1880677984942e-09,5.9359269125055e-10,-3.5049535367688e-16,-4.5980814739956e-13,0,3.7e-11,1,0.000181,1.9835327252928e-15,-177386.94314127,-nan
131,0,0,131,1.1885307651277e-09,5.9553386770591e-10,-3.5135293842028e-16,-4.6296663350934e-13,0,3.7e-11,1,0.000181,1.9904434629178e-15,-177456.02112851,-nan
132,0,0,132,1.1889968836124e-09,5.9747973855939e-10,-3.5220262448014e-16,-4.6611848473455e-13,0,3.7e-11,1,0.000181,1.9973702884374e-15,-177525.56962517,-nan
133,0,0,133,1.1894661472991e-09,5.9943027786619e-10,-3.5304761452951e-16,-4.6926368661362e-13,0,3.7e-11,1,0.000181,2.0043132023272e-15,-177595.58763906,-nan
134,0,0,134,1.1899385495237e-09,6.013854791615e-10,-3.5389143445196e-16,-4.7240222468121e-13,0,3.7e-11,1,0.000181,2.0112722048712e-15,-177666.0741753,-nan
135,0,0,135,1.1904140836082e-09,6.0334535525803e-10,-3.5473757347159e-16,-4.7553408446993e-13,0,3.7e-11,1,0.000181,2.0182472961609e-15,-177737.02823636,-nan
136,0,0,136,1.1908927428597e-09,6.0530993605587e-10,-3.5558912440906e-16,-4.7865925151074e-13,0,3.7e-11,1,0.000181,2.0252384760945e-15,-177808.44882205,-nan
137,0,0,137,1.191374520571e-09,6.072792645373e-10,-3.5644845513934e-16,-4.8177771133481e-13,0,3.7e-11,1,0.000181,2.0322457443767e-15,-177880.33492969,-nan
138,0,0,138,1.1918594100205e-09,6.092533912718e-10,-3.5731693894355e-16,-4.8488944947248e-13,0,3.7e-11,1,0.000181,2.0392691005178e-15,-177952.68555423,-nan
139,0,0,139,1.192347404472e-09,6.1123236787691e-10,-3.5819476552539e-16,-4.8799445145634e-13,0,3.7e-11,1,0.000181,2.046308543833e-15,-178025.49968843,-nan
140,0,0,140,1.1928384971748e-09,6.1321623996022e-10,-3.5908084707881e-16,-4.9109270281861e-13,0,3.7e-11,1,0.000181,2.0533640734415e-15,-178098.77632303,-nan
141,0,0,141,1.1933326813639e-09,6.1520504010372e-10,-3.5997282597368e-16,-4.9418418909354e-13,0,3.7e-11,1,0.000181,2.0604356882664e-15,-178172.51444701,-nan
142,0,0,142,1.1938299502597e-09,6.1719878144638e-10,-3.6086718302248e-16,-4.972688958154e-13,0,3.7e-11,1,0.000181,2.0675233870336e-15,-178246.71304767,-nan
143,0,0,143,1.1943302970682e-09,6.1919745237523e-10,-3.6175943812063e-16,-5.0034680851826e-13,0,3.7e-11,1,0.000181,2.0746271682713e-15,-178321.37111085,-nan
144,0,0,144,1.194833714981e-09,6.212010127528e-10,-3.6264442834021e-16,-5.0341791273533e-13,0,3.7e-11,1,0.000181,2.0817470303093e-15,-178396.48762097,-nan
145,0,0,145,1.195340197175e-09,6.2320939199296e-10,-3.6351664246854e-16,-5.0648219399842e-13,0,3.7e-11,1,0.000181,2.0888829712784e-15,-178472.06156115,-nan
146,0,0,146,1.1958497368128e-09,6.252224891534e-10,-3.6437058603967e-16,-5.0953963783474e-13,0,3.7e-11,1,0.000181,2.0960349891098e-15,-178548.09191313,-nan
