x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,1.2514634496773e-10,6.9155158661115e-07,-4.8797294315734e-16,-4.8797461643515e-16,0,3.7e-11,1,0.000181,1.2197909109621e-15,3.6571911134742,0.00048256980404202
1,0,0,1,1.2514683294235e-10,6.9155428259426e-07,-4.8797294315734e-16,-4.8797461643515e-16,0,3.7e-11,1,0.000181,1.2246773966001e-15,3.6571908636186,0.00048256962550114
2,0,0,2,1.2514787709968e-10,6.9156005139949e-07,-1.0441537460798e-15,-1.0441573317252e-15,0,3.7e-11,1,0.000181,1.2295785391886e-15,3.6571903282076,0.00048256924290939
3,0,0,3,1.2514954116966e-10,6.9156924512466e-07,-1.6640642559991e-15,-1.6640699804145e-15,0,3.7e-11,1,0.000181,1.234494358097e-15,3.6571894734368,0.00048256863211128
4,0,0,4,1.2515183763984e-10,6.915819327615e-07,-2.296462268096e-15,-2.2964701823144e-15,0,3.7e-11,1,0.000181,1.2394248725956e-15,3.6571882916791,0.00048256778765743
5,0,0,5,1.2515476937523e-10,6.9159813013867e-07,-2.9317252671565e-15,-2.9317353891995e-15,0,3.7e-11,1,0.000181,1.2443701018553e-15,3.6571867802519,0.00048256670763193
6,0,0,6,1.2515833642714e-10,6.9161783753963e-07,-3.5670395752748e-15,-3.5670519135168e-15,0,3.7e-11,1,0.000181,1.2493300649463e-15,3.6571849378968,0.00048256539113691
7,0,0,7,1.2516253774275e-10,6.9164104914761e-07,-4.2013010428368e-15,-4.2013156017559e-15,0,3.7e-11,1,0.000181,1.2543047808379e-15,3.65718276395,0.00048256383769956
8,0,0,8,1.2516737175292e-10,6.9166775629342e-07,-4.833993391926e-15,-4.8340101743332e-15,0,3.7e-11,1,0.000181,1.2592942683973e-15,3.6571802579908,0.00048256204702111
9,0,0,9,1.2517283661808e-10,6.916979488136e-07,-5.4648461540021e-15,-5.4648651616191e-15,0,3.7e-11,1,0.000181,1.2642985463896e-15,3.6571774197644,0.00048256001892167
10,0,0,10,1.2517893034562e-10,6.9173161569927e-07,-6.0937063053458e-15,-6.0937275393877e-15,0,3.7e-11,1,0.000181,1.2693176334763e-15,3.6571742490816,0.00048255775326855
11,0,0,11,1.2518565085174e-10,6.9176874543769e-07,-6.7204826538734e-15,-6.7205061152159e-15,0,3.7e-11,1,0.000181,1.2743515482152e-15,3.6571707458229,0.00048255524997896
12,0,0,12,1.2519299599648e-10,6.9180932620595e-07,-7.3451190549594e-15,-7.3451447442454e-15,0,3.7e-11,1,0.000181,1.2794003090593e-15,3.657166909884,0.00048255250898145
13,0,0,13,1.2520096360482e-10,6.9185334598726e-07,-7.9675804171447e-15,-7.9676083348898e-15,0,3.7e-11,1,0.000181,1.2844639343562e-15,3.6571627411877,0.00048254953022417
14,0,0,14,1.2520955147986e-10,6.9190079264417e-07,-8.5878449006525e-15,-8.587875047151e-15,0,3.7e-11,1,0.000181,1.2895424423477e-15,3.6571582396953,0.00048254631368312
15,0,0,15,1.2521875741157e-10,6.9195165396645e-07,-9.2058993325649e-15,-9.2059317081518e-15,0,3.7e-11,1,0.000181,1.2946358511685e-15,3.657153405353,0.00048254285932358
16,0,0,16,1.2522857918257e-10,6.9200591770342e-07,-9.8217363917087e-15,-9.821770996646e-15,0,3.7e-11,1,0.000181,1.2997441788459e-15,3.657148238122,0.00048253916712212
17,0,0,17,1.2523901457222e-10,6.9206357158637e-07,-1.0435352814453e-14,-1.0435389648889e-14,0,3.7e-11,1,0.000181,1.3048674432992e-15,3.6571427379831,0.0004825352370694
18,0,0,18,1.252500613595e-10,6.9212460334446e-07,-1.1046748214565e-14,-1.1046787278639e-14,0,3.7e-11,1,0.000181,1.3100056623385e-15,3.6571369049131,0.00048253106915363
19,0,0,19,1.2526171732507e-10,6.921890007162e-07,-1.1655924285079e-14,-1.165596557898e-14,0,3.7e-11,1,0.000181,1.3151588536643e-15,3.657130738885,0.0004825266633605
20,0,0,20,1.2527398025284e-10,6.9225675145789e-07,-1.2262884245759e-14,-1.2262927769532e-14,0,3.7e-11,1,0.000181,1.3203270348669e-15,3.6571242398873,0.00048252201968708
21,0,0,21,1.2528684793105e-10,6.9232784334989e-07,-1.2867632451843e-14,-1.2867678205581e-14,0,3.7e-11,1,0.000181,1.3255102234254e-15,3.6571174079121,0.00048251713813344
22,0,0,22,1.2530031815315e-10,6.9240226420134e-07,-1.347017411235e-14,-1.3470222096167e-14,0,3.7e-11,1,0.000181,1.3307084367072e-15,3.6571102429402,0.00048251201869168
23,0,0,23,1.2531438871844e-10,6.9248000185374e-07,-1.4070515083318e-14,-1.4070565297239e-14,0,3.7e-11,1,0.000181,1.335921691967e-15,3.6571027449677,0.00048250666136521
24,0,0,24,1.253290574326e-10,6.9256104418365e-07,-1.4668661714049e-14,-1.4668714158106e-14,0,3.7e-11,1,0.000181,1.3411500063465e-15,3.6570949139908,0.00048250106615774
25,0,0,25,1.2534432210801e-10,6.9264537910481e-07,-1.5264620731131e-14,-1.52646754054e-14,0,3.7e-11,1,0.000181,1.3463933968733e-15,3.657086749998,0.00048249523306775
26,0,0,26,1.2536018056406e-10,6.9273299456973e-07,-1.5858399149801e-14,-1.5858456054312e-14,0,3.7e-11,1,0.000181,1.3516518804605e-15,3.6570782529814,0.00048248916209675
27,0,0,27,1.253766306274e-10,6.9282387857087e-07,-1.6450004205626e-14,-1.6450063340395e-14,0,3.7e-11,1,0.000181,1.3569254739057e-15,3.657069422941,0.00048248285325207
28,0,0,28,1.2539367013207e-10,6.9291801914159e-07,-1.7039443301035e-14,-1.7039504666065e-14,0,3.7e-11,1,0.000181,1.3622141938904e-15,3.6570602598808,0.00048247630654407
29,0,0,29,1.2541129691963e-10,6.9301540435686e-07,-1.7626723963406e-14,-1.7626787558716e-14,0,3.7e-11,1,0.000181,1.3675180569794e-15,3.6570507637892,0.00048246952197238
30,0,0,30,1.2542950883926e-10,6.9311602233372e-07,-1.8211853811667e-14,-1.8211919637302e-14,0,3.7e-11,1,0.000181,1.3728370796197e-15,3.65704093467,0.00048246249954793
31,0,0,31,1.2544830374785e-10,6.9321986123167e-07,-1.8794840529747e-14,-1.8794908585659e-14,0,3.7e-11,1,0.000181,1.3781712781403e-15,3.6570307725193,0.00048245523927645
32,0,0,32,1.2546767950998e-10,6.9332690925291e-07,-1.9375691844889e-14,-1.9375762131153e-14,0,3.7e-11,1,0.000181,1.3835206687512e-15,3.6570202773333,0.00048244774116393
33,0,0,33,1.2548763399801e-10,6.9343715464248e-07,-1.9954415510569e-14,-1.9954488027129e-14,0,3.7e-11,1,0.000181,1.3888852675425e-15,3.6570094491159,0.00048244000522217
34,0,0,34,1.2550816509205e-10,6.9355058568829e-07,-2.0531019291955e-14,-2.0531094038849e-14,0,3.7e-11,1,0.000181,1.394265090484e-15,3.6569982878671,0.00048243203146051
35,0,0,35,1.2552927067998e-10,6.9366719072119e-07,-2.1105510954637e-14,-2.1105587931805e-14,0,3.7e-11,1,0.000181,1.3996601534243e-15,3.6569867935906,0.00048242381989131
36,0,0,36,1.2555094865744e-10,6.9378695811486e-07,-2.1677898254793e-14,-2.1677977462291e-14,0,3.7e-11,1,0.000181,1.4050704720902e-15,3.6569749662789,0.00048241537051898
37,0,0,37,1.2557319692781e-10,6.9390987628575e-07,-2.2248188931528e-14,-2.2248270369304e-14,0,3.7e-11,1,0.000181,1.4104960620859e-15,3.6569628059434,0.00048240668336196
38,0,0,38,1.2559601340218e-10,6.9403593369293e-07,-2.2816390700259e-14,-2.281647436832e-14,0,3.7e-11,1,0.000181,1.4159369388921e-15,3.6569503125804,0.00048239775842799
39,0,0,39,1.2561939599932e-10,6.9416511883795e-07,-2.3382511247179e-14,-2.3382597145475e-14,0,3.7e-11,1,0.000181,1.4213931178657e-15,3.6569374861936,0.00048238859573058
40,0,0,40,1.2564334264568e-10,6.942974202646e-07,-2.3946558224942e-14,-2.3946646353509e-14,0,3.7e-11,1,0.000181,1.4268646142387e-15,3.6569243267831,0.00048237919528078
41,0,0,41,1.2566785127528e-10,6.944328265588e-07,-2.4508539248775e-14,-2.4508629607575e-14,0,3.7e-11,1,0.000181,1.4323514431175e-15,3.6569108343566,0.00048236955709545
42,0,0,42,1.2569291982977e-10,6.9457132634826e-07,-2.5068461893318e-14,-2.5068554482347e-14,0,3.7e-11,1,0.000181,1.4378536194825e-15,3.6568970089064,0.00048235968118071
43,0,0,43,1.2571854625828e-10,6.9471290830235e-07,-2.5626333690182e-14,-2.5626428509382e-14,0,3.7e-11,1,0.000181,1.443371158187e-15,3.6568828504479,0.00048234956755947
44,0,0,44,1.2574472851745e-10,6.9485756113177e-07,-2.618216212545e-14,-2.6182259174819e-14,0,3.7e-11,1,0.000181,1.4489040739568e-15,3.6568683589772,0.0004823392162412
45,0,0,45,1.2577146457137e-10,6.9500527358834e-07,-2.6735954638173e-14,-2.6736053917728e-14,0,3.7e-11,1,0.000181,1.4544523813889e-15,3.6568535344983,0.00048232862724112
46,0,0,46,1.257987523915e-10,6.9515603446468e-07,-2.7287718618745e-14,-2.7287820128371e-14,0,3.7e-11,1,0.000181,1.4600160949516e-15,3.6568383770188,0.00048231780057753
47,0,0,47,1.2582658995664e-10,6.9530983259401e-07,-2.7837461407521e-14,-2.7837565147305e-14,0,3.7e-11,1,0.000181,1.4655952289832e-15,3.6568228865349,0.00048230673626072
48,0,0,48,1.2585497525291e-10,6.9546665684978e-07,-2.8385190294074e-14,-2.8385296263904e-14,0,3.7e-11,1,0.000181,1.4711897976914e-15,3.6568070630542,0.00048229543430956
49,0,0,49,1.2588390627362e-10,6.9562649614545e-07,-2.8930912516117e-14,-2.8931020715972e-14,0,3.7e-11,1,0.000181,1.4767998151526e-15,3.6567909065885,0.00048228389474593
50,0,0,50,1.2591338101931e-10,6.9578933943417e-07,-2.947463525893e-14,-2.9474745688813e-14,0,3.7e-11,1,0.000181,1.4824252953111e-15,3.6567744171337,0.000482272117581
51,0,0,51,1.2594339749763e-10,6.9595517570851e-07,-3.0016365654881e-14,-3.0016478314742e-14,0,3.7e-11,1,0.000181,1.4880662519785e-15,3.6567575946977,0.00048226010283449
52,0,0,52,1.259739537233e-10,6.9612399400012e-07,-3.0556110782871e-14,-3.0556225672717e-14,0,3.7e-11,1,0.000181,1.4937226988331e-15,3.6567404392766,0.00048224785051813
