time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,8.8068267553565e-15,3.7005832718319e-11,-nan,-nan,2.0722130342972e-18,-1.0228884873189e-16,0.004611243706011,19.376208701307,1,0.000181
186.68799962237,6.3213023052613e-14,3.706296883646e-11,-nan,-nan,8.1314730385482e-19,-1.030524733209e-16,0.033098261472215,19.406125102808,1,0.000181
1181.8815689988,4.0008187864113e-13,3.7416747919916e-11,-nan,-nan,3.2279504446017e-19,-8.7430036320317e-17,0.20948238179557,19.591363397738,1,0.000181
7343.8578398454,2.4858629953903e-12,3.9607025893706e-11,-nan,-nan,1.2407047891335e-19,-1.9330037552684e-17,1.3015948206915,20.738190263035,1,0.000181
45497.190750011,1.5397733470239e-11,5.316492436899e-11,-nan,-nan,4.8455573298222e-20,-3.3102773543498e-18,8.062234392006,27.837089304379,1,0.000181
281732.57176583,9.4878827615189e-11,1.3665202830706e-10,-nan,-nan,6.3894767422089e-17,-1.0916784084119e-18,49.678437969515,71.550834704603,1,0.000181
1744439.784661,5.0352696671015e-10,6.0237025322097e-10,-nan,-nan,1.0589755265138e-13,1.1856051578747e-19,263.64610325016,315.40032704334,1,0.000181
10801137.310052,5.6166078438284e-10,2.3163227198574e-09,-nan,-nan,2.6019067715382e-13,-6.5877627758849e-19,294.08489900444,1212.8237400079,1,0.000181
66877821.244672,2.2043398177338e-10,7.8163281315077e-09,-nan,-nan,9.8357951412082e-14,-2.5842105536222e-18,115.4189629568,4092.619839332,1,0.000181
414089867.61007,7.7226304004112e-11,2.457368099714e-08,-nan,-nan,3.3480074680477e-14,-5.7186282628072e-18,40.435598220535,12866.749282045,1,0.000181
2563935341.3868,1.9286131281813e-11,7.8951007393132e-08,-nan,-nan,5.754927486775e-15,3.9640400868294e-17,10.098194725185,41338.650803296,1,0.000181
15875211863.902,5.9992083235008e-12,2.6740428750586e-07,-nan,-nan,6.2649380411134e-17,1.338187430867e-14,3.1411781327441,140012.5575278,1,0.000181
98295127536.995,4.9278042076497e-12,3.8325631746229e-07,-nan,-nan,1.0311459076436e-17,2.8220762347813e-14,2.5801922495135,200672.53856357,1,0.000181
173392898616.94,4.9304721317239e-12,3.8289213357206e-07,-nan,-nan,1.0361968293964e-17,2.8174648145154e-14,2.5815891712921,200481.85232455,1,0.000181
