time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,2.3425037732139e-13,3.783503203587e-11,-5.0982835896453e-14,2.0368388735208e-13,5.0983042896649e-14,-2.0365949859204e-13,1.171251886607e-09,1.8917516017935e-07,1,0.00018099999999999
186.68799962237,1.6801918437512e-12,3.937316235913e-11,-1.3842305791946e-13,3.4211981974058e-13,1.3842310861512e-13,-3.4209050208356e-13,8.4009592187562e-09,1.9686581179565e-07,1,0.00018099999999999
1181.8815689988,1.0570318207696e-11,4.9043804406821e-11,-3.4992297940017e-13,6.3937488590973e-13,3.4992298176681e-13,-6.393506088037e-13,5.2851591038478e-08,2.4521902203411e-07,1,0.00018099999999999
7343.8578398454,6.4656385309352e-11,1.0858040109263e-10,-8.7391203759707e-13,3.0814072168687e-13,8.7391203388871e-13,-3.0812821808376e-13,3.2328192654676e-07,5.4290200546316e-07,1,0.00018099999999999
45497.190750011,3.8469291449064e-10,4.7299422437981e-10,-2.1764525152618e-12,9.9568284505189e-14,2.1764525845242e-12,-9.9557765241363e-14,1.9234645724532e-06,2.364971121899e-06,1,0.00018099999999999
281732.57176583,2.1202051518835e-09,2.6956655123854e-09,-5.3829138092503e-12,-2.3397286713806e-14,5.3829139670863e-12,2.3399117523324e-14,1.0601025759418e-05,1.3478327561927e-05,1,0.00018099999999999
1744439.784661,7.3265619204926e-09,1.3780343111593e-08,-1.0913866566762e-11,-1.6767492263778e-13,1.0913865852664e-11,1.6767489029201e-13,3.6632809602463e-05,6.8901715557963e-05,1,0.00018099999999999
10801137.310052,4.3801478350611e-09,4.5710873504259e-08,-6.8773379679874e-12,-4.4269290598414e-13,6.8773380590559e-12,4.4269287206315e-13,2.1900739175306e-05,0.0002285543675213,1,0.00018099999999999
66877821.244672,1.6155113161339e-09,1.5009863907161e-07,-3.2878201320961e-12,-9.1058675884372e-13,3.2878201496699e-12,9.1058674473262e-13,8.0775565806696e-06,0.00075049319535804,1,0.00018099999999999
414089867.61007,5.2637334700893e-10,4.5430961469609e-07,-1.9082143212772e-12,-1.391039596161e-12,1.9082143214823e-12,1.3910395960273e-12,2.6318667350447e-06,0.0022715480734804,1,0.00018099999999999
2563935341.3868,1.6056528356091e-10,1.4011139159323e-06,-1.4904583157701e-12,-1.7633477449547e-12,1.4904583157734e-12,1.7633477449501e-12,8.0282641780456e-07,0.0070055695796617,1,0.00018099999999999
15875211863.902,6.4400172858641e-11,4.0121026156267e-06,-1.292290749511e-12,-2.1485311583949e-12,1.292290749511e-12,2.1485311583949e-12,3.2200086429321e-07,0.020060513078133,1,0.00018099999999999
98295127536.995,5.0036590026502e-11,5.479859664797e-06,-1.22489488127e-12,-2.3542393382403e-12,1.22489488127e-12,2.3542393382406e-12,2.5018295013251e-07,0.027399298323985,1,0.00018099999999999
608617521341.22,5.0069495387136e-11,5.4754240226879e-06,-1.2250787034904e-12,-2.3536054862342e-12,1.2250787034904e-12,2.3536054862342e-12,2.5034747693568e-07,0.027377120113439,1,0.00018099999999999
3768399274225.2,5.0069495053021e-11,5.4754240673146e-06,-1.2250787018228e-12,-2.3536054929848e-12,1.2250787018228e-12,2.3536054929849e-12,2.5034747526511e-07,0.027377120336573,1,0.00018099999999999
23332935040392,5.0069495052724e-11,5.4754240673885e-06,-1.2250787015947e-12,-2.3536054927713e-12,1.2250787015949e-12,2.3536054927706e-12,2.5034747526362e-07,0.027377120336942,1,0.00018099999999999
1.4447138373111e+14,5.0069495052215e-11,5.4754240674243e-06,-1.2250787018178e-12,-2.3536054930024e-12,1.2250787018178e-12,2.3536054930025e-12,2.5034747526107e-07,0.027377120337121,1,0.00018099999999999
8.1766708833477e+14,5.0069495051997e-11,5.4754240674925e-06,-1.2250787015909e-12,-2.3536054927842e-12,1.2250787015911e-12,2.3536054927835e-12,2.5034747525998e-07,0.027377120337462,1,0.00018099999999999
1.8176670883348e+15,5.0069495051509e-11,5.4754240675262e-06,-1.2250787018143e-12,-2.3536054930144e-12,1.2250787018143e-12,2.3536054930145e-12,2.5034747525754e-07,0.027377120337631,1,0.00018099999999999
2.8176670883348e+15,5.0069495051301e-11,5.4754240675931e-06,-1.2250787015875e-12,-2.3536054927959e-12,1.2250787015877e-12,2.3536054927952e-12,2.503474752565e-07,0.027377120337966,1,0.00018099999999999
3.8176670883348e+15,5.0069495050821e-11,5.4754240676257e-06,-1.2250787018109e-12,-2.353605493026e-12,1.2250787018109e-12,2.353605493026e-12,2.503474752541e-07,0.027377120338128,1,0.00018099999999999
4.8176670883348e+15,5.0069495050621e-11,5.4754240676913e-06,-1.2250787015842e-12,-2.3536054928074e-12,1.2250787015844e-12,2.3536054928067e-12,2.5034747525311e-07,0.027377120338457,1,0.00018099999999999
5.8176670883348e+15,5.0069495050149e-11,5.4754240677227e-06,-1.2250787018077e-12,-2.3536054930373e-12,1.2250787018076e-12,2.3536054930373e-12,2.5034747525075e-07,0.027377120338614,1,0.00018099999999999
6.8176670883348e+15,5.0069495049958e-11,5.4754240677873e-06,-1.2250787015809e-12,-2.3536054928185e-12,1.2250787015811e-12,2.3536054928178e-12,2.5034747524979e-07,0.027377120338936,1,0.00018099999999999
7.8176670883348e+15,5.0069495049494e-11,5.4754240678175e-06,-1.2250787018044e-12,-2.3536054930483e-12,1.2250787018044e-12,2.3536054930484e-12,2.5034747524747e-07,0.027377120339088,1,0.00018099999999999
8.8176670883348e+15,5.006949504931e-11,5.4754240678809e-06,-1.2250787015777e-12,-2.3536054928294e-12,1.2250787015779e-12,2.3536054928287e-12,2.5034747524655e-07,0.027377120339405,1,0.00018099999999999
9.8176670883348e+15,5.0069495048854e-11,5.47542406791e-06,-1.2250787018013e-12,-2.3536054930591e-12,1.2250787018013e-12,2.3536054930591e-12,2.5034747524427e-07,0.02737712033955,1,0.00018099999999999
1.0817667088335e+16,5.0069495048678e-11,5.4754240679723e-06,-1.2250787015746e-12,-2.35360549284e-12,1.2250787015748e-12,2.3536054928394e-12,2.5034747524339e-07,0.027377120339862,1,0.00018099999999999
1.1817667088335e+16,5.0069495048229e-11,5.4754240680004e-06,-1.2250787017982e-12,-2.3536054930696e-12,1.2250787017982e-12,2.3536054930697e-12,2.5034747524114e-07,0.027377120340002,1,0.00018099999999999
1.2817667088335e+16,5.006949504806e-11,5.4754240680616e-06,-1.2250787015716e-12,-2.3536054928504e-12,1.2250787015718e-12,2.3536054928498e-12,2.503474752403e-07,0.027377120340308,1,0.00018099999999999
1.3817667088335e+16,5.0069495047619e-11,5.4754240680886e-06,-1.2250787017953e-12,-2.3536054930799e-12,1.2250787017952e-12,2.3536054930799e-12,2.503474752381e-07,0.027377120340443,1,0.00018099999999999
1.4817667088335e+16,5.0069495047458e-11,5.4754240681487e-06,-1.2250787015687e-12,-2.3536054928605e-12,1.2250787015688e-12,2.3536054928599e-12,2.5034747523729e-07,0.027377120340744,1,0.00018099999999999
1.5817667088335e+16,5.0069495047023e-11,5.4754240681746e-06,-1.2250787017923e-12,-2.3536054930899e-12,1.2250787017923e-12,2.3536054930899e-12,2.5034747523512e-07,0.027377120340873,1,0.00018099999999999
1.6817667088335e+16,5.0069495046869e-11,5.4754240682338e-06,-1.2250787015658e-12,-2.3536054928704e-12,1.225078701566e-12,2.3536054928698e-12,2.5034747523435e-07,0.027377120341169,1,0.00018099999999999
1.7817667088335e+16,5.0069495046442e-11,5.4754240682587e-06,-1.2250787017895e-12,-2.3536054930997e-12,1.2250787017895e-12,2.3536054930997e-12,2.5034747523221e-07,0.027377120341293,1,0.00018099999999999
1.8817667088335e+16,5.0069495046295e-11,5.4754240683168e-06,-1.225078701563e-12,-2.3536054928801e-12,1.2250787015631e-12,2.3536054928795e-12,2.5034747523147e-07,0.027377120341584,1,0.00018099999999999
1.9817667088335e+16,5.0069495045874e-11,5.4754240683407e-06,-1.2250787017867e-12,-2.3536054931092e-12,1.2250787017867e-12,2.3536054931093e-12,2.5034747522937e-07,0.027377120341704,1,0.00018099999999999
2.0817667088335e+16,5.0069495045734e-11,5.4754240683979e-06,-1.2250787015602e-12,-2.3536054928895e-12,1.2250787015604e-12,2.353605492889e-12,2.5034747522867e-07,0.027377120341989,1,0.00018099999999999
2.1817667088335e+16,5.006949504532e-11,5.4754240684209e-06,-1.225078701784e-12,-2.3536054931185e-12,1.225078701784e-12,2.3536054931186e-12,2.503474752266e-07,0.027377120342104,1,0.00018099999999999
2.2817667088335e+16,5.0069495045187e-11,5.475424068477e-06,-1.2250787015576e-12,-2.3536054928987e-12,1.2250787015577e-12,2.3536054928982e-12,2.5034747522593e-07,0.027377120342385,1,0.00018099999999999
2.3817667088335e+16,5.006949504478e-11,5.475424068499e-06,-1.2250787017813e-12,-2.3536054931276e-12,1.2250787017813e-12,2.3536054931277e-12,2.503474752239e-07,0.027377120342495,1,0.00018099999999999
2.4817667088335e+16,5.0069495044652e-11,5.4754240685543e-06,-1.2250787015549e-12,-2.3536054929077e-12,1.2250787015551e-12,2.3536054929072e-12,2.5034747522326e-07,0.027377120342771,1,0.00018099999999999
2.5817667088335e+16,5.0069495044251e-11,5.4754240685754e-06,-1.2250787017787e-12,-2.3536054931365e-12,1.2250787017787e-12,2.3536054931366e-12,2.5034747522126e-07,0.027377120342877,1,0.00018099999999999
2.6817667088335e+16,5.006949504413e-11,5.4754240686297e-06,-1.2250787015524e-12,-2.3536054929165e-12,1.2250787015525e-12,2.353605492916e-12,2.5034747522065e-07,0.027377120343149,1,0.00018099999999999
2.7817667088335e+16,5.0069495043736e-11,5.4754240686499e-06,-1.2250787017762e-12,-2.3536054931452e-12,1.2250787017762e-12,2.3536054931453e-12,2.5034747521868e-07,0.02737712034325,1,0.00018099999999999
2.8817667088335e+16,5.0069495043621e-11,5.4754240687034e-06,-1.2250787015499e-12,-2.3536054929251e-12,1.22507870155e-12,2.3536054929246e-12,2.503474752181e-07,0.027377120343517,1,0.00018099999999999
2.9817667088335e+16,5.0069495043233e-11,5.4754240687227e-06,-1.2250787017738e-12,-2.3536054931537e-12,1.2250787017737e-12,2.3536054931537e-12,2.5034747521616e-07,0.027377120343613,1,0.00018099999999999
3.0817667088335e+16,5.0069495043123e-11,5.4754240687753e-06,-1.2250787015474e-12,-2.3536054929334e-12,1.2250787015476e-12,2.3536054929329e-12,2.5034747521562e-07,0.027377120343876,1,0.00018099999999999
3.1817667088335e+16,5.0069495042741e-11,5.4754240687937e-06,-1.2250787017713e-12,-2.3536054931619e-12,1.2250787017713e-12,2.353605493162e-12,2.5034747521371e-07,0.027377120343969,1,0.00018099999999999
3.2817667088335e+16,5.0069495042638e-11,5.4754240688455e-06,-1.2250787015451e-12,-2.3536054929416e-12,1.2250787015452e-12,2.3536054929411e-12,2.5034747521319e-07,0.027377120344227,1,0.00018099999999999
3.3817667088335e+16,5.0069495042261e-11,5.4754240688631e-06,-1.225078701769e-12,-2.35360549317e-12,1.225078701769e-12,2.3536054931701e-12,2.5034747521131e-07,0.027377120344315,1,0.00018099999999999
3.4817667088335e+16,5.0069495042164e-11,5.475424068914e-06,-1.2250787015427e-12,-2.3536054929496e-12,1.2250787015429e-12,2.3536054929491e-12,2.5034747521082e-07,0.02737712034457,1,0.00018099999999999
3.5817667088335e+16,5.0069495041793e-11,5.4754240689308e-06,-1.2250787017667e-12,-2.3536054931779e-12,1.2250787017667e-12,2.3536054931779e-12,2.5034747520897e-07,0.027377120344654,1,0.00018099999999999
3.6817667088335e+16,5.0069495041701e-11,5.4754240689809e-06,-1.2250787015405e-12,-2.3536054929573e-12,1.2250787015406e-12,2.3536054929569e-12,2.5034747520851e-07,0.027377120344904,1,0.00018099999999999
3.7817667088335e+16,5.0069495041336e-11,5.4754240689969e-06,-1.2250787017645e-12,-2.3536054931856e-12,1.2250787017644e-12,2.3536054931856e-12,2.5034747520668e-07,0.027377120344984,1,0.00018099999999999
3.8817667088335e+16,5.006949504125e-11,5.4754240690462e-06,-1.2250787015383e-12,-2.3536054929649e-12,1.2250787015384e-12,2.3536054929645e-12,2.5034747520625e-07,0.027377120345231,1,0.00018099999999999
3.9817667088335e+16,5.0069495040889e-11,5.4754240690614e-06,-1.2250787017623e-12,-2.3536054931931e-12,1.2250787017623e-12,2.3536054931932e-12,2.5034747520445e-07,0.027377120345307,1,0.00018099999999999
4.0817667088335e+16,5.0069495040808e-11,5.47542406911e-06,-1.2250787015361e-12,-2.3536054929723e-12,1.2250787015362e-12,2.3536054929719e-12,2.5034747520404e-07,0.02737712034555,1,0.00018099999999999
4.1817667088335e+16,5.0069495040454e-11,5.4754240691244e-06,-1.2250787017601e-12,-2.3536054932004e-12,1.2250787017601e-12,2.3536054932005e-12,2.5034747520227e-07,0.027377120345622,1,0.00018099999999999
4.2817667088335e+16,5.0069495040378e-11,5.4754240691722e-06,-1.225078701534e-12,-2.3536054929796e-12,1.2250787015341e-12,2.3536054929792e-12,2.5034747520189e-07,0.027377120345861,1,0.00018099999999999
4.3817667088335e+16,5.0069495040028e-11,5.4754240691859e-06,-1.225078701758e-12,-2.3536054932076e-12,1.225078701758e-12,2.3536054932076e-12,2.5034747520014e-07,0.027377120345929,1,0.00018099999999999
4.4817667088335e+16,5.0069495039958e-11,5.4754240692329e-06,-1.2250787015319e-12,-2.3536054929866e-12,1.2250787015321e-12,2.3536054929862e-12,2.5034747519979e-07,0.027377120346165,1,0.00018099999999999
4.5817667088335e+16,5.0069495039613e-11,5.4754240692459e-06,-1.225078701756e-12,-2.3536054932146e-12,1.225078701756e-12,2.3536054932146e-12,2.5034747519806e-07,0.02737712034623,1,0.00018099999999999
4.6817667088335e+16,5.0069495039547e-11,5.4754240692923e-06,-1.2250787015299e-12,-2.3536054929936e-12,1.22507870153e-12,2.3536054929932e-12,2.5034747519774e-07,0.027377120346461,1,0.00018099999999999
4.7817667088335e+16,5.0069495039207e-11,5.4754240693046e-06,-1.225078701754e-12,-2.3536054932214e-12,1.225078701754e-12,2.3536054932215e-12,2.5034747519604e-07,0.027377120346523,1,0.00018099999999999
4.8817667088335e+16,5.0069495039147e-11,5.4754240693502e-06,-1.225078701528e-12,-2.3536054930003e-12,1.2250787015281e-12,2.3536054929999e-12,2.5034747519573e-07,0.027377120346751,1,0.00018099999999999
