time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,7.7928106876268e-14,3.7189875737545e-11,-5.575313864816e-14,-3.4320625677848e-15,-1.1037163081621e-15,-2.7852094686987e-16,3.8964053438134e-10,1.8594937868773e-07,1,0.00018099999999999
186.68799962237,5.6030730984678e-13,3.7622288750587e-11,-5.6227011813111e-14,-3.589433979438e-14,-1.143505431358e-15,-3.644587273307e-16,2.8015365492339e-09,1.8811144375293e-07,1,0.00018099999999999
1181.8815689988,3.5470709092546e-12,4.0609110064595e-11,-5.6401286934752e-14,-4.8098134363029e-14,-1.1578962461984e-15,-6.2284104747937e-16,1.7735354546273e-08,2.0304555032298e-07,1,0.00018099999999999
7343.8578398454,2.2040110094506e-11,5.9102184308869e-11,-5.647002217853e-14,-5.3095739554639e-14,-1.1635874018342e-15,-8.8902932071508e-16,1.1020055047253e-07,2.9551092154435e-07,1,0.00018099999999999
45497.190750011,1.3651810470417e-10,1.7358151779526e-10,-5.6498229011188e-14,-5.5138167610154e-14,-1.1658539315156e-15,-1.0534509874503e-15,6.8259052352083e-07,8.6790758897632e-07,1,0.00018099999999999
281732.57176583,8.4056872417683e-10,8.7768327934933e-10,-5.6581268499836e-14,-5.5959222394103e-14,-1.1467258722829e-15,-1.1216364811136e-15,4.2028436208841e-06,4.3884163967466e-06,1,0.00018099999999999
1744439.784661,4.5034282794915e-09,4.5423478741661e-09,-5.6532970813533e-14,-5.622963721057e-14,-4.4801354120524e-16,-1.1480652464248e-15,2.2517141397458e-05,2.2711739370831e-05,1,0.00018099999999999
10801137.310052,8.8580829018639e-09,8.9282159223132e-09,-5.6200859878779e-14,-5.6210709581124e-14,-1.0656925719484e-15,-1.1439536612636e-15,4.4290414509319e-05,4.4641079611566e-05,1,0.00018099999999999
66877821.244672,8.8949877742838e-09,9.1868188660311e-09,-5.621753801045e-14,-5.6217218890201e-14,-1.1419759621315e-15,-1.1429697871188e-15,4.4474938871419e-05,4.5934094330155e-05,1,0.00018099999999999
414089867.61007,8.2708932804804e-09,9.8795538019796e-09,-5.6228173825974e-14,-5.6227859451928e-14,-1.1428453024855e-15,-1.1438314906334e-15,4.1354466402402e-05,4.9397769009898e-05,1,0.00018099999999999
2067645472.7049,6.2434307554884e-09,1.308496867028e-08,-5.6265853302466e-14,-5.6265560380182e-14,-1.1459625119444e-15,-1.1468901969194e-15,3.1217153777442e-05,6.5424843351401e-05,1,0.00018099999999999
4787870087.8915,4.584162989791e-09,1.7815032860882e-08,-5.6301598175558e-14,-5.6301333829236e-14,-1.1490001747525e-15,-1.1498004652602e-15,2.2920814948955e-05,8.9075164304412e-05,1,0.00018099999999999
8861678471.5949,3.4354634358546e-09,2.3758322046817e-08,-5.6330357830978e-14,-5.6330119121122e-14,-1.1514899619265e-15,-1.15214879832e-15,1.7177317179273e-05,0.00011879161023408,1,0.00018099999999999
14953588854.61,2.6315709109113e-09,3.0987248498404e-08,-5.6353497316913e-14,-5.6353278779119e-14,-1.1535116690985e-15,-1.1540438467447e-15,1.3157854554557e-05,0.00015493624249202,1,0.00018099999999999
24140632760.224,2.0483075365043e-09,3.9751980688955e-08,-5.6372608449809e-14,-5.6372405220051e-14,-1.1551874828392e-15,-1.1556144757591e-15,1.0241537682522e-05,0.00019875990344478,1,0.00018099999999999
39452372602.915,1.5820570020868e-09,5.1336510691886e-08,-5.6389947470665e-14,-5.6389756594724e-14,-1.1567106102058e-15,-1.1570463202785e-15,7.9102850104339e-06,0.00025668255345943,1,0.00018099999999999
57826460414.144,1.2945273635283e-09,6.2546288400073e-08,-5.6401936473435e-14,-5.6401753190338e-14,-1.1577659173051e-15,-1.1580426060842e-15,6.4726368176416e-06,0.00031273144200037,1,0.00018099999999999
94961050452.906,9.9866430971039e-10,8.0578323208769e-08,-5.6415734181061e-14,-5.6415558673189e-14,-1.1589860806734e-15,-1.1592000818484e-15,4.9933215485519e-06,0.00040289161604384,1,0.00018099999999999
149825782671.83,7.8697486386375e-10,1.0135137566042e-07,-5.6426868555298e-14,-5.6426698600742e-14,-1.1599810603533e-15,-1.1601490073437e-15,3.9348743193188e-06,0.0005067568783021,1,0.00018099999999999
214566166690.16,6.5215987062123e-10,1.2107894071988e-07,-5.6434709085168e-14,-5.6434542693198e-14,-1.1606932265681e-15,-1.1608312776439e-15,3.2607993531062e-06,0.00060539470359939,1,0.00018099999999999
296836929947.08,5.4995845838167e-10,1.4183861309718e-07,-5.6441151498651e-14,-5.6440987832995e-14,-1.1612913753447e-15,-1.1614063971099e-15,2.7497922919083e-06,0.00070919306548588,1,0.00018099999999999
