x,y,z,id,xi,xv,jvx,jix
0,0,0,0,0,3.7e-11,-1.9557265376035e-10,-3.7540893730373e-10
1,0,0,1,3.6931016258614e-10,1.0618324642565e-06,-1.8879820937926e-10,-3.632122929522e-10
2,0,0,2,7.2237028543271e-10,2.0737912444385e-06,-1.797890315017e-10,-3.4697351518115e-10
3,0,0,3,1.0592206206042e-09,3.0361357272287e-06,-1.7082910066688e-10,-3.3078398452651e-10
4,0,0,4,1.3799238882491e-09,3.9492124323892e-06,-1.6193952930351e-10,-3.1466481341372e-10
5,0,0,5,1.68456174774e-09,4.8134725162967e-06,-1.5313797892757e-10,-2.9863366335545e-10
6,0,0,6,1.9732314787792e-09,5.6294534355106e-06,-1.4443887181886e-10,-2.8270495662824e-10
7,0,0,7,2.2460428756977e-09,6.3977617882037e-06,-1.3585360475229e-10,-2.6689009000374e-10
8,0,0,8,2.5031153552583e-09,7.1190573351725e-06,-1.2739076205442e-10,-2.5119764780524e-10
9,0,0,9,2.7445752758414e-09,7.7940381887112e-06,-1.19056325729e-10,-2.3563361203324e-10
10,0,0,10,2.9705534639137e-09,8.4234271466907e-06,-1.1085388083108e-10,-2.2020156773955e-10
11,0,0,11,3.1811829421078e-09,9.0079591405133e-06,-1.027848146665e-10,-2.0490290222675e-10
12,0,0,12,3.3765968520469e-09,9.5483697590056e-06,-9.4848508751325e-11,-1.8973699700769e-10
13,0,0,13,3.5569265641843e-09,1.0045384805543e-05,-8.7042522785804e-11,-1.7470141177938e-10
14,0,0,14,3.722299966363e-09,1.049971084258e-05,-7.9362770180312e-11,-1.5979205994897e-10
15,0,0,15,3.8728399224955e-09,1.0912026676062e-05,-7.1803684918802e-11,-1.4500337549719e-10
16,0,0,16,4.0086628926852e-09,1.1282975731796e-05,-6.4358379761143e-11,-1.3032847118071e-10
17,0,0,17,4.1298777062334e-09,1.1613159276478e-05,-5.7018795971734e-11,-1.1575928826071e-10
18,0,0,18,4.2365844792626e-09,1.190313043771e-05,-4.9775844920646e-11,-1.0128673810404e-10
19,0,0,19,4.3288736691194e-09,1.2153388979712e-05,-4.2619542038265e-11,-8.6900836137914e-11
20,0,0,20,4.406825258274e-09,1.2364376794474e-05,-3.2901657873987e-11,-6.7242253263352e-11
21,0,0,21,4.4705079611155e-09,1.2536473519414e-05,-2.9397356554196e-11,-6.0123152419588e-11
22,0,0,22,4.5199787717571e-09,1.2669994039061e-05,-2.1559557641044e-11,-4.4152054588401e-11
23,0,0,23,4.5552827015995e-09,1.2765187035129e-05,-1.4636395580229e-11,-2.9999293499206e-11
24,0,0,24,4.5764520711745e-09,1.2822231074054e-05,-7.7407545821021e-12,-1.5874053478594e-11
25,0,0,25,4.5835063579782e-09,1.2841233766289e-05,-8.5974456384616e-13,-1.7634444405957e-12
26,0,0,26,4.5764520711739e-09,1.2822231074058e-05,6.0196371886136e-12,1.2345536331235e-11
27,0,0,27,4.5552827015983e-09,1.2765187035135e-05,1.2910405878701e-11,2.6465904042654e-11
28,0,0,28,4.5199787717556e-09,1.266999403907e-05,2.1559557640599e-11,4.4152054588778e-11
29,0,0,29,4.4705079611135e-09,1.2536473519425e-05,2.9397356553831e-11,6.0123152419871e-11
30,0,0,30,4.4068252582718e-09,1.2364376794488e-05,3.2901657873657e-11,6.7242253263598e-11
31,0,0,31,4.328873669117e-09,1.2153388979727e-05,4.2619542038028e-11,8.6900836138073e-11
32,0,0,32,4.2365844792601e-09,1.1903130437726e-05,4.9775844920474e-11,1.0128673810414e-10
33,0,0,33,4.1298777062308e-09,1.1613159276495e-05,5.5199374600129e-11,1.1213246711067e-10
34,0,0,34,4.0086628926826e-09,1.1282975731814e-05,6.4358379761089e-11,1.3032847118071e-10
35,0,0,35,3.8728399224929e-09,1.091202667608e-05,7.1803684918799e-11,1.4500337549716e-10
36,0,0,36,3.7222999663605e-09,1.0499710842597e-05,7.936277018036e-11,1.597920599489e-10
37,0,0,37,3.5569265641818e-09,1.0045384805561e-05,8.7042522785896e-11,1.7470141177927e-10
38,0,0,38,3.3765968520446e-09,9.5483697590224e-06,9.4848508751457e-11,1.8973699700756e-10
39,0,0,39,3.1811829421056e-09,9.0079591405293e-06,1.0278481466667e-10,2.049029022266e-10
40,0,0,40,2.9705534639116e-09,8.4234271467056e-06,1.1085388083128e-10,2.2020156773938e-10
41,0,0,41,2.7445752758395e-09,7.794038188725e-06,1.1905632572922e-10,2.3563361203306e-10
42,0,0,42,2.5031153552565e-09,7.119057335185e-06,1.2739076205467e-10,2.5119764780505e-10
43,0,0,43,2.2460428756962e-09,6.3977617882149e-06,1.3585360475255e-10,2.6689009000354e-10
44,0,0,44,1.9732314787779e-09,5.6294534355203e-06,1.4443887181913e-10,2.8270495662804e-10
45,0,0,45,1.6845617477389e-09,4.8134725163049e-06,1.5313797892786e-10,2.9863366335524e-10
46,0,0,46,1.3799238882482e-09,3.9492124323957e-06,1.619395293038e-10,3.146648134135e-10
47,0,0,47,1.0592206206035e-09,3.0361357272337e-06,1.7082910066717e-10,3.3078398452629e-10
48,0,0,48,7.2237028543227e-10,2.0737912444418e-06,1.79789031502e-10,3.4697351518093e-10
49,0,0,49,3.6931016258592e-10,1.0618324642581e-06,1.8879820937956e-10,3.6321229295198e-10
50,0,0,50,0,3.7e-11,1.9557265376065e-10,3.7540893730351e-10
