time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,3.9104431390912e-12,4.0905232142229e-11,-2.2127486560936e-17,1.4697710633139e-16,5.192733357587e-21,-2.8834323253607e-17,1.1731329417274e-08,1.2271569642669e-07,1,0.00018099999999999
186.68799962237,2.8121582195985e-11,6.5112624611606e-11,-7.1564415918423e-17,1.380579369304e-16,-1.4583481027964e-22,-3.9315315364769e-17,8.4364746587954e-08,1.9533787383482e-07,1,0.00018099999999999
1181.8815689988,1.7782477298612e-10,2.1479648460558e-10,-3.4513881454751e-16,9.5577957072573e-17,-1.8833644016647e-22,-4.0112282265906e-17,5.3347431895837e-07,6.4438945381675e-07,1,0.00018099999999999
7343.8578398454,1.0624510406558e-09,1.0994521022986e-09,-8.6047646006974e-15,2.7519945312589e-17,5.3756838810399e-24,2.8656264645339e-18,3.1873531219674e-06,3.2983563068958e-06,1,0.00018099999999999
45497.190750011,3.4348476406907e-09,3.4844396898128e-09,-2.2297161409995e-12,-3.8468862031142e-18,3.0565063147782e-19,3.8534431687238e-19,1.0304542922072e-05,1.0453319069438e-05,1,0.00018099999999999
281732.57176583,4.1081953428863e-09,4.9595946841555e-09,-1.1144971109989e-11,2.7557538976228e-17,2.002007159357e-15,1.0270983744119e-19,1.2324586028659e-05,1.4878784052467e-05,1,0.00018099999999999
1744439.784661,4.0099545307303e-09,8.7682445268203e-09,-5.6198766959945e-12,1.2992266556839e-16,4.0465261810352e-16,4.7260542545316e-23,1.2029863592191e-05,2.6304733580461e-05,1,0.00018099999999999
10501105.579217,2.1340846710767e-09,1.817832746867e-08,-2.5966228683226e-12,4.2443457629339e-17,-1.2017464814037e-17,1.2510930219385e-29,6.4022540132301e-06,5.453498240601e-05,1,0.00018099999999999
39180874.701789,1.0587148753639e-09,3.5203154342881e-08,-1.3292456995884e-12,-8.1255806301798e-17,1.8947884459364e-17,3.871725845572e-35,3.1761446260917e-06,0.00010560946302864,1,0.00018099999999999
106745311.00243,6.2671101513341e-10,5.7787224183393e-08,-7.8099255237545e-13,-2.1997067804674e-16,1.4130616079029e-17,5.9152379642738e-35,1.8801330454002e-06,0.00017336167255018,1,0.00018099999999999
243636790.45569,4.0702549179741e-10,8.5010274864899e-08,-4.9426039143646e-13,-4.0243060179672e-16,9.6053725436203e-18,9.0180810949986e-35,1.2210764753922e-06,0.0002550308245947,1,0.00018099999999999
495722323.54408,2.7907578386859e-10,1.1541366965574e-07,-3.2310288850845e-13,-6.7827538992483e-16,6.5169757500187e-18,1.4463749629957e-34,8.3722735160576e-07,0.00034624100896723,1,0.00018099999999999
931326124.72083,1.9927510788632e-10,1.4649012542471e-07,-2.135682180116e-13,-1.1453474207534e-15,4.4369552399087e-18,2.6552202619332e-34,5.9782532365897e-07,0.00043947037627414,1,0.00018099999999999
1670246497.4006,1.4828125497041e-10,1.7526762901836e-07,-1.4200557995189e-13,-1.9938915785115e-15,3.0349123291697e-18,6.6609947428632e-34,4.4484376491124e-07,0.00052580288705509,1,0.00018099999999999
2927224587.5059,1.1754741331816e-10,1.9793801781931e-07,-9.8550529829082e-14,-3.3745543652498e-15,2.1525588473075e-18,2.9131838475579e-33,3.5264223995449e-07,0.00059381405345794,1,0.00018099999999999
5483136645.1287,1.0121691668704e-10,2.1227809096738e-07,-7.5830969136359e-14,-4.9451041134977e-15,1.6676844035126e-18,1.737712509863e-32,3.0365075006112e-07,0.00063683427290214,1,0.00018099999999999
13576234802.951,9.7050026318486e-11,2.1625075949997e-07,-7.0166761769154e-14,-5.5303979050639e-15,1.5416426542773e-18,3.4409035565701e-32,2.9115007895546e-07,0.00064875227849991,1,0.00018099999999999
