x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist_FP,K0_dist_II,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-3.8468862205062e-18,-2.2297161366383e-12,0,3.7e-11,1,0.000181,3.3588710635712e-18,9.5403363319204e-24,1,-nan
1,0,0,1,2.2297161366383e-12,3.702125351503e-11,-3.8468862205062e-18,-2.2297161366383e-12,0,3.7e-11,1,0.000181,3.4438582408747e-18,9.818479170555e-24,-331.94195755594,-nan
2,0,0,2,4.459555303254e-12,3.7027637214748e-11,-1.1554496488119e-18,-2.2298391666156e-12,0,3.7e-11,1,0.000181,3.5309075157971e-18,1.0104478483309e-23,-664.90268790773,-nan
3,0,0,3,6.6896438895609e-12,3.7022948066883e-11,8.4873576356894e-19,-2.2300885863069e-12,0,3.7e-11,1,0.000181,3.620066603887e-18,1.0398548610828e-23,-997.90096102147,-nan
4,0,0,4,8.9201082883562e-12,3.7011110777672e-11,2.1425493471369e-18,-2.2304643987953e-12,0,3.7e-11,1,0.000181,3.7113842659397e-18,1.070090952035e-23,-1330.9555438712,-nan
5,0,0,5,1.1151074898e-11,3.6996044918085e-11,2.7269205851653e-18,-2.2309666096437e-12,0,3.7e-11,1,0.000181,3.8049103294538e-18,1.1011786947138e-23,-1664.0852044004,-nan
6,0,0,6,1.3382670125019e-11,3.6981402344212e-11,2.6503058711305e-18,-2.2315952270191e-12,0,3.7e-11,1,0.000181,3.9006957104931e-18,1.1331412539294e-23,-1997.3087190077,-nan
7,0,0,7,1.5615020386823e-11,3.6970237805683e-11,2.0207814736763e-18,-2.2323502618037e-12,0,3.7e-11,1,0.000181,3.9987924359633e-18,1.1660024006042e-23,-2330.6448818545,-nan
8,0,0,8,1.7848252114498e-11,3.6964682295173e-11,1.0055474022644e-18,-2.2332317276756e-12,0,3.7e-11,1,0.000181,4.099253666308e-18,1.1997865269535e-23,-2664.1125141112,-nan
9,0,0,9,2.0082491755643e-11,3.6965685307565e-11,-1.8154524285196e-19,-2.2342396411446e-12,0,3.7e-11,1,0.000181,4.2021337186328e-18,1.2345186620287e-23,-2997.7304713457,-nan
10,0,0,10,2.2317865777176e-11,3.6972903241031e-11,-1.3064459573022e-18,-2.2353740215327e-12,0,3.7e-11,1,0.000181,4.3074880902643e-18,1.2702244876304e-23,-3331.5176469597,-nan
11,0,0,11,2.4554500668075e-11,3.6984825954579e-11,-2.1580111521857e-18,-2.2366348908992e-12,0,3.7e-11,1,0.000181,4.4153734827512e-18,1.3069303545986e-23,-3665.4929691768,-nan
12,0,0,12,2.6792522942002e-11,3.6999206582132e-11,-2.6028935871648e-18,-2.2380222739271e-12,0,3.7e-11,1,0.000181,4.5258478263148e-18,1.3446632994909e-23,-3999.6753898179,-nan
13,0,0,13,2.9032059139807e-11,3.7013758685194e-11,-2.6339306541657e-18,-2.2395361978053e-12,0,3.7e-11,1,0.000181,4.6389703047574e-18,1.3834510616546e-23,-4334.0838658332,-nan
14,0,0,14,3.1273235831961e-11,3.7026944595099e-11,-2.3866496927955e-18,-2.2411766921538e-12,0,3.7e-11,1,0.000181,4.7548013808345e-18,1.4233221007035e-23,-4668.7373383588,-nan
15,0,0,15,3.3516179620993e-11,3.7038588436813e-11,-2.1075353502624e-18,-2.2429437890326e-12,0,3.7e-11,1,0.000181,4.8734028221008e-18,1.4643056144077e-23,-5003.6547165128,-nan
16,0,0,16,3.5761017144043e-11,3.7050071858707e-11,-2.0784993629501e-18,-2.2448375230499e-12,0,3.7e-11,1,0.000181,4.9948377272359e-18,1.5064315570051e-23,-5338.8548724857,-nan
17,0,0,17,3.8007875075589e-11,3.7064001299971e-11,-2.5212288686303e-18,-2.2468579315457e-12,0,3.7e-11,1,0.000181,5.1191705528587e-18,1.5497306579454e-23,-5674.3566509413,-nan
18,0,0,18,4.025688013038e-11,3.7083417688742e-11,-3.5143663675908e-18,-2.2490050547907e-12,0,3.7e-11,1,0.000181,5.2464671408391e-18,1.5942344410742e-23,-6010.1788908135,-nan
19,0,0,19,4.25081590665e-11,3.7110792542783e-11,-4.9548485814744e-18,-2.2512789361208e-12,0,3.7e-11,1,0.000181,5.3767947461134e-18,1.6399752442689e-23,-6346.3404528969,-nan
20,0,0,20,4.4761838688441e-11,3.7147155023125e-11,-6.5816089418164e-18,-2.2536796219405e-12,0,3.7e-11,1,0.000181,5.5102220650142e-18,1.6869862395352e-23,-6682.8602438975,-nan
21,0,0,21,4.7018045850011e-11,3.719166352103e-11,-8.0560381208493e-18,-2.2562071615696e-12,0,3.7e-11,1,0.000181,5.646819264121e-18,1.7353014535746e-23,-7019.7572284476,-nan
22,0,0,22,4.9276907456974e-11,3.7241769470305e-11,-9.069176818724e-18,-2.2588616069637e-12,0,3.7e-11,1,0.000181,5.7866580096414e-18,1.7849557888335e-23,-7357.0504250709,-nan
23,0,0,23,5.1538550469364e-11,3.7293897887588e-11,-9.4352435283608e-18,-2.26164301239e-12,0,3.7e-11,1,0.000181,5.9298114973316e-18,1.8359850450443e-23,-7694.758888136,-nan
24,0,0,24,5.3803101903521e-11,3.7344390524857e-11,-9.1391673456925e-18,-2.2645514341565e-12,0,3.7e-11,1,0.000181,6.076354482964e-18,1.8884259412697e-23,-8032.9016826692,-nan
25,0,0,25,5.6070688833996e-11,3.7390382670493e-11,-8.3245783601089e-18,-2.2675869304752e-12,0,3.7e-11,1,0.000181,6.2263633133522e-18,1.9423161384602e-23,-8371.4978609426,-nan
26,0,0,26,5.8341438395487e-11,3.7430326105912e-11,-7.2297618107902e-18,-2.270749561491e-12,0,3.7e-11,1,0.000181,6.3799159579414e-18,1.9976942625381e-23,-8710.566448628,-nan
27,0,0,27,6.0615477784934e-11,3.7464011736188e-11,-6.0970990798472e-18,-2.2740393894473e-12,0,3.7e-11,1,0.000181,6.5370920409735e-18,2.0545999280164e-23,-9050.126444499,-nan
28,0,0,28,6.2892934263842e-11,3.7492135510362e-11,-5.0904031255632e-18,-2.2774564789073e-12,0,3.7e-11,1,0.000181,6.6979728742371e-18,2.1130737621679e-23,-9390.1968325092,-nan
29,0,0,29,6.5173935160778e-11,3.7515614960802e-11,-4.2497805296381e-18,-2.2810008969361e-12,0,3.7e-11,1,0.000181,6.862641490411e-18,2.1731574297533e-23,-9730.7966006376,-nan
30,0,0,30,6.7458607873943e-11,3.7534935570187e-11,-3.497030298689e-18,-2.2846727131653e-12,0,3.7e-11,1,0.000181,7.0311826770106e-18,2.234893658323e-23,-10071.944758938,-nan
31,0,0,31,6.9747079873658e-11,3.7549760885385e-11,-2.6833820507763e-18,-2.2884719997152e-12,0,3.7e-11,1,0.000181,7.2036830109474e-18,2.2983262641024e-23,-10413.660350446,-nan
32,0,0,32,7.2039478704664e-11,3.7558909372517e-11,-1.6558761708947e-18,-2.2923988310057e-12,0,3.7e-11,1,0.000181,7.3802308937119e-18,2.3635001784769e-23,-10755.962452153,-nan
33,0,0,33,7.4335931988192e-11,3.7560660736997e-11,-3.1699697091301e-19,-2.2964532835276e-12,0,3.7e-11,1,0.000181,7.5609165871884e-18,2.4304614750858e-23,-11098.87016703,-nan
34,0,0,34,7.663656742385e-11,3.7553267236718e-11,1.3382235503713e-18,-2.3006354356588e-12,0,3.7e-11,1,0.000181,7.7458322501131e-18,2.4992573975409e-23,-11442.402610494,-nan
35,0,0,35,7.8941512791445e-11,3.7535516354589e-11,3.212909665463e-18,-2.3049453675949e-12,0,3.7e-11,1,0.000181,7.935071975185e-18,2.5699363877824e-23,-11786.578895473,-nan
