x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist_FP,K0_dist_II,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-3.1983041195374e-11,-3.1872192556507e-11,0,3.7e-11,1,0.181,2.2622735593755e-13,9.5403363319204e-24,1,4.3037883693406e-07
1,0,0,1,3.1872192556507e-11,2.1370188505732e-10,-3.1983041195374e-11,-3.1872192556507e-11,0,3.7e-11,1,0.181,2.2623323415188e-13,9.818479170555e-24,1.0165519843015,4.7039316378693e-07
2,0,0,2,6.3518181660608e-11,3.8915401973599e-10,-3.1756836376839e-11,-3.1645989104102e-11,0,3.7e-11,1,0.181,2.2623877588307e-13,1.0104478483309e-23,1.0331037646118,5.1338953602694e-07
3,0,0,3,9.4938028759222e-11,5.6335673601839e-10,-3.1530691647116e-11,-3.1419847098614e-11,0,3.7e-11,1,0.181,2.2624398314318e-13,1.0398548610828e-23,1.0496551381375,5.5953638610393e-07
4,0,0,4,1.2613183545816e-10,7.3631058781447e-10,-3.1304647175091e-11,-3.1193806698939e-11,0,3.7e-11,1,0.181,2.2624885797588e-13,1.070090952035e-23,1.0662059035775,6.0900864375959e-07
5,0,0,5,1.5709974265507e-10,9.0801634617131e-10,-3.1078742262587e-11,-3.096790719691e-11,0,3.7e-11,1,0.181,2.2625340245697e-13,1.1011786947138e-23,1.0827558611221,6.6198786585224e-07
6,0,0,6,1.8784192967932e-10,1.0784749945211e-09,-3.0853015351308e-11,-3.0742187024251e-11,0,3.7e-11,1,0.181,2.2625761869474e-13,1.1331412539294e-23,1.0993048124522,7.1866236569191e-07
7,0,0,7,2.1835861343907e-10,1.2476877239687e-09,-3.0627504030021e-11,-3.0516683759752e-11,0,3.7e-11,1,0.181,2.2626150883045e-13,1.1660024006042e-23,1.1158525607379,7.7922734183537e-07
8,0,0,8,2.4865004757575e-10,1.4156559286203e-09,-3.0402245041947e-11,-3.0291434136672e-11,0,3.7e-11,1,0.181,2.2626507503876e-13,1.1997865269535e-23,1.132398910637,8.4388500629086e-07
9,0,0,9,2.7871652162608e-10,1.5823812009539e-09,-3.0177274292367e-11,-3.0066474050338e-11,0,3.7e-11,1,0.181,2.2626831952817e-13,1.2345186620287e-23,1.148943668294,9.1284471208227e-07
