x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist_FP,K0_dist_II,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-6.0444762766359e-16,-3.5222767680995e-13,0,3.7e-11,1,0.000181,3.3588710635712e-18,9.5403363319204e-24,1,-nan
1,0,0,1,3.5222767680995e-13,4.03394896556e-11,-6.0444762766359e-16,-3.5222767680995e-13,0,3.7e-11,1,0.000181,3.4438582408747e-18,9.818479170555e-24,-51.504588499669,-nan
2,0,0,2,7.0445197726836e-13,4.3660292460139e-11,-6.0106530762164e-16,-3.5222430045841e-13,0,3.7e-11,1,0.000181,3.5309075157971e-18,1.0104478483309e-23,-104.00917789056,-nan
3,0,0,3,1.0566728898701e-12,4.6962310180009e-11,-5.9766520729648e-16,-3.5222091260169e-13,0,3.7e-11,1,0.000181,3.620066603887e-18,1.0398548610828e-23,-156.51376910967,-nan
4,0,0,4,1.4088904095081e-12,5.0245479925395e-11,-5.9425372391484e-16,-3.5221751963807e-13,0,3.7e-11,1,0.000181,3.7113842659397e-18,1.070090952035e-23,-209.01836309417,-nan
5,0,0,5,1.7611045373519e-12,5.3509773473546e-11,-5.9083713221523e-16,-3.5221412784379e-13,0,3.7e-11,1,0.000181,3.8049103294538e-18,1.1011786947138e-23,-261.52296078143,-nan
6,0,0,6,2.1133152807239e-12,5.6755196585738e-11,-5.8742158330687e-16,-3.5221074337197e-13,0,3.7e-11,1,0.000181,3.9006957104931e-18,1.1331412539294e-23,-314.02756310913,-nan
7,0,0,7,2.4655226529754e-12,5.9981788319034e-11,-5.8401310372646e-16,-3.5220737225155e-13,0,3.7e-11,1,0.000181,3.9987924359633e-18,1.1660024006042e-23,-366.53217101533,-nan
8,0,0,8,2.817726673362e-12,6.318962033388e-11,-5.8061759468725e-16,-3.522040203866e-13,0,3.7e-11,1,0.000181,4.099253666308e-18,1.1997865269535e-23,-419.0367854385,-nan
9,0,0,9,3.1699273669177e-12,6.63787961986e-11,-5.772408315143e-16,-3.5220069355566e-13,0,3.7e-11,1,0.000181,4.2021337186328e-18,1.2345186620287e-23,-471.54140731757,-nan
10,0,0,10,3.522124764329e-12,6.9549450691751e-11,-5.7388846326034e-16,-3.5219739741136e-13,0,3.7e-11,1,0.000181,4.3074880902643e-18,1.2702244876304e-23,-524.04603759203,-nan
11,0,0,11,3.8743189018092e-12,7.2701749103332e-11,-5.7056601249607e-16,-3.5219413748018e-13,0,3.7e-11,1,0.000181,4.4153734827512e-18,1.3069303545986e-23,-576.55067720196,-nan
12,0,0,12,4.2265098209716e-12,7.5835886535758e-11,-5.672788752692e-16,-3.5219091916238e-13,0,3.7e-11,1,0.000181,4.5258478263148e-18,1.3446632994909e-23,-629.05532708805,-nan
13,0,0,13,4.5786975687037e-12,7.8952087205517e-11,-5.6403232122623e-16,-3.5218774773209e-13,0,3.7e-11,1,0.000181,4.6389703047574e-18,1.3834510616546e-23,-681.55998819165,-nan
14,0,0,14,4.9308821970412e-12,8.2050603746351e-11,-5.6083149389108e-16,-3.5218462833753e-13,0,3.7e-11,1,0.000181,4.7548013808345e-18,1.4233221007035e-23,-734.06466145485,-nan
15,0,0,15,5.2830637630427e-12,8.513171651483e-11,-5.5768141109464e-16,-3.5218156600147e-13,0,3.7e-11,1,0.000181,4.8734028221008e-18,1.4643056144077e-23,-786.56934782044,-nan
