x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist_FP,K0_dist_II,super_saturation,void_nucleation_rate
0,0,0,0,-1.3620795365145e-215,3.7e-11,-1.374728718073e-12,-3.3822664504851e-12,0,3.7e-11,1,0.181,2.2622735593755e-13,9.5403363319204e-24,1,4.3037883693406e-07
1,0,0,1,3.3822664504851e-12,4.4595186287696e-11,-1.374728718073e-12,-3.3822664504851e-12,0,3.7e-11,1,0.181,2.2623323415188e-13,9.818479170555e-24,0.70023327872001,6.2483830533052e-08
2,0,0,2,6.5475568535479e-12,5.1060571282538e-11,-1.1702346840665e-12,-3.1652904030629e-12,0,3.7e-11,1,0.181,2.2623877588307e-13,1.0104478483309e-23,0.40233037906399,3.1080004035388e-09
3,0,0,3,9.5050995743515e-12,5.6514573819682e-11,-9.8717445922289e-13,-2.9575427208036e-12,0,3.7e-11,1,0.181,2.2624398314318e-13,1.0398548610828e-23,0.1081138251472,2.5226889794953e-12
4,0,0,4,1.2264076830409e-11,6.1072362847484e-11,-8.249598140323e-13,-2.7589772560574e-12,0,3.7e-11,1,0.181,2.2624885797588e-13,1.070090952035e-23,-0.18067480289895,-nan
5,0,0,5,1.4833601776001e-11,6.4844382776656e-11,-6.8273560718005e-13,-2.5695249455916e-12,0,3.7e-11,1,0.181,2.2625340245697e-13,1.1011786947138e-23,-0.4624113025871,-nan
6,0,0,6,1.7222696067296e-11,6.7935051683135e-11,-5.5941107207265e-13,-2.3890942912951e-12,0,3.7e-11,1,0.181,2.2625761869474e-13,1.1331412539294e-23,-0.73562068279054,-nan
7,0,0,7,1.9440268056831e-11,7.0441675392588e-11,-4.536988914111e-13,-2.2175719895356e-12,0,3.7e-11,1,0.181,2.2626150883045e-13,1.1660024006042e-23,-0.99900325679748,-nan
8,0,0,8,2.1495091760346e-11,7.2453609253696e-11,-3.6416002886055e-13,-2.0548237035144e-12,0,3.7e-11,1,0.181,2.2626507503876e-13,1.1997865269535e-23,-1.2514541564024,-nan
9,0,0,9,2.3395786731997e-11,7.4051686742694e-11,-2.8925202550869e-13,-1.9006949716511e-12,0,3.7e-11,1,0.181,2.2626831952817e-13,1.2345186620287e-23,-1.4920757699819,-nan
10,0,0,10,2.5150798975758e-11,7.5307920607419e-11,-2.2737832951515e-13,-1.7550122437611e-12,0,3.7e-11,1,0.181,2.262712445415e-13,1.2702244876304e-23,-1.7201829693617,-nan
11,0,0,11,2.6768383011358e-11,7.628546875361e-11,-1.7693621446052e-13,-1.6175840355998e-12,0,3.7e-11,1,0.181,2.2627385235634e-13,1.3069303545986e-23,-1.935301353883,-nan
12,0,0,12,2.8256585202576e-11,7.7038844245696e-11,-1.3636096406761e-13,-1.4882021912185e-12,0,3.7e-11,1,0.181,2.262761452855e-13,1.3446632994909e-23,-2.1371590852778,-nan
13,0,0,13,2.9623228444129e-11,7.7614337453773e-11,-1.0416427066199e-13,-1.3666432415531e-12,0,3.7e-11,1,0.181,2.262781256775e-13,1.3834510616546e-23,-2.3256731917271,-nan
14,0,0,14,3.0875898290858e-11,7.8050609394096e-11,-7.8965221198385e-14,-1.2526698467286e-12,0,3.7e-11,1,0.181,2.2627979591702e-13,1.4233221007035e-23,-2.500931460434,-nan
15,0,0,15,3.2021930599605e-11,7.8379409508798e-11,-5.9512820761165e-14,-1.1460323087469e-12,0,3.7e-11,1,0.181,2.262811584254e-13,1.4643056144077e-23,-2.6631711928494,-nan
16,0,0,16,3.3068400740134e-11,7.8626369125983e-11,-4.4699690710464e-14,-1.0464701405294e-12,0,3.7e-11,1,0.181,2.2628221566111e-13,1.5064315570051e-23,-2.8127561487728,-nan
17,0,0,17,3.4022114416856e-11,7.8811823824074e-11,-3.3567300354504e-14,-9.5371367672161e-13,0,3.7e-11,1,0.181,2.2628297012023e-13,1.5497306579454e-23,-2.9501529497832,-nan
18,0,0,18,3.4889600128118e-11,7.8951623507065e-11,-2.5303742621323e-14,-8.674857112623e-13,0,3.7e-11,1,0.181,2.2628342433697e-13,1.5942344410742e-23,-3.0759080593309,-nan
19,0,0,19,3.5677103274576e-11,7.9057897225379e-11,-1.923554301487e-14,-7.8750314645771e-13,0,3.7e-11,1,0.181,2.2628358088416e-13,1.6399752442689e-23,-3.190626232161,-nan
20,0,0,20,3.6390581912797e-11,7.9139749341622e-11,-1.4815233039942e-14,-7.1347863822088e-13,0,3.7e-11,1,0.181,2.2628344237374e-13,1.6869862395352e-23,-3.2949510649489,-nan
