x,y,z,id,xi,xv,jvx,jix
0,0,0,0,8.4791517238048e-168,3.7e-11,-1.8641136123421e-13,-9.1762586219154e-11
1,0,0,1,8.5940046724853e-11,2.7376226728965e-10,3.7621388086558e-16,-7.4847561903963e-11
2,0,0,2,1.5738263884099e-10,2.7004955688131e-10,-3.3303706696852e-16,-5.868095505434e-11
3,0,0,3,2.1606359389533e-10,2.7188954067672e-10,-3.3303706696852e-16,-5.868095505434e-11
4,0,0,4,2.6365816773408e-10,2.7099760674535e-10,1.6144004157678e-16,-4.759457383875e-11
5,0,0,5,3.0175685920728e-10,2.7236114733436e-10,-2.4680084661016e-16,-3.8098691473202e-11
6,0,0,6,3.3184127680951e-10,2.7170207059772e-10,1.1929288933154e-16,-3.0084417602229e-11
7,0,0,7,3.5526601488867e-10,2.7114867423849e-10,1.0016474102155e-16,-2.3424738079159e-11
8,0,0,8,3.7324566485402e-10,2.7142908955729e-10,-5.0755172703983e-17,-1.7979649965355e-11
9,0,0,9,3.8684732982208e-10,2.7068641514712e-10,1.3442406824161e-16,-1.360166496806e-11
10,0,0,10,3.9698884042224e-10,2.7072524793273e-10,-7.0287341950936e-18,-1.0141510600159e-11
11,0,0,11,4.0444255070793e-10,2.7176202231288e-10,-1.8765616280833e-16,-7.4537102856912e-12
12,0,0,12,4.0984412849242e-10,2.7121459768234e-10,9.9083858127488e-17,-5.4015777844894e-12
13,0,0,13,4.13705286744e-10,2.7217125838543e-10,-1.7315558725851e-16,-3.8611582515765e-12
14,0,0,14,4.1642909110444e-10,2.715774128965e-10,1.0748603349608e-16,-2.7238043604392e-12
15,0,0,15,4.1832640575986e-10,2.7220837081593e-10,-1.1420338341625e-16,-1.8973146554238e-12
16,0,0,16,4.196321922259e-10,2.7128126790128e-10,1.6780562755147e-16,-1.3057864660398e-12
17,0,0,17,4.2052067518673e-10,2.7111067685857e-10,3.0876978730757e-17,-8.8848296082904e-13
18,0,0,18,4.2111873955666e-10,2.7143087032538e-10,-5.7955017493017e-17,-5.9806436992644e-13
19,0,0,19,4.2151725380456e-10,2.7060450699211e-10,1.495717633212e-16,-3.9851424790352e-13
20,0,0,20,4.2178028401106e-10,2.7092343117877e-10,-5.7725277785133e-17,-2.6303020649614e-13
21,0,0,21,4.2195234913234e-10,2.725052395795e-10,-2.8630732053122e-16,-1.7206512128123e-13
22,0,0,22,4.2206397224486e-10,2.7183404340371e-10,1.2148650781812e-16,-1.116231125244e-13
23,0,0,23,4.2213582209453e-10,2.7170779787084e-10,2.2850441449453e-17,-7.184984966892e-14
24,0,0,24,4.2218173467379e-10,2.7143301002238e-10,4.9736600570359e-17,-4.5912579260038e-14
25,0,0,25,4.2221087418627e-10,2.7215344703662e-10,-1.3039909957779e-16,-2.9139512474733e-14
26,0,0,26,4.2222925122675e-10,2.724910251446e-10,-6.1101637543792e-17,-1.8377040486462e-14
27,0,0,27,4.2224077240153e-10,2.7139006568957e-10,1.9927366135956e-16,-1.1521174776466e-14
28,0,0,28,4.222479556052e-10,2.7149423647977e-10,-1.8854913025245e-17,-7.1832036682207e-15
29,0,0,29,4.2225241115017e-10,2.7225589142165e-10,-1.3785954448045e-16,-4.4555449739811e-15
30,0,0,30,4.2225516154411e-10,2.7222671693703e-10,5.2805817170333e-18,-2.7503939340628e-15
31,0,0,31,4.2225685174216e-10,2.7139739243849e-10,1.5010773423546e-16,-1.6901980552983e-15
32,0,0,32,4.222578860549e-10,2.7191351793281e-10,-9.3418714472865e-17,-1.0343127426326e-15
33,0,0,33,4.222585165091e-10,2.7255479760207e-10,-1.1607162013617e-16,-6.3045419522139e-16
34,0,0,34,4.2225889937373e-10,2.7162168418013e-10,1.6889352937079e-16,-3.8286463465355e-16
35,0,0,35,4.2225913105768e-10,2.7201751156267e-10,-7.1644756238408e-17,-2.3168394941452e-16
36,0,0,36,4.2225927078306e-10,2.7226870443904e-10,-4.5465910623893e-17,-1.3972537635009e-16
37,0,0,37,4.2225935477487e-10,2.7245241179233e-10,-3.3251030944455e-17,-8.3991814760287e-17
38,0,0,38,4.2225940510045e-10,2.711530919341e-10,2.3517689433834e-16,-5.0325574169136e-17
39,0,0,39,4.2225943514589e-10,2.7192250525687e-10,-1.3926381142086e-16,-3.0045438457157e-17
40,0,0,40,4.22259453021e-10,2.7169172558435e-10,4.1771120725922e-17,-1.7875117335064e-17
41,0,0,41,4.2225946361317e-10,2.7118968568976e-10,9.0869220920562e-17,-1.0592169597786e-17
42,0,0,42,4.222594698574e-10,2.714656354282e-10,-4.9946902657665e-17,-6.2442260228228e-18
43,0,0,43,4.2225947351817e-10,2.7155369528755e-10,-1.5938834541184e-17,-3.6607727419626e-18
44,0,0,44,4.2225947565119e-10,2.7177421824941e-10,-3.9914656097679e-17,-2.1330156455108e-18
45,0,0,45,4.2225947688355e-10,2.7064929504081e-10,2.0361110075678e-16,-1.2323624211078e-18
46,0,0,46,4.2225947757818e-10,2.7131555443714e-10,-1.2059295073623e-16,-6.946262635599e-19
47,0,0,47,4.2225947795974e-10,2.7172578639694e-10,-7.4251984722469e-17,-3.8156471639182e-19
48,0,0,48,4.2225947816338e-10,2.7184143303568e-10,-2.0932041611978e-17,-2.0363816663166e-19
49,0,0,49,4.2225947826596e-10,2.7156438822229e-10,5.0145111222722e-17,-1.0258187308757e-19
50,0,0,50,4.2225947831068e-10,2.7224372526246e-10,-1.2296000427109e-16,-4.4718572986747e-20
51,0,0,51,4.2225947832647e-10,2.7096132393748e-10,2.321146398223e-16,-1.5790929592426e-20
52,0,0,52,4.2225947831937e-10,2.7165593245428e-10,-1.2572414154192e-16,7.1063086424431e-21
53,0,0,53,4.2225947830541e-10,2.725435242889e-10,-1.6065412206487e-16,1.3955053921652e-20
54,0,0,54,4.2225947829773e-10,2.7078610342068e-10,3.1809317714806e-16,7.6810957705908e-21
55,0,0,55,4.2225947828654e-10,2.7121386114746e-10,-7.7424148548312e-17,1.1185601532037e-20
56,0,0,56,4.2225947827505e-10,2.7103735136563e-10,3.1948270512341e-17,1.149258893687e-20
57,0,0,57,4.2225947826563e-10,2.7110396319507e-10,-1.2056741128476e-17,9.4201913096953e-21
58,0,0,58,4.2225947826255e-10,2.7177010658162e-10,-1.2057195296565e-16,3.0778356617332e-21
59,0,0,59,4.2225947827271e-10,2.7102204480964e-10,1.353991807276e-16,-1.0158966994282e-20
60,0,0,60,4.2225947829136e-10,2.710676169832e-10,-8.248563413983e-18,-1.8651992234882e-20
61,0,0,61,4.2225947831642e-10,2.7074921780019e-10,5.7630252124858e-17,-2.5059074765776e-20
62,0,0,62,4.222594783443e-10,2.7100127484324e-10,-4.5622324792071e-17,-2.7872316029069e-20
63,0,0,63,4.2225947837805e-10,2.7249085134588e-10,-2.6961334697739e-16,-3.3755844931005e-20
64,0,0,64,4.2225947842672e-10,2.7128144531799e-10,2.1890249104807e-16,-4.8671772531715e-20
