x,y,z,id,xi,xv,jvx,jix
0,0,0,0,0,3.7e-11,-2.594556758426e-18,-6.6572732670047e-12
1,0,0,1,6.6572732670047e-12,3.7014334567726e-11,-2.594556758426e-18,-6.6572732670047e-12
2,0,0,2,1.3314546111839e-11,3.7028267842962e-11,-2.5219228176967e-18,-6.6572728448339e-12
3,0,0,3,1.9971818321781e-11,3.7041861582866e-11,-2.4604669226718e-18,-6.6572722099424e-12
4,0,0,4,2.6629089683566e-11,3.705517670534e-11,-2.4100371676932e-18,-6.6572713617845e-12
5,0,0,5,3.3286359983354e-11,3.7068273403934e-11,-2.3705024456489e-18,-6.6572702997886e-12
6,0,0,6,3.994362900671e-11,3.7081211260992e-11,-2.3417521274195e-18,-6.6572690233562e-12
7,0,0,7,4.6600896538571e-11,3.7094049359042e-11,-2.3236957470993e-18,-6.6572675318606e-12
8,0,0,8,5.3258162363217e-11,3.7106846390518e-11,-2.3162626970987e-18,-6.6572658246458e-12
9,0,0,9,5.9915426264242e-11,3.7119660765865e-11,-2.3194019377809e-18,-6.6572639010254e-12
10,0,0,10,6.6572688024523e-11,3.7132550720157e-11,-2.3330817267957e-18,-6.6572617602811e-12
11,0,0,11,7.3229947426185e-11,3.7145574418352e-11,-2.3572893733899e-18,-6.6572594016617e-12
12,0,0,12,7.9887204250566e-11,3.7158790059363e-11,-2.3920310229239e-18,-6.6572568243812e-12
13,0,0,13,8.6544458278184e-11,3.7172255979123e-11,-2.4373314765454e-18,-6.6572540276178e-12
14,0,0,14,9.3201709288696e-11,3.7186030752882e-11,-2.4932340504358e-18,-6.6572510105124e-12
15,0,0,15,9.9858957060863e-11,3.7200173296962e-11,-2.5598004784288e-18,-6.6572477721667e-12
16,0,0,16,1.065162013725e-10,3.7214742970227e-11,-2.6371108610198e-18,-6.6572443116418e-12
17,0,0,17,1.1317344200046e-10,3.7229799675547e-11,-2.7252636628865e-18,-6.6572406279565e-12
18,0,0,18,1.1983067872055e-10,3.7245403961515e-11,-2.8243757602118e-18,-6.6572367200857e-12
19,0,0,19,1.264879113075e-10,3.7261617124709e-11,-2.9345825381045e-18,-6.6572325869579e-12
20,0,0,20,1.3314513953496e-10,3.7278501312762e-11,-3.0560380376362e-18,-6.6572282274542e-12
21,0,0,21,1.3980236317536e-10,3.7296119628513e-11,-3.1889151510095e-18,-6.6572236404056e-12
22,0,0,22,1.4645958199996e-10,3.731453623549e-11,-3.3334058627313e-18,-6.6572188245914e-12
23,0,0,23,1.5311679577869e-10,3.7333816464958e-11,-3.4897215337491e-18,-6.6572137787368e-12
24,0,0,24,1.597740042802e-10,3.7354026924764e-11,-3.6580932249107e-18,-6.6572085015106e-12
25,0,0,25,1.6643120727173e-10,3.7375235610153e-11,-3.8387720554356e-18,-6.6572029915232e-12
26,0,0,26,1.7308840451905e-10,3.7397512016736e-11,-4.0320295914797e-18,-6.6571972473238e-12
27,0,0,27,1.7974559578645e-10,3.7420927255738e-11,-4.2381582594081e-18,-6.6571912673984e-12
