x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist_FP,K0_dist_II,super_saturation,void_nucleation_rate
0,0,0,0,1.44386e-28,3.7e-11,-1.466261989436e-12,-1.5511866131118e-12,0,3.7e-11,1,0.000181,3.9589787289072e-14,2.3850840829801e-24,0.99999999999998,-nan
1,0,0,1,1.5511866131118e-12,8.1378949692599e-09,-1.466261989436e-12,-1.5511866131118e-12,0,3.7e-11,1,0.000181,3.9590815976579e-14,2.4546197926388e-24,-11.680995023999,-nan
2,0,0,2,3.0628358720806e-12,1.6020352963339e-08,-1.4267248969283e-12,-1.5116492589689e-12,0,3.7e-11,1,0.000181,3.9591785779538e-14,2.5261196208272e-24,-24.361950980484,-nan
3,0,0,3,4.5350797868755e-12,2.3685104762901e-08,-1.3873200757207e-12,-1.4722439147949e-12,0,3.7e-11,1,0.000181,3.9592697050056e-14,2.599637152707e-24,-37.042828847315,-nan
4,0,0,4,5.968130797828e-12,3.1133325515202e-08,-1.3481279561665e-12,-1.4330510109524e-12,0,3.7e-11,1,0.000181,3.9593550145779e-14,2.6752273800876e-24,-49.723589603767,-nan
5,0,0,5,7.3622749763017e-12,3.8366597168701e-08,-1.3092221692833e-12,-1.3941441784738e-12,0,3.7e-11,1,0.000181,3.959434542997e-14,2.7529467367844e-24,-62.404194231289,-nan
6,0,0,6,8.71786548159e-12,4.5386872323286e-08,-1.2706698029799e-12,-1.3555905052882e-12,0,3.7e-11,1,0.000181,3.959508327158e-14,2.8328531348236e-24,-75.084603714392,-nan
7,0,0,7,1.0035316288066e-11,5.2196439573612e-08,-1.232531672309e-12,-1.3174508064757e-12,0,3.7e-11,1,0.000181,3.9595764045329e-14,2.9150060015106e-24,-87.764779041661,-nan
8,0,0,8,1.1315096192992e-11,5.8797890403038e-08,-1.1948626001262e-12,-1.2797799049265e-12,0,3.7e-11,1,0.000181,3.9596388131782e-14,2.9994663173838e-24,-100.44468120686,-nan
9,0,0,9,1.2557723112124e-11,6.5194087667566e-08,-1.1577117048795e-12,-1.2426269191316e-12,0,3.7e-11,1,0.000181,3.9596955917429e-14,3.0862966550719e-24,-113.12427121015,-nan
10,0,0,10,1.3763758667291e-11,7.1388135692944e-08,-1.1211226925935e-12,-1.2060355551667e-12,0,3.7e-11,1,0.000181,3.9597467794762e-14,3.1755612190759e-24,-125.80351005938,-nan
11,0,0,11,1.4933803067547e-11,7.7383351993672e-08,-1.0851341504318e-12,-1.1700444002564e-12,0,3.7e-11,1,0.000181,3.959792416236e-14,3.2673258864964e-24,-138.48235877142,-nan
12,0,0,12,1.6068490283161e-11,8.3183240609904e-08,-1.0497798395379e-12,-1.1346872156141e-12,0,3.7e-11,1,0.000181,3.9598325424963e-14,3.3616582487272e-24,-151.16077837367,-nan
13,0,0,13,1.7168483509709e-11,8.8791467047136e-08,-1.0150889851391e-12,-1.0999932265476e-12,0,3.7e-11,1,0.000181,3.9598671993563e-14,3.4586276541364e-24,-163.83872990549,-nan
14,0,0,14,1.8234470917801e-11,9.4211834793987e-08,-9.810865621801e-13,-1.0659874080921e-12,0,3.7e-11,1,0.000181,3.9598964285479e-14,3.5583052517587e-24,-176.51617441976,-nan
15,0,0,15,1.9267161682492e-11,9.9448263385167e-08,-9.4779357500354e-13,-1.0326907646914e-12,0,3.7e-11,1,0.000181,3.9599202724445e-14,3.6607640360191e-24,-189.19307298447,-nan
16,0,0,16,2.0267282285173e-11,1.0450476796988e-07,-9.1522732983256e-13,-1.0001206026807e-12,0,3.7e-11,1,0.000181,3.9599387740693e-14,3.7660788925128e-24,-201.86938668435,-nan
17,0,0,17,2.1235573079717e-11,1.093854403402e-07,-8.8340169902824e-13,-9.6829079454407e-13,0,3.7e-11,1,0.000181,3.959951977104e-14,3.8743266448634e-24,-214.5450766225,-nan
18,0,0,18,2.2172785113833e-11,1.1409443136943e-07,-8.5232737629058e-13,-9.3721203411591e-13,0,3.7e-11,1,0.000181,3.959959925897e-14,3.9855861026854e-24,-227.22010392209,-nan
19,0,0,19,2.3079677195907e-11,1.1863593480673e-07,-8.2201212215177e-13,-9.0689208207396e-13,0,3.7e-11,1,0.000181,3.9599626654729e-14,4.0999381106722e-24,-239.894429728,-nan
20,0,0,20,2.3957013197141e-11,1.2301417237176e-07,-7.9246099927076e-13,-8.7733600123413e-13,0,3.7e-11,1,0.000181,3.9599602415404e-14,4.217465598838e-24,-252.56801520857,-nan
21,0,0,21,2.480555957844e-11,1.27233380091e-07,-7.6367659718186e-13,-8.4854638129909e-13,0,3.7e-11,1,0.000181,3.9599527005019e-14,4.3382536339366e-24,-265.24082155727,-nan
22,0,0,22,2.5626083131281e-11,1.3129779581629e-07,-7.3565924627702e-13,-8.2052355284061e-13,0,3.7e-11,1,0.000181,3.959940089462e-14,4.4623894720838e-24,-277.91280999442,-nan
23,0,0,23,2.6419348921688e-11,1.3521164786553e-07,-7.0840722091341e-13,-7.9326579040708e-13,0,3.7e-11,1,0.000181,3.9599224562369e-14,4.5899626126108e-24,-290.58394176889,-nan
24,0,0,24,2.7186118426433e-11,1.389791447254e-07,-6.8191693163517e-13,-7.6676950474517e-13,0,3.7e-11,1,0.000181,3.9598998493634e-14,4.7210648531742e-24,-303.25417815982,-nan
25,0,0,25,2.7927147850642e-11,1.4260446575624e-07,-6.5618310658219e-13,-7.410294242087e-13,0,3.7e-11,1,0.000181,3.9598723181082e-14,4.8557903461506e-24,-315.92348047824,-nan
26,0,0,26,2.8643186616141e-11,1.4609175284039e-07,-6.3119896223101e-13,-7.1603876549926e-13,0,3.7e-11,1,0.000181,3.959839912477e-14,4.9942356563452e-24,-328.59181006884,-nan
27,0,0,27,2.9334976010085e-11,1.4944510291593e-07,-6.0695636367307e-13,-6.9178939394449e-13,0,3.7e-11,1,0.000181,3.9598026832244e-14,5.1364998200409e-24,-341.25912831155,-nan
28,0,0,28,3.0003247983655e-11,1.5266856133961e-07,-5.8344597468646e-13,-6.6827197356968e-13,0,3.7e-11,1,0.000181,3.9597606818628e-14,5.2826844054197e-24,-353.92539662322,-nan
29,0,0,29,3.0648724090915e-11,1.5576611602413e-07,-5.606573978985e-13,-6.4547610726017e-13,0,3.7e-11,1,0.000181,3.9597139606725e-14,5.4328935743834e-24,-366.59057645921,-nan
30,0,0,30,3.127211455826e-11,1.5874169229689e-07,-5.3857930536925e-13,-6.2339046734474e-13,0,3.7e-11,1,0.000181,3.9596625727114e-14,5.5872341458074e-24,-379.25462931504,-nan
31,0,0,31,3.1874117475216e-11,1.6159914842922e-07,-5.171995599522e-13,-6.0200291695614e-13,0,3.7e-11,1,0.000181,3.9596065718243e-14,5.7458156602561e-24,-391.9175167279,-nan
32,0,0,32,3.245541809776e-11,1.6434227178727e-07,-4.9650532780711e-13,-5.813006225438e-13,0,3.7e-11,1,0.000181,3.9595460126532e-14,5.9087504461924e-24,-404.57920027825,-nan
33,0,0,33,3.3016688255687e-11,1.6697477555774e-07,-4.7648318245374e-13,-5.6127015792727e-13,0,3.7e-11,1,0.000181,3.9594809506471e-14,6.0761536877146e-24,-417.23964159131,-nan
34,0,0,34,3.3558585855975e-11,1.6950029600394e-07,-4.5711920076319e-13,-5.4189760028748e-13,0,3.7e-11,1,0.000181,3.9594114420722e-14,6.2481434938523e-24,-429.89880233855,-nan
35,0,0,35,3.4081754474471e-11,1.7192239020995e-07,-4.3839905128789e-13,-5.2316861849648e-13,0,3.7e-11,1,0.000181,3.9593375440218e-14,6.4248409694561e-24,-442.55664423919,-nan
36,0,0,36,3.4586823028658e-11,1.7424453427256e-07,-4.2030807533142e-13,-5.050685541871e-13,0,3.7e-11,1,0.000181,3.9592593144268e-14,6.6063702877148e-24,-455.2131290616,-nan
37,0,0,37,3.5074405524619e-11,1.7647012190325e-07,-4.0283136115634e-13,-4.8758249596048e-13,0,3.7e-11,1,0.000181,3.959176812066e-14,6.7928587643352e-24,-467.86821862471,-nan
38,0,0,38,3.5545100871743e-11,1.7860246340448e-07,-3.8595381172245e-13,-4.7069534712432e-13,0,3.7e-11,1,0.000181,3.9590900965761e-14,6.984436933421e-24,-480.5218747994,-nan
39,0,0,39,3.5999492759089e-11,1.8064478498647e-07,-3.6966020634038e-13,-4.5439188734603e-13,0,3.7e-11,1,0.000181,3.9589992284629e-14,7.181238625086e-24,-493.17405950981,-nan
40,0,0,40,3.6438149587685e-11,1.8260022839319e-07,-3.5393525661501e-13,-4.3865682859612e-13,0,3.7e-11,1,0.000181,3.9589042691115e-14,7.3834010448397e-24,-505.8247347347,-nan
