x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist_FP,K0_dist_II,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-1.2906766554106e-16,-1.0622083664849e-12,0,3.7e-11,1,0.000181,3.3588710635712e-18,9.5403363319204e-24,1,-nan
1,0,0,1,1.0622083664849e-12,3.7713081025089e-11,-1.2906766554106e-16,-1.0622083664849e-12,0,3.7e-11,1,0.000181,3.4438582408747e-18,9.818479170555e-24,-157.59030891733,-nan
2,0,0,2,2.12441347033e-12,3.8408045699125e-11,-1.2578860600061e-16,-1.0622051038451e-12,0,3.7e-11,1,0.000181,3.5309075157971e-18,1.0104478483309e-23,-316.18062028646,-nan
3,0,0,3,3.1866154108196e-12,3.9085350139913e-11,-1.2259210378255e-16,-1.0622019404896e-12,0,3.7e-11,1,0.000181,3.620066603887e-18,1.0398548610828e-23,-474.77093660509,-nan
4,0,0,4,4.2488142903382e-12,3.9745467475314e-11,-1.1948123770752e-16,-1.0621988795186e-12,0,3.7e-11,1,0.000181,3.7113842659397e-18,1.070090952035e-23,-633.36126037407,-nan
5,0,0,5,5.3110102141224e-12,4.0388886418335e-11,-1.1645882868695e-16,-1.0621959237842e-12,0,3.7e-11,1,0.000181,3.8049103294538e-18,1.1011786947138e-23,-791.95159409895,-nan
6,0,0,6,6.3732032900199e-12,4.1016109880882e-11,-1.1352744672098e-16,-1.0621930758976e-12,0,3.7e-11,1,0.000181,3.9006957104931e-18,1.1331412539294e-23,-950.5419402914,-nan
7,0,0,7,7.4353936282553e-12,4.1627653627609e-11,-1.1068941815757e-16,-1.0621903382354e-12,0,3.7e-11,1,0.000181,3.9987924359633e-18,1.1660024006042e-23,-1109.1323014706,-nan
8,0,0,8,8.4975813412025e-12,4.2224044971144e-11,-1.0794683317977e-16,-1.0621877129472e-12,0,3.7e-11,1,0.000181,4.099253666308e-18,1.1997865269535e-23,-1267.7226801647,-nan
9,0,0,9,9.559766543165e-12,4.2805821509757e-11,-1.0530155348901e-16,-1.0621852019625e-12,0,3.7e-11,1,0.000181,4.2021337186328e-18,1.2345186620287e-23,-1426.3130789117,-nan
10,0,0,10,1.0621949350163e-11,4.3373529908397e-11,-1.027552201539e-16,-1.0621828069981e-12,0,3.7e-11,1,0.000181,4.3074880902643e-18,1.2702244876304e-23,-1584.9035002613,-nan
11,0,0,11,1.1684129879729e-11,4.3927724723838e-11,-1.003092615947e-16,-1.062180529566e-12,0,3.7e-11,1,0.000181,4.4153734827512e-18,1.3069303545986e-23,-1743.4939467753,-nan
12,0,0,12,1.274630825071e-11,4.4468967274531e-11,-9.7964901675438e-17,-1.0621783709807e-12,0,3.7e-11,1,0.000181,4.5258478263148e-18,1.3446632994909e-23,-1902.0844210293,-nan
13,0,0,13,1.3808484583077e-11,4.4997824555616e-11,-9.5723167876437e-17,-1.062176332367e-12,0,3.7e-11,1,0.000181,4.6389703047574e-18,1.3834510616546e-23,-2060.6749256133,-nan
14,0,0,14,1.4870658997745e-11,4.5514868199381e-11,-9.3584899521492e-17,-1.0621744146682e-12,0,3.7e-11,1,0.000181,4.7548013808345e-18,1.4233221007035e-23,-2219.2654631329,-nan
15,0,0,15,1.5932831616398e-11,4.6020673481344e-11,-9.1550756035322e-17,-1.062172618653e-12,0,3.7e-11,1,0.000181,4.8734028221008e-18,1.4643056144077e-23,-2377.8560362099,-nan
16,0,0,16,1.6995002561322e-11,4.6515818371996e-11,-8.962122520797e-17,-1.0621709449244e-12,0,3.7e-11,1,0.000181,4.9948377272359e-18,1.5064315570051e-23,-2536.4466474835,-nan
17,0,0,17,1.8057171955249e-11,4.7000882634119e-11,-8.7796631444293e-17,-1.0621693939266e-12,0,3.7e-11,1,0.000181,5.1191705528587e-18,1.5497306579454e-23,-2695.0372996106,-nan
18,0,0,18,1.9119339921202e-11,4.7476446965489e-11,-8.6077143977865e-17,-1.0621679659533e-12,0,3.7e-11,1,0.000181,5.2464671408391e-18,1.5942344410742e-23,-2853.6279952668,-nan
19,0,0,19,2.0181506582358e-11,4.7943092186649e-11,-8.4462785029947e-17,-1.0621666611553e-12,0,3.7e-11,1,0.000181,5.3767947461134e-18,1.6399752442689e-23,-3012.2187371468,-nan
20,0,0,20,2.1243672061906e-11,4.8401398473363e-11,-8.2953437895369e-17,-1.062165479548e-12,0,3.7e-11,1,0.000181,5.5102220650142e-18,1.6869862395352e-23,-3170.809527965,-nan
21,0,0,21,2.2305836482925e-11,4.8851944633244e-11,-8.1548854938478e-17,-1.0621644210191e-12,0,3.7e-11,1,0.000181,5.646819264121e-18,1.7353014535746e-23,-3329.4003704563,-nan
22,0,0,22,2.3367999968261e-11,4.9295307425971e-11,-8.0248665483447e-17,-1.0621634853361e-12,0,3.7e-11,1,0.000181,5.7866580096414e-18,1.7849557888335e-23,-3487.9912673759,-nan
23,0,0,23,2.4430162640414e-11,4.9732060926438e-11,-7.9052383584533e-17,-1.0621626721534e-12,0,3.7e-11,1,0.000181,5.9298114973316e-18,1.8359850450443e-23,-3646.5822215001,-nan
24,0,0,24,2.5492324621434e-11,5.01627759301e-11,-7.7959415662906e-17,-1.0621619810198e-12,0,3.7e-11,1,0.000181,6.076354482964e-18,1.8884259412697e-23,-3805.1732356265,-nan
25,0,0,25,2.6554486032819e-11,5.0588019399702e-11,-7.6969067998004e-17,-1.0621614113855e-12,0,3.7e-11,1,0.000181,6.2263633133522e-18,1.9423161384602e-23,-3963.764312574,-nan
26,0,0,26,2.7616646995428e-11,5.1008353952533e-11,-7.6080554062252e-17,-1.0621609626089e-12,0,3.7e-11,1,0.000181,6.3799159579414e-18,1.9976942625381e-23,-4122.3554551834,-nan
27,0,0,27,2.8678807629392e-11,5.142433738728e-11,-7.5293001689281e-17,-1.0621606339636e-12,0,3.7e-11,1,0.000181,6.5370920409735e-18,2.0545999280164e-23,-4280.946666317,-nan
28,0,0,28,2.9740968054037e-11,5.1836522249527e-11,-7.4605460066687e-17,-1.0621604246448e-12,0,3.7e-11,1,0.000181,6.6979728742371e-18,2.1130737621679e-23,-4439.5379488591,-nan
29,0,0,29,3.0803128387813e-11,5.2245455434861e-11,-7.4016906545434e-17,-1.0621603337758e-12,0,3.7e-11,1,0.000181,6.862641490411e-18,2.1731574297533e-23,-4598.1293057158,-nan
30,0,0,30,3.1865288748227e-11,5.2651677828557e-11,-7.3526253258988e-17,-1.0621603604142e-12,0,3.7e-11,1,0.000181,7.0311826770106e-18,2.234893658323e-23,-4756.7207398148,-nan
31,0,0,31,3.2927449251785e-11,5.3055723980746e-11,-7.3132353546192e-17,-1.0621605035583e-12,0,3.7e-11,1,0.000181,7.2036830109474e-18,2.2983262641024e-23,-4915.3122541055,-nan
32,0,0,32,3.3989610013937e-11,5.3458121815955e-11,-7.2834008172805e-17,-1.0621607621524e-12,0,3.7e-11,1,0.000181,7.3802308937119e-18,2.3635001784769e-23,-5073.9038515587,-nan
33,0,0,33,3.505177114903e-11,5.3859392375885e-11,-7.2629971347466e-17,-1.0621611350929e-12,0,3.7e-11,1,0.000181,7.5609165871884e-18,2.4304614750858e-23,-5232.4955351665,-nan
34,0,0,34,3.6113932770264e-11,5.4260049594276e-11,-7.2518956528727e-17,-1.0621616212337e-12,0,3.7e-11,1,0.000181,7.7458322501131e-18,2.4992573975409e-23,-5391.087307942,-nan
35,0,0,35,3.7176094989656e-11,5.4660600102677e-11,-7.2499642020498e-17,-1.0621622193916e-12,0,3.7e-11,1,0.000181,7.935071975185e-18,2.5699363877824e-23,-5549.6791729188,-nan
36,0,0,36,3.8238257918006e-11,5.5061543065959e-11,-7.2570676354064e-17,-1.0621629283508e-12,0,3.7e-11,1,0.000181,8.1287318268404e-18,2.6425481150859e-23,-5708.2711331509,-nan
37,0,0,37,3.9300421664875e-11,5.5463370046376e-11,-7.2730683455526e-17,-1.0621637468688e-12,0,3.7e-11,1,0.000181,8.3269098797014e-18,2.7171435057341e-23,-5866.8631917122,-nan
38,0,0,38,4.0362586338555e-11,5.5866564894984e-11,-7.2978267598134e-17,-1.0621646736799e-12,0,3.7e-11,1,0.000181,8.5297062577082e-18,2.7937747733684e-23,-6025.4553516962,-nan
39,0,0,39,4.1424752046056e-11,5.6271603669237e-11,-7.3312018139685e-17,-1.0621657075008e-12,0,3.7e-11,1,0.000181,8.7372231739478e-18,2.8724954500344e-23,-6184.047616215,-nan
40,0,0,40,4.248691889309e-11,5.6678954575567e-11,-7.373051404568e-17,-1.0621668470338e-12,0,3.7e-11,1,0.000181,8.9495649711877e-18,2.9533604179359e-23,-6342.6399883995,-nan
41,0,0,41,4.3549086984062e-11,5.7089077935785e-11,-7.4232328199536e-17,-1.0621680909719e-12,0,3.7e-11,1,0.000181,9.1668381631279e-18,3.0364259419132e-23,-6501.2324713984,-nan
42,0,0,42,4.4611256422063e-11,5.7502426176125e-11,-7.4816031501622e-17,-1.0621694380018e-12,0,3.7e-11,1,0.000181,9.3891514763805e-18,3.1217497026611e-23,-6659.8250683777,-nan
43,0,0,43,4.5673427308871e-11,5.791944383778e-11,-7.5480196759388e-17,-1.062170886808e-12,0,3.7e-11,1,0.000181,9.6166158931893e-18,3.2093908307012e-23,-6818.4177825201,-nan
44,0,0,44,4.6735599744948e-11,5.8340567607787e-11,-7.6223402371288e-17,-1.0621724360764e-12,0,3.7e-11,1,0.000181,9.849344694901e-18,3.2994099411271e-23,-6977.0106170242,-nan
45,0,0,45,4.7797773829445e-11,5.8766226369155e-11,-7.7044235807619e-17,-1.0621740844972e-12,0,3.7e-11,1,0.000181,1.0087453506198e-17,3.3918691691353e-23,-7135.6035751041,-nan
46,0,0,46,4.8859949660213e-11,5.9196841269109e-11,-7.7941296891734e-17,-1.0621758307682e-12,0,3.7e-11,1,0.000181,1.0331060340109e-17,3.4868322063624e-23,-7294.1966599886,-nan
47,0,0,47,4.9922127333811e-11,5.9632825804388e-11,-7.8913200885438e-17,-1.0621776735978e-12,0,3.7e-11,1,0.000181,1.0580285643801e-17,3.5843643380426e-23,-7452.7898749202,-nan
48,0,0,48,5.0984306945518e-11,6.0074585922524e-11,-7.9958581382746e-17,-1.0621796117075e-12,0,3.7e-11,1,0.000181,1.0835252345173e-17,3.6845324810041e-23,-7611.3832231546,-nan
49,0,0,49,5.2046488589353e-11,6.0522520138084e-11,-8.1076093016309e-17,-1.0621816438347e-12,0,3.7e-11,1,0.000181,1.1096085900262e-17,3.7874052225228e-23,-7769.97670796,-nan
50,0,0,50,5.3108672358088e-11,6.0977019662842e-11,-8.2264413981232e-17,-1.062183768735e-12,0,3.7e-11,1,0.000181,1.1362914341471e-17,3.8930528600492e-23,-7928.570332616,-nan
51,0,0,51,5.4170858343272e-11,6.1438468548926e-11,-8.3522248381085e-17,-1.0621859851842e-12,0,3.7e-11,1,0.000181,1.1635868326627e-17,4.0015474418299e-23,-8087.1641004129,-nan
52,0,0,52,5.5233046635253e-11,6.190724384396e-11,-8.4848328401177e-17,-1.0621882919806e-12,0,3.7e-11,1,0.000181,1.1915081188898e-17,4.1129628084393e-23,-8245.7580146509,-nan
53,0,0,53,5.62952373232e-11,6.2383715757298e-11,-8.6241416314259e-17,-1.062190687947e-12,0,3.7e-11,1,0.000181,1.2200688987562e-17,4.2273746352435e-23,-8404.3520786394,-nan
