x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7E-11,-4.5783333523428E-15,-4.7846328535043E-15,0,3.7E-11,1,0.000181,1.679435531943E-18,1,4.3037883693406E-07
10,0,0,1,4.7846328535043E-15,6.2294659405209E-11,-4.5783333523428E-15,-4.7846328535043E-15,0,3.7E-11,1,0.000181,1.6963107470211E-18,0.9691952364997,3.6329678375377E-07
20,0,0,2,9.5675707480444E-15,8.7579956467461E-11,-4.5766387682676E-15,-4.7829378945401E-15,0,3.7E-11,1,0.000181,1.7133486733324E-18,0.93839052897805,3.0499674732817E-07
30,0,0,3,1.434879883738E-14,1.1285580959617E-10,-4.5749294162971E-15,-4.7812280893353E-15,0,3.7E-11,1,0.000181,1.7305508081781E-18,0.90758588913361,2.5456178040587E-07
40,0,0,4,1.912830299709E-14,1.3812214118872E-10,-4.5732060182511E-15,-4.7795041597099E-15,0,3.7E-11,1,0.000181,1.7479186619153E-18,0.87678132866492,2.1114481300816E-07
50,0,0,5,2.3906069822078E-14,1.6337887761664E-10,-4.5714692934532E-15,-4.7777668249879E-15,0,3.7E-11,1,0.000181,1.7654537580633E-18,0.84597685927047,1.7396542988979E-07
60,0,0,6,2.8682086624052E-14,1.8862594921171E-10,-4.5697199587084E-15,-4.7760168019745E-15,0,3.7E-11,1,0.000181,1.7831576334117E-18,0.81517249264868,1.4230669277991E-07
70,0,0,7,3.3456341428986E-14,2.1386329025194E-10,-4.5679587282805E-15,-4.7742548049342E-15,0,3.7E-11,1,0.000181,1.8010318381283E-18,0.78436824049792,1.1551200836459E-07
80,0,0,8,3.8228822974555E-14,2.3909083894736E-10,-4.5661863138713E-15,-4.7724815455691E-15,0,3.7E-11,1,0.000181,1.8190779358686E-18,0.75356411451647,9.2982043023955E-08
90,0,0,9,4.2999520707553E-14,2.6430853742581E-10,-4.5644034245988E-15,-4.770697732998E-15,0,3.7E-11,1,0.000181,1.837297503886E-18,0.72276012640252,7.4171685393914E-08
100,0,0,10,4.7768424781289E-14,2.895163317185E-10,-4.5626107669777E-15,-4.7689040737361E-15,0,3.7E-11,1,0.000181,1.8556921331424E-18,0.69195628785415,5.8587057885468E-08
110,0,0,11,5.2535526052964E-14,3.1471417174556E-10,-4.5608090448987E-15,-4.7671012716751E-15,0,3.7E-11,1,0.000181,1.87426342842E-18,0.66115261056932,4.5782578363528E-08
120,0,0,12,5.7300816081028E-14,3.3990201130142E-10,-4.55899895961E-15,-4.765290028064E-15,0,3.7E-11,1,0.000181,1.8930130084341E-18,0.6303491062459,3.5358073264632E-08
130,0,0,13,6.2064287122519E-14,3.6507980804008E-10,-4.5571812096982E-15,-4.7634710414902E-15,0,3.7E-11,1,0.000181,1.911942505946E-18,0.59954578658156,2.6955943518733E-08
