x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-1.0537371158718e-16,-1.7373219725068e-13,0,3.7e-11,1,0.000181,1.679435531943e-20,1,-nan
1,0,0,1,1.7373219303767e-13,3.7582153012815e-11,-1.0536567905169e-16,-1.7373218882466e-13,0,3.7e-11,1,0.000181,1.6963107470211e-20,-24.926059928677,-nan
2,0,0,2,3.4746436916735e-13,3.8164225929915e-11,-1.0535196578056e-16,-1.7373217188888e-13,0,3.7e-11,1,0.000181,1.7133486733324e-20,-50.852119497393,-nan
3,0,0,3,5.2119652828077e-13,3.874623609435e-11,-1.0534139304151e-16,-1.7373215484626e-13,0,3.7e-11,1,0.000181,1.7305508081781e-20,-76.778178221247,-nan
4,0,0,4,6.949286702754e-13,3.9328200881061e-11,-1.0533396661311e-16,-1.7373213770257e-13,0,3.7e-11,1,0.000181,1.7479186619153e-20,-102.70423561534,-nan
5,0,0,5,8.686607950545e-13,3.9910137697013e-11,-1.0532969229705e-16,-1.7373212046357e-13,0,3.7e-11,1,0.000181,1.7654537580633e-20,-128.63029119476,-nan
6,0,0,6,1.0423929025271e-12,4.0492063981321e-11,-1.0532857591863e-16,-1.73732103135e-13,0,3.7e-11,1,0.000181,1.7831576334117e-20,-154.55634447461,-nan
7,0,0,7,1.2161249926078e-12,4.1073997205382e-11,-1.0533062332716e-16,-1.7373208572257e-13,0,3.7e-11,1,0.000181,1.8010318381283e-20,-180.48239496993,-nan
8,0,0,8,1.3898570652172e-12,4.1655954873013e-11,-1.0533584039648e-16,-1.7373206823202e-13,0,3.7e-11,1,0.000181,1.8190779358686e-20,-206.40844219578,-nan
9,0,0,9,1.5635891202813e-12,4.2237954520587e-11,-1.0534423302535e-16,-1.7373205066903e-13,0,3.7e-11,1,0.000181,1.837297503886e-20,-232.33448566717,-nan
10,0,0,10,1.737321157732e-12,4.282001371717e-11,-1.0535580713796e-16,-1.7373203303927e-13,0,3.7e-11,1,0.000181,1.8556921331424e-20,-258.26052489909,-nan
11,0,0,11,1.9110531775068e-12,4.3402150064665e-11,-1.0537056868439e-16,-1.7373201534844e-13,0,3.7e-11,1,0.000181,1.87426342842e-20,-284.18655940646,-nan
